date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,8.93,8.93,8.41,8.75,-2.02,31737,551.47,75
2007-12-10 00:00:00+00,8.8,8.8,8.12,8.44,-3.54,33120,553.34,97
2007-12-11 00:00:00+00,8.3,8.3,8,8.18,-3.08,7914,128.34,56
2007-12-12 00:00:00+00,7.86,8.17,7.86,7.99,-2.32,29418,472.36,85
2007-12-13 00:00:00+00,8,8.13,7.78,7.8,-2.38,23740,378.45,68
2007-12-14 00:00:00+00,7.82,7.9,7.5,7.55,-3.21,11402,175.47,59
2007-12-17 00:00:00+00,7.54,7.54,6.8,6.9,-8.61,71396,995.18,177
2007-12-18 00:00:00+00,6.71,7.38,6.56,6.8,-1.45,21584,291.41,92
2007-12-19 00:00:00+00,6.95,6.95,6.57,6.65,-2.21,39856,537.73,79
2007-12-20 00:00:00+00,6.6,6.8,6.1,6.26,-5.86,71158,915.11,123
2007-12-21 00:00:00+00,6.3,6.51,5.82,6.03,-3.67,343305,4209.06,262
2007-12-27 00:00:00+00,6.11,6.99,6.11,6.9,14.43,80148,1071.76,195
2007-12-28 00:00:00+00,6.88,7.45,6.61,7.3,5.8,117352,1645.96,282
2008-01-02 00:00:00+00,7.58,8.99,7.58,8.74,19.73,204374,3377.81,476
2008-01-03 00:00:00+00,8.7,8.7,8.2,8.49,-2.86,42519,711.59,163
2008-01-04 00:00:00+00,8.57,8.65,8,8.25,-2.83,46246,782.06,145
2008-01-07 00:00:00+00,7.93,8.89,7.93,8.89,7.76,113828,1884.1,275
2008-01-08 00:00:00+00,9.34,10.39,9.34,9.8,10.24,183460,3597.09,471
2008-01-09 00:00:00+00,9.46,9.46,8.62,8.85,-9.69,61100,1103.95,196
2008-01-10 00:00:00+00,8.9,9,8.02,8.45,-4.52,45520,776.99,173
2008-01-11 00:00:00+00,8.31,8.9,8.25,8.41,-0.47,37963,651.78,143
2008-01-14 00:00:00+00,8.1,8.7,8.1,8.68,3.21,48059,815.72,147
2008-01-15 00:00:00+00,8.3,8.66,7.25,7.25,-16.47,53135,844.72,228
2008-01-16 00:00:00+00,6.5,7.6,6.11,7.6,4.83,92504,1218.06,283
2008-01-17 00:00:00+00,7.6,8,7.07,7.94,4.47,47477,727.83,169
2008-01-18 00:00:00+00,7.7,8.2,7.35,8.18,3.02,39293,623.64,138
2008-01-21 00:00:00+00,7.45,8,7.45,8,-2.2,65014,1007.69,134
2008-01-22 00:00:00+00,7.2,7.84,7.2,7.7,-3.75,31428,477.89,98
2008-01-23 00:00:00+00,8.1,8.15,7.05,7.75,0.65,26151,397.55,114
2008-01-24 00:00:00+00,8.1,8.17,7.8,7.97,2.84,38541,615.73,144
2008-01-25 00:00:00+00,8.18,8.18,7.4,7.48,-6.15,71235,1091.27,222
2008-01-28 00:00:00+00,7.1,7.35,7.05,7.1,-5.08,17013,243.68,76
2008-01-29 00:00:00+00,7.44,7.44,7.12,7.32,3.1,5768,84.25,43
2008-01-30 00:00:00+00,7.2,7.38,7.13,7.28,-0.55,11477,167.37,52
2008-01-31 00:00:00+00,7.37,7.37,7.13,7.13,-2.06,7113,103.09,28
2008-02-01 00:00:00+00,7.38,7.38,7,7.2,0.98,9002,128.17,47
2008-02-04 00:00:00+00,7.41,7.64,7.32,7.36,2.22,11697,175.93,60
2008-02-05 00:00:00+00,7.35,7.36,7.11,7.21,-2.04,9586,138.69,50
2008-02-06 00:00:00+00,7.01,7.3,6.95,7.3,1.25,28136,399.32,114
2008-02-07 00:00:00+00,7.45,7.48,7,7.3,0,11387,165.36,66
2008-02-08 00:00:00+00,7.49,7.49,7.16,7.29,-0.14,5681,82.45,41
2008-02-11 00:00:00+00,7.28,7.9,7.28,7.74,6.17,29068,444.33,135
2008-02-12 00:00:00+00,7.9,7.95,7.53,7.75,0.13,19361,300.75,80
2008-02-13 00:00:00+00,7.6,7.7,7.43,7.6,-1.94,7127,107.74,41
2008-02-14 00:00:00+00,7.79,7.79,7.5,7.61,0.13,5977,91.87,29
2008-02-15 00:00:00+00,7.61,8,7.61,7.85,3.15,17843,278.15,83
2008-02-18 00:00:00+00,8.25,9.88,8.18,9.55,21.66,125603,2243.24,433
2008-02-19 00:00:00+00,9.95,10.2,9.55,9.6,0.52,102274,2016.61,452
2008-02-20 00:00:00+00,9.6,9.6,9.12,9.4,-2.08,39788,742.5,167
2008-02-21 00:00:00+00,9.46,10.17,8.92,9.7,3.19,98266,1905.5,309
2008-02-22 00:00:00+00,4.4,4.94,4.4,4.55,-6.19,105610,985.27,179
2008-02-25 00:00:00+00,4.55,4.7,4.35,4.35,-4.4,45135,406.53,112
2008-02-26 00:00:00+00,4.53,4.6,4.37,4.49,3.22,58543,530.19,127
2008-02-27 00:00:00+00,4.55,4.75,4.55,4.69,4.45,32186,300.97,98
2008-02-28 00:00:00+00,4.71,4.78,4.61,4.78,1.92,62392,589.3,129
2008-02-29 00:00:00+00,4.78,4.78,4.55,4.58,-4.18,48779,451.88,92
2008-03-03 00:00:00+00,4.47,4.49,4.15,4.49,-1.97,107376,923.25,163
