date,open,high,low,close,difference,volume,turnover,transactions
2009-05-26 00:00:00+00,6.8,6.8,5.87,5.87,17.4,519943,6372.27,886
2009-05-27 00:00:00+00,6.04,6.38,6,6.01,2.39,107315,1313.12,191
2009-05-28 00:00:00+00,6.28,6.28,5.78,5.8,-3.49,15951,186.03,34
2009-05-29 00:00:00+00,5.77,6.3,5.72,6.3,8.62,34477,415.48,100
2009-06-01 00:00:00+00,6.55,7.45,6.55,7,11.11,79982,1120.01,184
2009-06-02 00:00:00+00,7.3,7.45,6.8,6.95,-0.71,58795,835.66,141
2009-06-03 00:00:00+00,7.18,7.2,6.5,6.7,-3.6,200454,2630.75,101
2009-06-04 00:00:00+00,6.7,6.9,6.6,6.79,1.34,16996,228.39,41
2009-06-05 00:00:00+00,6.95,7,6.82,6.89,1.47,12138,167.27,28
2009-06-08 00:00:00+00,6.95,6.95,6.21,6.7,-2.76,10734,139.51,34
2009-06-09 00:00:00+00,6.6,6.8,6.6,6.67,-0.45,29965,399.36,43
2009-06-10 00:00:00+00,6.6,6.88,6.6,6.6,-1.05,9530,126.71,34
2009-06-12 00:00:00+00,6.7,6.7,6.4,6.65,0.76,5796,76.49,11
2009-06-15 00:00:00+00,6.59,6.59,6.25,6.48,-2.56,20672,260.94,49
2009-06-16 00:00:00+00,6.25,6.43,6.25,6.3,-2.78,33779,429,41
2009-06-17 00:00:00+00,6.28,6.5,6,6.3,0,12789,157.1,39
2009-06-18 00:00:00+00,6.08,6.31,6,6.31,0.16,9310,113.13,15
2009-06-19 00:00:00+00,6.47,6.47,6.15,6.4,1.43,2603,32.81,13
2009-06-22 00:00:00+00,6.4,6.4,6.01,6.02,-5.94,3644,44.85,15
2009-06-23 00:00:00+00,6.2,6.78,6.2,6.6,9.63,44288,570.45,78
2009-06-24 00:00:00+00,6.8,6.8,6.4,6.59,-0.15,8698,113.17,20
2009-06-25 00:00:00+00,6.6,6.6,6.24,6.24,-5.31,3664,47.36,12
2009-06-26 00:00:00+00,6.59,6.65,6.59,6.6,5.77,3593,47.62,7
