date,open,high,low,close,difference,volume,turnover,transactions
2011-10-11 00:00:00+00,2.28,2.28,1.77,1.88,-13.76,371428,693.89,197
2011-10-12 00:00:00+00,1.87,1.88,1.76,1.8,-4.26,146962,266.71,63
2011-10-13 00:00:00+00,1.81,1.85,1.7,1.77,-1.67,17963,31.23,29
2011-10-14 00:00:00+00,1.77,1.77,1.71,1.77,0,1491,2.58,4
2011-10-17 00:00:00+00,1.79,1.85,1.74,1.76,-0.56,15339,26.89,19
2011-10-18 00:00:00+00,1.78,1.78,1.65,1.65,-6.25,6110,10.2,15
2011-10-19 00:00:00+00,1.72,1.77,1.66,1.77,7.27,3679,6.33,14
2011-10-20 00:00:00+00,1.67,1.75,1.62,1.71,-3.39,6377,10.8,13
2011-10-21 00:00:00+00,1.76,1.8,1.67,1.8,5.26,18746,33.27,22
2011-10-24 00:00:00+00,1.8,1.8,1.79,1.79,-0.56,2765,4.97,4
2011-10-25 00:00:00+00,1.79,1.79,1.72,1.78,-0.56,10718,18.78,15
2011-10-26 00:00:00+00,1.78,1.78,1.68,1.75,-1.69,9275,15.77,21
2011-10-27 00:00:00+00,1.75,1.78,1.66,1.75,0,27322,46.79,31
2011-10-28 00:00:00+00,1.67,1.85,1.67,1.85,5.71,24976,44.36,35
2011-10-31 00:00:00+00,1.8,1.86,1.79,1.86,0.54,60191,108.64,25
2011-11-02 00:00:00+00,1.86,1.86,1.77,1.8,-3.23,5005,8.94,8
2011-11-03 00:00:00+00,1.84,1.84,1.73,1.83,1.67,3707,6.5,8
2011-11-04 00:00:00+00,1.82,1.83,1.67,1.83,0,14116,24.65,22
2011-11-07 00:00:00+00,1.83,1.83,1.81,1.83,0,5437,9.92,5
2011-11-08 00:00:00+00,1.82,1.83,1.8,1.83,0,13095,23.88,8
2011-11-09 00:00:00+00,1.73,1.83,1.73,1.83,0,14953,26.44,15
2011-11-10 00:00:00+00,1.71,1.81,1.7,1.81,-1.09,1818,3.16,6
2011-11-14 00:00:00+00,1.81,1.83,1.8,1.8,-0.55,2546,4.6,6
2011-11-15 00:00:00+00,1.84,1.84,1.7,1.82,1.11,16629,29.61,34
2011-11-16 00:00:00+00,1.81,1.84,1.77,1.84,1.1,10542,19.16,24
2011-11-17 00:00:00+00,1.83,1.88,1.83,1.85,0.54,44725,82.94,68
2011-11-18 00:00:00+00,1.88,1.99,1.85,1.96,5.95,60446,117.81,78
2011-11-21 00:00:00+00,1.92,1.92,1.78,1.85,-5.61,78172,141.75,77
