date,open,high,low,close,difference,volume,turnover,transactions
2007-02-05 00:00:00+00,35.9,35.9,35.02,35.5,1.43,6578,464.87,31
2007-02-06 00:00:00+00,35.51,39,35.2,36.8,3.66,237086,16725.05,94
2007-02-07 00:00:00+00,38.69,38.69,37.5,38.3,4.08,3325,254.42,43
2007-02-08 00:00:00+00,38.15,38.95,37,37.6,-1.83,14561,1109.36,68
2007-02-09 00:00:00+00,38,38.5,37.1,37.95,0.93,9535,721.9,40
2007-02-12 00:00:00+00,37.33,37.95,37.32,37.5,-1.19,15369,1151.33,35
2007-02-13 00:00:00+00,37.3,37.65,37,37.6,0.27,8738,653.8,31
2007-02-14 00:00:00+00,37.95,38.97,37.95,38.97,3.64,1068,81.4,10
2007-02-15 00:00:00+00,39.3,42,39.3,41.5,6.49,20737,1667.88,107
2007-02-16 00:00:00+00,41,47,41,43.45,4.7,14152,1253.17,126
2007-02-19 00:00:00+00,44.26,45.99,44.26,45.95,5.75,12919,1180.82,73
2007-02-20 00:00:00+00,46,46,44.3,46,0.11,5703,520.15,56
2007-02-21 00:00:00+00,45.2,45.99,45.2,45.94,-0.13,1184,107.74,22
2007-02-22 00:00:00+00,45.94,46.9,45.02,46.3,0.78,11435,1052.73,41
2007-02-23 00:00:00+00,46.15,46.3,46.15,46.3,0,5571,514.78,23
2007-02-26 00:00:00+00,46.99,47,46.6,46.6,0.65,2995,280.63,24
2007-02-27 00:00:00+00,46.3,46.6,42.7,42.7,-8.37,9951,901.05,47
2007-02-28 00:00:00+00,42.5,43,40,43,0.7,5277,444.75,43
2007-03-01 00:00:00+00,42.5,46,41.5,44,2.33,2933,259.43,33
2007-03-02 00:00:00+00,43.21,45,43,44.5,1.14,3180,279.48,26
2007-03-05 00:00:00+00,41,42.98,41,42.97,-3.44,5703,474.22,53
2007-03-06 00:00:00+00,42.97,42.97,42.2,42.5,-1.09,1674,142.83,17
2007-03-07 00:00:00+00,45.4,45.5,43,44.9,5.65,6230,557.72,39
2007-03-08 00:00:00+00,45.9,46,45.45,46,2.45,2352,215.41,33
2007-03-09 00:00:00+00,46.2,46.2,45,46,0,5678,521.16,36
2007-03-12 00:00:00+00,46,48,46,47.5,3.26,4936,461.37,47
2007-03-13 00:00:00+00,47.5,48.5,46.35,48,1.05,4285,411.53,42
2007-03-14 00:00:00+00,47.5,47.8,47,47.8,-0.42,5430,514.39,41
2007-03-15 00:00:00+00,48.99,52.8,48.99,50,4.6,6362,633.83,38
2007-03-16 00:00:00+00,49.9,49.9,49,49.51,-0.98,2942,289.46,26
2007-03-19 00:00:00+00,49.51,52,49.51,51.45,3.92,16169,1661.03,74
2007-03-20 00:00:00+00,51.8,51.8,50,50.9,-1.07,15045,1529.58,102
2007-03-21 00:00:00+00,50.9,51.6,50.5,50.5,-0.79,8634,881.68,37
2007-03-22 00:00:00+00,51.7,51.7,49.7,51,0.99,15723,1600.06,49
2007-03-23 00:00:00+00,52,53.4,51.9,53.4,4.71,4765,500.64,46
2007-03-26 00:00:00+00,55.35,56.3,54,56,4.87,10206,1130.1,78
2007-03-27 00:00:00+00,59,59.2,56.8,57.9,3.39,8395,978.09,80
2007-03-28 00:00:00+00,59,59,55.1,56.8,-1.9,5098,577.5,66
2007-03-29 00:00:00+00,58,58,55,56,-1.41,6217,698.34,47
2007-03-30 00:00:00+00,56,56,53.75,55.1,-1.61,3401,374.19,43
2007-04-02 00:00:00+00,53,54.9,53,54,-2,2955,319.25,19
2007-04-03 00:00:00+00,54,54,52,52.5,-2.78,3694,390.67,58
2007-04-04 00:00:00+00,51.65,52.65,51.5,51.9,-1.14,6531,679.29,49
2007-04-05 00:00:00+00,52,52.9,51,52,0.19,2882,299.82,31
2007-04-10 00:00:00+00,52,53.4,52,52.3,0.58,11303,1192.93,82
2007-04-11 00:00:00+00,52,52.05,50.7,52,-0.57,6791,705.68,44
2007-04-12 00:00:00+00,52,52,50.25,50.5,-2.88,3258,332.16,31
2007-04-13 00:00:00+00,51,51.45,51,51,0.99,2392,244.16,21
2007-04-16 00:00:00+00,51,52,51,51.3,0.59,3439,355.46,41
2007-04-17 00:00:00+00,53,53,48.03,50,-2.53,5178,521.49,39
