date,open,high,low,close,difference,volume,turnover,transactions
2007-10-23 00:00:00+00,73.3,77,67.5,75,17.19,12614,1890.94,226
2007-10-24 00:00:00+00,75,77,67.5,74.3,-0.93,5008,728.62,114
2007-10-25 00:00:00+00,71,72,64,65,-12.52,6366,860.95,138
2007-10-26 00:00:00+00,64.8,64.8,52.75,57.2,-12,72402,8182.74,1307
2007-10-29 00:00:00+00,60,63.5,57.5,57.6,0.7,27373,3295.74,465
2007-10-30 00:00:00+00,56.1,56.2,52.8,53.9,-6.42,21182,2294.2,336
2007-10-31 00:00:00+00,53,53.5,52,52.8,-2.04,3993,420.52,104
2007-11-02 00:00:00+00,52.1,56.8,51,53.1,0.57,8516,912.79,205
2007-11-05 00:00:00+00,53.1,55,52.25,53.7,1.13,3059,325.65,67
2007-11-06 00:00:00+00,53.9,54,52,53.1,-1.12,4463,466.67,86
2007-11-07 00:00:00+00,52,52.1,47.81,50,-5.84,2743,274.66,81
2007-11-08 00:00:00+00,47,51.5,45.52,51.5,3,4601,454.46,84
2007-11-09 00:00:00+00,53,53,46.71,50,-2.91,2152,216.75,63
2007-11-12 00:00:00+00,50,50,48.5,50,0,314,31.12,13
2007-11-13 00:00:00+00,51,51.7,47.62,49.9,-0.2,1274,126.37,35
2007-11-14 00:00:00+00,51.9,51.9,49.9,50.65,1.5,1064,107.15,25
2007-11-15 00:00:00+00,48.4,50.9,45.6,46.3,-8.59,2545,245.14,40
2007-11-16 00:00:00+00,42.3,45,41.5,43,-7.13,2832,240.59,55
2007-11-19 00:00:00+00,45.1,45.1,40.2,41,-4.65,840,70.45,30
2007-11-20 00:00:00+00,40,40,37.16,37.16,-9.37,1807,138.85,40
2007-11-21 00:00:00+00,37.1,39.4,35,37.99,2.23,3180,233.85,47
2007-11-22 00:00:00+00,39,39.45,36.43,39.45,3.84,5428,410.2,68
2007-11-23 00:00:00+00,39.75,39.75,37.03,37.25,-5.58,1942,145.14,50
2007-11-26 00:00:00+00,39.49,39.5,37,37.98,1.96,6668,513,67
2007-11-27 00:00:00+00,35.5,37,35.4,35.52,-6.48,1198,86.08,30
2007-11-28 00:00:00+00,37.98,39.59,35.1,39.2,10.36,3042,229.73,86
2007-11-29 00:00:00+00,41,53.8,40.8,53.8,37.24,12529,1162.07,206
2007-11-30 00:00:00+00,55.3,60.05,52,54.4,1.12,22258,2542.55,500
2007-12-03 00:00:00+00,54.4,55.4,50.65,53.85,-1.01,3305,352.04,98
2007-12-04 00:00:00+00,51.75,51.75,47.3,48.48,-9.97,8409,815.61,168
2007-12-05 00:00:00+00,48,53,46,51.8,6.85,6312,639.82,123
2007-12-06 00:00:00+00,50.8,55,48,49.8,-3.86,4198,411.43,59
2007-12-07 00:00:00+00,49.95,50,48,49.7,-0.2,2543,245.96,52
2007-12-10 00:00:00+00,49,51.75,47,47.5,-4.43,5703,552.85,94
2007-12-11 00:00:00+00,48.9,49.05,46.5,48.37,1.83,1792,170.21,45
2007-12-12 00:00:00+00,46.55,47.6,45.05,46.9,-3.04,3815,350.83,84
2007-12-13 00:00:00+00,45.2,46.8,45,46.29,-1.3,2851,258.62,67
2007-12-14 00:00:00+00,44.1,45.25,44.1,45.25,-2.25,973,87.72,26
