date,open,high,low,close,difference,volume,turnover,transactions
2011-02-16 00:00:00+00,7.2,7.45,7,7.45,3.04,1782,12.8,18
2011-02-17 00:00:00+00,7.32,7.44,7.2,7.23,-2.95,3218,23.3,17
2011-02-18 00:00:00+00,7.2,7.23,7.2,7.23,0,2937,21.18,11
2011-02-21 00:00:00+00,7.29,7.29,7.22,7.22,-0.14,712,5.18,6
2011-02-22 00:00:00+00,7.29,7.4,7.01,7.21,-0.14,2574,18.5,20
2011-02-23 00:00:00+00,7.3,7.4,7.25,7.25,0.55,19364,140.44,29
2011-02-24 00:00:00+00,7.29,7.29,7.15,7.25,0,15620,111.94,30
2011-02-25 00:00:00+00,7.25,7.28,7.2,7.25,0,6363,46.08,16
2011-02-28 00:00:00+00,7.3,7.55,7.29,7.37,1.66,8343,61.16,26
2011-03-01 00:00:00+00,7.3,7.5,7.3,7.45,1.09,1559,11.59,10
2011-03-02 00:00:00+00,7.4,7.55,7.4,7.45,0,990,7.42,10
2011-03-03 00:00:00+00,7.59,7.59,7.5,7.5,0.67,810,6.08,10
2011-03-04 00:00:00+00,7.5,7.5,7.42,7.5,0,1128,8.45,10
2011-03-07 00:00:00+00,7.55,7.6,7.42,7.6,1.33,7015,53.03,18
2011-03-08 00:00:00+00,7.65,7.68,7.6,7.68,1.05,2110,16.13,15
2011-03-09 00:00:00+00,7.68,7.68,7.6,7.65,-0.39,3146,24.03,12
2011-03-10 00:00:00+00,7.6,8.1,7.6,8.09,5.75,3670,28.69,26
2011-03-11 00:00:00+00,8.09,8.09,7.9,7.91,-2.22,542,4.31,15
2011-03-14 00:00:00+00,7.92,8.17,7.6,8,1.14,5459,43.39,37
2011-03-15 00:00:00+00,7.97,7.97,7.6,7.8,-2.5,3575,27.42,24
2011-03-16 00:00:00+00,7.89,7.89,7.6,7.79,-0.13,2960,22.65,20
2011-03-17 00:00:00+00,7.65,7.7,7.65,7.7,-1.16,890,6.82,11
2011-03-18 00:00:00+00,7.7,7.7,7.55,7.6,-1.3,911,6.91,10
2011-03-21 00:00:00+00,7.6,7.7,7.3,7.69,1.18,2825,21.27,21
2011-03-22 00:00:00+00,7.69,7.69,7.6,7.68,-0.13,845,6.46,18
2011-03-23 00:00:00+00,7.68,7.68,7.5,7.67,-0.13,824,6.21,10
2011-03-24 00:00:00+00,7.67,7.67,7.55,7.65,-0.26,1490,11.29,11
2011-03-25 00:00:00+00,7.68,7.68,7.55,7.68,0.39,2571,19.48,17
2011-03-28 00:00:00+00,7.69,7.69,7.55,7.6,-1.04,2828,21.41,16
2011-03-29 00:00:00+00,7.65,7.65,7.55,7.6,0,851,6.46,11
2011-03-30 00:00:00+00,7.69,7.69,7.55,7.61,0.13,5114,38.9,24
2011-03-31 00:00:00+00,7.69,7.69,7.56,7.6,-0.13,841,6.37,10
2011-04-01 00:00:00+00,7.6,7.6,7.57,7.58,-0.26,965,7.32,10
2011-04-04 00:00:00+00,7.54,7.9,7.54,7.8,2.9,168727,1285.46,55
2011-04-05 00:00:00+00,7.78,7.8,7.7,7.8,0,31975,249.19,21
2011-04-06 00:00:00+00,7.9,7.9,7.73,7.85,0.64,51472,405.54,14
2011-04-07 00:00:00+00,7.85,7.85,7.8,7.85,0,3838,30.08,23
2011-04-08 00:00:00+00,7.89,7.89,7.8,7.89,0.51,1400,10.98,11
2011-04-11 00:00:00+00,7.89,7.89,7.75,7.85,-0.51,830,6.51,14
2011-04-12 00:00:00+00,7.75,7.85,7.7,7.85,0,56366,437.5,34
2011-04-13 00:00:00+00,7.85,7.88,7.81,7.87,0.25,2862,22.41,13
2011-04-14 00:00:00+00,7.88,7.88,7.8,7.84,-0.38,380,2.98,10
2011-04-15 00:00:00+00,7.84,7.84,7.8,7.8,-0.51,100550,784.29,12
2011-04-18 00:00:00+00,7.75,7.79,7.6,7.7,-1.28,5466,42.07,36
2011-04-19 00:00:00+00,7.6,7.72,7.5,7.72,0.26,5314,40.31,16
2011-04-20 00:00:00+00,7.45,7.73,7.45,7.69,-0.39,15485,119.07,12
2011-04-21 00:00:00+00,7.7,7.7,7.59,7.59,-1.3,211809,1609.76,31
2011-04-26 00:00:00+00,7.69,7.69,7.47,7.48,-1.45,180970,1356.71,22
2011-04-27 00:00:00+00,7.49,7.49,7.4,7.4,-1.07,793,5.88,10
2011-04-28 00:00:00+00,7.47,7.48,7.21,7.28,-1.62,8144,59.6,33
2011-04-29 00:00:00+00,7.38,7.48,7.34,7.46,2.47,11444,84.94,32
2011-05-02 00:00:00+00,7.48,7.48,7.45,7.45,-0.13,210,1.57,10
2011-05-04 00:00:00+00,7.45,7.48,7.17,7.38,-0.94,3130,23.03,20
2011-05-05 00:00:00+00,7.45,7.48,7.4,7.45,0.95,17848,132.96,20
2011-05-06 00:00:00+00,7.48,7.48,7.3,7.45,0,49106,364.19,28
2011-05-09 00:00:00+00,7.45,7.45,7.3,7.4,-0.67,10204,74.71,15
2011-05-10 00:00:00+00,7.45,7.45,7.44,7.45,0.68,27830,207.33,22
2011-05-11 00:00:00+00,7.45,7.51,7.4,7.4,-0.67,1690,12.58,16
2011-05-12 00:00:00+00,7.4,7.4,7.3,7.4,0,3864,28.4,24
2011-05-13 00:00:00+00,7.46,7.8,7.46,7.55,2.03,103941,794.57,29
2011-05-16 00:00:00+00,7.5,7.56,7.45,7.56,0.13,2680,20.1,10
2011-05-17 00:00:00+00,7.56,7.6,7.55,7.6,0.53,440,3.33,11
2011-05-18 00:00:00+00,7.6,7.6,7.5,7.6,0,59112,449.24,38
2011-05-19 00:00:00+00,7.6,7.6,7.5,7.55,-0.66,26510,201.34,15
2011-05-20 00:00:00+00,7.55,7.56,7.53,7.53,-0.26,4701,35.49,12
2011-05-23 00:00:00+00,7.55,7.6,7.51,7.6,0.93,10430,79.11,16
2011-05-24 00:00:00+00,7.6,7.6,7.55,7.6,0,10415,79.14,18
2011-05-25 00:00:00+00,7.6,7.75,7.6,7.7,1.32,2484,18.98,13
2011-05-26 00:00:00+00,7.7,7.71,7.68,7.68,-0.26,620,4.77,10
2011-05-27 00:00:00+00,7.67,7.72,7.6,7.7,0.26,2880,22.09,20
2011-05-30 00:00:00+00,7.65,7.8,7.65,7.8,1.3,8675,67.49,37
2011-05-31 00:00:00+00,7.8,8.1,7.79,8,2.56,81796,646.08,51
2011-06-01 00:00:00+00,8.05,8.44,8.05,8.2,2.5,26318,218.08,78
2011-06-02 00:00:00+00,8.49,8.49,8.2,8.2,0,25190,207.53,37
2011-06-03 00:00:00+00,8.37,8.37,8,8.2,0,13225,107.99,34
2011-06-06 00:00:00+00,8.2,8.2,8.1,8.1,-1.22,3274,26.76,16
2011-06-07 00:00:00+00,7.95,8.07,7.95,8.05,-0.62,13730,110.23,36
2011-06-08 00:00:00+00,8.12,8.12,8.05,8.05,0,6110,49.19,20
2011-06-09 00:00:00+00,8.05,8.19,8.05,8.1,0.62,9989,80.69,27
2011-06-10 00:00:00+00,8.05,8.15,8.05,8.15,0.62,12430,100.29,7
2011-06-13 00:00:00+00,8.05,8.2,8.05,8.17,0.25,360,2.94,10
2011-06-14 00:00:00+00,8.17,8.17,8.07,8.07,-1.22,2560,20.77,20
2011-06-15 00:00:00+00,8.05,8.24,8.05,8.05,-0.25,292104,2351.57,36
2011-06-16 00:00:00+00,8.16,8.16,8.05,8.05,0,1492,12.05,10
2011-06-17 00:00:00+00,8.06,8.06,8.05,8.05,0,1190,9.58,10
2011-06-20 00:00:00+00,8.08,8.08,7.71,7.85,-2.48,1500,11.67,12
2011-06-21 00:00:00+00,7.99,7.99,7.77,7.9,0.64,1033,8.06,12
2011-06-22 00:00:00+00,7.77,7.8,7.77,7.8,-1.27,405,3.16,11
2011-06-24 00:00:00+00,7.8,7.8,7.18,7.74,-0.77,7656,58.52,24
2011-06-27 00:00:00+00,7.75,7.75,7.3,7.3,-5.68,74248,545.23,36
2011-06-28 00:00:00+00,7.31,7.31,7.1,7.16,-1.92,230225,1650.99,64
2011-06-29 00:00:00+00,7.16,7.5,7.16,7.5,4.75,30124,218.36,20
2011-06-30 00:00:00+00,7.55,7.7,7.55,7.7,2.67,27009,207.11,14
2011-07-01 00:00:00+00,7.75,7.75,7.43,7.73,0.39,5384,41.56,14
