date,open,high,low,close,difference,volume,turnover,transactions
2021-02-18 00:00:00+00,25.6,27.8,25.6,26.4,0,7140,193.38,54
2021-02-19 00:00:00+00,27.2,27.4,26.4,27.4,3.79,1668,44.67,20
2021-02-22 00:00:00+00,28,28.4,26.4,26.4,-3.65,4153,114.06,24
2021-02-23 00:00:00+00,26.8,26.8,25.2,25.6,-3.03,2617,67.77,16
2021-02-24 00:00:00+00,27.8,27.8,26,26.6,3.91,693,18.48,15
2021-02-25 00:00:00+00,26.4,27.2,26.4,26.6,0,2029,54.54,21
2021-02-26 00:00:00+00,25.8,26.6,24.6,26.6,0,1318,34.07,15
2021-03-01 00:00:00+00,26.2,26.6,26.2,26.2,-1.5,569,14.98,10
2021-03-02 00:00:00+00,26.8,26.8,25.8,26.6,1.53,162,4.27,9
2021-03-03 00:00:00+00,27,28,26.4,27.2,2.26,7453,204.05,41
2021-03-04 00:00:00+00,27.2,27.4,26.6,27.4,0.74,800,21.62,13
2021-03-05 00:00:00+00,27.4,27.4,27,27,-1.46,329,8.92,9
2021-03-08 00:00:00+00,27.8,27.8,26.2,27.6,2.22,653,17.46,10
2021-03-09 00:00:00+00,27,27,26.2,27,-2.17,16,0.43,3
2021-03-10 00:00:00+00,27,27,26.4,26.8,-0.74,314,8.32,13
2021-03-11 00:00:00+00,26.8,26.8,26,26.4,-1.49,1466,38.82,18
2021-03-12 00:00:00+00,27,28.8,26.6,27,2.27,3500,95.99,37
2021-03-15 00:00:00+00,27,27,26.2,27,0,1293,34.41,11
2021-03-16 00:00:00+00,26.6,27.4,26.6,27.4,1.48,612,16.42,15
2021-03-17 00:00:00+00,27.8,27.8,26,26.4,-3.65,1929,51.37,19
2021-03-18 00:00:00+00,27.2,27.2,26.8,27,2.27,206,5.56,5
2021-03-19 00:00:00+00,26.2,27.6,26.2,27,0,694,18.38,9
2021-03-22 00:00:00+00,27,27.6,26.6,27.6,2.22,1439,38.4,22
2021-03-23 00:00:00+00,28,28,26.6,27.6,0,616,16.86,15
2021-03-24 00:00:00+00,27.6,27.6,26.4,27,-2.17,299,7.96,8
2021-03-25 00:00:00+00,27,27,26,27,0,399,10.62,5
2021-03-26 00:00:00+00,27.6,27.8,27,27.8,2.96,620,16.94,11
2021-03-29 00:00:00+00,27.8,27.8,27,27.2,-2.16,978,26.75,14
2021-03-30 00:00:00+00,27.6,27.6,26.6,26.6,-2.21,157,4.24,5
2021-03-31 00:00:00+00,26.8,26.8,26.2,26.2,-1.5,918,24.23,13
2021-04-01 00:00:00+00,26.2,27.1,26.2,26.5,1.15,620,16.52,12
2021-04-06 00:00:00+00,26.2,26.7,26.2,26.2,-1.13,535,14.06,14
2021-04-07 00:00:00+00,26.5,28.6,26.5,27.4,4.58,14519,406,30
2021-04-08 00:00:00+00,28,28.5,27.3,27.5,0.37,1567,43.4,17
2021-04-09 00:00:00+00,27.5,27.5,27,27,-1.82,175,4.79,7
2021-04-12 00:00:00+00,27,27.5,26.7,27.3,1.11,1068,28.95,19
2021-04-13 00:00:00+00,27.3,27.5,27.3,27.5,0.73,588,16.14,8
