date,open,high,low,close,difference,volume,turnover,transactions
2008-06-06 00:00:00+00,23.75,23.75,22.5,22.5,-5.26,134,6.03,3
2008-06-09 00:00:00+00,22.6,23.4,22.6,23.4,4,101,4.57,2
2008-06-10 00:00:00+00,23.4,23.4,22.6,23,-1.71,423,19.12,7
2008-06-11 00:00:00+00,22,22.4,21.2,22,-4.35,1837,80.66,17
2008-06-12 00:00:00+00,22.5,23.8,22.5,22.6,2.73,462,21.34,9
2008-06-13 00:00:00+00,22.99,22.99,22.99,22.99,1.73,1,0.05,1
2008-06-16 00:00:00+00,22.99,22.99,22.99,22.99,0,2,0.09,1
2008-06-17 00:00:00+00,22.99,22.99,22.99,22.99,0,2,0.09,1
2008-06-18 00:00:00+00,22.99,22.99,21,22.98,-0.04,3001,128.36,21
2008-06-19 00:00:00+00,21.01,22.98,21.01,22.98,0,712,31.07,13
2008-06-20 00:00:00+00,22.98,22.98,22.98,22.98,0,2,0.09,1
2008-06-23 00:00:00+00,22.97,22.97,22.97,22.97,-0.04,1,0.05,1
2008-06-24 00:00:00+00,22.95,22.95,21.2,22,-4.22,89,3.78,4
2008-06-25 00:00:00+00,22.5,22.5,22.5,22.5,2.27,10,0.45,1
2008-06-26 00:00:00+00,22.5,22.5,22.5,22.5,0,1,0.05,1
2008-06-27 00:00:00+00,22,22.5,21,22.5,0,290,12.28,8
2008-06-30 00:00:00+00,22.5,22.5,20.4,20.7,-8,1611,66.98,21
2008-07-01 00:00:00+00,21.4,21.4,20.2,21.3,2.9,42,1.7,4
2008-07-02 00:00:00+00,0,0,0,21.3,0,0,0,0
2008-07-03 00:00:00+00,0,0,0,21.3,0,0,0,0
2008-07-04 00:00:00+00,20.3,20.7,20,20.7,-2.82,211,8.48,5
2008-07-07 00:00:00+00,0,0,0,20.7,0,0,0,0
2008-07-08 00:00:00+00,20,20,18.82,19.95,-3.62,471,18.36,10
2008-07-09 00:00:00+00,19.85,19.85,19,19.85,-0.5,101,3.88,4
2008-07-10 00:00:00+00,19.95,19.95,19.9,19.9,0.25,162,6.45,4
2008-07-11 00:00:00+00,20.45,20.45,20.45,20.45,2.76,1,0.04,1
2008-07-14 00:00:00+00,20.45,20.45,20.45,20.45,0,1,0.04,1
2008-07-15 00:00:00+00,18.82,20.99,18.82,20.99,2.64,70,2.64,2
2008-07-16 00:00:00+00,20.99,20.99,18.85,19.9,-5.19,293,11.05,8
2008-07-17 00:00:00+00,19.9,19.9,17.9,19.67,-1.16,643,24.45,15
2008-07-18 00:00:00+00,0,0,0,19.67,0,0,0,0
2008-07-21 00:00:00+00,19.3,19.3,19.3,19.3,-1.88,1,0.04,1
2008-07-22 00:00:00+00,19.5,19.5,19.5,19.5,1.04,1,0.04,1
2008-07-23 00:00:00+00,19.49,19.49,19.49,19.49,-0.05,1,0.04,1
2008-07-24 00:00:00+00,19.48,19.48,19.48,19.48,-0.05,10,0.39,1
2008-07-25 00:00:00+00,19.45,19.45,19.45,19.45,-0.15,1,0.04,1
2008-07-28 00:00:00+00,19.42,19.42,17.8,18.98,-2.42,773,28.43,15
2008-07-29 00:00:00+00,0,0,0,18.98,0,0,0,0
2008-07-30 00:00:00+00,18.89,19.3,17.15,19.3,1.69,1555,58.78,12
2008-07-31 00:00:00+00,19.4,19.4,19.39,19.39,0.47,20,0.78,2
2008-08-01 00:00:00+00,19.4,19.4,19.4,19.4,0.05,1,0.04,1
2008-08-04 00:00:00+00,19.4,19.4,19.35,19.35,-0.26,69,2.67,3
2008-08-05 00:00:00+00,19.18,19.18,17.5,18.99,-1.86,136,4.84,5
2008-08-06 00:00:00+00,18.99,18.99,18,18.98,-0.05,142,5.13,6
2008-08-07 00:00:00+00,19.18,19.18,19.1,19.1,0.63,7,0.27,2
2008-08-08 00:00:00+00,19.09,19.09,19.09,19.09,-0.05,1,0.04,1
2008-08-11 00:00:00+00,19.17,19.17,19.17,19.17,0.42,1,0.04,1
2008-08-12 00:00:00+00,19.15,19.15,19.15,19.15,-0.1,1,0.04,1
2008-08-13 00:00:00+00,19.14,19.14,19.14,19.14,-0.05,1,0.04,1
2008-08-14 00:00:00+00,19.15,19.15,19.15,19.15,0.05,1,0.04,1
2008-08-18 00:00:00+00,19.13,19.13,19.13,19.13,-0.1,1,0.04,1
2008-08-19 00:00:00+00,19.14,19.14,19.14,19.14,0.05,1,0.04,1
2008-08-20 00:00:00+00,19.13,19.13,19.13,19.13,-0.05,10,0.38,1
2008-08-21 00:00:00+00,19.11,19.14,19.09,19.14,0.05,322,12.31,6
2008-08-22 00:00:00+00,19.08,19.08,19.08,19.08,-0.31,1,0.04,1
2008-08-25 00:00:00+00,19.08,19.08,19.08,19.08,0,1,0.04,1
2008-08-26 00:00:00+00,18.11,19.08,18.11,19.08,0,411,15.66,12
2008-08-27 00:00:00+00,19.08,19.08,19.08,19.08,0,1,0.04,1
2008-08-28 00:00:00+00,19.08,19.08,19.08,19.08,0,1,0.04,1
2008-08-29 00:00:00+00,19.08,19.08,19.08,19.08,0,1,0.04,1
2008-09-01 00:00:00+00,19,19,19,19,-0.42,1,0.04,1
2008-09-02 00:00:00+00,18.98,18.98,18.98,18.98,-0.11,1,0.04,1
2008-09-03 00:00:00+00,18.99,18.99,18.99,18.99,0.05,1,0.04,1
2008-09-04 00:00:00+00,18.99,18.99,18.99,18.99,0,1,0.04,1
2008-09-05 00:00:00+00,18.99,18.99,18.99,18.99,0,51,1.94,2
2008-09-08 00:00:00+00,18.99,18.99,18.99,18.99,0,1,0.04,1
2008-09-09 00:00:00+00,18.99,18.99,18.99,18.99,0,1,0.04,1
2008-09-10 00:00:00+00,18.9,18.9,18.9,18.9,-0.47,1,0.04,1
2008-09-11 00:00:00+00,18.88,18.88,18.88,18.88,-0.11,1,0.04,1
2008-09-12 00:00:00+00,18.88,18.88,18.88,18.88,0,1,0.04,1
2008-09-15 00:00:00+00,18.85,18.85,18.85,18.85,-0.16,1,0.04,1
2008-09-16 00:00:00+00,18.84,18.84,16,17.79,-5.62,893,30.47,21
2008-09-17 00:00:00+00,17.79,17.79,17.79,17.79,0,1,0.04,1
2008-09-18 00:00:00+00,17.77,17.77,17.72,17.73,-0.34,80,2.84,3
