date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,34.5,35.2,33.5,34,1.19,196,13.42,8
2005-01-04 00:00:00+00,33.6,33.9,33.2,33.9,-0.29,732,49.23,11
2005-01-05 00:00:00+00,33.9,33.9,33,33.4,-1.47,1787,119.29,16
2005-01-06 00:00:00+00,33.4,33.6,32.7,33.1,-0.9,587,38.88,12
2005-01-07 00:00:00+00,33.6,33.6,32.3,33,-0.3,2241,147.92,14
2005-01-10 00:00:00+00,33,33,32.5,33,0,265,17.42,7
2005-01-11 00:00:00+00,32.1,32.8,32.1,32.8,-0.61,38,2.45,4
2005-01-12 00:00:00+00,31.2,33,31,32,-2.44,2013,127.11,17
2005-01-13 00:00:00+00,33,33,33,33,3.13,2,0.13,1
2005-01-14 00:00:00+00,32.5,32.9,32,32.9,-0.3,196,12.83,4
2005-01-17 00:00:00+00,33,33,31.2,32.5,-1.22,179,11.35,7
2005-01-18 00:00:00+00,32.5,32.5,30.8,30.8,-5.23,2032,127.82,19
2005-01-19 00:00:00+00,31.7,31.9,31,31.3,1.62,982,61.58,20
2005-01-20 00:00:00+00,31.3,31.3,30,31.3,0,1470,89.78,16
2005-01-21 00:00:00+00,30.3,31.3,30.3,31.3,0,21,1.27,2
2005-01-24 00:00:00+00,31.2,33.6,31.2,32,2.24,1147,73.18,11
2005-01-25 00:00:00+00,32.1,32.1,32,32.1,0.31,3279,210.01,10
2005-01-26 00:00:00+00,33.3,33.3,32.1,32.1,0,50,3.22,3
2005-01-27 00:00:00+00,31.1,32.8,31.1,32.8,2.18,60,3.83,3
2005-01-28 00:00:00+00,32.1,33,31.9,33,0.61,555,35.64,7
2005-01-31 00:00:00+00,32.9,32.9,30.7,32.8,-0.61,700,45.03,16
2005-02-01 00:00:00+00,32.5,32.8,31,32.7,-0.3,352,22.94,10
2005-02-02 00:00:00+00,31.9,32.9,31.8,31.9,-2.45,503,32.21,9
2005-02-03 00:00:00+00,32,35,32,34.9,9.4,13320,896.85,136
2005-02-04 00:00:00+00,35.4,37.8,35.3,36,3.15,10170,743.6,132
2005-02-07 00:00:00+00,37.6,37.6,36,37.5,4.17,5274,389.96,62
2005-02-08 00:00:00+00,37.3,37.4,36,36.2,-3.47,3133,229.1,44
2005-02-09 00:00:00+00,36.2,36.2,34.7,35.6,-1.66,1241,88.23,27
2005-02-10 00:00:00+00,35.5,36.1,35.5,36.1,1.4,600,42.64,10
2005-02-11 00:00:00+00,36,36,34.5,34.5,-4.43,356,25.12,7
2005-02-14 00:00:00+00,31,32,28,31.4,-8.99,15505,952.12,167
2005-02-15 00:00:00+00,31.7,31.7,30.5,30.5,-2.87,3355,209.23,39
2005-02-16 00:00:00+00,30.5,30.5,28.5,29.5,-3.28,4734,283.42,48
2005-02-17 00:00:00+00,29.5,29.5,28.7,29.1,-1.36,4304,251.3,44
