date,open,high,low,close,difference,volume,turnover,transactions
2014-11-24 00:00:00+00,1.6,1.67,1.6,1.62,1.25,528160,867.36,197
2014-11-25 00:00:00+00,1.63,1.65,1.6,1.6,-1.23,408338,663.53,152
2014-11-26 00:00:00+00,1.6,1.64,1.59,1.64,2.5,200487,325.34,109
2014-11-27 00:00:00+00,1.64,1.64,1.62,1.63,-0.61,79103,128.41,64
2014-11-28 00:00:00+00,1.63,1.64,1.61,1.64,0.61,127884,208.56,65
2014-12-01 00:00:00+00,1.63,1.64,1.58,1.58,-3.66,205341,328.48,112
2014-12-02 00:00:00+00,1.58,1.61,1.58,1.61,1.9,142889,228.14,77
2014-12-03 00:00:00+00,1.61,1.78,1.59,1.75,8.7,5097403,8482.34,874
2014-12-04 00:00:00+00,1.75,1.82,1.73,1.75,0,657419,1167.77,384
2014-12-05 00:00:00+00,1.75,1.87,1.75,1.84,5.14,592751,1086.02,331
2014-12-08 00:00:00+00,1.86,1.88,1.81,1.82,-1.09,1541486,2856.71,392
2014-12-09 00:00:00+00,1.83,1.83,1.76,1.77,-2.75,232319,415.15,191
2014-12-10 00:00:00+00,1.76,1.77,1.73,1.74,-1.69,149930,262.09,99
2014-12-11 00:00:00+00,1.74,1.77,1.7,1.73,-0.57,300306,518.33,190
2014-12-12 00:00:00+00,1.72,1.77,1.72,1.74,0.58,1744471,3051.63,112
2014-12-15 00:00:00+00,1.74,1.74,1.66,1.67,-4.02,322849,543.98,175
2014-12-16 00:00:00+00,1.66,1.67,1.55,1.6,-4.19,509923,814.76,336
2014-12-17 00:00:00+00,1.61,1.64,1.56,1.64,2.5,307878,495.74,145
2014-12-18 00:00:00+00,1.64,1.66,1.58,1.58,-3.66,230766,375.14,152
2014-12-19 00:00:00+00,1.59,1.6,1.51,1.51,-4.43,262188,406.23,195
2014-12-22 00:00:00+00,1.51,1.55,1.48,1.5,-0.66,543535,825.46,264
2014-12-23 00:00:00+00,1.5,1.53,1.48,1.5,0,272067,406.7,178
2014-12-29 00:00:00+00,1.5,1.54,1.36,1.39,-7.33,516716,740.51,333
2014-12-30 00:00:00+00,1.38,1.38,1.27,1.31,-5.76,1088044,1439.65,437
2015-01-02 00:00:00+00,1.33,1.38,1.32,1.33,1.53,574883,776.39,248
2015-01-05 00:00:00+00,1.33,1.38,1.31,1.35,1.5,179680,242.91,101
2015-01-07 00:00:00+00,1.36,1.4,1.35,1.39,2.96,594476,815.49,235
2015-01-08 00:00:00+00,1.4,1.46,1.4,1.43,2.88,627238,895.83,322
2015-01-09 00:00:00+00,1.45,1.45,1.39,1.39,-2.8,207963,293.48,136
2015-01-12 00:00:00+00,1.38,1.39,1.36,1.36,-2.16,192927,264.38,119
2015-01-13 00:00:00+00,1.35,1.41,1.33,1.38,1.47,290161,394.13,140
2015-01-14 00:00:00+00,1.37,1.38,1.34,1.34,-2.9,176532,238.54,110
2015-01-15 00:00:00+00,1.35,1.37,1.32,1.32,-1.49,179708,240.36,127
2015-01-16 00:00:00+00,1.34,1.34,1.28,1.29,-2.27,161933,210.4,137
2015-01-19 00:00:00+00,1.28,1.3,1.21,1.21,-6.2,465776,580,253
2015-01-20 00:00:00+00,1.21,1.24,1.14,1.17,-3.31,545819,652.26,319
2015-01-21 00:00:00+00,1.14,1.25,1.14,1.22,4.27,368872,444.17,201
2015-01-22 00:00:00+00,1.25,1.25,1.22,1.22,0,188228,232.42,101
2015-01-23 00:00:00+00,1.24,1.27,1.2,1.21,-0.82,195414,241.15,143
2015-01-26 00:00:00+00,1.21,1.22,1.2,1.21,0,66632,80.55,51
2015-01-27 00:00:00+00,1.2,1.21,1.14,1.15,-4.96,480916,565.92,259
2015-01-28 00:00:00+00,1.16,1.19,1.15,1.17,1.74,341375,402.1,138
2015-01-29 00:00:00+00,1.18,1.26,1.18,1.26,7.69,1157678,1416.99,421
2015-01-30 00:00:00+00,1.27,1.33,1.23,1.29,2.38,734628,947.15,325
2015-02-02 00:00:00+00,1.3,1.3,1.25,1.25,-3.1,204282,257.96,124
2015-02-03 00:00:00+00,1.25,1.27,1.23,1.24,-0.8,164566,205.92,107
2015-02-04 00:00:00+00,1.25,1.27,1.2,1.22,-1.61,729646,900.92,254
2015-02-05 00:00:00+00,1.2,1.22,1.19,1.21,-0.82,113505,136.64,73
2015-02-06 00:00:00+00,1.21,1.23,1.19,1.22,0.83,115370,139.16,70
2015-02-09 00:00:00+00,1.22,1.23,1.2,1.22,0,76060,92.46,54
2015-02-10 00:00:00+00,1.22,1.24,1.21,1.21,-0.82,137772,168.2,86
2015-02-11 00:00:00+00,1.21,1.22,1.19,1.2,-0.83,133289,160.57,92
2015-02-12 00:00:00+00,1.19,1.26,1.19,1.23,2.5,388710,483.47,181
2015-02-13 00:00:00+00,1.25,1.29,1.25,1.28,4.07,447257,567.72,180
2015-02-16 00:00:00+00,1.28,1.33,1.26,1.32,3.13,353984,460.39,151
2015-02-17 00:00:00+00,1.33,1.33,1.3,1.3,-1.52,164671,215.58,77
2015-02-18 00:00:00+00,1.31,1.32,1.29,1.29,-0.77,186472,243.31,88
2015-02-19 00:00:00+00,1.29,1.3,1.27,1.3,0.78,121657,156.16,66
2015-02-20 00:00:00+00,1.29,1.31,1.27,1.31,0.77,118275,152.57,78
2015-02-23 00:00:00+00,1.32,1.42,1.32,1.4,6.87,706121,973.9,389
2015-02-24 00:00:00+00,1.4,1.44,1.38,1.43,2.14,507048,715.89,227
2015-02-25 00:00:00+00,1.44,1.51,1.39,1.51,5.59,772286,1126.18,335
2015-02-26 00:00:00+00,1.49,1.51,1.42,1.42,-5.96,813635,1191.99,346
2015-02-27 00:00:00+00,1.41,1.42,1.33,1.41,-0.7,509273,702.31,318
2015-03-02 00:00:00+00,1.5,1.53,1.48,1.5,6.38,977765,1467.4,429
2015-03-03 00:00:00+00,1.5,1.5,1.46,1.46,-2.67,321676,476,151
2015-03-04 00:00:00+00,1.46,1.52,1.43,1.52,4.11,427392,640.6,211
2015-03-05 00:00:00+00,1.52,1.61,1.51,1.59,4.61,833249,1315.32,447
2015-03-06 00:00:00+00,1.59,1.6,1.56,1.58,-0.63,220139,348.42,131
2015-03-09 00:00:00+00,1.56,1.58,1.55,1.55,-1.9,151199,235.78,82
2015-03-10 00:00:00+00,1.55,1.56,1.52,1.53,-1.29,235151,361.51,118
2015-03-11 00:00:00+00,1.52,1.56,1.52,1.56,1.96,114397,176.89,75
2015-03-12 00:00:00+00,1.57,1.57,1.54,1.55,-0.64,108517,168.16,69
2015-03-13 00:00:00+00,1.57,1.57,1.46,1.48,-4.52,532998,795.89,241
2015-03-16 00:00:00+00,1.48,1.54,1.44,1.48,0,194424,289.17,146
2015-03-17 00:00:00+00,1.51,1.54,1.48,1.53,3.38,134781,204.37,85
2015-03-18 00:00:00+00,1.54,1.59,1.5,1.55,1.31,599605,936.44,212
2015-03-19 00:00:00+00,1.54,1.57,1.52,1.53,-1.29,204511,314.24,126
2015-03-20 00:00:00+00,1.54,1.56,1.51,1.56,1.96,131492,201.86,115
2015-03-23 00:00:00+00,1.45,1.48,1.34,1.47,-5.77,847688,1220.7,502
2015-03-24 00:00:00+00,1.44,1.46,1.34,1.35,-8.16,357215,500.8,250
2015-03-25 00:00:00+00,1.35,1.37,1.21,1.24,-8.15,1286123,1641.04,590
2015-03-26 00:00:00+00,1.22,1.27,1.22,1.24,0,251573,313.57,159
2015-03-27 00:00:00+00,1.26,1.3,1.24,1.28,3.23,213636,273.3,140
2015-03-30 00:00:00+00,1.31,1.34,1.3,1.33,3.91,198017,262.91,127
2015-03-31 00:00:00+00,1.34,1.35,1.32,1.33,0,88676,118.72,78
2015-04-01 00:00:00+00,1.32,1.34,1.32,1.33,0,89652,119.27,93
2015-04-02 00:00:00+00,1.33,1.36,1.33,1.35,1.5,282473,380.37,173
2015-04-07 00:00:00+00,1.35,1.35,1.3,1.32,-2.22,149605,197.44,130
2015-04-08 00:00:00+00,1.3,1.31,1.29,1.3,-1.52,169034,218.9,119
2015-04-09 00:00:00+00,1.3,1.31,1.27,1.3,0,117304,151.77,113
2015-04-10 00:00:00+00,1.32,1.38,1.32,1.34,3.08,625658,845.35,273
2015-04-13 00:00:00+00,1.34,1.34,1.29,1.3,-2.99,354846,463.96,170
2015-04-14 00:00:00+00,1.31,1.33,1.3,1.32,1.54,119152,155.93,97
2015-04-15 00:00:00+00,1.31,1.34,1.3,1.32,0,199462,263.52,93
2015-04-16 00:00:00+00,1.32,1.37,1.32,1.37,3.79,316417,426.03,150
2015-04-17 00:00:00+00,1.37,1.43,1.35,1.37,0,487453,676.3,273
2015-04-20 00:00:00+00,1.39,1.42,1.39,1.39,1.46,252094,352.7,192
2015-04-21 00:00:00+00,1.4,1.42,1.37,1.39,0,187030,260.84,116
2015-04-22 00:00:00+00,1.38,1.38,1.33,1.33,-4.32,252868,340.76,157
2015-04-23 00:00:00+00,1.34,1.38,1.34,1.36,2.26,170258,230.87,126
2015-04-24 00:00:00+00,1.38,1.38,1.32,1.32,-2.94,204902,272.92,107
2015-04-27 00:00:00+00,1.32,1.33,1.29,1.3,-1.52,330645,432.36,160
2015-04-28 00:00:00+00,1.3,1.3,1.27,1.28,-1.54,296706,381.25,118
2015-04-29 00:00:00+00,1.3,1.3,1.25,1.26,-1.56,273754,347.33,130
2015-04-30 00:00:00+00,1.25,1.27,1.23,1.26,0,311244,387,151
2015-05-04 00:00:00+00,1.27,1.35,1.26,1.34,6.35,924574,1208.86,213
2015-05-05 00:00:00+00,1.33,1.36,1.32,1.32,-1.49,242548,325.24,120
2015-05-06 00:00:00+00,1.33,1.4,1.31,1.36,3.03,562966,764.9,237
2015-05-07 00:00:00+00,1.42,1.44,1.37,1.41,3.68,757897,1065.21,407
2015-05-08 00:00:00+00,1.42,1.48,1.42,1.48,4.96,1063795,1554.85,373
2015-05-11 00:00:00+00,1.47,1.47,1.35,1.36,-8.11,1445576,2044.34,493
2015-05-12 00:00:00+00,1.34,1.35,1.27,1.31,-3.68,1662558,2170.44,591
2015-05-13 00:00:00+00,1.31,1.33,1.26,1.3,-0.76,1181990,1528.84,306
2015-05-14 00:00:00+00,1.3,1.3,1.27,1.28,-1.54,361671,464.85,172
2015-05-15 00:00:00+00,1.28,1.32,1.27,1.3,1.56,694203,895.23,218
2015-05-18 00:00:00+00,1.31,1.33,1.27,1.29,-0.77,218072,283.54,102
2015-05-19 00:00:00+00,1.29,1.29,1.26,1.27,-1.55,202274,257.43,96
2015-05-20 00:00:00+00,1.27,1.27,1.21,1.24,-2.36,568256,704.26,241
2015-05-21 00:00:00+00,1.25,1.27,1.2,1.22,-1.61,872840,1064.54,323
2015-05-22 00:00:00+00,1.21,1.25,1.21,1.24,1.64,180210,220.57,105
2015-05-25 00:00:00+00,1.27,1.27,1.23,1.24,0,231091,289.24,113
2015-05-26 00:00:00+00,1.24,1.26,1.22,1.23,-0.81,128191,158.95,76
2015-05-27 00:00:00+00,1.23,1.24,1.21,1.24,0.81,173436,212.66,81
2015-05-28 00:00:00+00,1.25,1.29,1.25,1.26,1.61,239713,304.63,140
2015-05-29 00:00:00+00,1.27,1.27,1.25,1.26,0,76627,96.66,47
2015-06-01 00:00:00+00,1.25,1.25,1.21,1.24,-1.59,213798,261.94,102
2015-06-02 00:00:00+00,1.22,1.24,1.22,1.22,-1.61,73551,90.18,47
2015-06-03 00:00:00+00,1.23,1.27,1.23,1.27,4.1,374143,470.06,153
2015-06-05 00:00:00+00,1.28,1.29,1.25,1.28,0.79,173582,220.44,105
2015-06-08 00:00:00+00,1.29,1.33,1.28,1.31,2.34,354776,464.77,172
2015-06-09 00:00:00+00,1.31,1.31,1.27,1.27,-3.05,111948,143.76,74
2015-06-10 00:00:00+00,1.27,1.29,1.27,1.29,1.57,128733,164.62,58
2015-06-11 00:00:00+00,1.29,1.29,1.27,1.27,-1.55,157941,202.12,47
2015-06-12 00:00:00+00,1.28,1.29,1.25,1.27,0,73217,92.66,44
2015-06-15 00:00:00+00,1.25,1.27,1.22,1.23,-3.15,136904,169.17,73
2015-06-16 00:00:00+00,1.23,1.23,1.16,1.17,-4.88,546170,650.25,247
2015-06-17 00:00:00+00,1.16,1.19,1.15,1.15,-1.71,208229,243.23,107
2015-06-18 00:00:00+00,1.16,1.19,1.14,1.17,1.74,211899,246.32,118
2015-06-19 00:00:00+00,1.17,1.17,1.16,1.16,-0.85,48574,56.76,24
2015-06-22 00:00:00+00,1.17,1.21,1.17,1.19,2.59,90513,108.26,62
2015-06-23 00:00:00+00,1.21,1.21,1.2,1.2,0.84,29411,35.33,25
2015-06-24 00:00:00+00,1.2,1.2,1.16,1.17,-2.5,117247,137.24,76
2015-06-25 00:00:00+00,1.17,1.18,1.16,1.17,0,41420,48.31,34
2015-06-26 00:00:00+00,1.16,1.18,1.11,1.14,-2.56,127742,146.04,90
2015-06-29 00:00:00+00,1.1,1.1,1.03,1.04,-8.77,277241,295.25,190
2015-06-30 00:00:00+00,1.04,1.05,1,1.04,0,395891,405.81,180
2015-07-01 00:00:00+00,1.03,1.08,1.03,1.07,2.88,91418,96.82,55
2015-07-02 00:00:00+00,1.07,1.07,1.04,1.06,-0.93,120634,126.52,80
2015-07-03 00:00:00+00,1.06,1.06,1.03,1.04,-1.89,120994,126.15,54
2015-07-06 00:00:00+00,1.01,1.04,1.01,1.04,0,179199,182.15,86
2015-07-07 00:00:00+00,1.04,1.04,1.01,1.03,-0.96,104969,107.65,78
2015-07-08 00:00:00+00,1.03,1.04,0.96,0.96,-6.8,251073,246.83,140
2015-07-09 00:00:00+00,0.96,0.99,0.96,0.98,2.08,132495,128.39,84
2015-07-10 00:00:00+00,0.98,1.02,0.98,0.99,1.02,224840,225.05,136
2015-07-13 00:00:00+00,1.01,1.02,1,1.02,3.03,190208,193.31,123
2015-07-14 00:00:00+00,1.02,1.05,1.01,1.05,2.94,129451,133.5,72
2015-07-15 00:00:00+00,1.05,1.09,1.05,1.07,1.9,160676,171.49,123
2015-07-16 00:00:00+00,1.09,1.11,1.08,1.09,1.87,151724,166.24,70
2015-07-17 00:00:00+00,1.1,1.1,1.06,1.07,-1.83,67340,72.24,68
2015-07-20 00:00:00+00,1.09,1.09,1.05,1.05,-1.87,43374,46.15,34
2015-07-21 00:00:00+00,1.07,1.07,1.02,1.02,-2.86,168244,174.64,81
2015-07-22 00:00:00+00,1.01,1.02,0.99,0.99,-2.94,125387,125.79,71
2015-07-23 00:00:00+00,1,1.03,0.98,1.03,4.04,36482,36.91,46
2015-07-24 00:00:00+00,1.04,1.05,1,1,-2.91,63541,64.37,49
2015-07-27 00:00:00+00,1.02,1.02,0.98,1,0,51698,51.29,48
2015-07-28 00:00:00+00,1,1.01,0.98,1.01,1,54559,54.18,31
2015-07-29 00:00:00+00,0.99,1.02,0.99,1,-0.99,54988,54.94,49
