date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,31.4,31.9,31.2,31.4,0.32,441922,27902.22,607
2005-01-04 00:00:00+00,31.3,31.4,30.8,30.9,-1.59,951371,58978.66,582
2005-01-05 00:00:00+00,29.7,29.7,29,29.3,-5.18,1969184,115188.54,2066
2005-01-06 00:00:00+00,29,29,28,28.5,-2.73,1261597,71767.88,1392
2005-01-07 00:00:00+00,28.5,29.3,27.9,28.9,1.4,684850,39041.49,1051
2005-01-10 00:00:00+00,29.2,29.2,27.6,28.2,-2.42,691749,39141.82,850
2005-01-11 00:00:00+00,28.3,28.6,28,28,-0.71,655343,37086.18,681
2005-01-12 00:00:00+00,28.2,28.5,28,28.4,1.43,649128,36777.14,438
2005-01-13 00:00:00+00,28.9,29.1,28.8,29,2.11,1014933,58745.8,686
2005-01-14 00:00:00+00,28.9,29,28.3,28.7,-1.03,429384,24484.89,440
2005-01-17 00:00:00+00,28.9,28.9,28.5,28.7,0,275537,15803.78,338
2005-01-18 00:00:00+00,28.6,29,28.1,28.3,-1.39,589927,33835.72,497
2005-01-19 00:00:00+00,28.4,28.4,27.8,27.8,-1.77,588629,32986.72,617
2005-01-20 00:00:00+00,27.6,27.9,27,27.9,0.36,696972,38341.97,575
2005-01-21 00:00:00+00,28,28.3,27.8,28.2,1.08,324402,18226.12,342
2005-01-24 00:00:00+00,27.8,28.5,27.8,28.5,1.06,368039,20797.42,461
2005-01-25 00:00:00+00,28.7,29.2,28.7,29,1.75,1267413,73477.94,664
2005-01-26 00:00:00+00,29.1,29.1,28.5,28.6,-1.38,646650,37193.6,441
2005-01-27 00:00:00+00,28.7,29,28.4,28.8,0.7,715387,41030.51,439
2005-01-28 00:00:00+00,28.9,28.9,27.5,27.6,-4.17,1608000,89707.27,1409
2005-01-31 00:00:00+00,28,28,27.6,27.6,0,657627,36613.63,528
2005-02-01 00:00:00+00,27.7,28.3,27.6,28.2,2.17,1219442,68482.93,682
2005-02-02 00:00:00+00,28.2,28.6,27.8,27.9,-1.06,1663801,94134.15,651
2005-02-03 00:00:00+00,28,28.6,28,28.4,1.79,1188816,67563.9,683
2005-02-04 00:00:00+00,28.4,28.6,28.2,28.4,0,882146,50006.59,423
2005-02-07 00:00:00+00,28.6,28.7,28.2,28.7,1.06,813647,46395.77,566
2005-02-08 00:00:00+00,28.9,29,28.6,28.6,-0.35,789846,45502.08,537
2005-02-09 00:00:00+00,28.8,28.8,28.5,28.6,0,714777,40976.81,331
2005-02-10 00:00:00+00,28.7,29.5,28.5,29.3,2.45,1064681,61774.31,789
2005-02-11 00:00:00+00,29.5,29.6,28.8,29.2,-0.34,436693,25562.24,535
2005-02-14 00:00:00+00,29.3,29.4,28.9,29,-0.68,660690,38397.24,450
2005-02-15 00:00:00+00,28.8,29.6,28.6,29.5,1.72,1401814,81828.24,859
2005-02-16 00:00:00+00,29.7,31.1,29.5,30.7,4.07,2053113,125141.38,1871
2005-02-17 00:00:00+00,31.2,32.3,31.2,31.9,3.91,2827345,179961.77,2011
2005-02-18 00:00:00+00,32.1,33,31.8,32.3,1.25,3170847,206633.82,2050
2005-02-21 00:00:00+00,32.4,33.2,32.4,32.6,0.93,983991,64667.73,1053
2005-02-22 00:00:00+00,32.8,32.8,32,32,-1.84,1172835,75609.63,998
2005-02-23 00:00:00+00,31.8,31.9,31.3,31.8,-0.63,555883,35219.3,668
2005-02-24 00:00:00+00,32,32.4,31.9,32.3,1.57,576237,37039.41,552
2005-02-25 00:00:00+00,32.8,33.3,32.6,32.9,1.86,2571777,169578.04,1322
2005-02-28 00:00:00+00,33.2,33.3,32.5,33,0.3,1442086,95153.13,984
2005-03-01 00:00:00+00,32.5,32.6,31.9,32.4,-1.82,1520429,97962.01,889
2005-03-02 00:00:00+00,32,32.1,30.6,31,-4.32,1025188,64162.82,1004
2005-03-03 00:00:00+00,30.8,31.3,30.6,31.1,0.32,761883,47233.93,786
2005-03-04 00:00:00+00,31.2,31.5,30.9,31.2,0.32,451896,28135.1,372
2005-03-07 00:00:00+00,31.5,31.6,30.6,30.8,-1.28,438053,27219.18,526
2005-03-08 00:00:00+00,30.8,31.1,30.5,30.6,-0.65,454214,27929.21,489
2005-03-09 00:00:00+00,31,32.1,31,31.5,2.94,1477981,93118.77,1123
2005-03-10 00:00:00+00,31.5,31.8,30.8,31.3,-0.63,446677,27895.66,431
2005-03-11 00:00:00+00,31.5,31.5,31,31,-0.96,1353917,84795.65,523
2005-03-14 00:00:00+00,30.9,30.9,30,30.2,-2.58,499492,30423.74,552
2005-03-15 00:00:00+00,30.4,30.9,30.1,30.7,1.66,584705,35670.75,412
