date,open,high,low,close,difference,volume,turnover,transactions
2007-04-16 00:00:00+00,4.2,4.21,4,4.06,-4.92,823466,6766.8,635
2007-04-17 00:00:00+00,4.07,4.25,4.07,4.2,3.45,595059,4944.05,514
2007-04-18 00:00:00+00,4.26,4.26,4,4.02,-4.29,496282,4068.57,503
2007-04-19 00:00:00+00,4.07,4.1,3.95,4,-0.5,407154,3260.91,378
2007-04-20 00:00:00+00,4,4.01,3.88,3.94,-1.5,387952,3069.76,396
2007-04-23 00:00:00+00,3.94,3.95,3.75,3.8,-3.55,394849,3009.56,461
2007-04-24 00:00:00+00,3.78,3.92,3.68,3.8,0,321588,2443.71,285
2007-04-25 00:00:00+00,3.84,3.87,3.78,3.78,-0.53,209965,1599.03,179
2007-04-26 00:00:00+00,3.8,3.89,3.78,3.8,0.53,191050,1457.06,188
2007-04-27 00:00:00+00,3.8,3.8,3.75,3.75,-1.32,100223,757.78,146
2007-04-30 00:00:00+00,3.8,3.89,3.75,3.81,1.6,114308,874.88,137
2007-05-02 00:00:00+00,3.88,3.95,3.81,3.93,3.15,119305,934.55,165
2007-05-04 00:00:00+00,3.95,4.06,3.95,4.02,2.29,192583,1542.58,259
2007-05-07 00:00:00+00,4.06,4.06,3.93,4.02,0,424571,3398.96,285
2007-05-08 00:00:00+00,4.02,4.02,3.86,3.9,-2.99,177214,1402.03,157
2007-05-09 00:00:00+00,3.89,3.91,3.81,3.86,-1.03,73279,564.26,131
2007-05-10 00:00:00+00,3.86,3.9,3.72,3.75,-2.85,116711,883.74,155
2007-05-11 00:00:00+00,3.8,3.83,3.67,3.82,1.87,256349,1913.2,274
2007-05-14 00:00:00+00,3.89,3.92,3.82,3.89,1.83,99056,769.36,121
2007-05-15 00:00:00+00,3.95,4.27,3.9,4.07,4.63,1706049,14076.08,1608
2007-05-16 00:00:00+00,4.12,4.15,3.98,4.02,-1.23,413237,3341.85,459
2007-05-17 00:00:00+00,4.06,4.44,3.99,4.37,8.71,2868380,24732.47,1833
2007-05-18 00:00:00+00,4.41,4.74,4.41,4.51,3.2,1839451,16815.75,1560
2007-05-21 00:00:00+00,4.63,4.94,4.63,4.93,9.31,1567912,15152.01,1347
2007-05-22 00:00:00+00,4.97,5.05,4.75,4.83,-2.03,848572,8335.1,901
2007-05-23 00:00:00+00,4.89,5.68,4.75,5.58,15.53,1985646,20526.67,1517
2007-05-24 00:00:00+00,5.38,6.18,5.23,5.88,5.38,3172094,36988.7,2969
2007-05-25 00:00:00+00,5.8,6.04,5.7,5.83,-0.85,975291,11558.41,949
2007-05-28 00:00:00+00,5.9,6.51,5.9,6.51,11.66,1140645,14257.47,1282
2007-05-29 00:00:00+00,6.8,6.99,6.35,6.35,-2.46,1570238,21161.81,2093
2007-05-30 00:00:00+00,6.25,6.62,6,6.14,-3.31,1473963,18451.15,1399
2007-05-31 00:00:00+00,6.35,6.5,6.15,6.21,1.14,593613,7447.14,692
2007-06-01 00:00:00+00,6.25,6.59,6.18,6.35,2.25,736439,9426.16,959
2007-06-04 00:00:00+00,6.33,6.41,6.03,6.15,-3.15,462018,5766.61,686
2007-06-05 00:00:00+00,6.25,6.26,5.8,6,-2.44,702911,8408.7,865
2007-06-06 00:00:00+00,6,6,5.72,5.8,-3.33,378694,4424.84,508
2007-06-08 00:00:00+00,5.57,5.9,5.55,5.87,1.21,340698,3934.47,502
2007-06-11 00:00:00+00,5.98,6.45,5.9,6.39,8.86,577588,7131.22,741
