date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,3.22,3.22,3.1,3.18,-0.93,6155,38.65,15
2005-01-04 00:00:00+00,3.11,3.14,3.01,3.09,-2.83,15951,98.11,40
2005-01-05 00:00:00+00,3.07,3.11,2.92,3,-2.91,35523,214.22,61
2005-01-06 00:00:00+00,3.04,3.3,3.03,3.19,6.33,82200,524.84,131
2005-01-07 00:00:00+00,3.19,3.25,3.12,3.13,-1.88,15271,96.88,30
2005-01-10 00:00:00+00,3.26,3.26,3.12,3.18,1.6,8045,50.64,12
2005-01-11 00:00:00+00,3.14,3.2,3.14,3.18,0,4595,29.08,11
2005-01-12 00:00:00+00,3.18,3.23,3.12,3.19,0.31,10676,67.29,20
2005-01-13 00:00:00+00,3.24,3.24,3.13,3.14,-1.57,1491,9.45,7
2005-01-14 00:00:00+00,3.15,3.23,3.13,3.22,2.55,11421,72.77,30
2005-01-17 00:00:00+00,3.2,3.5,3.17,3.49,8.39,106599,725.39,203
2005-01-18 00:00:00+00,3.49,3.52,3.28,3.28,-6.02,38691,265.37,68
2005-01-19 00:00:00+00,3.39,3.43,3.21,3.43,4.57,35318,236.61,61
2005-01-20 00:00:00+00,3.5,3.5,3.4,3.45,0.58,13246,91.79,32
2005-01-21 00:00:00+00,3.45,3.45,3.33,3.4,-1.45,14109,95.17,26
2005-01-24 00:00:00+00,3.45,3.8,3.45,3.7,8.82,153346,1129.74,223
2005-01-25 00:00:00+00,3.8,3.94,3.7,3.85,4.05,88163,680.6,131
2005-01-26 00:00:00+00,3.9,3.93,3.8,3.83,-0.52,34209,264.27,52
2005-01-27 00:00:00+00,3.84,3.84,3.73,3.75,-2.09,11803,88.62,23
2005-01-28 00:00:00+00,3.75,3.84,3.7,3.8,1.33,21336,161.5,37
2005-01-31 00:00:00+00,3.88,3.88,3.68,3.88,2.11,22817,172.61,52
2005-02-01 00:00:00+00,3.78,4.4,3.78,4.2,8.25,98593,822.16,199
2005-02-02 00:00:00+00,4.15,4.4,4.11,4.3,2.38,44974,383.81,108
2005-02-03 00:00:00+00,4.3,4.55,4.3,4.42,2.79,58195,519.15,127
2005-02-04 00:00:00+00,4.5,4.86,4.36,4.86,9.95,75655,701.7,141
2005-02-07 00:00:00+00,5,5.4,4.9,5.3,9.05,141277,1472.99,295
2005-02-08 00:00:00+00,5.35,5.55,5.05,5.35,0.94,112610,1188.18,266
2005-02-09 00:00:00+00,5.3,5.3,5.05,5.1,-4.67,42026,429.43,100
2005-02-10 00:00:00+00,4.95,4.95,4.75,4.75,-6.86,43622,419.25,112
2005-02-11 00:00:00+00,4.68,4.77,4.43,4.6,-3.16,42188,385.2,117
2005-02-14 00:00:00+00,4.6,4.83,4.45,4.7,2.17,28068,260.26,51
2005-02-15 00:00:00+00,4.79,5,4.79,4.9,4.26,27258,267.88,69
2005-02-16 00:00:00+00,4.91,4.99,4.65,4.8,-2.04,19465,185.29,46
2005-02-17 00:00:00+00,4.76,4.77,4.6,4.61,-3.96,14431,134.78,38
2005-02-18 00:00:00+00,4.45,4.64,4.33,4.64,0.65,30570,273.1,76
2005-02-21 00:00:00+00,4.42,4.6,4.41,4.54,-2.16,11034,99.87,30
2005-02-22 00:00:00+00,4.5,4.58,4.45,4.57,0.66,21080,189.49,43
2005-02-23 00:00:00+00,4.5,4.54,4.3,4.49,-1.75,13107,116.61,39
2005-02-24 00:00:00+00,4.5,4.5,4.36,4.5,0.22,8197,72.94,26
2005-02-25 00:00:00+00,4.45,4.67,4.4,4.56,1.33,20183,182.8,65
2005-02-28 00:00:00+00,4.57,4.57,4.4,4.48,-1.75,9076,81.03,25
2005-03-01 00:00:00+00,4.4,4.48,4.4,4.45,-0.67,1154,10.19,7
2005-03-02 00:00:00+00,4.31,4.44,4.2,4.35,-2.25,12534,106.93,31
2005-03-03 00:00:00+00,4.38,4.4,4.25,4.35,0,1482,12.83,11
2005-03-04 00:00:00+00,4.21,4.35,4.21,4.35,0,3338,28.52,22
2005-03-07 00:00:00+00,4.35,4.39,4.17,4.29,-1.38,5078,42.89,20
2005-03-08 00:00:00+00,4.2,4.29,3.99,4.13,-3.73,22811,186.36,68
2005-03-09 00:00:00+00,4.1,4.25,4.06,4.19,1.45,29908,249.77,76
2005-03-10 00:00:00+00,4.2,4.23,4.1,4.2,0.24,7586,62.84,24
2005-03-11 00:00:00+00,4.11,4.2,4.11,4.2,0,1202,10.03,12
2005-03-14 00:00:00+00,4.11,4.18,3.98,3.98,-5.24,6277,50.87,19
2005-03-15 00:00:00+00,3.92,4.1,3.76,3.99,0.25,28561,220.42,83
2005-03-16 00:00:00+00,4.05,4.06,3.85,3.96,-0.75,11032,86.75,35
2005-03-17 00:00:00+00,3.88,3.98,3.8,3.85,-2.78,4378,33.63,19
2005-03-18 00:00:00+00,3.75,3.9,3.61,3.9,1.3,15283,115.97,46
2005-03-21 00:00:00+00,3.95,3.95,3.76,3.94,1.03,5987,46.49,16
2005-03-22 00:00:00+00,3.91,3.91,3.74,3.75,-4.82,4084,30.8,14
2005-03-23 00:00:00+00,3.74,3.8,3.7,3.79,1.07,3121,23.3,10
2005-03-24 00:00:00+00,3.84,3.89,3.71,3.8,0.26,8205,62.52,27
2005-03-29 00:00:00+00,3.86,3.87,3.71,3.75,-1.32,7505,56.26,10
2005-03-30 00:00:00+00,3.68,3.75,3.67,3.75,0,4750,35.35,19
2005-03-31 00:00:00+00,3.69,3.86,3.69,3.84,2.4,15309,115.85,22
2005-04-01 00:00:00+00,3.82,3.99,3.82,3.99,3.91,35270,273.24,47
2005-04-04 00:00:00+00,4,4.36,4,4.26,6.77,31864,267.62,94
2005-04-05 00:00:00+00,4.29,4.29,4.1,4.17,-2.11,37893,317.02,43
2005-04-06 00:00:00+00,4.23,4.23,4.1,4.11,-1.44,6328,52.54,18
2005-04-07 00:00:00+00,4.11,4.19,4.1,4.19,1.95,1283,10.53,4
2005-04-11 00:00:00+00,4.13,4.18,4.13,4.18,-0.24,430,3.56,4
2005-04-12 00:00:00+00,4.15,4.17,4.15,4.17,-0.24,841,7,4
