date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,9.5,9.7,9.35,9.35,-1.06,116178,2223.01,193
2005-01-04 00:00:00+00,9.4,9.5,9.35,9.4,0.53,33846,638.25,91
2005-01-05 00:00:00+00,9.3,9.3,9.05,9.1,-3.19,116628,2129.45,170
2005-01-06 00:00:00+00,9,9.2,8.85,9.05,-0.55,83191,1499.53,131
2005-01-07 00:00:00+00,9.1,9.2,9,9.15,1.1,44662,814.37,80
2005-01-10 00:00:00+00,9.15,9.15,9,9.1,-0.55,12985,234.91,40
2005-01-11 00:00:00+00,9.05,9.05,8.95,8.95,-1.65,35345,635.47,70
2005-01-12 00:00:00+00,9.05,9.2,9,9.2,2.79,42308,770.32,77
2005-01-13 00:00:00+00,9.3,9.3,9.15,9.15,-0.54,21673,399.63,83
2005-01-14 00:00:00+00,9.1,9.45,8.9,9.45,3.28,150773,2798.8,234
2005-01-17 00:00:00+00,9.8,9.95,9.7,9.8,3.7,404720,7937.6,646
2005-01-18 00:00:00+00,9.7,9.8,9.5,9.6,-2.04,153241,2966.93,246
2005-01-19 00:00:00+00,9.6,9.65,9.35,9.55,-0.52,110393,2102.93,168
2005-01-20 00:00:00+00,9.45,9.5,9.3,9.3,-2.62,83332,1562.53,139
2005-01-21 00:00:00+00,9.35,9.4,9.25,9.4,1.08,18468,343.59,80
2005-01-24 00:00:00+00,9.25,9.35,9.25,9.35,-0.53,31269,580.79,65
2005-01-25 00:00:00+00,9.35,9.5,9.3,9.5,1.6,39051,735.66,96
2005-01-26 00:00:00+00,9.55,9.55,9.45,9.5,0,52910,1005.38,93
2005-01-27 00:00:00+00,9.55,9.55,9.45,9.55,0.53,29583,563.14,86
2005-01-28 00:00:00+00,9.55,9.6,9.5,9.5,-0.52,21168,403.39,61
2005-01-31 00:00:00+00,9.6,9.7,9.55,9.65,1.58,71049,1370.03,126
2005-02-01 00:00:00+00,9.7,9.8,9.7,9.8,1.55,102893,2008.3,160
2005-02-02 00:00:00+00,9.8,9.9,9.75,9.75,-0.51,88538,1740.61,177
2005-02-03 00:00:00+00,9.75,9.85,9.7,9.75,0,50594,989.37,76
2005-02-04 00:00:00+00,9.7,10.6,9.7,10.55,8.21,506783,10307.86,692
2005-02-07 00:00:00+00,10.65,11.1,10.55,10.8,2.37,425963,9256.49,639
2005-02-08 00:00:00+00,10.8,10.85,10.6,10.6,-1.85,157270,3374.51,265
2005-02-09 00:00:00+00,10.6,10.6,10.45,10.55,-0.47,83980,1767.19,169
2005-02-10 00:00:00+00,10.4,10.75,10.4,10.7,1.42,59670,1266.54,160
2005-02-11 00:00:00+00,10.65,10.7,10.5,10.5,-1.87,79945,1696.84,137
2005-02-14 00:00:00+00,10.6,10.65,10.5,10.6,0.95,46586,985.4,135
2005-02-15 00:00:00+00,10.55,10.7,10.5,10.65,0.47,62486,1328.43,122
2005-02-16 00:00:00+00,10.7,10.9,10.7,10.7,0.47,167769,3632.5,264
2005-02-17 00:00:00+00,10.8,10.85,10.65,10.8,0.93,105552,2274.99,181
2005-02-18 00:00:00+00,10.8,11.25,10.75,11,1.85,359379,7970.01,446
2005-02-21 00:00:00+00,11,11.35,11,11.2,1.82,380121,8401.42,237
2005-02-22 00:00:00+00,11.25,11.25,10.95,11.05,-1.34,119417,2649.85,187
2005-02-23 00:00:00+00,11,11.05,10.95,11,-0.45,57557,1266.52,116
2005-02-24 00:00:00+00,11,11.15,10.95,11.05,0.45,93459,2063.09,138
2005-02-25 00:00:00+00,11.1,11.1,10.95,10.95,-0.9,161776,3566.47,190
2005-02-28 00:00:00+00,10.95,10.95,10.5,10.8,-1.37,100295,2157.73,228
2005-03-01 00:00:00+00,10.5,10.5,10.15,10.15,-6.02,324676,6704.93,445
2005-03-02 00:00:00+00,10.15,10.15,9.9,10.05,-0.99,258044,5168.83,342
2005-03-03 00:00:00+00,10.2,10.25,10.1,10.2,1.49,74341,1512.34,135
2005-03-04 00:00:00+00,10.25,10.45,10.25,10.45,2.45,152112,3162.42,149
2005-03-07 00:00:00+00,10.5,10.7,10.5,10.6,1.44,164861,3504.96,202
2005-03-08 00:00:00+00,10.6,10.6,10.5,10.5,-0.94,71672,1514.77,76
2005-03-09 00:00:00+00,10.5,10.65,10.5,10.6,0.95,127982,2705.67,96
2005-03-10 00:00:00+00,10.55,10.6,10.5,10.55,-0.47,50737,1072.1,88
2005-03-11 00:00:00+00,10.6,10.6,10.3,10.4,-1.42,37970,789.96,77
2005-03-14 00:00:00+00,10.2,10.2,9.85,9.95,-4.33,236132,4717.26,305
2005-03-15 00:00:00+00,9.95,10,9.8,10,0.5,84514,1667.67,150
2005-03-16 00:00:00+00,9.95,9.95,9.7,9.8,-2,70121,1374.59,123
2005-03-17 00:00:00+00,9.7,9.75,9.55,9.65,-1.53,35871,691.24,104
2005-03-18 00:00:00+00,9.55,9.75,9.5,9.65,0,65110,1248.51,134
2005-03-21 00:00:00+00,9.7,9.75,9.35,9.45,-2.07,61561,1171.6,101
2005-03-22 00:00:00+00,9.3,9.4,8.85,9.4,-0.53,73937,1360.86,148
2005-03-23 00:00:00+00,9.4,9.4,9.15,9.35,-0.53,49849,926.32,102
2005-03-24 00:00:00+00,9.25,9.5,9.2,9.45,1.07,46065,861.64,107
2005-03-29 00:00:00+00,9.6,9.65,9.55,9.6,1.59,17376,333.24,46
2005-03-30 00:00:00+00,9.7,9.75,9.55,9.75,1.56,57409,1110.83,61
2005-03-31 00:00:00+00,9.75,9.8,9.45,9.7,-0.51,55051,1063.54,101
2005-04-01 00:00:00+00,9.7,9.7,9.5,9.6,-1.03,7774,148.6,36
2005-04-04 00:00:00+00,9.45,9.55,9.2,9.25,-3.65,35658,665.48,84
2005-04-05 00:00:00+00,9.1,9.25,9.05,9.1,-1.62,82805,1511.3,140
2005-04-06 00:00:00+00,9.3,9.3,9.05,9.05,-0.55,54406,991.75,99
2005-04-07 00:00:00+00,9.1,9.1,9,9.05,0,33821,614.03,54
2005-04-11 00:00:00+00,9.05,9.15,8.95,8.95,-1.1,68174,1230.23,119
2005-04-12 00:00:00+00,9,9,8.9,8.9,-0.56,28561,510.17,90
2005-04-13 00:00:00+00,8.85,8.85,8.7,8.8,-1.12,77849,1369.5,133
2005-04-14 00:00:00+00,8.8,8.8,8.65,8.7,-1.14,30578,532.33,66
2005-04-15 00:00:00+00,8.6,8.7,8.5,8.6,-1.15,279167,4762.8,195
2005-04-18 00:00:00+00,8.45,8.45,8.2,8.4,-2.33,64644,1075.35,125
2005-04-19 00:00:00+00,8.4,8.6,8.4,8.55,1.79,88270,1507.96,110
2005-04-20 00:00:00+00,8.6,8.6,8.4,8.45,-1.17,98200,1665.59,100
2005-04-21 00:00:00+00,8.45,8.7,8.4,8.6,1.78,317642,5412.27,77
2005-04-22 00:00:00+00,8.7,8.7,8.6,8.6,0,66152,1144.19,72
2005-04-25 00:00:00+00,8.6,8.65,8.5,8.55,-0.58,99929,1712.03,65
2005-04-26 00:00:00+00,8.6,8.65,8.3,8.5,-0.58,48698,827.02,70
2005-04-27 00:00:00+00,8.35,8.35,8.1,8.35,-1.76,55337,910.77,142
2005-04-28 00:00:00+00,8.15,8.45,8.15,8.45,1.2,22298,369.06,58
2005-04-29 00:00:00+00,8.45,8.5,8.35,8.45,0,21435,361.53,41
2005-05-02 00:00:00+00,8.5,8.5,8.45,8.5,0.59,3963,67.11,9
2005-05-04 00:00:00+00,8.5,8.5,8.4,8.5,0,18796,318.19,37
2005-05-05 00:00:00+00,8.55,8.6,8.4,8.5,0,40960,699.43,62
2005-05-06 00:00:00+00,8.5,8.5,8.3,8.5,0,32645,550,52
2005-05-09 00:00:00+00,8.5,8.5,8.35,8.5,0,15180,256.83,39
2005-05-10 00:00:00+00,8.45,8.5,8.3,8.4,-1.18,22979,385.59,56
2005-05-11 00:00:00+00,8.4,8.5,8.3,8.5,1.19,19747,332.47,35
2005-05-12 00:00:00+00,8.5,8.55,8.4,8.4,-1.18,15267,257.32,29
2005-05-13 00:00:00+00,8.35,8.45,8.3,8.45,0.6,32535,544.88,46
2005-05-16 00:00:00+00,8.5,8.5,8.3,8.45,0,51257,867.17,64
2005-05-17 00:00:00+00,8.6,8.85,8.6,8.7,2.96,464207,8105.83,420
2005-05-18 00:00:00+00,8.75,8.8,8.7,8.7,0,80571,1408.74,126
2005-05-19 00:00:00+00,8.75,8.75,8.55,8.65,-0.57,42734,739.52,82
2005-05-20 00:00:00+00,8.6,9,8.6,8.8,1.73,126382,2232.59,204
2005-05-23 00:00:00+00,8.95,9.2,8.85,9.15,3.98,182018,3279.01,185
2005-05-24 00:00:00+00,9.3,9.35,9.1,9.2,0.55,83261,1541.37,196
2005-05-25 00:00:00+00,9.25,9.5,9.2,9.5,3.26,107181,2015.64,183
2005-05-27 00:00:00+00,9.55,9.8,9.5,9.6,1.05,144895,2796.76,273
2005-05-30 00:00:00+00,9.6,9.6,9.4,9.55,-0.52,42972,814.11,115
2005-05-31 00:00:00+00,9.55,9.55,9.3,9.4,-1.57,83691,1573.48,159
