date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,5.75,5.95,5.75,5.9,-0.84,8598,101.33,68
2005-01-04 00:00:00+00,5.8,5.9,5.8,5.9,0,5142,60.56,70
2005-01-05 00:00:00+00,5.8,5.85,5.75,5.85,-0.85,23028,268.93,83
2005-01-06 00:00:00+00,5.8,5.9,5.8,5.85,0,5306,61.89,61
2005-01-07 00:00:00+00,5.9,6.1,5.9,5.95,1.71,25026,299.43,99
2005-01-10 00:00:00+00,6,6.1,5.95,6.05,1.68,12862,155.05,70
2005-01-11 00:00:00+00,6,6.1,6,6.05,0,34703,418.78,78
2005-01-12 00:00:00+00,6.05,6.15,6.05,6.1,0.83,11392,138.71,82
2005-01-13 00:00:00+00,6.15,6.25,6.05,6.25,2.46,16937,208.56,73
2005-01-14 00:00:00+00,6.15,6.2,6.15,6.15,-1.6,3499,43.35,51
2005-01-17 00:00:00+00,6.2,6.3,6.1,6.2,0.81,13215,165.86,58
2005-01-18 00:00:00+00,6.2,6.25,6.15,6.2,0,21794,270.55,80
2005-01-19 00:00:00+00,6.15,6.15,6,6.15,-0.81,15662,189.6,57
2005-01-20 00:00:00+00,6,6,6,6,-2.44,9783,117.4,50
2005-01-21 00:00:00+00,6,6.15,5.85,6.05,0.83,12552,150.25,50
2005-01-24 00:00:00+00,6,6.15,6,6,-0.83,1766,21.3,33
2005-01-25 00:00:00+00,6,6.1,6,6.1,1.67,3391,40.9,47
2005-01-26 00:00:00+00,6.05,6.2,5.9,6.2,1.64,13969,168.93,58
2005-01-27 00:00:00+00,6.25,6.3,6.1,6.25,0.81,10352,129.38,48
2005-01-28 00:00:00+00,6.15,6.3,6.05,6.25,0,13685,171.55,69
2005-01-31 00:00:00+00,6.25,6.8,6.25,6.7,7.2,35631,471.57,88
2005-02-01 00:00:00+00,6.5,6.8,6.5,6.7,0,25901,345.98,87
2005-02-02 00:00:00+00,6.6,6.8,6.6,6.8,1.49,32505,439.87,79
