date,open,high,low,close,difference,volume,turnover,transactions
2011-05-05 00:00:00+00,22.85,22.85,21.8,22.12,0.55,96327,2137,412
2011-05-06 00:00:00+00,22.1,22.14,22.04,22.12,0,6045,133.63,64
2011-05-09 00:00:00+00,22.15,22.26,22.01,22.1,-0.09,6861,152.23,52
2011-05-10 00:00:00+00,22.11,22.15,21,21.45,-2.94,94438,2085.18,81
2011-05-11 00:00:00+00,21.55,21.66,20.81,20.9,-2.56,17329,365.4,48
2011-05-12 00:00:00+00,20.45,21.5,20.01,21.4,2.39,14932,303.67,87
2011-05-13 00:00:00+00,21.35,21.4,20.8,21.3,-0.47,20319,429.67,8
2011-05-16 00:00:00+00,21.4,21.49,21,21.4,0.47,6300,132.48,20
2011-05-17 00:00:00+00,21.4,21.4,20.85,21.35,-0.23,2104,44.15,12
2011-05-18 00:00:00+00,21,21.89,21,21.88,2.48,3923,84.05,24
2011-05-19 00:00:00+00,21.88,21.88,21.7,21.7,-0.82,1324,28.84,11
2011-05-20 00:00:00+00,21.89,22.45,21.87,22.45,3.46,22949,506.78,69
2011-05-23 00:00:00+00,22.02,22.83,22.02,22.83,1.69,19179,432.48,50
2011-05-24 00:00:00+00,22.82,23.3,22.35,22.92,0.39,31117,716.18,83
2011-05-25 00:00:00+00,23,23.2,22.5,23.08,0.7,23255,534.66,38
2011-05-26 00:00:00+00,23.07,23.1,23,23.07,-0.04,6402,147.65,20
2011-05-27 00:00:00+00,25.1,25.88,25,25.4,10.1,202704,5110.52,670
2011-05-30 00:00:00+00,25.99,26.4,25.91,26.1,2.76,125178,3266.12,413
2011-05-31 00:00:00+00,26.7,28.35,26.7,27.8,6.51,120142,3346.48,539
2011-06-01 00:00:00+00,28.97,28.97,27.82,27.95,0.54,231577,6511.51,304
2011-06-02 00:00:00+00,28,28,26.5,27.4,-1.97,41718,1149.99,254
2011-06-03 00:00:00+00,27.95,28.18,26.6,26.8,-2.19,17179,472.41,136
2011-06-06 00:00:00+00,27,27,26.1,26.3,-1.87,9110,239.72,75
2011-06-07 00:00:00+00,26.3,26.6,25.41,26.19,-0.42,11606,302.78,107
2011-06-08 00:00:00+00,26.43,26.43,25.6,25.99,-0.76,4474,115.98,42
2011-06-09 00:00:00+00,25.98,25.98,25.11,25.4,-2.27,9478,242.4,72
2011-06-10 00:00:00+00,25.5,25.92,25.5,25.85,1.77,3826,98.84,30
2011-06-13 00:00:00+00,26,26.5,25.66,25.85,0,12709,331.09,77
2011-06-14 00:00:00+00,25.9,25.9,25.11,25.13,-2.79,8187,206.36,74
2011-06-15 00:00:00+00,25.09,25.09,23.55,23.95,-4.7,29998,726.12,228
2011-06-16 00:00:00+00,23.46,23.8,22.61,22.95,-4.18,28790,660.04,165
2011-06-17 00:00:00+00,22.9,24.8,22.9,23.86,3.97,26282,625.21,139
2011-06-20 00:00:00+00,23.93,24.09,23.6,23.62,-1.01,42784,1023.09,102
2011-06-21 00:00:00+00,23.6,23.6,23.05,23.58,-0.17,8717,203.36,51
2011-06-22 00:00:00+00,23.09,23.57,22.53,23.17,-1.74,2974,68.09,44
2011-06-24 00:00:00+00,23.17,23.17,22.3,22.55,-2.68,6473,147.75,54
2011-06-27 00:00:00+00,22.35,22.35,21.4,21.48,-4.75,11605,251.88,112
2011-06-28 00:00:00+00,21.5,21.98,21.5,21.9,1.96,2734,59.57,27
2011-06-29 00:00:00+00,21.7,22.4,21.7,22.3,1.83,4421,97.32,43
2011-06-30 00:00:00+00,22.3,22.4,21.9,22.3,0,4693,104.47,32
2011-07-01 00:00:00+00,22.25,22.49,21.95,22.1,-0.9,1981,43.93,24
2011-07-04 00:00:00+00,22.99,22.99,22,22,-0.45,4899,108.9,27
2011-07-05 00:00:00+00,21.86,21.97,21.75,21.8,-0.91,1086,23.76,17
2011-07-06 00:00:00+00,22,22,21.5,21.5,-1.38,3721,80.81,25
2011-07-07 00:00:00+00,21.5,23,21.48,23,6.98,41970,905.84,64
2011-07-08 00:00:00+00,22.99,23,22.25,22.5,-2.17,4889,111.17,26
2011-07-11 00:00:00+00,22.3,22.42,21.75,21.75,-3.33,1375,30.11,23
2011-07-12 00:00:00+00,21.13,21.4,20.5,21.2,-2.53,8265,172.94,66
2011-07-13 00:00:00+00,21.5,21.8,21.2,21.77,2.69,1591,34.34,26
2011-07-14 00:00:00+00,21.9,22.49,21.8,22.15,1.75,23518,517.77,29
2011-07-15 00:00:00+00,22.16,22.25,22.05,22.05,-0.45,31259,690.44,23
2011-07-18 00:00:00+00,22.2,22.2,21.5,21.6,-2.04,2278,49.63,18
2011-07-19 00:00:00+00,21.5,21.75,21.4,21.65,0.23,58453,1262.59,16
2011-07-20 00:00:00+00,22,22,21.8,21.9,1.15,285,6.25,9
2011-07-21 00:00:00+00,22,22,20.8,21.79,-0.5,4327,91.86,37
2011-07-22 00:00:00+00,21.99,22.1,21.8,22.1,1.42,1470,32.26,19
2011-07-25 00:00:00+00,22,22.2,21.9,22,-0.45,883,19.46,12
2011-07-26 00:00:00+00,22.1,22.1,21.6,21.9,-0.45,1296,28.14,14
2011-07-27 00:00:00+00,22.1,22.1,21.4,22,0.46,37773,830.82,43
2011-07-28 00:00:00+00,21.79,22.15,21.77,22.15,0.68,1439,31.73,8
2011-07-29 00:00:00+00,22.15,22.2,22,22.05,-0.45,2171,47.94,18
2011-08-01 00:00:00+00,22.26,22.26,21.6,21.6,-2.04,1225,26.62,14
2011-08-02 00:00:00+00,21.6,22,21.6,22,1.85,2066,44.84,12
2011-08-03 00:00:00+00,21.7,21.7,20,21,-4.55,19605,406.15,97
2011-08-04 00:00:00+00,20,21.08,20,20.12,-4.19,106029,2222.48,94
2011-08-05 00:00:00+00,19.01,20.5,18.61,19.9,-1.09,117126,2327.73,93
2011-08-08 00:00:00+00,18,19,17.6,18.85,-5.28,35855,666.42,55
2011-08-09 00:00:00+00,17.81,18.9,17.1,18.5,-1.86,80207,1472.98,79
2011-08-10 00:00:00+00,18.69,19.1,17.1,17.7,-4.32,13077,232.24,26
2011-08-11 00:00:00+00,16.12,17.5,16.12,17.5,-1.13,39529,675.86,39
2011-08-12 00:00:00+00,17.69,18.2,16.5,18.2,4,15676,274.21,51
2011-08-16 00:00:00+00,20,20,18.22,20,9.89,6381,125.61,33
2011-08-17 00:00:00+00,20.3,20.3,19.12,20.05,0.25,16689,325.45,45
2011-08-18 00:00:00+00,19.6,19.62,18.28,19.62,-2.14,3887,74.15,31
2011-08-19 00:00:00+00,19,19.6,19,19.6,-0.1,8335,159.16,19
2011-08-22 00:00:00+00,19.5,20.3,19.45,20.3,3.57,25199,491.77,14
2011-08-23 00:00:00+00,20.59,20.97,20.5,20.7,1.97,1066,21.95,15
2011-08-24 00:00:00+00,20.96,20.96,20.5,20.5,-0.97,391,8.09,6
2011-08-25 00:00:00+00,20.5,20.79,20.5,20.79,1.41,1614,33.09,19
2011-08-26 00:00:00+00,20.78,20.98,20.5,20.98,0.91,2516,52.18,18
2011-08-29 00:00:00+00,20.5,21.85,20.5,21.85,4.15,33539,720.53,25
2011-08-30 00:00:00+00,22.26,23.4,22.26,23.2,6.18,197193,4572.26,92
2011-08-31 00:00:00+00,23.21,23.68,23.21,23.4,0.86,11302,266.13,46
2011-09-01 00:00:00+00,23.75,23.75,22.32,22.5,-3.85,31326,705.18,25
2011-09-02 00:00:00+00,21.1,22.4,21.1,22,-2.22,40623,889.63,99
2011-09-05 00:00:00+00,22.02,22.5,20.8,22.2,0.91,11401,253.08,44
2011-09-06 00:00:00+00,22.21,23,21.6,23,3.6,24938,550.77,32
2011-09-07 00:00:00+00,23.35,23.58,22.71,23.5,2.17,5194,120.67,36
2011-09-08 00:00:00+00,23.6,23.6,23.04,23.5,0,14208,333.66,38
2011-09-09 00:00:00+00,24.1,24.1,22.9,22.9,-2.55,24375,572.25,40
2011-09-12 00:00:00+00,21.9,22.7,21.5,22.7,-0.87,45512,1012.65,53
2011-09-13 00:00:00+00,22.2,23.29,22.2,23.29,2.6,77419,1784.35,48
2011-09-14 00:00:00+00,23.25,23.9,23.25,23.8,2.19,39842,941.22,33
2011-09-15 00:00:00+00,24,24.7,23.98,24.66,3.61,11593,281.95,43
2011-09-16 00:00:00+00,24.7,25.8,24.7,25,1.38,13122,328.59,67
2011-09-19 00:00:00+00,25,25.5,23.71,23.98,-4.08,19117,467.46,46
2011-09-20 00:00:00+00,24,24.77,23.22,24,0.08,26601,636.95,58
2011-09-21 00:00:00+00,24.4,24.4,23.69,23.69,-1.29,211,5.14,4
2011-09-22 00:00:00+00,23.4,23.4,22.5,22.7,-4.18,2136,48.69,20
2011-09-23 00:00:00+00,21.5,23,21,23,1.32,7525,166.41,39
2011-09-26 00:00:00+00,24,24,22.81,22.81,-0.83,10004,230.09,4
