date,open,high,low,close,difference,volume,turnover,transactions
2015-10-27 00:00:00+00,6.09,6.22,6.01,6.22,1.97,7702,47.3,11
2015-10-28 00:00:00+00,6.22,6.22,6.19,6.19,-0.48,139,0.86,2
2015-10-29 00:00:00+00,6.09,6.09,5.85,5.95,-3.88,4012,23.6,9
2015-10-30 00:00:00+00,5.96,5.96,5.96,5.96,0.17,4,0.02,1
2015-11-02 00:00:00+00,5.95,5.95,5.9,5.9,-1.01,805,4.75,2
2015-11-03 00:00:00+00,5.87,5.87,5.87,5.87,-0.51,15,0.09,1
2015-11-04 00:00:00+00,5.78,5.78,5.4,5.4,-8.01,4414,24.54,4
2015-11-05 00:00:00+00,5.17,5.25,4.85,5.25,-2.78,7745,39.59,9
2015-11-06 00:00:00+00,5.1,5.1,5.1,5.1,-2.86,60,0.31,1
2015-11-09 00:00:00+00,4.95,5.19,4.95,5.19,1.76,54,0.27,2
2015-11-10 00:00:00+00,5.15,5.33,4.95,5.33,2.7,3039,15.8,9
2015-11-12 00:00:00+00,5.33,5.33,5.33,5.33,0,2,0.01,2
2015-11-13 00:00:00+00,5.33,5.33,5.33,5.33,0,2,0.01,2
2015-11-16 00:00:00+00,5.33,5.37,5.09,5.22,-2.06,17901,92.93,23
2015-11-17 00:00:00+00,5.22,5.22,5.21,5.21,-0.19,2,0.01,2
2015-11-18 00:00:00+00,5.21,5.21,5,5.21,0,261,1.31,3
2015-11-19 00:00:00+00,5.21,5.21,5.2,5.21,0,7830,40.72,6
2015-11-20 00:00:00+00,5.21,5.21,5.21,5.21,0,11,0.06,3
2015-11-23 00:00:00+00,5.2,5.2,5,5.2,-0.19,162,0.81,4
2015-11-24 00:00:00+00,5,5,4.9,4.9,-5.77,10414,51.69,12
2015-11-25 00:00:00+00,4.9,4.9,4.89,4.89,-0.2,4506,22.08,7
2015-11-26 00:00:00+00,4.9,4.9,4.89,4.89,0,3,0.01,3
2015-11-27 00:00:00+00,4.89,5.3,4.89,5.08,3.89,11463,56.63,17
2015-11-30 00:00:00+00,5.09,5.55,4.9,5.55,9.25,12904,65.8,34
2015-12-01 00:00:00+00,5.51,5.51,5.14,5.14,-7.39,1491,7.82,6
2015-12-02 00:00:00+00,5.3,5.3,5,5.09,-0.97,1502,7.51,3
2015-12-03 00:00:00+00,5.09,5.09,5.09,5.09,0,2,0.01,2
2015-12-04 00:00:00+00,5.09,5.09,5.07,5.09,0,2976,15.12,4
2015-12-07 00:00:00+00,5.08,5.08,5.08,5.08,-0.2,51,0.26,2
2015-12-08 00:00:00+00,5.21,5.21,5.04,5.04,-0.79,10101,51.73,10
2015-12-09 00:00:00+00,5.04,5.04,5.04,5.04,0,2310,11.64,4
2015-12-10 00:00:00+00,5.03,5.03,4.8,5.03,-0.2,4002,19.7,370
2015-12-11 00:00:00+00,5.03,5.03,5.03,5.03,0,2,0.01,2
2015-12-14 00:00:00+00,5.03,5.03,4.8,4.82,-4.17,3165,15.27,4
2015-12-15 00:00:00+00,4.82,4.82,4.82,4.82,0,2,0.01,2
2015-12-16 00:00:00+00,4.82,4.82,4.6,4.61,-4.36,3984,18.36,6
2015-12-17 00:00:00+00,4.61,4.61,4.61,4.61,0,2,0.01,2
2015-12-18 00:00:00+00,4.61,4.61,4.61,4.61,0,2,0.01,2
2015-12-21 00:00:00+00,4.61,4.61,4.22,4.56,-1.08,5168,22.81,8
2015-12-22 00:00:00+00,4.5,4.56,4.5,4.56,0,1042,4.69,5
2015-12-23 00:00:00+00,4.56,4.8,4.56,4.8,5.26,5553,25.52,6
2015-12-28 00:00:00+00,4.7,4.7,4.58,4.7,-2.08,4747,22.03,6
2015-12-29 00:00:00+00,4.71,5.11,4.5,5.11,8.72,6292,29.45,7
2015-12-30 00:00:00+00,5.03,5.44,5,5.44,6.46,16860,86.63,17
2016-01-04 00:00:00+00,5.45,5.45,5.14,5.24,-3.68,5637,29.43,10
2016-01-05 00:00:00+00,5.24,5.24,5.2,5.2,-0.76,191,1,3
2016-01-07 00:00:00+00,5.2,5.2,4.67,4.67,-10.19,7516,36.28,9
2016-01-08 00:00:00+00,4.8,4.92,4.7,4.9,4.93,8861,42.55,10
2016-01-11 00:00:00+00,5.03,5.14,4.9,5.14,4.9,6400,31.43,5
2016-01-12 00:00:00+00,5.14,5.14,4.8,4.8,-6.61,6475,31.56,8
2016-01-13 00:00:00+00,4.82,4.82,4.55,4.6,-4.17,4083,18.7,6
2016-01-14 00:00:00+00,4.66,4.66,4.22,4.43,-3.7,6543,28.6,13
2016-01-15 00:00:00+00,4.43,4.43,4.22,4.22,-4.74,1779,7.51,2
2016-01-18 00:00:00+00,4.25,4.25,4.25,4.25,0.71,3,0.01,3
2016-01-19 00:00:00+00,4.25,4.35,4.25,4.35,2.35,2533,10.77,5
2016-01-20 00:00:00+00,4.35,4.35,4.35,4.35,0,2,0.01,2
2016-01-21 00:00:00+00,4.35,4.35,4.09,4.09,-5.98,4316,17.89,6
2016-01-22 00:00:00+00,4.09,4.45,4.09,4.41,7.82,11212,48.41,12
2016-01-25 00:00:00+00,4.47,4.47,4.29,4.47,1.36,74,0.32,3
2016-01-26 00:00:00+00,4.47,4.47,4.47,4.47,0,2,0.01,2
2016-01-27 00:00:00+00,4.47,4.47,4.08,4.3,-3.8,6769,28.83,8
2016-01-28 00:00:00+00,4.3,4.54,4.3,4.54,5.58,3603,15.7,6
2016-01-29 00:00:00+00,4.54,4.98,4.53,4.9,7.93,4554,21.12,12
2016-02-01 00:00:00+00,5.09,5.34,5.07,5.2,6.12,6183,32.31,8
2016-02-02 00:00:00+00,5.23,5.56,5.23,5.31,2.12,9663,51.71,11
2016-02-03 00:00:00+00,5.37,5.37,5.31,5.37,1.13,2002,10.63,3
2016-02-04 00:00:00+00,5.37,5.59,5.37,5.43,1.12,4496,24.41,8
2016-02-05 00:00:00+00,5.59,5.59,5.35,5.59,2.95,5752,31.82,20
2016-02-08 00:00:00+00,5.58,5.58,5.56,5.56,-0.54,1302,7.27,3
2016-02-09 00:00:00+00,5.56,5.56,5.32,5.56,0,962,5.12,4
2016-02-10 00:00:00+00,5.56,5.56,5.32,5.56,0,527,2.8,3
2016-02-11 00:00:00+00,5.56,5.56,5.31,5.4,-2.88,2862,15.21,4
2016-02-12 00:00:00+00,5.4,5.4,5.15,5.31,-1.67,196,1.01,3
2016-02-15 00:00:00+00,5.29,5.29,5.29,5.29,-0.38,2,0.01,2
2016-02-16 00:00:00+00,5.29,5.29,5.29,5.29,0,2,0.01,2
2016-02-17 00:00:00+00,5.29,5.29,5.07,5.29,0,1280,6.49,4
2016-02-18 00:00:00+00,5.29,5.29,5.29,5.29,0,2,0.01,2
2016-02-19 00:00:00+00,5.29,5.3,5.29,5.3,0.19,1420,7.51,3
2016-02-22 00:00:00+00,5.3,5.3,5,5.19,-2.08,5195,26.31,10
2016-02-23 00:00:00+00,5.19,5.19,4.95,4.96,-4.43,1518,7.51,3
2016-02-24 00:00:00+00,4.96,4.96,4.96,4.96,0,2,0.01,2
2016-02-25 00:00:00+00,4.96,4.96,4.8,4.96,0,999,4.8,4
2016-02-26 00:00:00+00,4.96,4.98,4.96,4.98,0.4,2,0.01,2
2016-02-29 00:00:00+00,4.98,5.3,4.9,5.12,2.81,4541,22.52,6
2016-03-01 00:00:00+00,4.98,5.03,4.98,4.99,-2.54,3,0.02,3
2016-03-02 00:00:00+00,4.99,4.99,4.55,4.77,-4.41,6651,31.13,7
2016-03-03 00:00:00+00,4.77,4.77,4.3,4.3,-9.85,10851,48.65,17
2016-03-04 00:00:00+00,4.48,4.48,4.26,4.38,1.86,1973,8.46,7
2016-03-07 00:00:00+00,4.38,4.51,4.25,4.51,2.97,4371,18.85,8
2016-03-08 00:00:00+00,4.53,4.53,4.46,4.46,-1.11,6,0.03,2
2016-03-09 00:00:00+00,4.46,4.46,4.27,4.34,-2.69,7969,34.28,18
2016-03-10 00:00:00+00,4.34,4.47,4.34,4.46,2.76,5999,26.59,8
2016-03-11 00:00:00+00,4.51,4.51,4.47,4.51,1.12,162,0.72,3
2016-03-14 00:00:00+00,4.51,4.51,4.51,4.51,0,2,0.01,2
2016-03-15 00:00:00+00,4.51,4.51,4.51,4.51,0,2,0.01,2
2016-03-16 00:00:00+00,4.51,4.51,4.25,4.35,-3.55,10763,46.36,10
2016-03-17 00:00:00+00,4.33,4.33,4.33,4.33,-0.46,2,0.01,2
2016-03-18 00:00:00+00,4.35,4.5,4.3,4.5,3.93,5327,23.17,5
2016-03-21 00:00:00+00,4.5,4.5,4.31,4.48,-0.44,1503,6.48,4
2016-03-22 00:00:00+00,4.5,4.5,4.31,4.5,0.45,1802,7.77,3
2016-03-23 00:00:00+00,4.5,4.68,4.45,4.68,4,3817,17.19,8
2016-03-24 00:00:00+00,4.68,4.68,4.48,4.68,0,2111,9.54,6
2016-03-29 00:00:00+00,4.72,4.72,4.72,4.72,0.85,2,0.01,2
2016-03-30 00:00:00+00,4.72,4.98,4.72,4.95,4.87,5907,28.35,29
