date,open,high,low,close,difference,volume,turnover,transactions
2022-09-02 00:00:00+00,1.116,1.118,1.05,1.104,-1.43,48122,51.55,72
2022-09-05 00:00:00+00,1.102,1.108,1.052,1.096,-0.72,5691,6.28,30
2022-09-06 00:00:00+00,1.1,1.11,1.07,1.07,-2.37,4125,4.54,40
2022-09-07 00:00:00+00,1.11,1.11,1.09,1.09,1.87,6360,7.02,26
2022-09-08 00:00:00+00,1.1,1.106,1.07,1.07,-1.83,29965,32.76,57
2022-09-09 00:00:00+00,1.092,1.1,1.07,1.072,0.19,16099,17.47,43
2022-09-12 00:00:00+00,1.072,1.094,1.07,1.076,0.37,7637,8.25,25
2022-09-13 00:00:00+00,1.076,1.092,1.036,1.068,-0.74,45446,47.84,81
2022-09-14 00:00:00+00,1.068,1.082,1.03,1.044,-2.25,16365,17.37,60
2022-09-15 00:00:00+00,1.068,1.074,0.995,0.995,-4.69,97525,99.86,131
2022-09-16 00:00:00+00,1.014,1.014,0.98,0.98,-1.51,40589,40.25,70
2022-09-19 00:00:00+00,0.977,1.014,0.977,1.012,3.27,25828,25.83,89
2022-09-20 00:00:00+00,1.01,1.014,0.96,0.978,-3.36,41246,40.48,58
2022-09-21 00:00:00+00,0.96,0.96,0.93,0.953,-2.56,20766,19.59,41
2022-09-22 00:00:00+00,0.952,0.953,0.932,0.953,0,25150,23.71,35
2022-09-23 00:00:00+00,0.932,0.96,0.932,0.96,0.73,13723,13.1,34
2022-09-26 00:00:00+00,0.959,0.961,0.864,0.873,-9.06,95299,84.83,101
2022-09-27 00:00:00+00,0.864,0.865,0.796,0.831,-4.81,74615,61.6,70
2022-09-28 00:00:00+00,0.82,0.831,0.76,0.798,-3.97,66842,53.16,69
2022-09-29 00:00:00+00,0.797,0.797,0.75,0.75,-6.02,17749,13.67,37
2022-09-30 00:00:00+00,0.749,0.749,0.673,0.673,-10.27,55649,39.02,57
2022-10-03 00:00:00+00,0.67,0.67,0.608,0.656,-2.53,131249,83.08,157
2022-10-04 00:00:00+00,0.656,0.656,0.594,0.6,-8.54,114764,70.29,103
2022-10-05 00:00:00+00,0.6,0.601,0.536,0.536,-10.67,343068,188.98,186
2022-10-06 00:00:00+00,0.547,0.63,0.547,0.599,11.75,143610,84.37,142
2022-10-07 00:00:00+00,0.572,0.67,0.572,0.615,2.67,189806,117.89,111
2022-10-10 00:00:00+00,0.625,0.625,0.574,0.599,-2.6,198278,115.64,80
2022-10-11 00:00:00+00,0.59,0.61,0.55,0.577,-3.67,92185,52.96,51
2022-10-12 00:00:00+00,0.56,0.576,0.55,0.57,-1.21,26131,14.6,22
