date,open,high,low,close,difference,volume,turnover,transactions
2007-03-02 00:00:00+00,10.5,10.78,10.39,10.42,-2.62,30011,630.01,46
2007-03-05 00:00:00+00,10.22,10.22,9.58,9.71,-6.81,18368,362.16,116
2007-03-06 00:00:00+00,9.77,9.8,9.65,9.79,0.82,10178,198.28,43
2007-03-07 00:00:00+00,9.79,9.99,9.79,9.82,0.31,6489,128.32,31
2007-03-08 00:00:00+00,9.85,10.19,9.82,10.19,3.77,21088,423.02,56
2007-03-09 00:00:00+00,10.19,10.38,9.91,10,-1.86,17465,353.41,30
2007-03-12 00:00:00+00,10.15,10.19,9.9,10,0,5007,100.33,22
2007-03-13 00:00:00+00,9.99,9.99,9.61,9.75,-2.5,4047,79.04,16
2007-03-14 00:00:00+00,9.65,9.74,9.51,9.53,-2.26,11401,218.42,40
2007-03-15 00:00:00+00,9.6,9.9,9.51,9.8,2.83,4393,84.85,29
2007-03-16 00:00:00+00,9.75,9.84,9.6,9.8,0,10523,205.42,28
2007-03-19 00:00:00+00,9.8,9.89,9.7,9.85,0.51,13769,270.04,52
2007-03-20 00:00:00+00,9.99,10.29,9.85,10,1.52,14233,284.92,52
2007-03-21 00:00:00+00,10.13,10.3,10.11,10.16,1.6,11093,226.36,59
2007-03-22 00:00:00+00,10.31,10.36,10.2,10.2,0.39,7204,148.24,28
2007-03-23 00:00:00+00,10.3,10.3,9.95,10.1,-0.98,8215,166.52,44
2007-03-26 00:00:00+00,10.16,10.4,10.16,10.16,0.59,26507,547.65,90
2007-03-27 00:00:00+00,10.39,11.95,10.39,11.19,10.14,129159,2907.6,332
2007-03-28 00:00:00+00,11.35,11.35,10.85,10.9,-2.59,22875,508.6,93
2007-03-29 00:00:00+00,11,11.36,10.5,11.17,2.48,19778,428.57,97
2007-03-30 00:00:00+00,11.2,11.2,10.95,11,-1.52,7362,162.32,55
2007-04-02 00:00:00+00,10.9,11.3,10.9,11.2,1.82,21118,468.89,90
2007-04-03 00:00:00+00,11.4,12.5,11.4,12,7.14,123363,2943.94,349
2007-04-04 00:00:00+00,12.21,12.4,12,12.15,1.25,55316,1349.51,177
2007-04-05 00:00:00+00,12.22,12.22,11.81,12.17,0.16,18441,443.91,93
