date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,23.7,23.8,22.8,22.9,-2.97,1789,82.64,20
2005-01-04 00:00:00+00,22.5,22.9,21,22.1,-3.49,7664,332.9,64
2005-01-05 00:00:00+00,21.9,22.4,21.5,22.2,0.45,8194,362.36,57
2005-01-06 00:00:00+00,22.4,22.4,22,22.4,0.9,781,34.49,14
2005-01-07 00:00:00+00,22.1,22.3,22.1,22.3,-0.45,853,37.76,11
2005-01-10 00:00:00+00,22.1,22.1,21,21.1,-5.38,2925,124.47,33
2005-01-11 00:00:00+00,21.3,21.3,20.5,21,-0.47,3050,126.54,23
2005-01-12 00:00:00+00,21,21.1,20.9,20.9,-0.48,765,32.18,9
2005-01-13 00:00:00+00,20.2,20.4,19.65,20,-4.31,6457,258.45,81
2005-01-14 00:00:00+00,20.3,20.3,19.7,20.2,1,2766,110.65,19
2005-01-17 00:00:00+00,20.2,20.3,19.6,19.9,-1.49,1125,44.84,21
2005-01-18 00:00:00+00,19.9,19.9,19.05,19.05,-4.27,1984,76.56,23
2005-01-19 00:00:00+00,19.2,19.7,19.1,19.4,1.84,2922,112.56,19
2005-01-20 00:00:00+00,19.8,19.8,19.2,19.3,-0.52,310,12.03,5
2005-01-21 00:00:00+00,19.2,19.5,19.1,19.5,1.04,1208,46.52,12
2005-01-24 00:00:00+00,19.5,19.9,19.5,19.9,2.05,201,7.84,2
2005-01-25 00:00:00+00,19.9,19.9,19.7,19.9,0,610,24.16,9
2005-01-26 00:00:00+00,19.2,19.9,19.1,19.9,0,401,15.51,5
2005-01-27 00:00:00+00,19.4,19.95,19.4,19.95,0.25,757,29.51,5
2005-01-28 00:00:00+00,19.9,19.9,19.45,19.9,-0.25,1655,65.02,9
2005-01-31 00:00:00+00,19.9,20,19.2,20,0.5,4751,185.62,36
2005-02-01 00:00:00+00,20,20,19.5,20,0,1234,48.56,13
2005-02-02 00:00:00+00,20,20.4,19.6,20.4,2,752,29.99,9
2005-02-03 00:00:00+00,20.7,20.7,19.2,20.5,0.49,2111,84.97,18
2005-02-04 00:00:00+00,20.8,20.8,20.3,20.7,0.98,2844,117.59,22
2005-02-07 00:00:00+00,20.4,20.6,20,20.2,-2.42,1413,57.41,14
2005-02-08 00:00:00+00,20,20,19.5,19.8,-1.98,2803,110.52,22
2005-02-09 00:00:00+00,19.7,19.9,19.4,19.9,0.51,1503,58.71,15
2005-02-10 00:00:00+00,19.75,19.9,19.75,19.9,0,41,1.62,2
2005-02-11 00:00:00+00,19.6,20.3,19.5,20.3,2.01,777,30.94,14
2005-02-14 00:00:00+00,19.95,20.5,19.35,19.9,-1.97,3646,146.07,35
2005-02-15 00:00:00+00,20,20.7,20,20.4,2.51,7867,321.7,48
2005-02-16 00:00:00+00,20.6,20.6,20.3,20.5,0.49,2631,107.63,17
2005-02-17 00:00:00+00,20.6,20.7,19.9,20.2,-1.46,1555,62.31,14
2005-02-18 00:00:00+00,20,20.2,19.65,20.2,0,1096,43.77,12
2005-02-21 00:00:00+00,20,20.1,19.8,19.9,-1.49,1352,53.84,14
2005-02-22 00:00:00+00,19.7,20,19.7,19.7,-1.01,1568,61.84,14
2005-02-23 00:00:00+00,19.7,19.7,19.6,19.7,0,1601,63.06,14
2005-02-24 00:00:00+00,19.5,19.7,19.4,19.7,0,1446,56.59,17
2005-02-25 00:00:00+00,19.25,19.25,19,19,-3.55,3897,148.42,23
2005-02-28 00:00:00+00,19.1,19.25,19.05,19.05,0.26,2341,89.44,11
2005-03-01 00:00:00+00,18.9,18.9,18.85,18.9,-0.79,980,37.03,4
2005-03-02 00:00:00+00,18.9,18.9,18.8,18.9,0,2520,95.13,12
2005-03-03 00:00:00+00,19,19,19,19,0.53,100,3.8,1
2005-03-04 00:00:00+00,19,19.5,18.5,18.7,-1.58,3380,128.01,22
2005-03-07 00:00:00+00,19.4,19.4,18.5,19.05,1.87,2221,83.95,19
2005-03-08 00:00:00+00,19.05,19.3,19.05,19.1,0.26,1263,48.34,10
2005-03-09 00:00:00+00,19.2,19.2,19.1,19.1,0,620,23.7,3
2005-03-10 00:00:00+00,19,19.2,19,19.2,0.52,250,9.52,2
2005-03-11 00:00:00+00,19,19,18.9,19,-1.04,506,19.2,4
2005-03-14 00:00:00+00,18.95,19,18.7,18.7,-1.58,2212,83.48,20
2005-03-15 00:00:00+00,18.3,18.4,17.7,17.7,-5.35,7432,266.43,45
2005-03-16 00:00:00+00,17.75,17.8,17.7,17.7,0,728,25.83,10
2005-03-17 00:00:00+00,17.65,17.65,17.05,17.6,-0.56,3055,106.73,16
2005-03-18 00:00:00+00,17.65,18.25,17.65,18.25,3.69,1244,44.43,10
2005-03-21 00:00:00+00,17.9,18.9,17.9,18.9,3.56,2217,82.25,19
2005-03-22 00:00:00+00,18.2,19.05,18.2,19.05,0.79,2499,94.47,16
2005-03-23 00:00:00+00,19.4,21,19.4,21,10.24,16504,668.66,79
2005-03-24 00:00:00+00,20.6,21,20.5,20.5,-2.38,4143,171.5,28
2005-03-29 00:00:00+00,20.5,21.5,20.5,21.4,4.39,4254,179.64,38
2005-03-30 00:00:00+00,21.4,22.8,21.4,22.7,6.07,10011,445.19,89
2005-03-31 00:00:00+00,22.8,23,22,22.5,-0.88,10049,454.34,46
2005-04-01 00:00:00+00,22.1,22.4,21.7,21.8,-3.11,1704,75.36,18
2005-04-04 00:00:00+00,21.8,22.6,21.8,22.5,3.21,5042,226.52,30
2005-04-05 00:00:00+00,22.1,22.5,22.1,22.5,0,1016,45.32,17
2005-04-06 00:00:00+00,22.5,22.6,22.3,22.5,0,2181,98.14,19
2005-04-07 00:00:00+00,22.5,22.6,22.3,22.6,0.44,545,24.44,5
2005-04-11 00:00:00+00,22.3,22.4,22.2,22.3,-1.33,1010,45.1,9
2005-04-12 00:00:00+00,22.4,22.4,22.2,22.2,-0.45,1941,86.58,15
2005-04-13 00:00:00+00,22.3,22.3,22.2,22.2,0,556,24.71,3
2005-04-14 00:00:00+00,22.1,22.2,21.7,22.2,0,1841,80.47,15
2005-04-15 00:00:00+00,21.6,21.9,21.3,21.9,-1.35,679,29.26,8
2005-04-18 00:00:00+00,21.5,21.8,21,21.8,-0.46,1990,85.23,14
2005-04-19 00:00:00+00,21.5,21.6,21.5,21.6,-0.92,887,38.29,2
2005-04-20 00:00:00+00,21.5,21.5,21.2,21.2,-1.85,380,16.23,3
2005-04-21 00:00:00+00,21.1,21.3,21.1,21.2,0,2108,89.6,11
2005-04-22 00:00:00+00,21.2,21.4,21.2,21.2,0,1115,47.32,7
2005-04-25 00:00:00+00,22.5,22.6,22.2,22.3,5.19,1888,84.72,24
2005-04-26 00:00:00+00,22.5,22.5,21.9,21.9,-1.79,3205,142.18,16
2005-04-27 00:00:00+00,22.3,22.4,22.3,22.3,1.83,120,5.36,3
2005-04-28 00:00:00+00,22.1,22.1,22.1,22.1,-0.9,124,5.48,3
2005-04-29 00:00:00+00,22.1,22.5,22.1,22.5,1.81,79,3.49,2
2005-05-02 00:00:00+00,22.2,22.3,22.2,22.3,-0.89,220,9.79,3
2005-05-04 00:00:00+00,22.5,22.5,22.5,22.5,0.9,380,17.1,1
2005-05-05 00:00:00+00,22.1,22.8,21.9,22.6,0.44,4471,199.95,30
2005-05-06 00:00:00+00,22.7,23,22,22.8,0.88,3452,154.91,21
2005-05-09 00:00:00+00,22.5,22.5,21.4,22.4,-1.75,4905,213.61,48
2005-05-10 00:00:00+00,18.5,18.5,14.4,14.4,-35.71,133620,4110.16,656
2005-05-11 00:00:00+00,13.9,13.9,11.25,11.4,-20.83,139711,3416.92,679
2005-05-12 00:00:00+00,11.9,13.15,11.65,12.9,13.16,182085,4531.53,783
2005-05-13 00:00:00+00,13.25,13.65,12,12.35,-4.26,82551,2156.4,470
2005-05-16 00:00:00+00,12.7,12.7,12.2,12.3,-0.4,12935,320.67,74
2005-05-17 00:00:00+00,12.3,12.3,12,12.2,-0.81,35153,859.59,72
2005-05-18 00:00:00+00,12.45,13.15,12.45,12.9,5.74,26961,694.82,146
2005-05-19 00:00:00+00,13.1,13.5,13.1,13.4,3.88,28063,747.82,128
2005-05-20 00:00:00+00,13.4,13.5,13.25,13.3,-0.75,15476,414,64
2005-05-23 00:00:00+00,13.3,13.9,13.25,13.9,4.51,19849,538.69,91
2005-05-24 00:00:00+00,14,15.55,14,15.55,11.87,60276,1782.41,298
2005-05-25 00:00:00+00,16,16.5,15.55,16.25,4.5,56726,1827.69,300
2005-05-27 00:00:00+00,16.25,16.25,15.7,16.1,-0.92,18733,599.65,113
2005-05-30 00:00:00+00,16.15,16.95,16.15,16.95,5.28,27873,928.02,135
2005-05-31 00:00:00+00,17.1,18,17.1,17.5,3.24,47358,1659.81,235
2005-06-01 00:00:00+00,17.8,17.9,17.3,17.4,-0.57,26129,914.28,125
2005-06-02 00:00:00+00,17.4,17.5,16.5,16.8,-3.45,39400,1322.83,252
2005-06-03 00:00:00+00,16.8,17.4,16.8,17.2,2.38,20121,690.52,136
2005-06-06 00:00:00+00,17.2,17.9,17.2,17.85,3.78,38922,1375.65,175
2005-06-07 00:00:00+00,17.9,19.65,17.85,18.9,5.88,67559,2544.91,348
2005-06-08 00:00:00+00,19.5,19.5,18.8,19,0.53,60430,2323.3,219
2005-06-09 00:00:00+00,19.05,19.15,17,17.85,-6.05,49481,1778.43,346
2005-06-10 00:00:00+00,17.85,17.9,17.05,17.3,-3.08,57677,2017.61,327
2005-06-13 00:00:00+00,13,14.9,13,14.2,-0.7,41698,1180.82,216
2005-06-14 00:00:00+00,14.2,14.2,13.3,13.7,-3.52,19925,547.15,123
2005-06-15 00:00:00+00,13.6,14.2,13.5,14,2.19,32130,898.07,139
2005-06-16 00:00:00+00,13.95,13.95,13.3,13.5,-3.57,18202,493,108
2005-06-17 00:00:00+00,13.5,13.5,13.05,13.1,-2.96,16812,442.86,82
2005-06-20 00:00:00+00,13.1,13.9,13.1,13.75,4.96,24202,662.75,136
2005-06-21 00:00:00+00,13.85,13.85,13.15,13.35,-2.91,12656,340.95,60
2005-06-22 00:00:00+00,13.45,13.6,13.15,13.45,0.75,6588,176.64,41
2005-06-23 00:00:00+00,13.4,13.5,13.2,13.3,-1.12,4803,127.83,26
2005-06-24 00:00:00+00,13.15,13.35,13.05,13.1,-1.5,7157,187.93,37
2005-06-27 00:00:00+00,13,13.3,12.95,13.1,0,4757,124.94,29
2005-06-28 00:00:00+00,13.1,13.3,13.1,13.15,0.38,3477,91.51,26
2005-06-29 00:00:00+00,13.3,13.3,13,13.15,0,3305,86.84,22
2005-06-30 00:00:00+00,13.05,13.1,12.9,13,-1.14,6506,169.2,28
2005-07-01 00:00:00+00,13,13,12.75,12.85,-1.15,5904,152.35,38
2005-07-04 00:00:00+00,12.55,12.6,12.25,12.45,-3.11,18651,460.64,105
2005-07-05 00:00:00+00,12.35,12.45,12.15,12.4,-0.4,11258,277.07,43
2005-07-06 00:00:00+00,12.5,12.5,12.25,12.45,0.4,5330,132.32,21
2005-07-07 00:00:00+00,12.35,12.4,12.1,12.2,-2.01,7311,177.96,37
2005-07-08 00:00:00+00,12.3,12.3,12.05,12.15,-0.41,1544,37.56,19
2005-07-11 00:00:00+00,11.9,12.45,11.8,12.3,1.23,6188,151.15,59
2005-07-12 00:00:00+00,12.2,12.5,12.2,12.5,1.63,3995,99.05,33
2005-07-13 00:00:00+00,12.6,12.6,11.9,12.2,-2.4,23255,563.24,155
2005-07-14 00:00:00+00,12.15,12.25,11.85,11.9,-2.46,16910,405.43,74
2005-07-15 00:00:00+00,12.05,12.1,11.95,11.95,0.42,4383,105.65,36
2005-07-18 00:00:00+00,12.15,12.15,12,12.1,1.26,3434,82.68,14
2005-07-19 00:00:00+00,12.1,12.1,11.8,11.8,-2.48,2731,64.56,12
2005-07-20 00:00:00+00,12,12,11.6,11.6,-1.69,8052,188.85,39
2005-07-21 00:00:00+00,11.6,11.6,11.45,11.45,-1.29,1944,44.92,19
2005-07-22 00:00:00+00,11.5,11.5,10.45,10.65,-6.99,16544,358.13,121
2005-07-25 00:00:00+00,10.15,10.5,9.2,10,-6.1,26930,530.51,147
2005-07-26 00:00:00+00,10.1,10.45,10.1,10.2,2,3042,62.35,28
2005-07-27 00:00:00+00,10.45,11,10.45,10.7,4.9,8669,185.95,51
2005-07-28 00:00:00+00,10.9,10.9,10.7,10.85,1.4,2890,62.68,23
2005-07-29 00:00:00+00,10.9,10.9,10.7,10.75,-0.92,1591,34.37,11
2005-08-01 00:00:00+00,10.6,10.75,10.5,10.7,-0.47,3190,67.63,21
2005-08-02 00:00:00+00,10.65,10.65,10.3,10.55,-1.4,1477,30.97,12
2005-08-03 00:00:00+00,10.6,10.6,10.1,10.4,-1.42,1856,38.33,17
2005-08-04 00:00:00+00,10.45,10.5,10.1,10.5,0.96,1215,25.31,13
2005-08-05 00:00:00+00,10.3,10.45,10.05,10.05,-4.29,5665,115.93,32
2005-08-08 00:00:00+00,10.1,10.1,9.5,9.75,-2.99,4443,86.84,37
2005-08-09 00:00:00+00,9.6,9.6,9.2,9.5,-2.56,6535,122.76,54
2005-08-10 00:00:00+00,9.55,9.7,9.55,9.7,2.11,3687,71.12,25
2005-08-11 00:00:00+00,9.8,10.1,9.8,9.85,1.55,6675,131.97,34
2005-08-12 00:00:00+00,9.85,9.85,9.5,9.55,-3.05,3178,61.12,17
2005-08-16 00:00:00+00,9.5,9.5,9.5,9.5,-0.52,2280,43.32,6
2005-08-17 00:00:00+00,9,9.3,9,9.2,-3.16,2239,40.81,20
2005-08-18 00:00:00+00,9.1,9.25,9,9.2,0,3632,66.11,19
2005-08-19 00:00:00+00,9.1,9.25,9.05,9.25,0.54,2135,39.09,13
2005-08-22 00:00:00+00,9.2,9.2,9,9.1,-1.62,7866,142.63,32
2005-08-23 00:00:00+00,9.05,9.05,9,9,-1.1,1477,26.61,10
2005-08-24 00:00:00+00,9.1,9.1,8.8,8.95,-0.56,6087,107.71,32
2005-08-25 00:00:00+00,9,9,8.8,8.95,0,1300,23.07,9
2005-08-26 00:00:00+00,8.9,8.9,8.7,8.8,-1.68,954,16.77,9
2005-08-29 00:00:00+00,8.9,8.9,8,8.4,-4.55,8726,144.44,37
2005-08-30 00:00:00+00,8.25,8.25,7.95,8.2,-2.38,7357,118.52,39
2005-08-31 00:00:00+00,8.2,8.2,8.05,8.1,-1.22,3591,58.34,21
2005-09-01 00:00:00+00,8.05,8.1,8,8.1,0,3947,63.59,27
2005-09-02 00:00:00+00,8.05,8.05,7.7,7.75,-4.32,7019,110.2,36
2005-09-05 00:00:00+00,7.8,7.8,7.2,7.4,-4.52,8789,131.42,46
2005-09-06 00:00:00+00,7.4,8,6.75,7.85,6.08,24133,347.61,131
2005-09-07 00:00:00+00,7.95,9.2,7.65,9,14.65,41154,718.71,217
2005-09-08 00:00:00+00,9,9,8.3,8.6,-4.44,13443,230.49,72
2005-09-09 00:00:00+00,8.55,8.65,8.1,8.25,-4.07,13474,226.59,59
2005-09-12 00:00:00+00,8.1,8.65,8,8.5,3.03,6642,111.9,39
2005-09-13 00:00:00+00,8.5,8.5,8.1,8.2,-3.53,5666,92.64,19
2005-09-14 00:00:00+00,8.4,8.4,8.15,8.2,0,1030,17.04,8
2005-09-15 00:00:00+00,8.2,8.2,8.05,8.2,0,1601,26.03,9
2005-09-16 00:00:00+00,8.15,8.3,8.05,8.3,1.22,2938,47.86,15
2005-09-19 00:00:00+00,8.55,8.55,8.25,8.45,1.81,4862,81.95,24
2005-09-20 00:00:00+00,8.45,8.55,8.15,8.45,0,4733,79.16,27
2005-09-21 00:00:00+00,8.45,8.45,8.15,8.35,-1.18,5109,84.95,28
2005-09-22 00:00:00+00,8.35,8.35,8.1,8.15,-2.4,4294,70.15,33
2005-09-23 00:00:00+00,8.1,8.25,8.1,8.25,1.23,2501,40.52,4
2005-09-26 00:00:00+00,8.1,10.7,8.1,10.7,29.7,31992,613.93,155
2005-09-27 00:00:00+00,11.95,12.9,10.9,11.45,7.01,79404,1924.4,456
2005-09-28 00:00:00+00,11.95,11.95,10.6,11.2,-2.18,24289,551.02,133
2005-09-29 00:00:00+00,11.55,11.55,10.9,11.3,0.89,4456,99.82,22
2005-09-30 00:00:00+00,11.4,12.4,11.4,12.1,7.08,31355,751.13,179
2005-10-03 00:00:00+00,12.1,12.4,11,11.1,-8.26,29602,669.53,176
2005-10-04 00:00:00+00,11.2,11.2,9.5,10.2,-8.11,35385,709.32,236
2005-10-05 00:00:00+00,10.2,10.3,9.8,10,-1.96,15241,306.91,68
2005-10-06 00:00:00+00,9.85,9.95,9.6,9.6,-4,13083,254.69,49
2005-10-07 00:00:00+00,9.6,9.9,9.15,9.9,3.13,2880,56.21,23
2005-10-10 00:00:00+00,10.35,10.35,9.6,9.8,-1.01,7000,137.43,46
2005-10-11 00:00:00+00,9.6,9.95,9.3,9.85,0.51,3722,70.46,28
2005-10-12 00:00:00+00,9.45,9.65,9.25,9.3,-5.58,12627,236.14,56
2005-10-13 00:00:00+00,9.35,9.35,9,9,-3.23,11682,215.72,37
2005-10-14 00:00:00+00,8.9,9,8.1,8.7,-3.33,6898,120.06,42
2005-10-17 00:00:00+00,8.9,9.5,8.8,8.9,2.3,4075,73.68,26
2005-10-18 00:00:00+00,9,9.4,8.8,8.85,-0.56,6915,125.37,49
2005-10-19 00:00:00+00,8.85,9.2,8.8,8.9,0.56,4634,82.28,23
2005-10-20 00:00:00+00,8.8,8.9,8.8,8.8,-1.12,2291,40.41,17
2005-10-21 00:00:00+00,8.8,9.2,8.5,8.8,0,5123,91.05,27
2005-10-24 00:00:00+00,9.4,10.4,9.15,10.25,16.48,41555,820.85,213
2005-10-25 00:00:00+00,10.2,10.2,9.4,9.5,-7.32,16976,327.16,100
2005-10-26 00:00:00+00,9.4,9.4,8.7,9.2,-3.16,11302,205.08,78
2005-10-27 00:00:00+00,9,9.3,8.85,9.15,-0.54,2811,50.29,18
2005-10-28 00:00:00+00,9,9.3,8.8,9.25,1.09,3649,65.43,24
2005-10-31 00:00:00+00,9.15,9.45,9.05,9.3,0.54,2188,40.27,13
2005-11-02 00:00:00+00,9.05,9.3,9,9.3,0,2496,45.61,16
2005-11-03 00:00:00+00,9.25,9.25,8.9,9.25,-0.54,8108,147.03,24
2005-11-04 00:00:00+00,8.9,9.1,8.85,8.9,-3.78,10608,189.12,41
2005-11-07 00:00:00+00,9.35,10.35,9.15,9.25,3.93,60599,1169.39,334
2005-11-08 00:00:00+00,9.1,9.15,8.8,8.95,-3.24,17139,305.58,88
2005-11-09 00:00:00+00,8.8,9,8.7,8.75,-2.23,9364,165.64,56
2005-11-10 00:00:00+00,8.8,9.25,8.75,9.05,3.43,11935,214.2,67
2005-11-14 00:00:00+00,9.15,9.15,8.75,8.85,-2.21,5908,105.06,41
2005-11-15 00:00:00+00,9.05,9.05,8.75,8.8,-0.56,2913,51.38,19
2005-11-16 00:00:00+00,8.75,9,8.75,8.9,1.14,6037,107.15,18
2005-11-17 00:00:00+00,9,9,8.8,9,1.12,4557,81.74,16
2005-11-18 00:00:00+00,8.8,9.05,8.8,9,0,4472,80.17,22
2005-11-21 00:00:00+00,8.8,8.95,8.75,8.9,-1.11,3527,62.25,17
2005-11-22 00:00:00+00,8.8,8.95,8.75,8.95,0.56,4545,80.18,28
2005-11-23 00:00:00+00,8.85,8.9,8.5,8.7,-2.79,7052,122.37,32
2005-11-24 00:00:00+00,8.6,8.6,8.3,8.6,-1.15,8426,142.43,47
2005-11-25 00:00:00+00,8.6,8.85,8.6,8.85,2.91,7784,134.33,42
2005-11-28 00:00:00+00,8.85,8.9,8.55,8.75,-1.13,3889,68.08,24
2005-11-29 00:00:00+00,8.75,8.85,8.5,8.65,-1.14,1088,18.8,14
2005-11-30 00:00:00+00,8.7,8.9,8.5,8.7,0.58,4028,69.78,17
2005-12-01 00:00:00+00,8.55,8.55,8.35,8.5,-2.3,2499,42.37,15
2005-12-02 00:00:00+00,8.5,8.5,8.35,8.5,0,2507,42.31,17
2005-12-05 00:00:00+00,8.35,8.5,8.2,8.4,-1.18,4129,68.6,18
2005-12-06 00:00:00+00,8.2,8.45,8.1,8.25,-1.79,4276,70.93,32
2005-12-07 00:00:00+00,8.45,8.45,8.2,8.3,0.61,1968,32.49,13
2005-12-08 00:00:00+00,8.25,8.25,8.15,8.2,-1.2,1239,20.34,11
2005-12-09 00:00:00+00,8.3,8.3,8.15,8.25,0.61,1694,27.93,18
2005-12-12 00:00:00+00,8.15,8.25,8.15,8.2,-0.61,3204,52.24,16
2005-12-13 00:00:00+00,8.15,8.2,8.15,8.15,-0.61,1319,21.57,11
2005-12-14 00:00:00+00,8.75,14.3,8.75,12.5,53.37,258356,6181.38,1033
2005-12-15 00:00:00+00,12.7,16.9,12.7,13.3,6.4,240359,7185.59,1233
2005-12-16 00:00:00+00,14.5,15,12.6,13,-2.26,77357,2125.71,442
2005-12-19 00:00:00+00,13.2,13.4,11.85,12,-7.69,36570,889.02,249
2005-12-20 00:00:00+00,11.85,12.25,10.95,11.3,-5.83,43732,1011.08,268
2005-12-21 00:00:00+00,11.6,11.6,10.6,10.65,-5.75,28533,623.28,174
2005-12-22 00:00:00+00,10.5,13.2,10.25,12.2,14.55,117312,2877.13,592
2005-12-23 00:00:00+00,12.25,12.9,12,12.2,0,54405,1363.17,231
2005-12-27 00:00:00+00,12.4,12.4,11.45,11.55,-5.33,80305,1879.05,317
2005-12-28 00:00:00+00,11.85,13.75,11.6,12.2,5.63,92618,2335.75,515
2005-12-29 00:00:00+00,12.65,12.65,11.8,12.1,-0.82,27244,661.93,153
2005-12-30 00:00:00+00,12,12.4,11.8,12.1,0,15097,365.08,85
2006-01-02 00:00:00+00,12.45,13,11.8,12.8,5.79,27523,690.89,144
2006-01-03 00:00:00+00,12.85,13,12.25,12.35,-3.52,24259,608.96,108
