date,open,high,low,close,difference,volume,turnover,transactions
2016-10-03 00:00:00+00,115.4,117.8,115.4,116.6,-0.34,399,46.71,19
2016-10-04 00:00:00+00,117.6,119,117.6,118,1.2,302,35.62,14
2016-10-05 00:00:00+00,118.7,122.7,118.7,121,2.54,976,118.42,41
2016-10-06 00:00:00+00,121,122,118.1,118.1,-2.4,627,75.58,26
2016-10-07 00:00:00+00,118.1,120.7,118,118,-0.08,828,98.51,25
2016-10-10 00:00:00+00,118,118.2,117.4,117.4,-0.51,247,29.09,9
2016-10-11 00:00:00+00,117.25,117.25,115,116,-1.19,2492,287.02,20
2016-10-12 00:00:00+00,115,119.7,115,119.7,3.19,471,55.91,15
2016-10-13 00:00:00+00,120.4,124.5,118,124.45,3.97,4391,532.12,33
2016-10-14 00:00:00+00,124.5,124.9,122,122,-1.97,488,59.82,27
2016-10-17 00:00:00+00,124.95,124.95,118.8,118.8,-2.62,402,48.42,48
2016-10-18 00:00:00+00,118.2,119.45,118,118,-0.67,1029,121.77,45
2016-10-19 00:00:00+00,119.45,119.45,117.25,117.25,-0.64,861,101.59,15
2016-10-20 00:00:00+00,118.7,118.7,117.1,117.15,-0.09,418,49.11,11
2016-10-21 00:00:00+00,118,119,118,119,1.58,1144,135.8,21
2016-10-24 00:00:00+00,122.85,123,121.95,122.6,3.03,4930,602.44,25
2016-10-25 00:00:00+00,113.2,115,107.5,112.55,-8.2,62361,7053.41,168
2016-10-26 00:00:00+00,114.85,118,114.8,117,3.95,5685,663.28,63
2016-10-27 00:00:00+00,117,117,116.95,117,0,283,33.11,10
2016-10-28 00:00:00+00,117.95,117.95,115,115,-1.71,5087,585.08,7
2016-10-31 00:00:00+00,117.6,117.6,115,115,0,488,56.52,13
2016-11-02 00:00:00+00,117.4,117.4,110.1,110.6,-3.83,412,46.22,20
2016-11-03 00:00:00+00,110.2,110.2,106,108.2,-2.17,5451,590.29,30
2016-11-04 00:00:00+00,107.7,108.2,106,106.1,-1.94,626,67.06,31
2016-11-07 00:00:00+00,107.9,107.9,103,105,-1.04,893,94.26,32
2016-11-08 00:00:00+00,105,106,104,104,-0.95,2672,280.52,24
2016-11-09 00:00:00+00,103.2,104.8,102.65,103,-0.96,3104,319.96,47
2016-11-10 00:00:00+00,105,107,104.9,105,1.94,726,76.48,35
2016-11-14 00:00:00+00,106.9,106.9,103,103,-1.9,346,36.04,21
2016-11-15 00:00:00+00,103,106,103,103,0,173,18,11
2016-11-16 00:00:00+00,103.05,105.9,103.05,103.5,0.49,244,25.37,12
2016-11-17 00:00:00+00,105.9,105.9,103.8,103.8,0.29,318,33.08,15
2016-11-18 00:00:00+00,104,105.3,103.8,103.8,0,504,52.5,20
2016-11-21 00:00:00+00,103.1,105.2,102,105.2,1.35,715,73.85,21
2016-11-22 00:00:00+00,104,104.05,102.1,102.15,-2.9,182,18.72,12
2016-11-23 00:00:00+00,104.8,104.8,102,103,0.83,300,30.79,19
2016-11-24 00:00:00+00,102.5,105,102.5,104.2,1.17,1095,113.37,45
2016-11-25 00:00:00+00,104.9,106.9,103.6,106.85,2.54,956,101.08,18
2016-11-28 00:00:00+00,107,107,105.05,105.05,-1.68,10867,1146.62,14
2016-11-29 00:00:00+00,105.05,106.95,103.6,106.85,1.71,633,65.89,12
2016-11-30 00:00:00+00,106.85,106.85,104.1,104.1,-2.57,177,18.7,11
2016-12-01 00:00:00+00,106.9,106.9,102.5,102.5,-1.54,186,19.33,16
2016-12-02 00:00:00+00,107,107,104,104.1,1.56,73,7.6,6
2016-12-05 00:00:00+00,104.9,105,103,103.5,-0.58,376,38.91,17
2016-12-06 00:00:00+00,103.5,103.5,100,100,-3.38,886,89.94,32
