date,open,high,low,close,difference,volume,turnover,transactions
2008-06-19 00:00:00+00,13,59,13,16,23.08,2968,113.22,51
2008-06-20 00:00:00+00,16,17.6,14.8,15.3,-4.38,13179,435.85,105
2008-06-23 00:00:00+00,15,15,14,14.98,-2.09,2266,65.42,12
2008-06-24 00:00:00+00,15.49,15.49,14.25,15,0.13,1279,37.35,14
2008-06-25 00:00:00+00,15,15,14.5,14.5,-3.33,1890,54.93,14
2008-06-26 00:00:00+00,14.15,14.7,14,14.7,1.38,415,11.98,6
2008-06-27 00:00:00+00,14.1,15.82,14.1,15.5,5.44,153,4.59,6
2008-06-30 00:00:00+00,15.8,17.37,15.3,15.99,3.16,173,5.43,10
2008-07-01 00:00:00+00,16.99,16.99,15.5,15.99,0,52,1.64,5
2008-07-02 00:00:00+00,16,16,15.9,15.9,-0.56,3,0.1,3
2008-07-03 00:00:00+00,16,16,16,16,0.63,1,0.03,1
2008-07-04 00:00:00+00,15.2,15.2,15.2,15.2,-5,209,6.35,2
2008-07-07 00:00:00+00,15.64,15.64,15.12,15.12,-0.53,27,0.82,4
2008-07-08 00:00:00+00,15.12,15.12,15.06,15.06,-0.4,2,0.06,2
2008-07-09 00:00:00+00,15.1,15.75,15.1,15.75,4.58,19,0.58,3
2008-07-10 00:00:00+00,15.8,15.8,15,15.2,-3.49,2488,75.09,9
2008-07-11 00:00:00+00,15.22,15.22,14.55,15,-1.32,102,3.06,3
2008-07-14 00:00:00+00,15.17,15.17,14.65,15.17,1.13,1023,30.38,4
2008-07-15 00:00:00+00,15.17,15.2,15.17,15.2,0.2,461,14.01,5
2008-07-16 00:00:00+00,15.38,15.38,14.7,15.2,0,45,1.36,3
2008-07-17 00:00:00+00,15.37,15.37,15.33,15.33,0.86,2,0.06,2
2008-07-18 00:00:00+00,15.38,15.38,14.69,15.38,0.33,52,1.53,3
2008-07-21 00:00:00+00,15.28,15.28,15.28,15.28,-0.65,2,0.06,2
2008-07-22 00:00:00+00,15.38,15.38,15.38,15.38,0.65,2,0.06,2
2008-07-23 00:00:00+00,16,16,15.49,15.49,0.72,2,0.06,2
2008-07-24 00:00:00+00,15.38,15.38,15.38,15.38,-0.71,2,0.06,2
2008-07-25 00:00:00+00,14.65,14.65,14.65,14.65,-4.75,2,0.06,2
2008-07-28 00:00:00+00,14.65,14.65,14.65,14.65,0,1,0.03,1
2008-07-29 00:00:00+00,14.65,14.65,14.65,14.65,0,10,0.29,1
2008-07-30 00:00:00+00,14.6,14.6,14.5,14.5,-1.02,92,2.67,3
2008-07-31 00:00:00+00,14.4,14.4,13.8,13.8,-4.83,735,20.91,2
2008-08-01 00:00:00+00,13.7,15,13.7,15,8.7,1138,32.73,4
2008-08-04 00:00:00+00,16,16,15.95,15.95,6.33,205,6.56,2
2008-08-05 00:00:00+00,15.15,15.15,15.15,15.15,-5.02,1,0.03,1
2008-08-06 00:00:00+00,15.25,15.25,15.25,15.25,0.66,1,0.03,1
2008-08-07 00:00:00+00,15.25,15.25,15.25,15.25,0,1,0.03,1
2008-08-08 00:00:00+00,15.2,15.2,15.2,15.2,-0.33,1,0.03,1
2008-08-11 00:00:00+00,15.2,15.2,15.2,15.2,0,1,0.03,1
2008-08-12 00:00:00+00,15.24,15.24,15.24,15.24,0.26,1,0.03,1
2008-08-13 00:00:00+00,15.24,15.24,15.24,15.24,0,1,0.03,1
2008-08-14 00:00:00+00,15.24,15.24,15.24,15.24,0,2,0.06,2
2008-08-18 00:00:00+00,15.24,15.24,15.24,15.24,0,1,0.03,1
2008-08-19 00:00:00+00,15.25,15.25,15.19,15.19,-0.33,351,10.67,4
2008-08-20 00:00:00+00,15,15,15,15,-1.25,1,0.03,1
2008-08-21 00:00:00+00,15,15,15,15,0,11,0.33,2
2008-08-22 00:00:00+00,15,15,15,15,0,1,0.03,1
2008-08-25 00:00:00+00,15,15,15,15,0,1,0.03,1
2008-08-26 00:00:00+00,15,15,15,15,0,1,0.03,1
2008-08-27 00:00:00+00,15,15,15,15,0,1,0.03,1
2008-08-28 00:00:00+00,15,15,15,15,0,1,0.03,1
2008-08-29 00:00:00+00,15,15,15,15,0,1,0.03,1
2008-09-01 00:00:00+00,14.99,14.99,14.99,14.99,-0.07,1,0.03,1
2008-09-02 00:00:00+00,14.95,14.95,14.94,14.94,-0.33,592,17.69,3
2008-09-03 00:00:00+00,14.8,14.8,14.8,14.8,-0.94,1,0.03,1
2008-09-04 00:00:00+00,14.7,14.7,14.7,14.7,-0.68,1,0.03,1
2008-09-05 00:00:00+00,14.68,14.68,14.68,14.68,-0.14,1,0.03,1
2008-09-08 00:00:00+00,14.71,14.71,14.71,14.71,0.2,1,0.03,1
2008-09-09 00:00:00+00,14.71,14.71,14.7,14.7,-0.07,201,5.91,3
2008-09-10 00:00:00+00,14.6,14.6,14.6,14.6,-0.68,1,0.03,1
2008-09-11 00:00:00+00,14.59,14.59,14.59,14.59,-0.07,1,0.03,1
2008-09-12 00:00:00+00,14.59,14.59,14.59,14.59,0,207,6.04,2
2008-09-15 00:00:00+00,14.2,14.2,14.2,14.2,-2.67,1,0.03,1
2008-09-16 00:00:00+00,0,0,0,14.2,0,0,0,0
2008-09-17 00:00:00+00,14.15,14.15,14.15,14.15,-0.35,10,0.28,1
2008-09-18 00:00:00+00,14,14,14,14,-1.06,11,0.31,1
2008-09-19 00:00:00+00,14.49,14.49,14.49,14.49,3.5,21,0.61,1
2008-09-22 00:00:00+00,14.59,14.59,14.59,14.59,0.69,1,0.03,1
2008-09-23 00:00:00+00,0,0,0,14.59,0,0,0,0
2008-09-24 00:00:00+00,14.59,14.59,14.59,14.59,0,1,0.03,1
2008-09-25 00:00:00+00,0,0,0,14.59,0,0,0,0
2008-09-26 00:00:00+00,0,0,0,14.59,0,0,0,0
2008-09-29 00:00:00+00,0,0,0,14.59,0,0,0,0
2008-09-30 00:00:00+00,0,0,0,14.59,0,0,0,0
2008-10-01 00:00:00+00,14.59,14.59,13.9,13.9,-4.73,21,0.59,2
2008-10-02 00:00:00+00,0,0,0,13.9,0,0,0,0
2008-10-03 00:00:00+00,0,0,0,13.9,0,0,0,0
2008-10-06 00:00:00+00,0,0,0,13.9,0,0,0,0
2008-10-07 00:00:00+00,14.17,14.17,14.17,14.17,1.94,1,0.03,1
2008-10-08 00:00:00+00,0,0,0,14.17,0,0,0,0
2008-10-09 00:00:00+00,0,0,0,14.17,0,0,0,0
2008-10-10 00:00:00+00,0,0,0,14.17,0,0,0,0
2008-10-13 00:00:00+00,0,0,0,14.17,0,0,0,0
2008-10-14 00:00:00+00,14.28,14.28,14.28,14.28,0.78,2,0.06,1
2008-10-15 00:00:00+00,0,0,0,14.28,0,0,0,0
2008-10-16 00:00:00+00,13.65,13.65,13.65,13.65,-4.41,1,0.03,1
2008-10-17 00:00:00+00,0,0,0,13.65,0,0,0,0
2008-10-20 00:00:00+00,0,0,0,13.65,0,0,0,0
2008-10-21 00:00:00+00,13.65,13.65,13.65,13.65,0,3,0.08,1
2008-10-22 00:00:00+00,13,13,13,13,-4.76,3,0.08,1
2008-10-23 00:00:00+00,0,0,0,13,0,0,0,0
2008-10-24 00:00:00+00,12.95,12.95,12.95,12.95,-0.38,550,14.25,1
2008-10-27 00:00:00+00,12,12,12,12,-7.34,482,11.57,1
2008-10-28 00:00:00+00,0,0,0,12,0,0,0,0
2008-10-29 00:00:00+00,0,0,0,12,0,0,0,0
2008-10-30 00:00:00+00,0,0,0,12,0,0,0,0
2008-10-31 00:00:00+00,0,0,0,12,0,0,0,0
2008-11-03 00:00:00+00,0,0,0,12,0,0,0,0
2008-11-04 00:00:00+00,0,0,0,12,0,0,0,0
2008-11-05 00:00:00+00,12,12,12,12,0,1,0.02,1
2008-11-06 00:00:00+00,12,12,12,12,0,500,12,2
2008-11-07 00:00:00+00,0,0,0,12,0,0,0,0
