date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,2.26,2.26,2.22,2.25,0.45,46381,207.09,52
2005-01-04 00:00:00+00,2.24,2.25,2.22,2.25,0,27523,123.31,32
2005-01-05 00:00:00+00,2.23,2.23,2.18,2.2,-2.22,48767,214.47,60
2005-01-06 00:00:00+00,2.19,2.21,2.15,2.21,0.45,82491,360.8,64
2005-01-07 00:00:00+00,2.21,2.21,2.16,2.19,-0.9,46111,201.75,58
2005-01-10 00:00:00+00,2.17,2.17,2.13,2.14,-2.28,66801,286.75,79
2005-01-11 00:00:00+00,2.12,2.17,2.09,2.11,-1.4,113376,479.47,105
2005-01-12 00:00:00+00,2.11,2.17,2.11,2.14,1.42,125298,536.92,91
2005-01-13 00:00:00+00,2.15,2.16,2.12,2.14,0,54488,233.42,50
2005-01-14 00:00:00+00,2.13,2.19,2.13,2.19,2.34,168299,724.19,137
2005-01-17 00:00:00+00,2.2,2.25,2.2,2.23,1.83,150736,673.07,157
2005-01-18 00:00:00+00,2.24,2.24,2.12,2.14,-4.04,62506,272.94,76
2005-01-19 00:00:00+00,2.11,2.16,2.11,2.15,0.47,79759,339.67,72
2005-01-20 00:00:00+00,2.11,2.11,2.07,2.1,-2.33,143470,599.58,100
2005-01-21 00:00:00+00,2.1,2.1,2.07,2.08,-0.95,40582,169.43,45
2005-01-24 00:00:00+00,2.08,2.08,2.04,2.07,-0.48,34381,141.21,47
2005-01-25 00:00:00+00,2.07,2.1,2.04,2.07,0,57490,239.57,49
2005-01-26 00:00:00+00,2.1,2.15,2.1,2.12,2.42,133412,568.47,97
2005-01-27 00:00:00+00,2.1,2.13,2.08,2.09,-1.42,60316,253.44,38
2005-01-28 00:00:00+00,2.1,2.11,2.08,2.08,-0.48,72338,303.21,65
2005-01-31 00:00:00+00,2.08,2.24,2.08,2.22,6.73,610167,2667.06,369
2005-02-01 00:00:00+00,2.25,2.35,2.25,2.29,3.15,596901,2736.04,428
2005-02-02 00:00:00+00,2.33,2.34,2.25,2.27,-0.87,148694,678.13,162
2005-02-03 00:00:00+00,2.25,2.25,2.2,2.2,-3.08,77818,344.61,73
2005-02-04 00:00:00+00,2.21,2.26,2.2,2.25,2.27,128404,575.24,125
2005-02-07 00:00:00+00,2.27,2.29,2.26,2.27,0.89,152062,690.84,102
2005-02-08 00:00:00+00,2.27,2.28,2.19,2.21,-2.64,63874,285.42,78
2005-02-09 00:00:00+00,2.2,2.2,2.11,2.17,-1.81,138682,595.52,117
2005-02-10 00:00:00+00,2.16,2.3,2.15,2.26,4.15,239912,1078.87,185
2005-02-11 00:00:00+00,2.26,2.29,2.19,2.26,0,145326,652.71,95
2005-02-14 00:00:00+00,2.25,2.26,2.22,2.26,0,22880,102.38,26
2005-02-15 00:00:00+00,2.27,2.34,2.25,2.29,1.33,284686,1306.21,189
2005-02-16 00:00:00+00,2.34,2.39,2.31,2.33,1.75,556471,2622.7,358
2005-02-17 00:00:00+00,2.35,2.37,2.28,2.3,-1.29,189104,879.5,161
2005-02-18 00:00:00+00,2.31,2.32,2.26,2.3,0,105499,485.14,101
2005-02-21 00:00:00+00,2.35,2.42,2.35,2.38,3.48,337666,1611.74,302
2005-02-22 00:00:00+00,2.41,2.41,2.35,2.4,0.84,167248,796.46,152
2005-02-23 00:00:00+00,2.38,2.4,2.35,2.39,-0.42,154560,735.95,132
2005-02-24 00:00:00+00,2.36,2.39,2.3,2.32,-2.93,309860,1446.54,241
2005-02-25 00:00:00+00,2.33,2.38,2.32,2.36,1.72,293354,1375.28,172
2005-02-28 00:00:00+00,2.36,2.36,2.23,2.27,-3.81,205357,940.39,135
2005-03-01 00:00:00+00,2.27,2.28,2.22,2.27,0,80423,360.8,72
2005-03-02 00:00:00+00,2.26,2.26,2.19,2.2,-3.08,129290,572.71,112
2005-03-03 00:00:00+00,2.21,2.21,2.15,2.19,-0.45,124634,543.14,84
2005-03-04 00:00:00+00,2.19,2.19,2.16,2.19,0,43235,188.46,36
2005-03-07 00:00:00+00,2.19,2.22,2.17,2.22,1.37,49982,220.02,55
2005-03-08 00:00:00+00,2.24,2.24,2.2,2.22,0,37157,164.6,40
2005-03-09 00:00:00+00,2.25,2.31,2.25,2.25,1.35,203611,930.7,162
2005-03-10 00:00:00+00,2.28,2.47,2.28,2.41,7.11,1132833,5415.36,772
2005-03-11 00:00:00+00,2.44,2.45,2.34,2.36,-2.07,337462,1621.28,292
2005-03-14 00:00:00+00,2.36,2.36,2.22,2.26,-4.24,221035,1013.36,175
2005-03-15 00:00:00+00,2.3,2.3,2.26,2.27,0.44,106506,485.13,96
2005-03-16 00:00:00+00,2.27,2.29,2.17,2.21,-2.64,149859,668.05,133
2005-03-17 00:00:00+00,2.2,2.24,2.15,2.18,-1.36,144968,637.84,104
2005-03-18 00:00:00+00,2.2,2.28,2.2,2.26,3.67,87356,390.14,79
2005-03-21 00:00:00+00,2.29,2.29,2.23,2.23,-1.33,91281,411.99,67
2005-03-22 00:00:00+00,2.21,2.26,2.21,2.25,0.9,39752,177.54,32
2005-03-23 00:00:00+00,2.22,2.23,2.2,2.22,-1.33,57719,255.3,42
2005-03-24 00:00:00+00,2.2,2.24,2.2,2.24,0.9,31492,139.88,41
2005-03-29 00:00:00+00,2.24,2.25,2.24,2.24,0,15858,71.11,24
2005-03-30 00:00:00+00,2.25,2.28,2.25,2.26,0.89,33602,152.26,34
2005-03-31 00:00:00+00,2.26,2.26,2.23,2.25,-0.44,49509,222.38,43
2005-04-01 00:00:00+00,2.26,2.26,2.24,2.24,-0.44,15109,67.88,21
2005-04-04 00:00:00+00,2.22,2.24,2.21,2.21,-1.34,25931,115.06,23
2005-04-05 00:00:00+00,2.21,2.22,2.2,2.21,0,36115,159.49,34
2005-04-06 00:00:00+00,2.23,2.27,2.2,2.24,1.36,60883,272.61,47
2005-04-07 00:00:00+00,2.23,2.3,2.23,2.29,2.23,48522,221.03,40
2005-04-11 00:00:00+00,2.29,2.37,2.29,2.34,2.18,169452,791.04,143
2005-04-12 00:00:00+00,2.35,2.36,2.33,2.34,0,72364,339.83,54
2005-04-13 00:00:00+00,2.35,2.36,2.32,2.34,0,30598,142.85,35
2005-04-14 00:00:00+00,2.33,2.33,2.25,2.26,-3.42,70890,324.24,58
2005-04-15 00:00:00+00,2.28,2.28,2.21,2.25,-0.44,100719,450.07,50
2005-04-18 00:00:00+00,2.22,2.23,2.2,2.23,-0.89,95523,423.38,60
2005-04-19 00:00:00+00,2.22,2.24,2.21,2.22,-0.45,22452,99.66,13
2005-04-20 00:00:00+00,2.22,2.22,2.2,2.21,-0.45,36557,161.2,42
2005-04-21 00:00:00+00,2.2,2.2,2.16,2.19,-0.9,60403,263.42,55
2005-04-22 00:00:00+00,2.22,2.22,2.2,2.22,1.37,48188,213.26,37
2005-04-25 00:00:00+00,2.2,2.2,2.15,2.18,-1.8,29847,130.14,31
2005-04-26 00:00:00+00,2.17,2.18,2.11,2.14,-1.83,61358,263,57
2005-04-27 00:00:00+00,2.14,2.14,2.12,2.12,-0.93,46677,198.75,51
2005-04-28 00:00:00+00,2.11,2.12,2.09,2.11,-0.47,64467,272.08,37
2005-04-29 00:00:00+00,2.1,2.11,2.09,2.11,0,27986,117.72,36
2005-05-02 00:00:00+00,2.15,2.16,2.13,2.14,1.42,9727,41.62,13
2005-05-04 00:00:00+00,2.15,2.2,2.11,2.2,2.8,63167,275.2,42
2005-05-05 00:00:00+00,2.2,2.23,2.2,2.21,0.45,45785,202.41,29
2005-05-06 00:00:00+00,2.22,2.23,2.15,2.19,-0.9,33027,145.45,35
2005-05-09 00:00:00+00,2.2,2.24,2.17,2.22,1.37,103755,459.51,66
2005-05-10 00:00:00+00,2.25,2.25,2.15,2.18,-1.8,46955,207.33,52
2005-05-11 00:00:00+00,2.16,2.19,2.15,2.19,0.46,41752,180.78,30
2005-05-12 00:00:00+00,2.2,2.2,2.17,2.2,0.46,13816,60.2,12
2005-05-13 00:00:00+00,2.12,2.21,2.12,2.21,0.45,84512,363.16,55
2005-05-16 00:00:00+00,2.21,2.21,2.15,2.16,-2.26,27430,119.69,22
2005-05-17 00:00:00+00,2.16,2.18,2.06,2.18,0.93,151692,642.55,132
2005-05-18 00:00:00+00,2.17,2.18,2.14,2.17,-0.46,43533,187.85,43
2005-05-19 00:00:00+00,2.19,2.2,2.15,2.2,1.38,51127,222.77,46
2005-05-20 00:00:00+00,2.21,2.22,2.19,2.22,0.91,88001,388.79,56
2005-05-23 00:00:00+00,2.24,2.24,2.19,2.2,-0.9,54055,239.64,47
2005-05-24 00:00:00+00,2.22,2.22,2.18,2.21,0.45,38706,169.8,28
2005-05-25 00:00:00+00,2.22,2.22,2.16,2.2,-0.45,37830,165.18,32
2005-05-27 00:00:00+00,2.19,2.24,2.19,2.21,0.45,88905,396.25,65
2005-05-30 00:00:00+00,2.24,2.25,2.2,2.24,1.36,45577,203.47,45
2005-05-31 00:00:00+00,2.25,2.25,2.2,2.2,-1.79,48450,214.22,39
2005-06-01 00:00:00+00,2.2,2.23,2.19,2.23,1.36,17196,75.94,37
2005-06-02 00:00:00+00,2.22,2.23,2.21,2.23,0,16334,72.62,40
2005-06-03 00:00:00+00,2.23,2.24,2.21,2.23,0,13256,58.99,22
2005-06-06 00:00:00+00,2.23,2.24,2.19,2.2,-1.35,40265,177.98,48
2005-06-07 00:00:00+00,2.2,2.22,2.2,2.22,0.91,67902,299.96,39
2005-06-08 00:00:00+00,2.22,2.37,2.2,2.35,5.86,773677,3568.74,490
2005-06-09 00:00:00+00,2.38,2.39,2.27,2.28,-2.98,146017,677.95,136
2005-06-10 00:00:00+00,2.28,2.29,2.22,2.24,-1.75,104753,469.04,109
2005-06-13 00:00:00+00,2.24,2.29,2.2,2.25,0.45,109223,491.8,100
2005-06-14 00:00:00+00,2.25,2.28,2.24,2.24,-0.44,69230,312.88,64
2005-06-15 00:00:00+00,2.24,2.26,2.21,2.26,0.89,49132,218.54,37
