date,open,high,low,close,difference,volume,turnover,transactions
2020-12-30 00:00:00+00,18,18,15.7,17.3,-3.89,110412,1871.99,608
2021-01-04 00:00:00+00,19,19,18.1,18.5,6.94,26071,482.8,247
2021-01-05 00:00:00+00,18.8,19.8,18.6,19.8,7.03,27759,538.01,198
2021-01-07 00:00:00+00,20,24,20,23.8,20.2,39223,887.42,333
2021-01-08 00:00:00+00,24,24.6,22,23,-3.36,22010,515.43,230
2021-01-11 00:00:00+00,23,23.8,22,22.6,-1.74,17893,401.51,159
2021-01-12 00:00:00+00,21.8,22.8,21.2,22.2,-1.77,11791,260.8,116
2021-01-13 00:00:00+00,22,22.4,20.8,21.8,-1.8,11231,239.17,86
2021-01-14 00:00:00+00,21.8,23.2,21.8,23,5.5,8821,198.83,83
2021-01-15 00:00:00+00,23.6,23.6,21.8,22.4,-2.61,6141,137.04,65
2021-01-18 00:00:00+00,22.4,23,21.2,22.6,0.89,3730,82.77,50
2021-01-19 00:00:00+00,22.2,22.2,21.6,22,-2.65,5642,123.59,53
2021-01-20 00:00:00+00,21.6,23.4,21.6,23,4.55,6888,153.91,77
2021-01-21 00:00:00+00,23,23.2,22,22.4,-2.61,4022,90.89,40
2021-01-22 00:00:00+00,22,22.8,21.8,22.6,0.89,4127,90.78,40
2021-01-25 00:00:00+00,21.6,22.4,21.2,22.4,-0.89,7660,166.96,75
2021-01-26 00:00:00+00,22.6,22.6,20.8,21.4,-4.46,12850,276.1,110
2021-01-27 00:00:00+00,21.2,21.2,19.6,20.6,-3.74,19460,397.24,160
2021-01-28 00:00:00+00,20.2,21.2,19.6,20.6,0,8612,174.4,99
2021-01-29 00:00:00+00,20.6,23.2,20,22,6.8,10746,236.85,113
2021-02-01 00:00:00+00,22.8,25,22,24.8,12.73,26566,633.72,209
2021-02-02 00:00:00+00,25.2,30,25.2,30,20.97,56527,1600.12,452
2021-02-03 00:00:00+00,31,33,28,30,0,55248,1715.05,534
2021-02-04 00:00:00+00,30.4,30.6,28,29.2,-2.67,14777,429.51,144
2021-02-05 00:00:00+00,29.2,29.8,29,29.8,2.05,2891,85.21,53
2021-02-08 00:00:00+00,29.8,33.8,29.8,31,4.03,15735,503.57,143
2021-02-09 00:00:00+00,31,31.8,29,29.8,-3.87,5838,177.87,80
2021-02-10 00:00:00+00,29.8,31,29.2,29.8,0,5140,152.67,52
2021-02-11 00:00:00+00,29.6,29.6,28.6,29,-2.68,8681,251.03,102
2021-02-12 00:00:00+00,28.6,28.6,26.6,28.4,-2.07,15534,432.7,130
2021-02-15 00:00:00+00,28.4,31,28.4,30.4,7.04,6333,191.91,78
2021-02-16 00:00:00+00,30.6,30.6,30,30.2,-0.66,4240,128.1,52
2021-02-17 00:00:00+00,30.6,30.6,29.4,30,-0.66,4268,127.81,49
2021-02-18 00:00:00+00,29.4,30.2,29,29,-3.33,7558,222.08,61
2021-02-19 00:00:00+00,28,30,28,29.4,1.38,3622,103.76,47
2021-02-22 00:00:00+00,29,29.6,28.2,29,-1.36,2281,65.32,35
2021-02-23 00:00:00+00,28.6,30,27,28.4,-2.07,10893,308.93,114
2021-02-24 00:00:00+00,28.2,29,27.6,28,-1.41,4086,114.59,59
2021-02-25 00:00:00+00,28.6,28.6,27,27.6,-1.43,3736,103.12,47
2021-02-26 00:00:00+00,27.8,28.4,25.6,27.6,0,11746,317.65,118
2021-03-01 00:00:00+00,27.6,28,26.6,28,1.45,9396,255.24,79
2021-03-02 00:00:00+00,27,30.8,26.8,28,0,91165,2591.56,435
2021-03-03 00:00:00+00,28,28.6,27.4,28.2,0.71,8957,250.93,80
2021-03-04 00:00:00+00,28.8,30,27.8,29.4,4.26,11936,344.06,85
2021-03-05 00:00:00+00,30,30.4,28.4,29.4,0,6524,191.01,81
2021-03-08 00:00:00+00,28.8,29.2,28,29,-1.36,5332,151.74,61
2021-03-09 00:00:00+00,28.4,29,28,28.2,-2.76,6559,184.53,72
2021-03-10 00:00:00+00,30.4,30.6,28.2,29,2.84,14782,433.61,141
2021-03-11 00:00:00+00,29.2,29.2,28.2,28.6,-1.38,3280,93.47,33
2021-03-12 00:00:00+00,28.8,29,28.4,28.8,0.7,2181,62.67,34
2021-03-15 00:00:00+00,29.8,29.8,28.8,29.4,2.08,10394,305.4,98
2021-03-16 00:00:00+00,29.4,29.4,28.4,28.8,-2.04,3045,87.02,44
2021-03-17 00:00:00+00,28.6,29,26.6,28,-2.78,14657,408.55,123
2021-03-18 00:00:00+00,28.6,29.6,28.4,29.4,5,11476,334.4,104
2021-03-19 00:00:00+00,29.2,29.4,28.2,29.4,0,2652,76.68,36
2021-03-22 00:00:00+00,29.4,29.6,28.6,29.6,0.68,1867,54.41,40
2021-03-23 00:00:00+00,29.6,31.4,28.8,31.4,6.08,11795,359.09,93
2021-03-24 00:00:00+00,31.8,36,31.4,34.8,10.83,44826,1526.94,386
2021-03-25 00:00:00+00,34.6,34.6,31.6,32.2,-7.47,21352,694.64,359
2021-03-26 00:00:00+00,33,34,31.8,33.4,3.73,19832,646.23,212
2021-03-29 00:00:00+00,32.4,33.4,31.8,32.6,-2.4,10368,336.6,131
2021-03-30 00:00:00+00,32.6,33.4,31.6,32.2,-1.23,6892,223.38,75
2021-03-31 00:00:00+00,32,34,32,32.6,1.24,18918,623.31,184
2021-04-01 00:00:00+00,32.6,35.8,32,34.8,6.75,29697,1034.57,217
2021-04-06 00:00:00+00,35.3,37.8,35,36.5,4.89,42882,1553.52,283
2021-04-07 00:00:00+00,37.5,37.5,36.1,37,1.37,5408,198.1,84
2021-04-08 00:00:00+00,37,41.3,36,40,8.11,68044,2662.67,645
2021-04-09 00:00:00+00,40.6,40.9,38,40.9,2.25,17365,689.72,243
2021-04-12 00:00:00+00,37.4,38.9,36.5,37,-9.54,62593,2344.06,572
2021-04-13 00:00:00+00,36.7,38.8,36.7,37.4,1.08,16560,626.59,191
2021-04-14 00:00:00+00,37.8,37.8,36.4,37.4,0,14207,529.08,136
2021-04-15 00:00:00+00,37.4,38.2,36.5,37.1,-0.8,13882,519.24,108
2021-04-16 00:00:00+00,37.7,37.7,36.2,36.3,-2.16,9928,365.1,113
2021-04-19 00:00:00+00,37,37,35,35,-3.58,9276,333.78,131
2021-04-20 00:00:00+00,35,36,33.5,33.8,-3.43,12878,443.96,144
2021-04-21 00:00:00+00,34.2,34.2,33.3,33.3,-1.48,14053,471.92,137
2021-04-22 00:00:00+00,33.6,33.6,32.5,32.6,-2.1,12005,395.1,233
