date,open,high,low,close,difference,volume,turnover,transactions
2014-01-17 00:00:00+00,14.95,14.95,14.31,14.65,-0.14,3563,51.81,37
2014-01-20 00:00:00+00,14.38,14.93,14.38,14.8,1.02,2405,35.21,31
2014-01-21 00:00:00+00,14.8,14.9,14.45,14.79,-0.07,975,14.38,14
2014-01-22 00:00:00+00,14.8,14.8,14.49,14.78,-0.07,2269,33.52,14
2014-01-23 00:00:00+00,14.7,14.77,14.3,14.7,-0.54,5419,78.66,42
2014-01-24 00:00:00+00,14.3,14.74,14.19,14.7,0,2975,42.78,30
2014-01-27 00:00:00+00,14.7,14.7,14.01,14.67,-0.2,1071,15.26,16
2014-01-28 00:00:00+00,14.67,14.67,14.06,14.63,-0.27,1585,22.97,25
2014-01-29 00:00:00+00,14.63,14.65,14.2,14.58,-0.34,1898,27.25,27
2014-01-30 00:00:00+00,14.58,14.58,14.25,14.58,0,280,4.04,10
2014-01-31 00:00:00+00,14.58,14.95,14.15,14.95,2.54,4796,70.98,63
2014-02-03 00:00:00+00,14.95,14.95,14.75,14.76,-1.27,1862,27.51,18
2014-02-04 00:00:00+00,14.94,14.94,14.52,14.89,0.88,561,8.21,18
2014-02-05 00:00:00+00,14.89,14.9,14.65,14.9,0.07,762,11.23,17
2014-02-06 00:00:00+00,14.89,14.9,14.3,14.83,-0.47,6277,91.71,37
2014-02-07 00:00:00+00,14.5,14.83,14.32,14.81,-0.13,5551,80.78,36
2014-02-10 00:00:00+00,14.4,14.9,14.4,14.9,0.61,5306,77.5,31
2014-02-11 00:00:00+00,14.8,15.67,14.8,14.99,0.6,27595,417.45,138
2014-02-12 00:00:00+00,15.3,15.55,15,15.35,2.4,5541,83.94,33
2014-02-13 00:00:00+00,15.35,15.39,15.05,15.24,-0.72,4166,63.48,24
2014-02-14 00:00:00+00,15.39,15.39,15,15.3,0.39,10092,153,31
2014-02-17 00:00:00+00,15,15.28,14.91,15.15,-0.98,2104,31.58,13
2014-02-18 00:00:00+00,14.8,15.05,14.68,15,-0.99,2564,38.01,18
2014-02-19 00:00:00+00,14.95,15,14.85,15,0,460,6.88,14
