date,open,high,low,close,difference,volume,turnover,transactions
2012-05-25 00:00:00+00,10.89,10.89,10.05,10.05,0.5,710,7.52,3
2012-05-28 00:00:00+00,9.99,9.99,9.99,9.99,-0.6,2,0.02,1
2012-05-29 00:00:00+00,0,0,0,9.99,0,0,0,0
2012-05-30 00:00:00+00,0,0,0,9.99,0,0,0,0
2012-05-31 00:00:00+00,9.99,9.99,8.1,8.1,-18.92,99,0.82,5
2012-06-01 00:00:00+00,8.75,8.75,8.75,8.75,8.02,22,0.19,1
2012-06-04 00:00:00+00,0,0,0,8.75,0,0,0,0
2012-06-05 00:00:00+00,0,0,0,8.75,0,0,0,0
2012-06-06 00:00:00+00,0,0,0,8.75,0,0,0,0
2012-06-08 00:00:00+00,0,0,0,8.75,0,0,0,0
2012-06-11 00:00:00+00,0,0,0,8.75,0,0,0,0
2012-06-12 00:00:00+00,0,0,0,8.75,0,0,0,0
2012-06-13 00:00:00+00,8.7,8.85,8.35,8.7,-0.57,1785,15.3,12
2012-06-14 00:00:00+00,8.7,8.7,8,8.22,-5.52,2029,16.42,8
2012-06-15 00:00:00+00,8.23,8.23,8.1,8.1,-1.46,19,0.16,3
2012-06-18 00:00:00+00,8.11,8.11,8.09,8.09,-0.12,1019,8.24,3
2012-06-19 00:00:00+00,8,8,7.95,7.95,-1.73,111,0.88,3
2012-06-20 00:00:00+00,8,8,7.7,7.7,-3.14,35,0.28,3
2012-06-21 00:00:00+00,8,8,7.77,7.88,2.34,1535,12.01,7
2012-06-22 00:00:00+00,7.89,7.89,7.46,7.85,-0.38,580,4.37,5
2012-06-25 00:00:00+00,7.89,7.89,7.85,7.85,0,365,2.87,3
2012-06-26 00:00:00+00,7.7,7.7,7.33,7.7,-1.91,365,2.69,4
2012-06-27 00:00:00+00,7.7,7.7,7.33,7.7,0,991,7.27,3
2012-06-28 00:00:00+00,7.7,7.7,7.7,7.7,0,5,0.04,1
2012-06-29 00:00:00+00,7.5,7.5,7.11,7.45,-3.25,1066,7.59,6
2012-07-02 00:00:00+00,7.45,7.45,7.09,7.45,0,346,2.46,10
2012-07-03 00:00:00+00,7.45,7.45,6.75,7.4,-0.67,1258,8.54,11
2012-07-04 00:00:00+00,7.45,7.45,7.45,7.45,0.68,5,0.04,1
2012-07-05 00:00:00+00,7.45,7.45,7.05,7.1,-4.7,5265,37.14,3
2012-07-06 00:00:00+00,7.05,7.05,6.7,7.05,-0.7,300,2.02,5
