date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,12.65,12.75,12.35,12.4,-1.98,4035,101.74,60
2005-01-04 00:00:00+00,12.4,12.6,12.4,12.45,0.4,8147,203.72,77
2005-01-05 00:00:00+00,12.4,12.65,12.35,12.5,0.4,7053,176.26,78
2005-01-06 00:00:00+00,12.5,12.6,12.45,12.45,-0.4,2428,60.72,61
2005-01-07 00:00:00+00,12.55,12.7,12.55,12.6,1.2,1855,46.69,66
2005-01-10 00:00:00+00,12.7,13,12.6,12.85,1.98,7505,193.01,76
2005-01-11 00:00:00+00,12.85,12.95,12.75,12.85,0,1782,45.97,53
2005-01-12 00:00:00+00,12.8,13,12.6,12.85,0,5360,138.24,68
2005-01-13 00:00:00+00,13,13,12.85,12.85,0,2689,69.43,56
2005-01-14 00:00:00+00,12.85,12.9,12.85,12.9,0.39,1238,31.84,41
2005-01-17 00:00:00+00,12.9,13,12.9,12.9,0,465,12.04,42
2005-01-18 00:00:00+00,12.9,13.05,12.9,13.05,1.16,1722,44.74,62
2005-01-19 00:00:00+00,12.9,13.05,12.9,13,-0.38,6850,177.3,49
2005-01-20 00:00:00+00,12.9,12.95,12.9,12.95,-0.38,605,15.63,35
2005-01-21 00:00:00+00,12.95,12.95,12.85,12.9,-0.39,2827,73.08,36
2005-01-24 00:00:00+00,13,13,12.9,13,0.78,2151,55.89,46
2005-01-25 00:00:00+00,12.95,13.1,12.95,13,0,5501,143.56,53
2005-01-26 00:00:00+00,12.95,13.1,12.9,12.95,-0.38,2305,59.76,45
2005-01-27 00:00:00+00,13,13.2,13,13.15,1.54,3339,87.42,43
2005-01-28 00:00:00+00,13.15,13.4,13.15,13.3,1.14,9020,238.6,70
2005-01-31 00:00:00+00,13.4,13.9,13.4,13.8,3.76,4598,125.66,73
2005-02-01 00:00:00+00,13.5,13.9,13.5,13.75,-0.36,1637,45.15,55
2005-02-02 00:00:00+00,13.6,13.8,13.6,13.65,-0.73,1874,51.44,69
2005-02-03 00:00:00+00,13.8,13.8,13.65,13.7,0.37,2632,72.08,80
2005-02-04 00:00:00+00,13.7,13.9,13.55,13.7,0,3202,87.76,72
2005-02-07 00:00:00+00,13.7,13.8,13.55,13.6,-0.73,3258,88.98,81
2005-02-08 00:00:00+00,13.7,13.7,13.6,13.65,0.37,5409,148.2,74
2005-02-09 00:00:00+00,13.7,13.7,13.6,13.6,-0.37,3869,105.93,62
2005-02-10 00:00:00+00,13.65,13.65,13.55,13.6,0,2898,78.83,52
2005-02-11 00:00:00+00,13.6,13.6,13.45,13.5,-0.74,1157,31.35,48
2005-02-14 00:00:00+00,13.5,13.5,13.45,13.5,0,694,18.71,60
2005-02-15 00:00:00+00,13.5,13.5,13.4,13.4,-0.74,6077,163.58,73
2005-02-16 00:00:00+00,13.6,13.9,13.6,13.6,1.49,5640,155.16,54
2005-02-17 00:00:00+00,13.6,13.8,13.6,13.7,0.74,1727,47.1,80
2005-02-18 00:00:00+00,13.7,13.95,13.7,13.95,1.82,6755,187.91,94
2005-02-21 00:00:00+00,13.95,14,13.9,13.9,-0.36,3142,87.61,76
2005-02-22 00:00:00+00,13.85,14,13.8,13.85,-0.36,943,26.08,81
2005-02-23 00:00:00+00,13.8,14.7,13.8,14.6,5.42,29612,855.05,113
2005-02-24 00:00:00+00,14.4,14.45,14.15,14.2,-2.74,4542,130.72,86
2005-02-25 00:00:00+00,14.25,14.5,14.1,14.25,0.35,4548,130.61,68
2005-02-28 00:00:00+00,14.25,14.4,14.25,14.25,0,2559,73.02,58
2005-03-01 00:00:00+00,14.25,14.3,14.25,14.25,0,1021,29.12,45
2005-03-02 00:00:00+00,14.3,14.3,14.1,14.15,-0.7,2243,63.94,63
2005-03-03 00:00:00+00,14.2,14.4,14.1,14.1,-0.35,3314,93.86,60
2005-03-04 00:00:00+00,14.1,14.15,14.1,14.1,0,597,16.86,46
2005-03-07 00:00:00+00,14.1,14.1,14.05,14.1,0,2517,70.97,26
2005-03-08 00:00:00+00,14.1,14.3,14,14,-0.71,861,24.23,57
2005-03-09 00:00:00+00,13.75,14,13.75,13.9,-0.71,3160,87.16,49
2005-03-10 00:00:00+00,14.5,14.5,14,14.25,2.52,4319,124.41,58
2005-03-11 00:00:00+00,14,14.1,14,14.1,-1.05,2615,73.61,43
2005-03-14 00:00:00+00,14.1,14.1,13.9,13.9,-1.42,1858,51.93,55
2005-03-15 00:00:00+00,13.9,13.9,13.75,13.75,-1.08,2478,68.66,59
2005-03-16 00:00:00+00,13.7,13.7,13.1,13.25,-3.64,7789,210.15,65
2005-03-17 00:00:00+00,13.25,14,13.25,13.7,3.4,5761,156.2,62
2005-03-18 00:00:00+00,13.7,13.7,13.6,13.6,-0.73,786,21.51,35
2005-03-21 00:00:00+00,13.6,14.1,13.6,13.9,2.21,3004,83.16,54
2005-03-22 00:00:00+00,13.75,14.25,13.75,14.25,2.52,8055,227.09,47
2005-03-23 00:00:00+00,14.1,14.4,14.1,14.15,-0.7,1319,37.54,28
2005-03-24 00:00:00+00,14.15,14.5,14.15,14.45,2.12,5997,172.52,49
2005-03-29 00:00:00+00,14.3,14.6,14.3,14.6,1.04,1334,38.64,29
2005-03-30 00:00:00+00,14.5,14.6,14.4,14.4,-1.37,13233,385.21,40
2005-03-31 00:00:00+00,14.5,14.5,14.25,14.45,0.35,11359,326.1,55
2005-04-01 00:00:00+00,14.3,14.3,14.3,14.3,-1.04,509,14.56,33
2005-04-04 00:00:00+00,14.3,14.3,14.1,14.25,-0.35,9997,284.72,37
2005-04-05 00:00:00+00,14.35,14.4,14.2,14.3,0.35,998,28.65,25
2005-04-06 00:00:00+00,14.25,14.3,14.2,14.2,-0.7,9469,270.6,23
2005-04-07 00:00:00+00,14.25,14.45,14.25,14.4,1.41,15641,448.84,53
2005-04-11 00:00:00+00,14.4,14.45,14.3,14.4,0,1819,52.48,37
2005-04-12 00:00:00+00,14.5,14.6,14.5,14.5,0.69,5013,145.82,40
2005-04-13 00:00:00+00,0,0,0,14.5,0,0,0,0
2005-04-14 00:00:00+00,14.45,14.65,14.45,14.6,0.69,40499,1181.09,101
2005-04-15 00:00:00+00,14.65,14.65,14.65,14.65,0.34,21159,619.96,51
2005-04-18 00:00:00+00,14.65,14.75,14.65,14.7,0.34,22504,661.61,74
