date,open,high,low,close,difference,volume,turnover,transactions
2010-12-06 00:00:00+00,34.68,36.7,33.78,36.01,6.6,104951,7453.27,372
2010-12-07 00:00:00+00,36,36.7,35.5,36.5,1.36,18450,1333.81,116
2010-12-08 00:00:00+00,36.99,36.99,36.06,36.76,0.71,45736,3349.51,67
2010-12-09 00:00:00+00,36.95,38.49,36.95,38.49,4.71,25490,1913.87,89
2010-12-10 00:00:00+00,38.49,38.99,38.49,38.94,1.17,16578,1285.28,78
2010-12-13 00:00:00+00,38.95,39,38,38.63,-0.8,8707,677.79,62
2010-12-14 00:00:00+00,38.63,38.9,38.63,38.65,0.05,3005,233.57,20
2010-12-15 00:00:00+00,38.7,38.7,38,38.1,-1.42,40620,3121.9,27
2010-12-16 00:00:00+00,38.38,38.65,38.38,38.56,1.21,26080,2013.18,44
2010-12-17 00:00:00+00,38.5,39.5,38.5,39.4,2.18,18803,1469.86,42
2010-12-20 00:00:00+00,39.4,41.01,39.4,41,4.06,18124,1470.38,70
2010-12-21 00:00:00+00,40.52,44.44,40.52,43.5,6.1,7191,615.9,91
2010-12-22 00:00:00+00,44.1,46.6,44.1,45.55,4.71,13814,1273.07,161
2010-12-23 00:00:00+00,46.71,48,46.71,46.99,3.16,13820,1311.53,137
2010-12-27 00:00:00+00,48.8,50,48.5,49,4.28,16637,1639.04,168
2010-12-28 00:00:00+00,50,50,45,48.48,-1.06,4543,436.97,86
2010-12-29 00:00:00+00,47.1,47.1,43.4,46.01,-5.09,21329,1934.75,251
2010-12-30 00:00:00+00,45.9,45.9,45,45.76,-0.54,9402,851.64,92
2010-12-31 00:00:00+00,44.7,45.6,44.15,44.84,-2.01,7474,669.51,66
2011-01-03 00:00:00+00,44.9,45,44,44.49,-0.78,2759,122.44,59
2011-01-04 00:00:00+00,44.2,46.77,44.2,46.77,5.12,9706,445.55,65
2011-01-05 00:00:00+00,45.85,45.85,44.51,45.15,-3.46,2895,130.09,59
2011-01-07 00:00:00+00,45,45.6,43.2,44.8,-0.78,7401,332.37,90
2011-01-10 00:00:00+00,45.19,45.19,43.51,44,-1.79,8009,352.53,58
2011-01-11 00:00:00+00,44,47.5,44,45.5,3.41,4843,222.45,80
2011-01-12 00:00:00+00,46.5,46.95,43.55,43.7,-3.96,21469,954.04,198
2011-01-13 00:00:00+00,44.45,45,43.5,43.8,0.23,13446,590.11,85
2011-01-14 00:00:00+00,44,44.69,43.8,44.45,1.48,14799,651.62,30
2011-01-17 00:00:00+00,44.05,44.15,42.3,43.88,-1.28,5694,245.1,101
2011-01-18 00:00:00+00,44.3,45.65,43.88,45.05,2.67,10808,485.71,67
2011-01-19 00:00:00+00,45.05,45.5,44.55,45.45,0.89,1501,67.43,27
2011-01-20 00:00:00+00,45.01,45.45,43.2,43.25,-4.84,4356,193.21,59
2011-01-21 00:00:00+00,43.99,44.9,42.3,44.1,1.97,3526,153.88,45
2011-01-24 00:00:00+00,42.66,43.1,41.7,42.1,-4.54,15477,653.39,110
2011-01-25 00:00:00+00,41.8,42.2,41.1,41.87,-0.55,2747,114.13,47
2011-01-26 00:00:00+00,41.98,41.98,40,41.5,-0.88,3452,141.44,42
2011-01-27 00:00:00+00,41.89,42.7,41.89,42.5,2.41,30270,1281.02,37
2011-01-28 00:00:00+00,42.09,42.09,41.55,42,-1.18,1234,51.73,17
2011-01-31 00:00:00+00,41,41,40.5,40.66,-3.19,627,25.5,17
2011-02-01 00:00:00+00,40.05,40.05,38.4,40.04,-1.52,18970,737.89,100
2011-02-02 00:00:00+00,39.31,41.7,38.26,41.7,4.15,8234,323.81,75
2011-02-03 00:00:00+00,41.7,41.7,41.68,41.68,-0.05,200,8.34,3
2011-02-04 00:00:00+00,40.52,40.75,40.1,40.35,-3.19,9600,388.75,23
2011-02-07 00:00:00+00,40.4,41,40.4,41,1.61,1304,53,14
2011-02-08 00:00:00+00,41.1,41.49,40.45,41,0,47858,1962.01,23
2011-02-09 00:00:00+00,41.18,41.5,40.7,41,0,24852,1019.03,21
2011-02-10 00:00:00+00,41,41,40.5,40.5,-1.22,2108,85.55,10
2011-02-11 00:00:00+00,40.36,40.5,40.36,40.5,0,209,8.44,4
2011-02-14 00:00:00+00,39.5,40.5,38.5,40.4,-0.25,5605,221.57,33
2011-02-15 00:00:00+00,40.99,40.99,40.05,40.5,0.25,196225,7907.91,7
2011-02-16 00:00:00+00,40.02,40.5,40.02,40.2,-0.74,6397,259,12
2011-02-17 00:00:00+00,39.5,40.4,39.5,39.5,-1.74,14772,590.75,11
2011-02-18 00:00:00+00,39.11,40.3,39.11,40,1.27,577,22.86,7
2011-02-21 00:00:00+00,40,43.98,39.2,43.5,8.75,24743,987.27,63
2011-02-22 00:00:00+00,43.9,43.9,42.84,43.5,0,1966,85.09,27
2011-02-23 00:00:00+00,43.3,43.5,42.84,43.5,0,5784,251.52,28
2011-02-24 00:00:00+00,43.5,43.5,43,43,-1.15,673,29.21,5
2011-02-25 00:00:00+00,42,42.9,42,42.9,-0.23,250,10.59,3
2011-02-28 00:00:00+00,41.21,43,41.21,43,0.23,2301,97.15,22
2011-03-01 00:00:00+00,42.3,42.9,42.01,42.05,-2.21,440,18.61,6
2011-03-02 00:00:00+00,42,42.99,41.25,42,-0.12,2910,122.09,29
2011-03-03 00:00:00+00,42,42,41.9,42,0,2123,89.16,16
2011-03-04 00:00:00+00,42,42,41.5,42,0,197,8.25,6
2011-03-07 00:00:00+00,42.9,42.9,42,42,0,584,24.9,11
2011-03-08 00:00:00+00,42,42.3,41,42.3,0.71,621,25.67,11
2011-03-09 00:00:00+00,42.1,42.1,41.37,41.37,-2.2,180,7.52,4
2011-03-10 00:00:00+00,41.4,41.4,40.3,41.2,-0.41,934,38.49,9
2011-03-11 00:00:00+00,40.5,41.2,40.5,41.2,0,101,4.09,2
2011-03-14 00:00:00+00,40.21,40.21,39.6,40,-2.91,1218,48.83,12
2011-03-15 00:00:00+00,38.53,39.02,38,38.09,-4.78,7735,298.86,44
2011-03-16 00:00:00+00,38,39.5,38,39.49,3.68,1159,44.99,20
2011-03-17 00:00:00+00,39,39,39,39,-1.24,400,15.6,3
2011-03-18 00:00:00+00,39,40,38.35,39.9,2.31,1190,46.72,19
2011-03-21 00:00:00+00,39.9,42,38.1,41.95,5.14,2134,85.8,32
2011-03-22 00:00:00+00,40.91,41.95,40.41,41.95,0,534,22.11,14
2011-03-23 00:00:00+00,41.95,41.95,41.95,41.95,0,1,0.04,1
2011-03-24 00:00:00+00,41.94,41.94,41,41,-2.26,8812,362.24,9
2011-03-25 00:00:00+00,40.99,41.99,40.75,41.55,1.34,12252,502.4,14
2011-03-28 00:00:00+00,40.25,40.8,40.06,40.8,-1.81,1748,70.61,18
2011-03-29 00:00:00+00,40.8,41,40,41,0.49,7078,287.65,12
2011-03-30 00:00:00+00,40.5,40.99,40.5,40.99,-0.02,675,27.46,8
2011-03-31 00:00:00+00,40.21,40.79,40.2,40.25,-1.81,219,8.81,6
2011-04-01 00:00:00+00,40.5,41,40.1,41,1.86,702,28.37,12
2011-04-04 00:00:00+00,39.75,41.5,38.1,41.49,1.2,784,31.64,11
2011-04-05 00:00:00+00,41,41.2,40.21,41.2,-0.7,491,20.01,11
2011-04-06 00:00:00+00,40.27,41.1,40.27,41.1,-0.24,706,28.83,15
2011-04-07 00:00:00+00,40.7,40.89,40.6,40.6,-1.22,2087,84.96,10
2011-04-08 00:00:00+00,40.6,41.55,40.6,41.32,1.77,54481,2238.03,131
2011-04-11 00:00:00+00,41.9,41.9,41.38,41.8,1.16,3856,160.36,45
2011-04-12 00:00:00+00,41.8,41.8,41.3,41.3,-1.2,1370,57.07,23
2011-04-13 00:00:00+00,41.79,41.8,41.1,41.7,0.97,602,25.12,13
2011-04-14 00:00:00+00,41.5,41.8,41.4,41.8,0.24,419,17.45,11
2011-04-15 00:00:00+00,41.15,41.8,41.15,41.15,-1.56,247,10.18,8
2011-04-18 00:00:00+00,41.15,41.15,40.6,40.6,-1.34,220,9.03,7
2011-04-19 00:00:00+00,40.5,40.5,40.5,40.5,-0.25,27,1.09,2
2011-04-20 00:00:00+00,40.5,40.5,40.3,40.5,0,430,17.37,15
