date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,13.95,13.95,13.35,13.35,-2.91,309,8.5,4
2005-01-04 00:00:00+00,13.4,13.7,13.4,13.5,1.12,223,6.02,8
2005-01-05 00:00:00+00,13.35,13.35,13,13,-3.7,2232,58.34,15
2005-01-06 00:00:00+00,13,13.05,12.7,13.05,0.38,770,19.7,8
2005-01-07 00:00:00+00,13.1,13.15,12.9,13,-0.38,1681,43.74,15
2005-01-10 00:00:00+00,12.9,13.05,12.7,13.05,0.38,622,15.94,7
2005-01-11 00:00:00+00,0,0,0,13.05,0,0,0,0
2005-01-12 00:00:00+00,12.9,13.15,12.9,13,-0.38,1935,50.54,14
2005-01-13 00:00:00+00,12.95,12.95,12.95,12.95,-0.38,9,0.23,1
2005-01-14 00:00:00+00,12.95,13.25,12.95,13.25,2.32,207,5.37,3
2005-01-17 00:00:00+00,12.9,13.2,12.5,13.15,-0.75,1075,27.14,13
2005-01-18 00:00:00+00,12.9,13.05,12.7,12.7,-3.42,390,10,4
2005-01-19 00:00:00+00,12.7,13.05,12.55,13.05,2.76,495,12.66,8
2005-01-20 00:00:00+00,12.9,13,12.75,13,-0.38,460,11.86,6
2005-01-21 00:00:00+00,13,13,12.5,12.6,-3.08,716,18.07,11
2005-01-24 00:00:00+00,13.1,13.1,12.35,12.35,-1.98,1060,27.37,7
2005-01-25 00:00:00+00,12.85,13.05,12.8,13,5.26,1093,28.18,12
2005-01-26 00:00:00+00,13,13.05,12.7,13.05,0.38,1426,37.07,6
2005-01-27 00:00:00+00,13,13.75,13,13.7,4.98,5264,140.22,34
2005-01-28 00:00:00+00,13.65,13.65,13.6,13.65,-0.36,589,16.07,8
2005-01-31 00:00:00+00,13.15,13.3,13.1,13.2,-3.3,1526,40.23,15
2005-02-01 00:00:00+00,13.55,13.8,13.55,13.8,4.55,2628,71.87,18
2005-02-02 00:00:00+00,13.85,13.95,13.85,13.95,1.09,200,5.57,3
2005-02-03 00:00:00+00,13.6,13.85,13.35,13.85,-0.72,1690,45.95,20
2005-02-04 00:00:00+00,13.5,13.5,13.5,13.5,-2.53,2050,55.35,23
2005-02-07 00:00:00+00,13.5,13.55,13.15,13.3,-1.48,2718,72.09,18
2005-02-08 00:00:00+00,13,13,12.8,13,-2.26,3047,78.31,20
2005-02-09 00:00:00+00,13,13.35,13,13.15,1.15,785,20.7,8
2005-02-10 00:00:00+00,13.2,13.2,13.2,13.2,0.38,600,15.84,1
2005-02-11 00:00:00+00,13,13.2,12.9,13.2,0,797,20.63,6
2005-02-14 00:00:00+00,12.85,12.85,12.65,12.65,-4.17,1050,26.87,6
2005-02-15 00:00:00+00,13.05,13.1,12.8,13.1,3.56,5729,148.52,40
2005-02-16 00:00:00+00,12.85,13.35,12.6,13.3,1.53,8811,228.28,27
2005-02-17 00:00:00+00,12.85,13.1,12.75,13.1,-1.5,895,23.06,9
2005-02-18 00:00:00+00,12.8,12.95,12.7,12.7,-3.05,4470,113.69,20
2005-02-21 00:00:00+00,12.75,12.9,12.75,12.9,1.57,206,5.3,3
2005-02-22 00:00:00+00,12.8,13.3,12.7,13,0.78,2281,58.61,14
2005-02-23 00:00:00+00,12.7,12.8,12.6,12.8,-1.54,1260,31.85,6
2005-02-24 00:00:00+00,12.8,12.8,12.25,12.5,-2.34,3834,95.78,18
2005-02-25 00:00:00+00,12.55,12.55,12.3,12.4,-0.8,1941,48.25,10
2005-02-28 00:00:00+00,12.35,12.4,12.35,12.4,0,1094,27.08,9
2005-03-01 00:00:00+00,12.4,12.4,12.4,12.4,0,132,3.27,2
2005-03-02 00:00:00+00,12.6,12.6,12.35,12.35,-0.4,2332,57.69,12
2005-03-03 00:00:00+00,12.45,12.45,12.2,12.2,-1.21,950,23.33,10
2005-03-04 00:00:00+00,12.3,12.3,12.3,12.3,0.82,1265,31.12,3
2005-03-07 00:00:00+00,12.15,12.3,12.15,12.3,0,1010,24.82,4
2005-03-08 00:00:00+00,11.85,12,11.8,12,-2.44,2286,54.37,10
2005-03-09 00:00:00+00,11.85,11.85,11.85,11.85,-1.25,149,3.53,1
2005-03-10 00:00:00+00,11.8,11.8,11.7,11.7,-1.27,300,7.07,3
2005-03-11 00:00:00+00,11.65,11.7,11.1,11.3,-3.42,3292,75.43,12
2005-03-14 00:00:00+00,11.1,11.1,10.6,10.9,-3.54,2824,60.98,21
2005-03-15 00:00:00+00,10.6,10.65,10.1,10.3,-5.5,3627,75.13,25
2005-03-16 00:00:00+00,10.1,10.4,10.1,10.15,-1.46,1803,37.19,12
2005-03-17 00:00:00+00,10,10.4,10,10.4,2.46,1838,37.56,18
2005-03-18 00:00:00+00,10.5,10.6,10.4,10.4,0,2846,59.79,13
2005-03-21 00:00:00+00,10.4,10.8,10.4,10.8,3.85,305,6.49,3
2005-03-22 00:00:00+00,10.2,10.4,10.15,10.4,-3.7,1039,21.33,13
2005-03-23 00:00:00+00,10.5,10.5,10.2,10.2,-1.92,410,8.37,6
2005-03-24 00:00:00+00,10.3,10.45,10.3,10.45,2.45,715,14.78,5
2005-03-29 00:00:00+00,10.8,10.8,10.2,10.75,2.87,531,10.88,7
2005-03-30 00:00:00+00,10.5,10.8,10.25,10.8,0.47,3679,77.93,15
2005-03-31 00:00:00+00,10.9,11.5,10.9,11.45,6.02,4920,108.69,31
2005-04-01 00:00:00+00,11.5,11.7,11.2,11.5,0.44,1016,23.27,13
2005-04-04 00:00:00+00,11.5,11.5,11,11.45,-0.43,6954,155.56,33
2005-04-05 00:00:00+00,11.45,11.7,11.05,11.65,1.75,2534,57.82,9
2005-04-06 00:00:00+00,11.35,11.4,11.25,11.4,-2.15,681,15.39,4
2005-04-07 00:00:00+00,11,11.5,11,11.45,0.44,565,12.73,8
2005-04-11 00:00:00+00,11.4,11.65,11.4,11.65,1.75,1852,42.41,3
