date,open,high,low,close,difference,volume,turnover,transactions
2011-01-07 00:00:00+00,1.02,1.03,0.98,0.99,-2.94,325188,326.12,143
2011-01-10 00:00:00+00,0.98,0.99,0.93,0.94,-5.05,524838,496.33,208
2011-01-11 00:00:00+00,0.94,0.97,0.93,0.96,2.13,182759,174.66,61
2011-01-12 00:00:00+00,0.96,0.99,0.95,0.99,3.13,222057,214.88,72
2011-01-13 00:00:00+00,0.99,1.05,0.99,1.02,3.03,252455,259.43,112
2011-01-14 00:00:00+00,1.02,1.06,1.01,1.04,1.96,148118,152.85,76
2011-01-17 00:00:00+00,1.04,1.04,1,1.01,-2.88,246214,248.79,81
2011-01-18 00:00:00+00,1.02,1.03,1,1.02,0.99,147008,148.6,82
2011-01-19 00:00:00+00,1.02,1.03,1,1.01,-0.98,65376,65.96,43
2011-01-20 00:00:00+00,1,1.01,0.94,0.98,-2.97,435999,426.33,131
2011-01-21 00:00:00+00,0.98,0.98,0.95,0.96,-2.04,168045,161.56,73
2011-01-24 00:00:00+00,0.95,1,0.95,0.99,3.13,121251,119.14,57
2011-01-25 00:00:00+00,0.99,1,0.96,0.97,-2.02,151523,149.6,52
2011-01-26 00:00:00+00,0.97,0.99,0.97,0.99,2.06,80971,79.97,40
2011-01-27 00:00:00+00,1,1.01,0.97,0.99,0,118949,118.04,51
2011-01-28 00:00:00+00,1,1.05,0.97,1.04,5.05,668466,680.18,187
2011-01-31 00:00:00+00,1.04,1.05,0.99,1.02,-1.92,485515,502.67,142
2011-02-01 00:00:00+00,1.02,1.03,0.99,1,-1.96,512975,515.35,145
2011-02-02 00:00:00+00,0.99,1.01,0.97,1,0,404619,399.6,124
2011-02-03 00:00:00+00,1,1.02,0.98,0.99,-1,396692,396.41,98
2011-02-04 00:00:00+00,0.99,1.03,0.98,1.03,4.04,766226,774.85,230
2011-02-07 00:00:00+00,1.03,1.03,1,1,-2.91,315358,318.75,122
2011-02-08 00:00:00+00,1,1.01,0.99,1,0,158424,157.61,66
2011-02-09 00:00:00+00,1,1.02,0.99,1.02,2,259049,257.74,69
2011-02-10 00:00:00+00,1.01,1.01,0.99,1,-1.96,176555,176.28,48
2011-02-11 00:00:00+00,1,1,0.99,1,0,256148,254.38,61
2011-02-14 00:00:00+00,0.99,1.01,0.98,1,0,552177,549.22,100
2011-02-15 00:00:00+00,1,1,0.97,0.99,-1,456372,450.72,110
2011-02-16 00:00:00+00,0.99,0.99,0.97,0.99,0,110373,108.3,51
2011-02-17 00:00:00+00,0.99,1,0.98,0.99,0,881255,877.39,130
2011-02-18 00:00:00+00,0.99,0.99,0.9,0.97,-2.02,925864,874.04,289
2011-02-21 00:00:00+00,0.98,0.99,0.95,0.96,-1.03,525482,505.44,94
2011-02-22 00:00:00+00,0.97,0.99,0.95,0.95,-1.04,177925,172.15,60
2011-02-23 00:00:00+00,0.95,0.96,0.94,0.95,0,317986,301.96,80
2011-02-24 00:00:00+00,0.96,0.96,0.94,0.94,-1.05,242558,230.24,50
2011-02-25 00:00:00+00,0.95,0.95,0.93,0.93,-1.06,144468,135.15,44
2011-02-28 00:00:00+00,0.95,0.98,0.95,0.97,4.3,789061,757.1,192
2011-03-01 00:00:00+00,0.97,0.97,0.95,0.95,-2.06,173690,166.14,58
2011-03-02 00:00:00+00,0.96,0.97,0.94,0.96,1.05,227356,216.98,50
2011-03-03 00:00:00+00,0.96,0.96,0.94,0.94,-2.08,189146,179.48,70
2011-03-04 00:00:00+00,0.96,0.97,0.93,0.97,3.19,497504,474.06,121
2011-03-07 00:00:00+00,0.95,1,0.95,0.97,0,482348,472.08,166
2011-03-08 00:00:00+00,0.98,0.98,0.95,0.96,-1.03,145705,139.31,63
2011-03-09 00:00:00+00,0.96,0.98,0.95,0.97,1.04,307188,295.11,93
2011-03-10 00:00:00+00,0.95,0.97,0.95,0.97,0,70733,67.76,40
2011-03-11 00:00:00+00,0.95,0.97,0.95,0.95,-2.06,166661,158.94,62
2011-03-14 00:00:00+00,0.95,0.97,0.95,0.97,2.11,344342,332.15,78
2011-03-15 00:00:00+00,0.96,0.97,0.93,0.93,-4.12,458994,431.57,125
2011-03-16 00:00:00+00,0.95,0.96,0.94,0.96,3.23,35330,33.6,31
2011-03-17 00:00:00+00,0.96,0.96,0.95,0.95,-1.04,16091,15.31,17
2011-03-18 00:00:00+00,0.96,0.96,0.93,0.94,-1.05,58273,54.97,36
2011-03-21 00:00:00+00,0.94,0.97,0.94,0.95,1.06,292394,280.95,77
2011-03-22 00:00:00+00,0.97,0.97,0.95,0.97,2.11,177308,171.34,62
2011-03-23 00:00:00+00,0.97,0.97,0.96,0.97,0,72266,69.81,40
2011-03-24 00:00:00+00,0.97,1.03,0.96,1.03,6.19,1065253,1060.72,266
2011-03-25 00:00:00+00,1.04,1.05,1.03,1.03,0,317495,329.96,108
2011-03-28 00:00:00+00,1.04,1.04,1,1.01,-1.94,344906,350.28,76
2011-03-29 00:00:00+00,1.02,1.02,0.99,0.99,-1.98,167165,166.68,63
2011-03-30 00:00:00+00,1,1.01,0.98,0.99,0,185995,184.25,69
2011-03-31 00:00:00+00,1,1.01,0.99,1,1.01,67631,67.34,38
2011-04-01 00:00:00+00,0.99,1,0.98,1,0,120338,120.06,43
2011-04-04 00:00:00+00,1,1,0.98,1,0,114762,113.93,54
2011-04-05 00:00:00+00,0.99,1,0.99,1,0,128475,127.87,58
2011-04-06 00:00:00+00,1,1.01,0.98,0.99,-1,178890,177.46,73
2011-04-07 00:00:00+00,0.99,0.99,0.96,0.97,-2.02,280687,273.49,67
2011-04-08 00:00:00+00,0.98,0.99,0.98,0.98,1.03,623589,615.14,77
2011-04-11 00:00:00+00,0.97,0.98,0.97,0.97,-1.02,436469,423.49,27
2011-04-12 00:00:00+00,0.99,0.99,0.97,0.97,0,269831,266.63,38
2011-04-13 00:00:00+00,0.98,0.99,0.96,0.98,1.03,653504,635.83,97
2011-04-14 00:00:00+00,0.98,0.98,0.97,0.98,0,61239,59.83,29
2011-04-15 00:00:00+00,0.97,0.97,0.96,0.97,-1.02,166165,159.82,44
2011-04-18 00:00:00+00,0.96,0.98,0.96,0.97,0,237554,231.19,62
2011-04-19 00:00:00+00,0.97,0.97,0.95,0.96,-1.03,346342,332.54,63
2011-04-20 00:00:00+00,0.97,0.98,0.96,0.98,2.08,147472,143.61,46
2011-04-21 00:00:00+00,0.97,1,0.97,0.99,1.02,2011101,1990.18,177
2011-04-26 00:00:00+00,0.98,1.02,0.98,0.98,-1.01,587623,589.09,135
2011-04-27 00:00:00+00,0.98,0.99,0.96,0.98,0,187007,182.6,65
2011-04-28 00:00:00+00,0.97,0.98,0.96,0.97,-1.02,53731,51.97,28
2011-04-29 00:00:00+00,0.97,0.98,0.96,0.96,-1.03,68987,66.6,47
2011-05-02 00:00:00+00,0.96,1.01,0.96,1,4.17,312461,310.06,82
2011-05-04 00:00:00+00,1,1.01,0.97,1,0,105245,104.35,62
2011-05-05 00:00:00+00,0.99,1.01,0.97,0.99,-1,212485,211.15,93
2011-05-06 00:00:00+00,1,1,0.99,1,1.01,87390,86.75,54
2011-05-09 00:00:00+00,1,1,0.98,0.99,-1,208605,206.19,62
2011-05-10 00:00:00+00,0.99,1.02,0.98,1.02,3.03,476106,477.51,131
2011-05-11 00:00:00+00,1.02,1.07,0.99,0.99,-2.94,2073643,2143.7,481
2011-05-12 00:00:00+00,1,1,0.96,0.99,0,547898,535.51,171
2011-05-13 00:00:00+00,1,1.01,0.99,1,1.01,140307,139.86,79
2011-05-16 00:00:00+00,0.99,1,0.99,0.99,-1,162273,160.86,45
2011-05-17 00:00:00+00,1,1,0.98,1,1.01,282419,279.6,69
2011-05-18 00:00:00+00,0.99,1.01,0.99,1.01,1,223521,224.83,73
2011-05-19 00:00:00+00,1.01,1.05,1.01,1.04,2.97,1260431,1308.22,322
2011-05-20 00:00:00+00,1.04,1.05,1.02,1.04,0,392315,407.72,135
2011-05-23 00:00:00+00,1.04,1.1,1.01,1.08,3.85,2018161,2158.96,500
2011-05-24 00:00:00+00,1.06,1.07,1.02,1.02,-5.56,1608716,1664.06,317
2011-05-25 00:00:00+00,1.02,1.02,0.98,0.99,-2.94,793475,790.11,238
2011-05-26 00:00:00+00,1,1.01,0.99,0.99,0,273541,272.16,91
2011-05-27 00:00:00+00,0.99,1,0.98,1,1.01,158214,156.53,70
2011-05-30 00:00:00+00,1,1.01,0.97,0.98,-2,244776,240.49,89
2011-05-31 00:00:00+00,0.98,1,0.97,1,2.04,477859,468.75,108
2011-06-01 00:00:00+00,0.98,0.99,0.97,0.98,-2,130953,127.9,69
2011-06-02 00:00:00+00,0.97,0.99,0.97,0.99,1.02,50031,49.16,39
2011-06-03 00:00:00+00,0.98,1,0.97,0.99,0,183238,180.11,49
2011-06-06 00:00:00+00,0.99,1.03,0.97,0.98,-1.01,1438095,1439.17,312
2011-06-07 00:00:00+00,0.97,0.98,0.93,0.95,-3.06,797380,758.54,266
2011-06-08 00:00:00+00,0.94,0.96,0.93,0.93,-2.11,280326,262.77,98
2011-06-09 00:00:00+00,0.93,0.95,0.93,0.94,1.08,175006,163.69,69
2011-06-10 00:00:00+00,0.95,0.96,0.91,0.92,-2.13,315525,294.4,124
2011-06-13 00:00:00+00,0.94,0.94,0.91,0.92,0,81649,75.06,52
2011-06-14 00:00:00+00,0.94,0.94,0.92,0.94,2.17,23293,21.66,29
2011-06-15 00:00:00+00,0.94,0.94,0.92,0.94,0,96761,89.98,57
2011-06-16 00:00:00+00,0.93,0.94,0.92,0.94,0,38307,35.65,38
2011-06-17 00:00:00+00,0.94,0.95,0.92,0.93,-1.06,101660,94.85,40
2011-06-20 00:00:00+00,0.94,0.94,0.88,0.89,-4.3,152800,138.04,64
2011-06-21 00:00:00+00,0.88,0.9,0.85,0.86,-3.37,177461,154.24,96
2011-06-22 00:00:00+00,0.86,0.86,0.82,0.82,-4.65,215841,180.97,71
2011-06-24 00:00:00+00,0.82,0.88,0.81,0.83,1.22,222574,185.8,91
2011-06-27 00:00:00+00,0.83,0.84,0.82,0.83,0,82500,68.44,56
2011-06-28 00:00:00+00,0.84,0.85,0.84,0.85,2.41,89449,75.18,46
2011-06-29 00:00:00+00,0.85,0.87,0.85,0.87,2.35,71851,61.76,37
2011-06-30 00:00:00+00,0.86,0.87,0.85,0.87,0,196196,168.6,64
2011-07-01 00:00:00+00,0.86,0.86,0.84,0.84,-3.45,83300,70.57,45
2011-07-04 00:00:00+00,0.86,0.86,0.84,0.84,0,64111,54.4,46
2011-07-05 00:00:00+00,0.84,0.84,0.81,0.82,-2.38,169469,139.62,47
2011-07-06 00:00:00+00,0.84,0.84,0.81,0.82,0,146551,119.27,61
2011-07-07 00:00:00+00,0.82,0.84,0.8,0.84,2.44,306965,252.56,70
2011-07-08 00:00:00+00,0.82,0.84,0.82,0.83,-1.19,59732,49.31,22
2011-07-11 00:00:00+00,0.83,0.84,0.82,0.82,-1.2,49127,40.63,24
2011-07-12 00:00:00+00,0.84,0.85,0.81,0.82,0,272220,224.85,110
2011-07-13 00:00:00+00,0.82,0.83,0.82,0.83,1.22,89060,73.51,32
2011-07-14 00:00:00+00,0.82,0.87,0.81,0.81,-2.41,557993,470.57,167
2011-07-15 00:00:00+00,0.82,0.83,0.8,0.83,2.47,126668,102.81,49
2011-07-18 00:00:00+00,0.83,0.83,0.8,0.81,-2.41,130213,106.27,56
2011-07-19 00:00:00+00,0.82,0.82,0.74,0.75,-7.41,303715,232.08,147
2011-07-20 00:00:00+00,0.75,0.76,0.71,0.73,-2.67,235073,173.53,74
2011-07-21 00:00:00+00,0.72,0.73,0.68,0.73,0,257696,182.05,108
2011-07-22 00:00:00+00,0.74,0.79,0.74,0.77,5.48,349768,267.46,125
2011-07-25 00:00:00+00,0.8,0.84,0.79,0.83,7.79,401486,329.24,132
2011-07-26 00:00:00+00,0.83,0.83,0.8,0.81,-2.41,161232,131.5,89
2011-07-27 00:00:00+00,0.81,0.81,0.79,0.79,-2.47,80609,64.65,36
2011-07-28 00:00:00+00,0.81,0.82,0.77,0.81,2.53,115363,92.58,59
2011-07-29 00:00:00+00,0.81,0.81,0.79,0.79,-2.47,102755,81.79,47
2011-08-01 00:00:00+00,0.8,0.81,0.79,0.79,0,44566,35.79,24
2011-08-02 00:00:00+00,0.81,0.81,0.79,0.81,2.53,58854,47.53,34
2011-08-03 00:00:00+00,0.79,0.81,0.75,0.76,-6.17,126962,98.62,67
2011-08-04 00:00:00+00,0.77,0.79,0.67,0.67,-11.84,261466,193.05,111
2011-08-05 00:00:00+00,0.65,0.68,0.59,0.66,-1.49,995873,617.4,291
2011-08-08 00:00:00+00,0.63,0.66,0.58,0.6,-9.09,533432,329.99,160
2011-08-09 00:00:00+00,0.6,0.6,0.5,0.55,-8.33,1045321,565.41,283
2011-08-10 00:00:00+00,0.59,0.6,0.55,0.56,1.82,453200,262.14,134
2011-08-11 00:00:00+00,0.56,0.59,0.55,0.59,5.36,174314,99.56,69
2011-08-12 00:00:00+00,0.6,0.64,0.57,0.59,0,511616,308.79,145
2011-08-16 00:00:00+00,0.6,0.6,0.58,0.6,1.69,395054,234.43,84
2011-08-17 00:00:00+00,0.59,0.6,0.58,0.59,-1.67,514268,303.63,89
2011-08-18 00:00:00+00,0.59,0.6,0.54,0.56,-5.08,397507,223.69,98
2011-08-19 00:00:00+00,0.52,0.56,0.52,0.54,-3.57,532375,286.17,85
2011-08-22 00:00:00+00,0.54,0.56,0.53,0.53,-1.85,255976,138.25,88
2011-08-23 00:00:00+00,0.55,0.55,0.52,0.52,-1.89,776887,413.93,210
2011-08-24 00:00:00+00,0.54,0.54,0.49,0.49,-5.77,592160,299.1,149
2011-08-25 00:00:00+00,0.5,0.52,0.5,0.51,4.08,187218,94.64,65
2011-08-26 00:00:00+00,0.51,0.54,0.5,0.53,3.92,3154201,1583.94,130
2011-08-29 00:00:00+00,0.52,0.55,0.51,0.55,3.77,194219,103.54,85
2011-08-30 00:00:00+00,0.55,0.57,0.52,0.54,-1.82,264191,141.93,70
2011-08-31 00:00:00+00,0.54,0.55,0.53,0.53,-1.85,102651,55.02,44
2011-09-01 00:00:00+00,0.54,0.54,0.5,0.51,-3.77,158651,81.69,62
2011-09-02 00:00:00+00,0.51,0.51,0.48,0.49,-3.92,242866,119.39,72
2011-09-05 00:00:00+00,0.48,0.48,0.44,0.45,-8.16,515570,234.74,106
2011-09-06 00:00:00+00,0.45,0.45,0.41,0.43,-4.44,624064,265.33,138
2011-09-07 00:00:00+00,0.43,0.45,0.43,0.45,4.65,162942,71.86,55
2011-09-08 00:00:00+00,0.45,0.46,0.44,0.46,2.22,111112,50.32,52
2011-09-09 00:00:00+00,0.44,0.46,0.44,0.45,-2.17,131943,58.91,49
2011-09-12 00:00:00+00,0.45,0.45,0.39,0.39,-13.33,416787,166.79,151
2011-09-13 00:00:00+00,0.39,0.39,0.36,0.37,-5.13,1089640,407.58,190
2011-09-14 00:00:00+00,0.37,0.39,0.36,0.36,-2.7,178943,66.22,56
2011-09-15 00:00:00+00,0.37,0.37,0.34,0.36,0,279589,100.44,79
2011-09-16 00:00:00+00,0.36,0.41,0.36,0.39,8.33,455447,178.01,111
2011-09-19 00:00:00+00,0.39,0.39,0.36,0.36,-7.69,393026,144.34,96
2011-09-20 00:00:00+00,0.36,0.38,0.35,0.38,5.56,176631,64.83,59
2011-09-21 00:00:00+00,0.38,0.4,0.38,0.4,5.26,172745,67.2,60
2011-09-22 00:00:00+00,0.38,0.4,0.37,0.37,-7.5,211947,79.88,79
2011-09-23 00:00:00+00,0.38,0.38,0.35,0.37,0,345416,122.78,109
2011-09-26 00:00:00+00,0.36,0.38,0.36,0.37,0,176832,65.56,35
2011-09-27 00:00:00+00,0.37,0.39,0.37,0.38,2.7,108774,40.81,37
2011-09-28 00:00:00+00,0.38,0.38,0.36,0.37,-2.63,256406,94.38,42
2011-09-29 00:00:00+00,0.37,0.37,0.36,0.37,0,147186,54.02,29
2011-09-30 00:00:00+00,0.36,0.38,0.36,0.38,2.7,70472,25.92,37
2011-10-03 00:00:00+00,0.37,0.38,0.36,0.37,-2.63,120739,44.55,31
2011-10-04 00:00:00+00,0.37,0.37,0.35,0.36,-2.7,212881,75.72,55
2011-10-05 00:00:00+00,0.37,0.37,0.36,0.36,0,95557,34.9,30
2011-10-06 00:00:00+00,0.37,0.43,0.37,0.42,16.67,1081726,432.16,171
2011-10-07 00:00:00+00,0.42,0.45,0.42,0.44,4.76,387026,167.62,109
2011-10-10 00:00:00+00,0.43,0.46,0.41,0.46,4.55,309422,135.61,79
2011-10-11 00:00:00+00,0.46,0.46,0.44,0.46,0,68852,30.86,30
2011-10-12 00:00:00+00,0.45,0.46,0.42,0.44,-4.35,840738,363.01,153
2011-10-13 00:00:00+00,0.43,0.44,0.42,0.43,-2.27,225819,96.44,43
2011-10-14 00:00:00+00,0.43,0.46,0.42,0.45,4.65,273994,120.88,71
2011-10-17 00:00:00+00,0.46,0.46,0.43,0.45,0,140210,62.88,54
2011-10-18 00:00:00+00,0.43,0.45,0.43,0.45,0,128422,55.91,39
2011-10-19 00:00:00+00,0.45,0.45,0.43,0.45,0,124729,55.33,39
2011-10-20 00:00:00+00,0.45,0.45,0.43,0.44,-2.22,75568,32.74,25
2011-10-21 00:00:00+00,0.45,0.46,0.44,0.46,4.55,127395,57.1,52
2011-10-24 00:00:00+00,0.46,0.52,0.46,0.52,13.04,977138,487.89,230
2011-10-25 00:00:00+00,0.51,0.52,0.5,0.51,-1.92,214218,108.29,55
2011-10-26 00:00:00+00,0.5,0.51,0.49,0.51,0,114376,56.66,31
2011-10-27 00:00:00+00,0.52,0.54,0.5,0.51,0,486150,251.81,113
2011-10-28 00:00:00+00,0.51,0.52,0.49,0.51,0,379191,192.71,89
2011-10-31 00:00:00+00,0.52,0.52,0.47,0.47,-7.84,412948,199.14,99
2011-11-02 00:00:00+00,0.44,0.46,0.43,0.43,-8.51,391680,172.66,124
2011-11-03 00:00:00+00,0.43,0.45,0.42,0.43,0,299836,129.74,110
2011-11-04 00:00:00+00,0.43,0.45,0.42,0.43,0,206207,89.31,53
2011-11-07 00:00:00+00,0.44,0.44,0.43,0.43,0,114085,49.34,41
2011-11-08 00:00:00+00,0.43,0.46,0.43,0.45,4.65,274285,123.45,59
2011-11-09 00:00:00+00,0.45,0.47,0.44,0.45,0,385302,172.13,78
2011-11-10 00:00:00+00,0.43,0.45,0.43,0.45,0,150645,66.18,26
2011-11-14 00:00:00+00,0.45,0.47,0.45,0.46,2.22,150102,68.82,45
2011-11-15 00:00:00+00,0.46,0.46,0.44,0.46,0,73981,33.66,33
2011-11-16 00:00:00+00,0.45,0.5,0.45,0.5,8.7,456959,221.61,136
2011-11-17 00:00:00+00,0.5,0.5,0.48,0.48,-4,178334,86.75,43
2011-11-18 00:00:00+00,0.48,0.5,0.47,0.5,4.17,124662,60.86,43
2011-11-21 00:00:00+00,0.49,0.49,0.46,0.46,-8,225031,105.32,54
2011-11-22 00:00:00+00,0.46,0.47,0.45,0.46,0,77365,35.35,29
2011-11-23 00:00:00+00,0.45,0.47,0.45,0.45,-2.17,37013,17.02,28
2011-11-24 00:00:00+00,0.47,0.48,0.44,0.46,2.22,115734,52.5,42
2011-11-25 00:00:00+00,0.46,0.47,0.44,0.46,0,72380,32.93,32
2011-11-28 00:00:00+00,0.46,0.48,0.45,0.46,0,131880,60.74,56
2011-11-29 00:00:00+00,0.46,0.47,0.45,0.46,0,51130,23.18,20
2011-11-30 00:00:00+00,0.46,0.47,0.44,0.45,-2.17,284333,127.95,56
2011-12-01 00:00:00+00,0.45,0.46,0.45,0.46,2.22,30238,13.61,13
2011-12-02 00:00:00+00,0.44,0.46,0.44,0.45,-2.17,83668,37.62,23
2011-12-05 00:00:00+00,0.45,0.45,0.43,0.45,0,59586,26.3,16
2011-12-06 00:00:00+00,0.45,0.45,0.43,0.44,-2.22,96869,42.1,34
2011-12-07 00:00:00+00,0.43,0.44,0.43,0.44,0,29733,12.81,16
2011-12-08 00:00:00+00,0.44,0.46,0.42,0.44,0,303750,135.39,93
2011-12-09 00:00:00+00,0.43,0.44,0.43,0.44,0,87422,37.82,34
2011-12-12 00:00:00+00,0.44,0.45,0.42,0.44,0,114412,49.39,35
2011-12-13 00:00:00+00,0.44,0.44,0.42,0.44,0,34709,14.86,18
2011-12-14 00:00:00+00,0.44,0.44,0.42,0.43,-2.27,68674,29.02,25
2011-12-15 00:00:00+00,0.42,0.43,0.41,0.43,0,67535,28.11,40
2011-12-16 00:00:00+00,0.43,0.43,0.4,0.4,-6.98,142241,57.68,63
2011-12-19 00:00:00+00,0.36,0.39,0.35,0.36,-10,602159,219.3,166
2011-12-20 00:00:00+00,0.36,0.4,0.35,0.39,8.33,619727,226.44,114
2011-12-21 00:00:00+00,0.4,0.41,0.39,0.41,5.13,159068,63.07,64
2011-12-22 00:00:00+00,0.39,0.46,0.39,0.44,7.32,511210,218.01,119
2011-12-23 00:00:00+00,0.45,0.48,0.45,0.46,4.55,399146,185.62,126
2011-12-27 00:00:00+00,0.45,0.46,0.41,0.44,-4.35,857914,362.05,130
2011-12-28 00:00:00+00,0.42,0.45,0.42,0.45,2.27,318658,139.41,56
2011-12-29 00:00:00+00,0.45,0.46,0.43,0.45,0,146326,64.67,47
2011-12-30 00:00:00+00,0.44,0.45,0.43,0.43,-4.44,266773,115.78,88
2012-01-02 00:00:00+00,0.43,0.45,0.43,0.43,0,68460,29.79,30
2012-01-03 00:00:00+00,0.43,0.44,0.42,0.43,0,145758,62.75,42
2012-01-04 00:00:00+00,0.44,0.44,0.43,0.44,2.33,105646,45.71,23
2012-01-05 00:00:00+00,0.44,0.44,0.42,0.44,0,182717,77.93,42
2012-01-09 00:00:00+00,0.44,0.44,0.42,0.44,0,84103,35.92,33
2012-01-10 00:00:00+00,0.44,0.44,0.42,0.44,0,85211,36.63,70
2012-01-11 00:00:00+00,0.44,0.44,0.42,0.44,0,87257,37.55,41
2012-01-12 00:00:00+00,0.44,0.46,0.44,0.46,4.55,493600,221.28,126
2012-01-13 00:00:00+00,0.46,0.46,0.44,0.45,-2.17,175904,78.15,54
2012-01-16 00:00:00+00,0.45,0.46,0.45,0.45,0,152050,68.57,43
2012-01-17 00:00:00+00,0.46,0.46,0.44,0.46,2.22,240647,109.34,68
2012-01-18 00:00:00+00,0.45,0.46,0.43,0.45,-2.17,295903,131.85,71
2012-01-19 00:00:00+00,0.45,0.46,0.43,0.45,0,228273,101.68,81
2012-01-20 00:00:00+00,0.45,0.46,0.44,0.46,2.22,189800,85.41,44
2012-01-23 00:00:00+00,0.45,0.48,0.45,0.47,2.17,372669,171.84,84
2012-01-24 00:00:00+00,0.47,0.47,0.46,0.47,0,226972,104.82,37
2012-01-25 00:00:00+00,0.46,0.47,0.45,0.46,-2.13,148287,67.72,39
2012-01-26 00:00:00+00,0.46,0.48,0.45,0.47,2.17,568855,267.16,91
2012-01-27 00:00:00+00,0.48,0.51,0.47,0.48,2.13,954207,469.18,173
2012-01-30 00:00:00+00,0.49,0.51,0.48,0.48,0,282079,138.44,79
2012-01-31 00:00:00+00,0.49,0.51,0.48,0.49,2.08,384207,189.65,81
2012-02-01 00:00:00+00,0.5,0.51,0.49,0.51,4.08,278216,140.67,68
2012-02-02 00:00:00+00,0.52,0.54,0.51,0.54,5.88,682548,358.22,128
2012-02-03 00:00:00+00,0.54,0.59,0.54,0.56,3.7,1112762,634.78,246
2012-02-06 00:00:00+00,0.58,0.61,0.57,0.61,8.93,813269,485.97,211
2012-02-07 00:00:00+00,0.62,0.64,0.56,0.57,-6.56,1609431,945.63,373
2012-02-08 00:00:00+00,0.57,0.59,0.55,0.58,1.75,881712,505.78,208
2012-02-09 00:00:00+00,0.58,0.59,0.55,0.57,-1.72,587100,331.84,124
2012-02-10 00:00:00+00,0.56,0.57,0.55,0.57,0,191148,107.38,66
2012-02-13 00:00:00+00,0.56,0.58,0.56,0.57,0,122926,70.3,58
2012-02-14 00:00:00+00,0.58,0.61,0.58,0.6,5.26,526068,311.55,116
2012-02-15 00:00:00+00,0.6,0.61,0.59,0.61,1.67,412615,248.7,104
2012-02-16 00:00:00+00,0.6,0.61,0.58,0.6,-1.64,223372,131.71,59
2012-02-17 00:00:00+00,0.6,0.62,0.59,0.61,1.67,576721,346.77,115
2012-02-20 00:00:00+00,0.61,0.7,0.61,0.68,11.48,1786907,1184.4,337
2012-02-21 00:00:00+00,0.68,0.68,0.64,0.67,-1.47,474681,315.19,117
2012-02-22 00:00:00+00,0.66,0.67,0.63,0.66,-1.49,484607,311.35,121
2012-02-23 00:00:00+00,0.66,0.66,0.62,0.65,-1.52,348206,221.86,99
2012-02-24 00:00:00+00,0.65,0.65,0.6,0.6,-7.69,515297,316.36,139
