date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,4.1,4.13,4.1,4.12,1.23,4105,33.78,15
2005-01-04 00:00:00+00,4.19,4.19,4.1,4.12,0,17933,148.42,32
2005-01-05 00:00:00+00,4.13,4.13,4.09,4.11,-0.24,6384,52.6,13
2005-01-06 00:00:00+00,4.13,4.13,4.09,4.11,0,11169,91.73,17
2005-01-07 00:00:00+00,4.09,4.11,4.06,4.11,0,5584,45.56,16
2005-01-10 00:00:00+00,4.13,4.15,4,4.04,-1.7,79344,637.47,31
2005-01-11 00:00:00+00,4.04,4.08,3.95,4.03,-0.25,134908,1077,55
2005-01-12 00:00:00+00,4.04,4.04,3.95,4.02,-0.25,41646,332.65,45
2005-01-13 00:00:00+00,4.05,4.09,3.98,4.04,0.5,16711,134.17,34
2005-01-14 00:00:00+00,4.04,4.06,3.97,4.02,-0.5,46971,376.93,36
2005-01-17 00:00:00+00,3.98,4.09,3.98,4.08,1.49,24690,200.13,46
2005-01-18 00:00:00+00,3.97,4.07,3.97,3.98,-2.45,15262,123.4,25
2005-01-19 00:00:00+00,3.6,4.04,3.6,4,0.5,56363,443.49,70
2005-01-20 00:00:00+00,3.95,3.99,3.9,3.99,-0.25,41763,329.95,35
2005-01-21 00:00:00+00,3.99,3.99,3.9,3.95,-1,25638,201.35,26
2005-01-24 00:00:00+00,3.95,3.96,3.95,3.95,0,13532,106.92,11
2005-01-25 00:00:00+00,3.97,3.99,3.96,3.99,1.01,9597,76.22,12
2005-01-26 00:00:00+00,3.99,3.99,3.99,3.99,0,4000,31.92,9
2005-01-27 00:00:00+00,3.9,3.99,3.9,3.96,-0.75,14175,111.19,13
2005-01-28 00:00:00+00,3.96,4.01,3.96,4,1.01,44905,359.05,40
2005-01-31 00:00:00+00,4,4,3.98,3.98,-0.5,14806,118.27,22
2005-02-01 00:00:00+00,3.98,4.15,3.98,4.09,2.76,260295,2113.95,293
2005-02-02 00:00:00+00,4.19,4.26,4.09,4.15,1.47,106085,884.13,138
2005-02-03 00:00:00+00,4.11,4.13,4.05,4.08,-1.69,54714,447.44,69
2005-02-04 00:00:00+00,4.11,4.11,4,4.07,-0.25,46901,379.48,51
2005-02-07 00:00:00+00,4.07,4.07,4,4.01,-1.47,8594,69.13,24
2005-02-08 00:00:00+00,4.01,4.02,3.99,4.02,0.25,28217,225.89,37
2005-02-09 00:00:00+00,4.02,4.04,3.99,4.02,0,20808,166.7,35
2005-02-10 00:00:00+00,4.06,4.11,3.99,4.04,0.5,114616,928.57,84
2005-02-11 00:00:00+00,4.04,4.04,3.99,4,-0.99,30518,244.38,45
2005-02-14 00:00:00+00,4,4,3.98,4,0,24952,199.56,29
2005-02-15 00:00:00+00,3.95,4,3.95,3.99,-0.25,25547,203.98,38
2005-02-16 00:00:00+00,3.98,3.98,3.87,3.95,-1,40185,316.1,49
2005-02-17 00:00:00+00,3.95,3.95,3.9,3.9,-1.27,20179,158.11,33
2005-02-18 00:00:00+00,3.9,3.9,3.85,3.86,-1.03,35402,273.51,43
2005-02-21 00:00:00+00,3.86,3.89,3.8,3.84,-0.52,25244,194.05,35
2005-02-22 00:00:00+00,3.83,3.87,3.8,3.85,0.26,8397,64.41,17
2005-02-23 00:00:00+00,3.83,3.87,3.81,3.87,0.52,20638,158.13,34
2005-02-24 00:00:00+00,3.87,3.88,3.83,3.84,-0.78,3957,30.42,12
2005-02-25 00:00:00+00,3.83,3.9,3.8,3.86,0.52,71961,549.74,60
2005-02-28 00:00:00+00,3.86,3.86,3.75,3.78,-2.07,6637,50.27,16
2005-03-01 00:00:00+00,3.7,3.8,3.7,3.75,-0.79,12745,95.7,22
2005-03-02 00:00:00+00,3.75,3.79,3.7,3.75,0,67390,499.46,30
2005-03-03 00:00:00+00,3.74,3.74,3.7,3.72,-0.8,330189,2463.37,30
2005-03-04 00:00:00+00,3.72,3.83,3.71,3.83,2.96,16033,119.71,36
2005-03-07 00:00:00+00,3.83,3.84,3.74,3.8,-0.78,8154,61.97,24
2005-03-08 00:00:00+00,3.76,3.76,3.73,3.73,-1.84,3929,29.4,9
2005-03-09 00:00:00+00,3.78,3.78,3.72,3.75,0.54,9616,71.8,20
2005-03-10 00:00:00+00,3.7,3.73,3.65,3.73,-0.53,15150,112.57,41
2005-03-11 00:00:00+00,3.73,3.83,3.7,3.83,2.68,11781,88.26,20
2005-03-14 00:00:00+00,3.79,3.86,3.5,3.8,-0.78,8656,63.68,29
2005-03-15 00:00:00+00,3.7,3.8,3.67,3.77,-0.79,11385,84.36,33
2005-03-16 00:00:00+00,3.75,3.75,3.65,3.73,-1.06,18998,140.16,25
2005-03-17 00:00:00+00,3.65,3.7,3.6,3.64,-2.41,61488,448.5,28
2005-03-18 00:00:00+00,3.6,3.75,3.6,3.75,3.02,72250,535.88,52
2005-03-21 00:00:00+00,3.8,3.8,3.62,3.7,-1.33,9688,70.93,16
2005-03-22 00:00:00+00,3.7,3.88,3.7,3.86,4.32,28211,214.35,42
2005-03-23 00:00:00+00,3.84,3.84,3.75,3.81,-1.3,2955,22.28,10
2005-03-24 00:00:00+00,3.88,3.9,3.74,3.88,1.84,22837,175.9,23
2005-03-29 00:00:00+00,3.9,3.9,3.81,3.88,0,2417,18.48,9
2005-03-30 00:00:00+00,3.8,3.86,3.78,3.8,-2.06,3484,26.43,8
2005-03-31 00:00:00+00,3.75,3.87,3.73,3.8,0,7268,54.76,13
2005-04-01 00:00:00+00,3.79,3.89,3.79,3.87,1.84,25325,195.82,18
2005-04-04 00:00:00+00,3.74,3.85,3.74,3.85,-0.52,1099,8.31,7
2005-04-05 00:00:00+00,3.84,3.98,3.75,3.95,2.6,373603,2903.93,57
2005-04-06 00:00:00+00,4,4,3.9,3.97,0.51,25467,201.86,30
2005-04-07 00:00:00+00,3.97,3.98,3.9,3.98,0.25,4622,36.56,15
2005-04-11 00:00:00+00,3.97,4,3.93,3.95,-0.75,37507,298.84,31
2005-04-12 00:00:00+00,3.95,3.97,3.91,3.94,-0.25,18039,142.7,23
2005-04-13 00:00:00+00,3.95,3.96,3.89,3.9,-1.02,15543,122.69,12
2005-04-14 00:00:00+00,3.89,3.9,3.65,3.8,-2.56,12883,96.89,28
2005-04-15 00:00:00+00,3.8,3.8,3.67,3.75,-1.32,22100,167.72,8
2005-04-18 00:00:00+00,3.7,3.74,3.7,3.74,-0.27,12619,93.51,12
2005-04-19 00:00:00+00,3.75,3.84,3.74,3.84,2.67,58888,451.65,21
2005-04-20 00:00:00+00,3.79,3.8,3.7,3.8,-1.04,2021,15.11,11
2005-04-21 00:00:00+00,3.75,3.77,3.65,3.77,-0.79,6582,48.58,21
2005-04-22 00:00:00+00,3.66,3.76,3.66,3.69,-2.12,3415,25.07,13
2005-04-25 00:00:00+00,3.77,3.77,3.65,3.7,0.27,2885,21.1,9
2005-04-26 00:00:00+00,3.7,3.76,3.67,3.73,0.81,17427,128.7,14
2005-04-27 00:00:00+00,3.73,3.73,3.66,3.72,-0.27,7382,54.54,14
2005-04-28 00:00:00+00,3.7,3.85,3.7,3.85,3.49,31139,235.77,32
2005-04-29 00:00:00+00,3.75,3.9,3.75,3.86,0.26,34019,264.74,20
2005-05-02 00:00:00+00,3.93,3.94,3.87,3.94,2.07,12792,99.49,15
2005-05-04 00:00:00+00,3.85,4.06,3.85,4.04,2.54,73777,591.22,75
2005-05-05 00:00:00+00,4.19,4.2,4,4.04,0,65252,538.77,107
2005-05-06 00:00:00+00,4,4.02,3.95,3.99,-1.24,30696,244.56,31
2005-05-09 00:00:00+00,3.99,3.99,3.85,3.85,-3.51,11821,93.07,25
2005-05-10 00:00:00+00,3.85,3.9,3.77,3.8,-1.3,7035,53.39,17
2005-05-11 00:00:00+00,3.66,3.8,3.66,3.79,-0.26,9056,68.34,17
2005-05-12 00:00:00+00,3.8,3.87,3.72,3.79,0,18759,141,35
2005-05-13 00:00:00+00,3.85,3.85,3.75,3.8,0.26,62275,476.97,26
2005-05-16 00:00:00+00,3.75,3.8,3.72,3.8,0,8080,60.84,16
2005-05-17 00:00:00+00,3.76,3.76,3.7,3.71,-2.37,30223,224.32,29
2005-05-18 00:00:00+00,3.75,3.78,3.7,3.75,1.08,23106,173.51,22
2005-05-19 00:00:00+00,3.78,3.87,3.75,3.85,2.67,58322,441.5,59
2005-05-20 00:00:00+00,3.79,3.85,3.77,3.84,-0.26,6280,47.68,13
2005-05-23 00:00:00+00,3.78,3.83,3.77,3.8,-1.04,10086,76.56,18
2005-05-24 00:00:00+00,3.8,3.83,3.78,3.82,0.53,15370,116.73,17
2005-05-25 00:00:00+00,3.8,3.8,3.75,3.78,-1.05,27464,207.23,40
2005-05-27 00:00:00+00,3.8,3.8,3.75,3.8,0.53,11520,87.01,12
2005-05-30 00:00:00+00,3.76,3.77,3.74,3.75,-1.32,7920,59.48,17
2005-05-31 00:00:00+00,3.75,3.8,3.75,3.8,1.33,3690,27.93,10
2005-06-01 00:00:00+00,3.74,3.8,3.74,3.8,0,2475,18.56,7
2005-06-02 00:00:00+00,3.74,3.79,3.74,3.76,-1.05,6055,45.55,11
2005-06-03 00:00:00+00,3.75,3.76,3.74,3.74,-0.53,8810,66.12,13
2005-06-06 00:00:00+00,3.76,3.76,3.74,3.76,0.53,11279,84.42,19
2005-06-07 00:00:00+00,3.75,3.75,3.74,3.75,-0.27,6170,46.24,11
2005-06-08 00:00:00+00,3.73,3.76,3.73,3.76,0.27,11378,85.27,19
2005-06-09 00:00:00+00,3.77,3.77,3.72,3.76,0,10953,81.8,19
2005-06-10 00:00:00+00,3.77,3.77,3.73,3.73,-0.8,2583,19.33,8
2005-06-13 00:00:00+00,3.78,3.78,3.75,3.78,1.34,7801,58.75,13
2005-06-14 00:00:00+00,3.77,3.8,3.74,3.74,-1.06,7825,58.95,19
2005-06-15 00:00:00+00,3.77,3.77,3.74,3.76,0.53,2219,16.65,6
2005-06-16 00:00:00+00,3.74,3.85,3.73,3.83,1.86,40255,305.22,47
2005-06-17 00:00:00+00,3.83,3.83,3.78,3.79,-1.04,6512,49.55,20
2005-06-20 00:00:00+00,3.76,3.78,3.74,3.78,-0.26,3096,23.25,8
2005-06-21 00:00:00+00,3.8,3.81,3.78,3.81,0.79,12585,95.71,15
2005-06-22 00:00:00+00,3.82,3.85,3.76,3.81,0,8120,61.5,18
2005-06-23 00:00:00+00,3.81,3.85,3.8,3.85,1.05,38135,291.08,27
2005-06-24 00:00:00+00,3.87,3.87,3.79,3.81,-1.04,7083,54.03,12
2005-06-27 00:00:00+00,3.81,3.81,3.78,3.78,-0.79,1119,8.5,3
2005-06-28 00:00:00+00,3.8,3.9,3.79,3.9,3.17,13604,104.59,27
2005-06-29 00:00:00+00,3.97,3.97,3.86,3.86,-1.03,19502,153.49,25
2005-06-30 00:00:00+00,3.94,3.95,3.86,3.88,0.52,36823,287.59,26
2005-07-01 00:00:00+00,3.92,3.92,3.8,3.9,0.52,8436,64.51,15
2005-07-04 00:00:00+00,3.9,3.94,3.85,3.86,-1.03,57471,448.45,37
2005-07-05 00:00:00+00,3.89,3.89,3.85,3.89,0.78,12874,99.68,17
2005-07-06 00:00:00+00,3.9,3.9,3.86,3.86,-0.77,1220,9.44,2
2005-07-07 00:00:00+00,3.86,3.88,3.8,3.83,-0.78,19585,150.33,26
2005-07-08 00:00:00+00,3.86,3.95,3.86,3.9,1.83,285267,2227.28,170
2005-07-11 00:00:00+00,3.95,4.06,3.95,4.01,2.82,152068,1217.92,155
