date,open,high,low,close,difference,volume,turnover,transactions
2012-04-25 00:00:00+00,99,99,99,99,0,2,0.2,1
2012-04-26 00:00:00+00,0,0,0,99,0,0,0,0
2012-04-27 00:00:00+00,99,99,99,99,0,4,0.4,1
2012-04-30 00:00:00+00,99,99,99,99,0,100,9.9,2
2012-05-02 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-04 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-07 00:00:00+00,94.5,94.5,94.5,94.5,-4.55,4,0.38,1
2012-05-08 00:00:00+00,98.95,98.95,98.95,98.95,4.71,1,0.1,1
2012-05-09 00:00:00+00,94.5,99,94.45,99,0.05,230,21.94,5
2012-05-10 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-11 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-14 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-15 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-16 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-17 00:00:00+00,0,0,0,99,0,0,0,0
2012-05-18 00:00:00+00,94.5,94.5,89,94.5,-4.55,274,25.43,5
2012-05-21 00:00:00+00,88.2,88.2,84,88.2,-6.67,328,27.92,8
2012-05-22 00:00:00+00,84,84,79.8,79.8,-9.52,1041,85.02,12
2012-05-23 00:00:00+00,79.6,79.6,76,76,-4.76,109,8.32,2
2012-05-24 00:00:00+00,76,76,74.55,74.55,-1.91,125,9.39,3
2012-05-25 00:00:00+00,0,0,0,74.55,0,0,0,0
2012-05-28 00:00:00+00,74.55,74.55,74.55,74.55,0,96,7.16,1
2012-05-29 00:00:00+00,0,0,0,74.55,0,0,0,0
2012-05-30 00:00:00+00,74.5,74.5,74.5,74.5,-0.07,102,7.6,1
2012-05-31 00:00:00+00,74,74,74,74,-0.67,10,0.74,1
2012-06-01 00:00:00+00,0,0,0,74,0,0,0,0
2012-06-04 00:00:00+00,0,0,0,74,0,0,0,0
2012-06-05 00:00:00+00,0,0,0,74,0,0,0,0
2012-06-06 00:00:00+00,0,0,0,74,0,0,0,0
2012-06-08 00:00:00+00,0,0,0,74,0,0,0,0
2012-06-11 00:00:00+00,0,0,0,74,0,0,0,0
2012-06-12 00:00:00+00,71.05,71.05,71,71,-4.05,231,16.4,3
2012-06-13 00:00:00+00,71,71,71,71,0,90,6.39,1
2012-06-14 00:00:00+00,0,0,0,71,0,0,0,0
2012-06-15 00:00:00+00,74.5,74.5,74.5,74.5,4.93,1,0.07,1
2012-06-18 00:00:00+00,0,0,0,74.5,0,0,0,0
2012-06-19 00:00:00+00,72,72,71,71,-4.7,3,0.22,2
2012-06-20 00:00:00+00,0,0,0,71,0,0,0,0
2012-06-21 00:00:00+00,0,0,0,71,0,0,0,0
2012-06-22 00:00:00+00,71,71,68.25,71,0,218,15.18,3
2012-06-25 00:00:00+00,74.45,74.45,74.45,74.45,4.86,1,0.07,1
2012-06-26 00:00:00+00,0,0,0,74.45,0,0,0,0
2012-06-27 00:00:00+00,0,0,0,74.45,0,0,0,0
2012-06-28 00:00:00+00,0,0,0,74.45,0,0,0,0
2012-06-29 00:00:00+00,71.4,74,71.4,74,-0.6,200,14.52,2
2012-07-02 00:00:00+00,74,74,74,74,0,100,7.4,1
2012-07-03 00:00:00+00,0,0,0,74,0,0,0,0
2012-07-04 00:00:00+00,0,0,0,74,0,0,0,0
2012-07-05 00:00:00+00,0,0,0,74,0,0,0,0
2012-07-06 00:00:00+00,0,0,0,74,0,0,0,0
2012-07-09 00:00:00+00,0,0,0,74,0,0,0,0
2012-07-10 00:00:00+00,73.6,73.6,73.6,73.6,-0.54,2,0.15,2
2012-07-11 00:00:00+00,73.5,73.5,73.5,73.5,-0.14,1,0.07,1
2012-07-12 00:00:00+00,0,0,0,73.5,0,0,0,0
2012-07-13 00:00:00+00,0,0,0,73.5,0,0,0,0
2012-07-16 00:00:00+00,70.1,70.1,70.1,70.1,-4.63,108,7.57,1
2012-07-17 00:00:00+00,66.9,66.9,66.9,66.9,-4.56,112,7.49,1
2012-07-18 00:00:00+00,64.1,64.1,64.1,64.1,-4.19,117,7.5,2
2012-07-19 00:00:00+00,0,0,0,64.1,0,0,0,0
2012-07-20 00:00:00+00,0,0,0,64.1,0,0,0,0
2012-07-23 00:00:00+00,0,0,0,64.1,0,0,0,0
2012-07-24 00:00:00+00,0,0,0,64.1,0,0,0,0
2012-07-25 00:00:00+00,63,63,60,60,-6.4,132,7.94,3
2012-07-26 00:00:00+00,57.75,57.75,57.75,57.75,-3.75,40,2.31,1
2012-07-27 00:00:00+00,55,55,55,55,-4.76,40,2.2,2
2012-07-30 00:00:00+00,57.75,57.75,57.75,57.75,5,133,7.68,3
2012-07-31 00:00:00+00,60,63,60,63,9.09,320,19.56,2
2012-08-01 00:00:00+00,63,63,63,63,0,120,7.56,1
2012-08-02 00:00:00+00,0,0,0,63,0,0,0,0
2012-08-03 00:00:00+00,0,0,0,63,0,0,0,0
2012-08-06 00:00:00+00,0,0,0,63,0,0,0,0
2012-08-07 00:00:00+00,60,60.55,57.75,60.55,-3.89,496,29.49,5
2012-08-08 00:00:00+00,0,0,0,60.55,0,0,0,0
2012-08-09 00:00:00+00,73.35,73.35,73.35,73.35,21.14,100,7.34,1
2012-08-10 00:00:00+00,73.45,73.45,70,70,-4.57,160,11.37,3
2012-08-13 00:00:00+00,0,0,0,70,0,0,0,0
2012-08-14 00:00:00+00,65,65,65,65,-7.14,116,7.54,1
2012-08-16 00:00:00+00,65,65,65,65,0,232,15.08,2
2012-08-17 00:00:00+00,62.05,65,62,65,0,100,6.35,4
2012-08-20 00:00:00+00,62,62,62,62,-4.62,98,6.08,1
2012-08-21 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-22 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-23 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-24 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-27 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-28 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-29 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-30 00:00:00+00,0,0,0,62,0,0,0,0
2012-08-31 00:00:00+00,63,63,62.95,62.95,1.53,240,15.11,2
2012-09-03 00:00:00+00,63,63,62,62,-1.51,321,20.1,3
2012-09-04 00:00:00+00,0,0,0,62,0,0,0,0
2012-09-05 00:00:00+00,0,0,0,62,0,0,0,0
2012-09-06 00:00:00+00,0,0,0,62,0,0,0,0
2012-09-07 00:00:00+00,60,60,60,60,-3.23,445,26.7,4
2012-09-10 00:00:00+00,0,0,0,60,0,0,0,0
2012-09-11 00:00:00+00,57.2,57.2,57.2,57.2,-4.67,132,7.55,1
2012-09-12 00:00:00+00,0,0,0,57.2,0,0,0,0
2012-09-13 00:00:00+00,57.5,57.5,57.5,57.5,0.52,220,12.65,1
2012-09-14 00:00:00+00,57.6,59.95,57.6,58.4,1.57,1330,76.94,8
2012-09-17 00:00:00+00,59,59,58.9,58.9,0.86,334,19.69,4
2012-09-18 00:00:00+00,0,0,0,58.9,0,0,0,0
2012-09-19 00:00:00+00,0,0,0,58.9,0,0,0,0
2012-09-20 00:00:00+00,0,0,0,58.9,0,0,0,0
2012-09-21 00:00:00+00,0,0,0,58.9,0,0,0,0
2012-09-24 00:00:00+00,0,0,0,58.9,0,0,0,0
2012-09-25 00:00:00+00,0,0,0,58.9,0,0,0,0
2012-09-26 00:00:00+00,56.2,56.65,55.5,56.65,-3.82,269,15.03,3
