date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,214.5,216,211,212,-1.17,23014,9853.64,77
2005-01-04 00:00:00+00,209,209,206.5,208,-1.89,1225,509.23,34
2005-01-05 00:00:00+00,206.5,207,205,207,-0.48,2860,1175.51,49
2005-01-06 00:00:00+00,204.5,204.5,194,194.5,-6.04,5860,2335.32,134
2005-01-07 00:00:00+00,194,194,190.5,193.5,-0.51,3372,1292.7,75
2005-01-10 00:00:00+00,192.5,192.5,186,186,-3.88,3053,1148.49,65
2005-01-11 00:00:00+00,186,193,186,191.5,2.96,3461,1318.25,49
2005-01-12 00:00:00+00,193,196.5,193,195.5,2.09,1761,685.37,29
2005-01-13 00:00:00+00,195,197,195,195,-0.26,2203,859.76,25
2005-01-14 00:00:00+00,195.5,199,195.5,199,2.05,1607,631.59,29
2005-01-17 00:00:00+00,203.5,204.5,200.5,204,2.51,1404,569.36,35
2005-01-18 00:00:00+00,203,205,202,202.5,-0.74,1521,617.42,25
2005-01-19 00:00:00+00,200.5,202,200.5,202,-0.25,700,281.35,18
2005-01-20 00:00:00+00,201.5,207,201.5,207,2.48,2389,970.02,33
2005-01-21 00:00:00+00,207.5,208,204,204,-1.45,3366,1392.58,16
2005-01-24 00:00:00+00,202.5,203,200,201,-1.47,3224,1305.83,20
2005-01-25 00:00:00+00,202.5,205,202.5,204.5,1.74,45,18.32,5
2005-01-26 00:00:00+00,204,204,202,202,-1.22,240,97.41,9
2005-01-27 00:00:00+00,203,205,203,204,0.99,46532,19076.38,27
2005-01-28 00:00:00+00,206,206.5,204,206.5,1.23,10769,4446.14,16
2005-01-31 00:00:00+00,204,207,204,207,0.24,18283,7567.1,24
2005-02-01 00:00:00+00,207,208,205,207,0,13111,5434.25,28
2005-02-02 00:00:00+00,206,207,205,206,-0.48,28612,11803.43,35
2005-02-03 00:00:00+00,207,210,206.5,210,1.94,38060,15898.18,66
2005-02-04 00:00:00+00,212,214,212,214,1.9,5284,2250.59,46
2005-02-07 00:00:00+00,214,219,213,217.5,1.64,6397,2779.84,53
2005-02-08 00:00:00+00,219.5,219.5,217.5,219,0.69,4489,1962.59,40
2005-02-09 00:00:00+00,219,222.5,217.5,221,0.91,14190,6234.95,69
2005-02-10 00:00:00+00,223,225,222,224.5,1.58,18056,8110,62
2005-02-11 00:00:00+00,221,225,217.5,224,-0.22,9670,4335.13,57
2005-02-14 00:00:00+00,222,223,220.5,221,-1.34,589,261.11,21
2005-02-15 00:00:00+00,221,224,221,223.5,1.13,33233,14866.23,29
2005-02-16 00:00:00+00,224.5,238,224.5,235,5.15,13787,6357.29,137
2005-02-17 00:00:00+00,235,240,235,236,0.43,6486,3083.45,83
2005-02-18 00:00:00+00,230.5,236,230.5,235,-0.42,18718,8794.12,48
2005-02-21 00:00:00+00,237,239.5,237,237,0.85,4650,2207.5,29
2005-02-22 00:00:00+00,238,242,235,242,2.11,5295,2530.86,40
2005-02-23 00:00:00+00,242,246,240,242,0,3835,1870.3,55
2005-02-24 00:00:00+00,246,248,246,247,2.07,5027,2487.39,26
2005-02-25 00:00:00+00,249.5,257,249,257,4.05,3152,1594.45,75
2005-02-28 00:00:00+00,259,270,253.5,253.5,-1.36,53189,27600.12,87
2005-03-01 00:00:00+00,253.5,260,253.5,259,2.17,3499,1802.07,45
2005-03-02 00:00:00+00,260,260.5,252,252,-2.7,12135,6236.19,36
2005-03-03 00:00:00+00,251.5,255,249,255,1.19,750,377.74,15
2005-03-04 00:00:00+00,253.5,255,247.5,254,-0.39,4908,2484.46,31
2005-03-07 00:00:00+00,257.5,262,257.5,262,3.15,2477,1286.82,32
2005-03-08 00:00:00+00,262.5,269.5,259.5,259.5,-0.95,3566,1905.03,49
2005-03-09 00:00:00+00,263.5,266.5,263,266.5,2.7,3439,1816.42,29
2005-03-10 00:00:00+00,267,269,264,269,0.94,1031,548.86,31
2005-03-11 00:00:00+00,268.5,268.5,259,263,-2.23,828,431.91,29
