date,open,high,low,close,difference,volume,turnover,transactions
2017-07-05 00:00:00+00,1.71,1.83,1.7,1.75,-28.28,115595,202.23,106
2017-07-06 00:00:00+00,1.74,1.74,1.57,1.6,-8.57,25042,41.58,32
2017-07-07 00:00:00+00,1.6,1.66,1.5,1.5,-6.25,30030,47.28,38
2017-07-10 00:00:00+00,1.55,1.55,1.49,1.49,-0.67,2400,3.7,5
2017-07-11 00:00:00+00,1.52,1.52,1.4,1.45,-2.68,716,1.05,4
2017-07-12 00:00:00+00,1.45,1.49,1.45,1.49,2.76,1749,2.54,4
2017-07-13 00:00:00+00,1.4,1.45,1.4,1.45,-2.68,20010,28.52,22
2017-07-14 00:00:00+00,1.39,1.45,1.38,1.45,0,39242,54.73,21
2017-07-17 00:00:00+00,1.43,1.44,1.4,1.44,-0.69,4240,6.02,7
2017-07-18 00:00:00+00,0,0,0,1.44,0,0,0,0
2017-07-19 00:00:00+00,1.36,1.4,1.36,1.39,-3.47,27605,37.71,12
2017-07-20 00:00:00+00,1.35,1.39,1.32,1.39,0,4240,5.82,8
2017-07-21 00:00:00+00,1.39,1.4,1.39,1.4,0.72,5000,6.99,2
2017-07-24 00:00:00+00,1.4,1.4,1.35,1.35,-3.57,10710,14.67,13
2017-07-25 00:00:00+00,1.33,1.33,1.29,1.29,-4.44,43363,56.65,30
2017-07-26 00:00:00+00,1.29,1.29,1.29,1.29,0,3406,4.39,6
2017-07-27 00:00:00+00,1.29,1.34,1.26,1.34,3.88,21282,28.05,24
2017-07-28 00:00:00+00,1.36,1.36,1.32,1.35,0.75,10925,14.77,13
2017-07-31 00:00:00+00,1.36,1.44,1.36,1.44,6.67,53760,75.22,33
2017-08-01 00:00:00+00,1.44,1.5,1.4,1.5,4.17,12170,17.8,15
2017-08-02 00:00:00+00,1.5,1.5,1.49,1.5,0,2000,2.99,3
2017-08-03 00:00:00+00,1.41,1.5,1.41,1.5,0,5080,7.61,6
2017-08-04 00:00:00+00,1.5,1.52,1.41,1.52,1.33,22562,33.3,15
2017-08-07 00:00:00+00,1.5,1.5,1.5,1.5,-1.32,1,0,1
2017-08-08 00:00:00+00,0,0,0,1.5,0,0,0,0
2017-08-09 00:00:00+00,0,0,0,1.5,0,0,0,0
2017-08-10 00:00:00+00,1.47,1.47,1.47,1.47,-2,1500,2.21,1
2017-08-11 00:00:00+00,1.47,1.47,1.37,1.4,-4.76,21993,32.01,8
2017-08-14 00:00:00+00,1.4,1.4,1.4,1.4,0,100,0.14,1
2017-08-16 00:00:00+00,1.38,1.38,1.38,1.38,-1.43,75459,104.13,9
2017-08-17 00:00:00+00,1.38,1.38,1.38,1.38,0,12541,17.31,3
2017-08-18 00:00:00+00,1.38,1.38,1.38,1.38,0,11840,16.34,3
2017-08-21 00:00:00+00,1.38,1.38,1.38,1.38,0,6000,8.28,5
2017-08-22 00:00:00+00,0,0,0,1.38,0,0,0,0
2017-08-23 00:00:00+00,1.35,1.35,1.35,1.35,-2.17,3373,4.55,4
2017-08-24 00:00:00+00,1.35,1.35,1.35,1.35,0,2127,2.87,2
2017-08-25 00:00:00+00,0,0,0,1.35,0,0,0,0
2017-08-28 00:00:00+00,0,0,0,1.35,0,0,0,0
2017-08-29 00:00:00+00,1.31,1.35,1.3,1.35,0,17373,22.61,11
2017-08-30 00:00:00+00,1.27,1.39,1.27,1.39,2.96,17100,23.31,14
2017-08-31 00:00:00+00,1.39,1.39,1.37,1.39,0,42700,59.03,19
2017-09-01 00:00:00+00,1.38,1.4,1.38,1.39,0,22501,31.21,17
2017-09-04 00:00:00+00,1.35,1.39,1.35,1.35,-2.88,4000,5.4,53
2017-09-05 00:00:00+00,1.34,1.34,1.34,1.34,-0.74,150,0.2,52
2017-09-06 00:00:00+00,1.34,1.34,1.34,1.34,0,95,0.13,50
2017-09-07 00:00:00+00,1.34,1.34,1.29,1.3,-2.99,46527,60.41,17
2017-09-08 00:00:00+00,1.3,1.3,1.3,1.3,0,16,0.02,2
2017-09-11 00:00:00+00,1.3,1.35,1.29,1.35,3.85,29724,39.38,14
2017-09-12 00:00:00+00,1.3,1.34,1.17,1.3,-3.7,69708,88.56,17
2017-09-13 00:00:00+00,1.3,1.3,1.3,1.3,0,12,0.02,2
2017-09-14 00:00:00+00,1.3,1.3,1.3,1.3,0,1008,1.31,3
2017-09-15 00:00:00+00,1.3,1.3,1.23,1.25,-3.85,70799,87.52,16
2017-09-18 00:00:00+00,1.25,1.25,1.25,1.25,0,5,0.01,1
2017-09-19 00:00:00+00,1.25,1.25,1.25,1.25,0,6,0.01,2
2017-09-20 00:00:00+00,1.25,1.28,1.17,1.28,2.4,25149,31.12,8
2017-09-21 00:00:00+00,1.25,1.25,1.17,1.25,-2.34,23981,29.67,19
2017-09-22 00:00:00+00,1.2,1.3,1.2,1.3,4,16526,20.5,13
2017-09-25 00:00:00+00,1.3,1.3,1.26,1.3,0,384,0.48,4
2017-09-26 00:00:00+00,1.28,1.28,1.22,1.28,-1.54,8201,10.18,10
2017-09-27 00:00:00+00,1.28,1.28,1.25,1.28,0,12626,15.99,12
2017-09-28 00:00:00+00,1.28,1.4,1.26,1.39,8.59,59582,78.19,20
2017-09-29 00:00:00+00,1.39,1.45,1.37,1.45,4.32,104079,148.81,31
2017-10-02 00:00:00+00,1.45,1.45,1.45,1.45,0,1,0,1
2017-10-03 00:00:00+00,1.43,1.43,1.37,1.4,-3.45,2633,3.62,9
2017-10-04 00:00:00+00,1.4,1.45,1.4,1.45,3.57,39846,56.63,48
2017-10-05 00:00:00+00,1.45,1.45,1.39,1.43,-1.38,2585,3.69,10
2017-10-06 00:00:00+00,1.36,1.43,1.36,1.43,0,9001,12.24,5
2017-10-09 00:00:00+00,1.41,1.43,1.4,1.43,0,3606,5.07,13
2017-10-10 00:00:00+00,1.43,1.45,1.41,1.45,1.4,31871,46.18,14
2017-10-11 00:00:00+00,1.45,1.53,1.44,1.53,5.52,64379,95.3,27
2017-10-12 00:00:00+00,1.5,1.53,1.5,1.53,0,221,0.33,4
2017-10-13 00:00:00+00,1.53,1.53,1.36,1.48,-3.27,27022,38.79,22
2017-10-16 00:00:00+00,1.48,1.48,1.4,1.47,-0.68,2150,3.02,5
