date,open,high,low,close,difference,volume,turnover,transactions
2018-12-18 00:00:00+00,21.5,25,19,20,7.58,29503,647.65,280
2018-12-19 00:00:00+00,21,21,18.18,18.19,-9.05,6439,122.54,64
2018-12-20 00:00:00+00,18.19,18.19,16.4,17.8,-2.14,2741,46.41,32
2018-12-21 00:00:00+00,17,19.44,17,19.44,9.21,2030,35.77,30
2018-12-27 00:00:00+00,19.9,19.9,18.1,18.44,-5.14,1293,24.41,23
2019-01-02 00:00:00+00,19.15,19.15,18,18.9,0.53,365,6.73,7
2019-01-03 00:00:00+00,18.89,18.89,18,18.69,-1.11,740,13.69,9
2019-01-04 00:00:00+00,18.69,18.69,18,18,-3.69,1048,18.89,14
2019-01-07 00:00:00+00,18,18.48,18,18.46,2.56,992,17.99,6
2019-01-08 00:00:00+00,18.46,18.46,17.8,18.44,-0.11,318,5.77,11
2019-01-09 00:00:00+00,18.4,18.69,18,18.69,1.36,523,9.6,16
2019-01-10 00:00:00+00,18.46,18.68,18.46,18.68,-0.05,35,0.65,3
2019-01-11 00:00:00+00,18.03,18.63,17.9,18.63,-0.27,797,14.54,12
2019-01-14 00:00:00+00,18.1,18.55,18.03,18.55,-0.43,873,15.89,16
2019-01-15 00:00:00+00,18.57,18.88,18.3,18.84,1.56,1836,33.95,16
2019-01-16 00:00:00+00,18.83,18.9,18.5,18.9,0.32,1153,21.71,13
2019-01-17 00:00:00+00,18.7,19,18.7,19,0.53,2330,43.95,24
2019-01-18 00:00:00+00,19,20.8,19,20.43,7.53,8457,164.67,67
2019-01-21 00:00:00+00,20.5,21.5,20.43,21.28,4.16,1880,39.51,49
2019-01-22 00:00:00+00,21.1,21.3,20.44,20.8,-2.26,1015,20.96,21
2019-01-23 00:00:00+00,20.8,21.08,19.16,21,0.96,2920,60.31,45
2019-01-24 00:00:00+00,21.05,22.5,21.05,22.2,5.71,1799,39.36,37
2019-01-25 00:00:00+00,22,26.4,22,24.9,12.16,6678,162.3,103
2019-01-28 00:00:00+00,24.88,27.2,23.55,25.9,4.02,8326,210.66,101
2019-01-29 00:00:00+00,25.98,28,25,28,8.11,10702,289.08,117
