date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,5.3,5.3,5.3,5.3,1.92,790,8.37,5
2005-01-04 00:00:00+00,5,5.25,5,5.25,-0.94,24,0.25,3
2005-01-05 00:00:00+00,5.2,5.2,5.2,5.2,-0.95,465,4.84,4
2005-01-06 00:00:00+00,5,5.15,5,5.15,-0.96,6,0.06,3
2005-01-07 00:00:00+00,5,5.15,5,5.15,0,117,1.2,6
2005-01-10 00:00:00+00,5.1,5.1,5.1,5.1,-0.97,300,3.06,4
2005-01-11 00:00:00+00,5,5,5,5,-1.96,1640,16.4,13
2005-01-12 00:00:00+00,5,5,5,5,0,2361,23.61,18
2005-01-13 00:00:00+00,5,5,5,5,0,729,7.29,3
2005-01-14 00:00:00+00,4.57,4.75,4.57,4.75,-5,2450,22.6,14
2005-01-17 00:00:00+00,4.8,4.94,4.8,4.94,4,651,6.31,4
2005-01-18 00:00:00+00,4.74,4.74,4.74,4.74,-4.05,100,0.95,1
2005-01-19 00:00:00+00,4.86,4.86,4.79,4.79,1.05,350,3.36,5
2005-01-20 00:00:00+00,4.78,4.78,4.78,4.78,-0.21,1410,13.48,11
2005-01-21 00:00:00+00,4.87,4.87,4.83,4.83,1.05,355,3.45,8
2005-01-24 00:00:00+00,4.5,4.5,4.5,4.5,-6.83,228,2.05,3
2005-01-25 00:00:00+00,0,0,0,4.5,0,0,0,0
2005-01-26 00:00:00+00,4.57,4.57,4.57,4.57,1.56,350,3.2,2
2005-01-27 00:00:00+00,4.78,4.78,4.78,4.78,4.6,130,1.24,2
2005-01-28 00:00:00+00,4.95,4.95,4.95,4.95,3.56,15,0.15,1
2005-01-31 00:00:00+00,0,0,0,4.95,0,0,0,0
2005-02-01 00:00:00+00,4.99,4.99,4.99,4.99,0.81,90,0.9,2
2005-02-02 00:00:00+00,4.95,5,4.95,5,0.2,1070,10.69,6
2005-02-03 00:00:00+00,5,5,5,5,0,1800,18,5
2005-02-04 00:00:00+00,4.88,4.88,4.88,4.88,-2.4,1001,9.77,6
