date,open,high,low,close,difference,volume,turnover,transactions
2008-12-19 00:00:00+00,2.8,2.8,2,2.48,-5.7,10638,52.41,21
2008-12-22 00:00:00+00,2.47,2.47,2.43,2.43,-2.02,1400,6.9,5
2008-12-23 00:00:00+00,2.45,2.48,2.2,2.21,-9.05,9351,43.71,17
2008-12-29 00:00:00+00,2.36,2.45,2.25,2.45,10.86,1706,7.8,5
2008-12-30 00:00:00+00,2.47,2.47,2.35,2.35,-4.08,900,4.4,3
2008-12-31 00:00:00+00,2.3,2.3,2.11,2.16,-8.09,9475,42.17,11
2009-01-05 00:00:00+00,2.1,2.31,2.1,2.31,6.94,6145,28.21,18
2009-01-06 00:00:00+00,2.25,2.25,2.25,2.25,-2.6,170,0.77,1
2009-01-07 00:00:00+00,2.26,2.26,2.26,2.26,0.44,5000,22.6,6
2009-01-08 00:00:00+00,2.3,2.3,2.3,2.3,1.77,10,0.05,1
2009-01-09 00:00:00+00,2.3,2.3,2.25,2.25,-2.17,654,2.96,3
2009-01-12 00:00:00+00,2.19,2.24,2.14,2.14,-4.89,1266,5.5,3
2009-01-13 00:00:00+00,2.14,2.14,2.14,2.14,0,2,0.01,1
2009-01-14 00:00:00+00,2.02,2.14,2.02,2.14,0,1798,7.43,4
2009-01-15 00:00:00+00,2.05,2.05,2.05,2.05,-4.21,22,0.09,1
2009-01-16 00:00:00+00,2.01,2.02,1.8,1.8,-12.2,5366,21.47,11
2009-01-19 00:00:00+00,1.98,1.98,1.71,1.71,-5,4218,15.18,6
2009-01-20 00:00:00+00,1.7,1.7,1.5,1.66,-2.92,4115,13.35,5
2009-01-21 00:00:00+00,1.51,1.51,1.4,1.4,-15.66,4054,12.15,6
2009-01-22 00:00:00+00,1.46,1.47,1.46,1.46,4.29,689,2.02,3
2009-01-23 00:00:00+00,1.54,1.54,1.54,1.54,5.48,3000,9.24,1
2009-01-26 00:00:00+00,1.53,1.53,1.53,1.53,-0.65,1000,3.06,1
2009-01-27 00:00:00+00,1.51,1.6,1.48,1.6,4.58,4185,13.12,6
2009-01-28 00:00:00+00,0,0,0,1.6,0,0,0,0
2009-01-29 00:00:00+00,1.65,1.65,1.65,1.65,3.13,300,0.99,1
2009-01-30 00:00:00+00,1.45,1.6,1.45,1.6,-3.03,3248,9.42,5
2009-02-02 00:00:00+00,0,0,0,1.6,0,0,0,0
2009-02-03 00:00:00+00,1.45,1.45,1.4,1.45,-9.38,3733,10.54,3
2009-02-04 00:00:00+00,1.45,1.45,1.37,1.45,0,2932,8.28,4
2009-02-05 00:00:00+00,1.4,1.4,1.18,1.18,-18.62,10767,26.94,14
2009-02-06 00:00:00+00,1.2,1.27,1.18,1.2,1.69,31058,74.85,61
2009-02-09 00:00:00+00,1.2,1.2,1.06,1.1,-8.33,42762,95.68,40
2009-02-10 00:00:00+00,1.13,1.15,1.08,1.1,0,45622,102.05,43
2009-02-11 00:00:00+00,1.1,1.12,1.04,1.1,0,78097,171.56,49
2009-02-12 00:00:00+00,1.1,1.1,0.99,0.99,-10,305259,611.18,181
2009-02-13 00:00:00+00,0.99,1,0.9,0.95,-4.04,1156342,2277.22,268
2009-02-16 00:00:00+00,0.95,1.15,0.95,1.15,21.05,330840,702.43,182
2009-02-17 00:00:00+00,1.17,1.29,1.06,1.14,-0.87,457317,1121.75,287
2009-02-18 00:00:00+00,1.14,1.18,1.06,1.16,1.75,73835,165.3,58
2009-02-19 00:00:00+00,1.19,1.34,1.17,1.23,6.03,251653,631.03,147
2009-02-20 00:00:00+00,1.18,1.18,1.11,1.17,-4.88,37327,85.03,38
2009-02-23 00:00:00+00,1.18,1.18,1.11,1.16,-0.85,24355,55.12,18
