date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,5.7,5.9,5.7,5.7,0,1223,14.34,6
2005-01-04 00:00:00+00,0,0,0,5.7,0,0,0,0
2005-01-05 00:00:00+00,5.7,5.8,5.65,5.8,1.75,2362,26.98,10
2005-01-06 00:00:00+00,5.85,5.85,5.6,5.8,0,2386,26.85,4
2005-01-07 00:00:00+00,5.85,5.9,5.85,5.9,1.72,2554,30.1,9
2005-01-10 00:00:00+00,5.95,5.95,5.75,5.75,-2.54,1360,15.78,6
2005-01-11 00:00:00+00,5.7,5.8,5.7,5.8,0.87,1400,16.04,3
2005-01-12 00:00:00+00,5.6,5.85,5.6,5.85,0.86,7835,90.92,16
2005-01-13 00:00:00+00,5.55,5.75,5.55,5.7,-2.56,6196,70.58,17
2005-01-14 00:00:00+00,5.8,5.9,5.8,5.8,1.75,8459,99.33,25
2005-01-17 00:00:00+00,5.8,5.8,5.5,5.55,-4.31,5619,62.72,28
2005-01-18 00:00:00+00,5.85,5.95,5.6,5.6,0.9,8265,96.75,29
2005-01-19 00:00:00+00,5.6,5.75,5.5,5.75,2.68,2764,30.7,12
2005-01-20 00:00:00+00,5.7,5.7,5.45,5.55,-3.48,2600,28.64,8
2005-01-21 00:00:00+00,5.7,5.7,5.55,5.55,0,1171,13.2,6
2005-01-24 00:00:00+00,5.6,5.6,5.6,5.6,0.9,326,3.65,2
2005-01-25 00:00:00+00,5.5,5.8,5.5,5.75,2.68,2564,29.12,9
2005-01-26 00:00:00+00,5.9,5.9,5.65,5.65,-1.74,183,2.11,3
2005-01-27 00:00:00+00,5.8,5.8,5.8,5.8,2.65,200,2.32,1
2005-01-28 00:00:00+00,5.7,5.8,5.65,5.8,0,1728,19.72,5
2005-01-31 00:00:00+00,5.8,5.8,5.6,5.6,-3.45,1841,21.02,10
2005-02-01 00:00:00+00,5.75,5.75,5.75,5.75,2.68,10,0.12,1
2005-02-02 00:00:00+00,5.75,7.7,5.65,7.7,33.91,93665,1275.41,249
2005-02-03 00:00:00+00,8.1,9,7.95,8.35,8.44,185199,3135,631
2005-02-04 00:00:00+00,8,8.35,7.65,8.1,-2.99,56458,899.19,185
2005-02-07 00:00:00+00,7.8,7.9,7.35,7.75,-4.32,42415,652.89,129
2005-02-08 00:00:00+00,7.7,7.7,7.25,7.6,-1.94,12163,182.19,52
2005-02-09 00:00:00+00,7.6,7.6,7.5,7.6,0,11058,167.59,25
2005-02-10 00:00:00+00,7.6,7.6,7.15,7.35,-3.29,7332,107.47,27
2005-02-11 00:00:00+00,7.2,7.3,6.65,6.65,-9.52,12352,171.88,39
2005-02-14 00:00:00+00,7,7,6.5,6.85,3.01,3151,43.28,18
2005-02-15 00:00:00+00,6.9,7.45,6.9,6.95,1.46,22839,320.63,89
2005-02-16 00:00:00+00,6.9,6.9,6.45,6.9,-0.72,12757,173.62,34
2005-02-17 00:00:00+00,6.9,6.9,6.8,6.85,-0.72,6802,93.25,23
2005-02-18 00:00:00+00,6.8,7,6.7,7,2.19,9006,123.78,17
2005-02-21 00:00:00+00,7,7,6.7,6.9,-1.43,10524,146.1,33
2005-02-22 00:00:00+00,6.75,6.85,6.75,6.75,-2.17,2244,30.41,22
2005-02-23 00:00:00+00,6.7,6.85,6.65,6.65,-1.48,4489,60.26,33
2005-02-24 00:00:00+00,7,7.1,6.65,6.95,4.51,27718,383.3,80
2005-02-25 00:00:00+00,7,7,6.7,6.9,-0.72,11565,159.46,35
2005-02-28 00:00:00+00,6.85,6.85,6.55,6.6,-4.35,22704,302.17,47
2005-03-01 00:00:00+00,6.55,6.55,6.45,6.5,-1.52,16402,213.8,28
2005-03-02 00:00:00+00,6.5,6.5,6.3,6.45,-0.77,9710,125.62,19
2005-03-03 00:00:00+00,6.5,6.7,6.5,6.5,0.78,3288,43.37,18
2005-03-04 00:00:00+00,6.6,6.9,6.55,6.8,4.62,21787,294.45,49
2005-03-07 00:00:00+00,6.75,6.75,6.55,6.7,-1.47,3610,47.87,16
2005-03-08 00:00:00+00,6.5,6.7,6.5,6.55,-2.24,8012,104.24,14
2005-03-09 00:00:00+00,6.7,6.7,6.6,6.65,1.53,4600,61.52,10
2005-03-10 00:00:00+00,6.7,6.7,6.55,6.55,-1.5,1687,22.32,8
2005-03-11 00:00:00+00,6.2,6.45,6.2,6.45,-1.53,5317,66.84,24
2005-03-14 00:00:00+00,6.2,6.3,6.15,6.3,-2.33,7446,92.11,23
2005-03-15 00:00:00+00,6.3,6.3,5.9,6.2,-1.59,10852,131.56,29
2005-03-16 00:00:00+00,6,6.2,5.7,5.9,-4.84,4785,56.95,19
2005-03-17 00:00:00+00,6,6,5.9,6,1.69,8772,104.89,32
2005-03-18 00:00:00+00,6.1,6.2,6,6.2,3.33,6316,77.06,19
2005-03-21 00:00:00+00,6.05,6.1,6,6.1,-1.61,2707,32.53,10
2005-03-22 00:00:00+00,6.2,6.2,6,6,-1.64,602,7.25,4
2005-03-23 00:00:00+00,6.1,6.1,5.8,5.9,-1.67,5487,64.53,12
2005-03-24 00:00:00+00,5.9,6,5.8,6,1.69,963,11.32,6
2005-03-29 00:00:00+00,6,6.2,6,6.1,1.67,5587,68.03,20
2005-03-30 00:00:00+00,6.1,6.1,6,6,-1.64,4269,51.28,10
2005-03-31 00:00:00+00,6,6.2,6,6,0,3132,38.11,24
2005-04-01 00:00:00+00,6.15,6.2,6.1,6.15,2.5,1650,20.31,10
2005-04-04 00:00:00+00,6,6,6,6,-2.44,700,8.4,2
2005-04-05 00:00:00+00,6,6.1,6,6,0,2146,25.82,10
2005-04-06 00:00:00+00,6.1,6.1,6.1,6.1,1.67,2,0.02,1
2005-04-07 00:00:00+00,6,6.05,6,6,-1.64,3095,37.19,9
2005-04-11 00:00:00+00,6,6,5.9,5.9,-1.67,292,3.48,3
2005-04-12 00:00:00+00,5.85,5.9,5.55,5.9,0,6890,79.51,22
2005-04-13 00:00:00+00,5.7,5.8,5.7,5.8,-1.69,1379,15.86,5
2005-04-14 00:00:00+00,5.75,5.75,5.75,5.75,-0.86,636,7.31,2
2005-04-15 00:00:00+00,5.6,5.6,5.45,5.55,-3.48,6203,68.44,16
2005-04-18 00:00:00+00,5.7,5.7,5.25,5.6,0.9,4349,47.79,19
2005-04-19 00:00:00+00,5.3,5.45,5.3,5.45,-2.68,1580,17.16,9
2005-04-20 00:00:00+00,5.35,5.65,5.35,5.4,-0.92,7352,79.62,11
2005-04-21 00:00:00+00,5.6,5.6,5.4,5.4,0,1495,16.23,5
2005-04-22 00:00:00+00,5.6,5.65,5.45,5.6,3.7,1986,22.2,9
2005-04-25 00:00:00+00,6.2,6.2,5.9,5.9,5.36,7429,91.56,32
2005-04-26 00:00:00+00,6,6,5.9,5.95,0.85,2953,35.02,14
2005-04-27 00:00:00+00,5.9,5.9,5.9,5.9,-0.84,3454,40.76,8
2005-04-28 00:00:00+00,6.05,6.15,5.85,6,1.69,6555,79.27,19
2005-04-29 00:00:00+00,5.8,5.8,5.5,5.75,-4.17,26232,292.95,49
2005-05-02 00:00:00+00,5.75,5.75,5.55,5.75,0,1441,16.33,8
2005-05-04 00:00:00+00,5.75,5.75,5.75,5.75,0,333,3.83,2
2005-05-05 00:00:00+00,5.6,5.6,5.5,5.6,-2.61,1100,12.25,4
2005-05-06 00:00:00+00,5.55,5.55,5.5,5.55,-0.89,3855,42.57,14
2005-05-09 00:00:00+00,5.4,5.65,5.4,5.65,1.8,2148,23.27,8
2005-05-10 00:00:00+00,0,0,0,5.65,0,0,0,0
2005-05-11 00:00:00+00,5.45,5.6,5.45,5.5,-2.65,105,1.16,3
2005-05-12 00:00:00+00,5.45,5.5,5.45,5.5,0,563,6.15,3
2005-05-13 00:00:00+00,5.4,5.4,5.4,5.4,-1.82,100,1.08,1
2005-05-16 00:00:00+00,5.4,5.4,5,5.1,-5.56,2724,27.74,15
2005-05-17 00:00:00+00,5.1,5.1,5.05,5.05,-0.98,2828,28.7,7
2005-05-18 00:00:00+00,5.05,5.4,5.05,5.2,2.97,1640,16.76,5
2005-05-19 00:00:00+00,5.2,5.2,5.2,5.2,0,861,8.95,3
2005-05-20 00:00:00+00,5.3,5.5,5.3,5.45,4.81,3589,38.82,17
2005-05-23 00:00:00+00,5.6,5.65,5.45,5.45,0,310,3.45,3
2005-05-24 00:00:00+00,5.5,5.6,5.5,5.55,1.83,1521,16.77,7
2005-05-25 00:00:00+00,5.5,5.65,5.5,5.65,1.8,2200,24.44,9
2005-05-27 00:00:00+00,5.7,5.8,5.7,5.75,1.77,2629,30.09,11
2005-05-30 00:00:00+00,5.8,5.9,5.8,5.85,1.74,3516,41.13,10
2005-05-31 00:00:00+00,5.85,5.85,5.6,5.6,-4.27,3689,42.61,11
2005-06-01 00:00:00+00,5.8,5.8,5.65,5.8,3.57,2700,31.28,8
2005-06-02 00:00:00+00,5.7,5.9,5.65,5.9,1.72,2121,24.25,13
2005-06-03 00:00:00+00,5.9,5.9,5.9,5.9,0,1,0.01,1
2005-06-06 00:00:00+00,5.8,5.8,5.7,5.75,-2.54,7784,88.94,39
2005-06-07 00:00:00+00,5.7,5.85,5.7,5.85,1.74,3901,44.56,9
2005-06-08 00:00:00+00,5.85,5.9,5.75,5.8,-0.85,14675,171.5,65
2005-06-09 00:00:00+00,5.75,5.8,5.5,5.6,-3.45,9819,111.89,43
2005-06-10 00:00:00+00,5.5,5.5,5.5,5.5,-1.79,100,1.1,1
2005-06-13 00:00:00+00,5.75,5.8,5.65,5.8,5.45,1529,17.57,7
2005-06-14 00:00:00+00,5.55,5.65,5.5,5.65,-2.59,1495,16.66,7
2005-06-15 00:00:00+00,5.75,5.8,5.7,5.8,2.65,4195,48.34,8
2005-06-16 00:00:00+00,5.75,5.8,5.75,5.8,0,900,10.42,4
2005-06-17 00:00:00+00,5.65,5.7,5.65,5.7,-1.72,3350,38.15,4
2005-06-20 00:00:00+00,5.6,5.75,5.6,5.6,-1.75,6082,68.13,9
2005-06-21 00:00:00+00,5.6,5.7,5.6,5.6,0,1650,18.62,7
2005-06-22 00:00:00+00,5.6,5.6,5.4,5.5,-1.79,7269,78.96,16
2005-06-23 00:00:00+00,5.55,5.55,5,5.05,-8.18,183006,1851.46,112
2005-06-24 00:00:00+00,5.3,5.3,5,5.2,2.97,110257,1113.48,115
2005-06-27 00:00:00+00,5.25,5.35,5.15,5.25,0.96,10000,105.09,34
2005-06-28 00:00:00+00,5.2,5.35,5.2,5.3,0.95,11546,122.15,27
2005-06-29 00:00:00+00,5.3,5.3,5.15,5.15,-2.83,16534,171.5,23
2005-06-30 00:00:00+00,5.2,5.2,5.1,5.1,-0.97,3482,35.81,12
2005-07-01 00:00:00+00,5.15,5.25,5.15,5.2,1.96,5051,52.42,18
2005-07-04 00:00:00+00,5.2,5.2,5.15,5.2,0,6194,64.27,11
2005-07-05 00:00:00+00,5.2,5.2,5.15,5.2,0,3088,31.98,7
2005-07-06 00:00:00+00,5.2,5.25,5.1,5.2,0,10402,107.39,22
2005-07-07 00:00:00+00,5.15,5.2,4.9,5.2,0,13196,135.33,32
2005-07-08 00:00:00+00,5.1,5.1,5.1,5.1,-1.92,30,0.31,1
2005-07-11 00:00:00+00,5.05,5.15,5,5.15,0.98,7629,77.43,20
2005-07-12 00:00:00+00,5.3,5.3,5.2,5.3,2.91,8986,95.23,15
2005-07-13 00:00:00+00,5.25,5.3,5.2,5.25,-0.94,12886,135.82,28
2005-07-14 00:00:00+00,5.3,5.3,5.2,5.3,0.95,9611,101.74,14
2005-07-15 00:00:00+00,5.2,5.3,5.2,5.3,0,6831,71.84,19
2005-07-18 00:00:00+00,5.2,5.25,5.2,5.25,-0.94,4525,47.37,6
2005-07-19 00:00:00+00,5.25,5.25,5.05,5.2,-0.95,1600,16.44,10
2005-07-20 00:00:00+00,5.25,5.25,5.05,5.15,-0.96,12951,133.92,33
2005-07-21 00:00:00+00,5.25,5.5,5.25,5.5,6.8,121921,1321.59,154
2005-07-22 00:00:00+00,5.5,5.95,5.5,5.9,7.27,159229,1837.72,279
2005-07-25 00:00:00+00,5.75,5.75,5.6,5.65,-4.24,14531,164.55,62
2005-07-26 00:00:00+00,5.8,5.9,5.6,5.9,4.42,40727,473.14,93
2005-07-27 00:00:00+00,5.85,5.85,5.65,5.65,-4.24,11202,127.48,39
2005-07-28 00:00:00+00,5.65,5.8,5.55,5.75,1.77,33327,376.02,63
2005-07-29 00:00:00+00,5.75,5.75,5.6,5.7,-0.87,6411,72.79,18
2005-08-01 00:00:00+00,5.5,5.65,5.5,5.65,-0.88,9023,101.5,20
2005-08-02 00:00:00+00,5.65,5.85,5.65,5.75,1.77,17874,205.04,45
2005-08-03 00:00:00+00,5.75,5.75,5.65,5.7,-0.87,3692,42.01,21
2005-08-04 00:00:00+00,5.65,5.7,5.6,5.65,-0.88,15698,178.59,21
2005-08-05 00:00:00+00,5.65,5.65,5.45,5.45,-3.54,12138,134.55,34
2005-08-08 00:00:00+00,5.5,5.7,5.3,5.7,4.59,16795,187.14,32
2005-08-09 00:00:00+00,5.6,5.7,5.6,5.6,-1.75,7114,79.88,22
2005-08-10 00:00:00+00,5.6,5.6,5.55,5.6,0,1186,13.23,5
2005-08-11 00:00:00+00,5.55,5.65,5.5,5.65,0.89,5318,59.32,18
2005-08-12 00:00:00+00,5.65,5.7,5.55,5.7,0.88,9080,102.72,23
2005-08-16 00:00:00+00,5.65,5.65,5.35,5.6,-1.75,10190,112.31,41
2005-08-17 00:00:00+00,5.55,5.55,5.3,5.5,-1.79,26184,282.58,42
2005-08-18 00:00:00+00,5.35,5.4,5.35,5.4,-1.82,1150,12.31,5
2005-08-19 00:00:00+00,5.4,5.45,5.25,5.45,0.93,11506,122.46,25
2005-08-22 00:00:00+00,5.45,5.45,5.35,5.35,-1.83,3408,36.54,12
2005-08-23 00:00:00+00,5.35,5.35,5.25,5.25,-1.87,5141,54.25,19
2005-08-24 00:00:00+00,5.25,5.3,5.25,5.25,0,2317,24.34,12
2005-08-25 00:00:00+00,5.25,5.25,5.1,5.25,0,10496,109.71,18
2005-08-26 00:00:00+00,5.15,5.45,5.15,5.4,2.86,12395,132.4,35
2005-08-29 00:00:00+00,5.35,5.4,5.2,5.4,0,5430,57.87,19
2005-08-30 00:00:00+00,5.4,5.4,5.3,5.35,-0.93,10924,116.24,14
2005-08-31 00:00:00+00,5.3,5.3,5.1,5.3,-0.93,8310,85.76,23
2005-09-01 00:00:00+00,5.35,5.4,5.3,5.4,1.89,12473,132.87,24
2005-09-02 00:00:00+00,5.4,5.4,5.2,5.35,-0.93,7864,83.24,23
2005-09-05 00:00:00+00,5.25,5.4,5.25,5.4,0.93,5350,56.4,12
2005-09-06 00:00:00+00,5.3,5.4,5.3,5.3,-1.85,4698,49.91,14
2005-09-07 00:00:00+00,5.4,5.5,5.2,5.5,3.77,19719,215.47,39
2005-09-08 00:00:00+00,5.55,5.6,5.45,5.5,0,15684,173.61,28
2005-09-09 00:00:00+00,5.45,5.45,5.35,5.35,-2.73,2986,31.95,11
2005-09-12 00:00:00+00,5.3,5.35,5.3,5.35,0,2730,29.05,11
2005-09-13 00:00:00+00,5.3,5.35,5.3,5.3,-0.93,3063,32.59,7
2005-09-14 00:00:00+00,5.3,5.4,5.3,5.4,1.89,2151,22.82,6
2005-09-15 00:00:00+00,5.45,5.45,5.35,5.4,0,3128,33.7,14
2005-09-16 00:00:00+00,5.35,5.35,5.25,5.25,-2.78,5587,59.22,16
2005-09-19 00:00:00+00,5.35,5.4,5.3,5.35,1.9,8050,86.36,22
2005-09-20 00:00:00+00,5.4,5.4,5.25,5.3,-0.93,7479,79.67,23
2005-09-21 00:00:00+00,5.25,5.3,5.25,5.3,0,9384,99.2,19
2005-09-22 00:00:00+00,5.35,5.35,5.2,5.25,-0.94,4096,43,18
2005-09-23 00:00:00+00,5.25,5.3,5.1,5.3,0.95,48428,496.3,43
2005-09-26 00:00:00+00,5.25,5.25,5.2,5.2,-1.89,3280,34.37,13
2005-09-27 00:00:00+00,5.35,5.35,5.2,5.3,1.92,6636,70.01,19
2005-09-28 00:00:00+00,5.3,5.3,5.25,5.25,-0.94,3095,32.7,10
2005-09-29 00:00:00+00,5.3,5.35,5.3,5.3,0.95,13878,147.68,19
2005-09-30 00:00:00+00,5.3,5.3,5.2,5.25,-0.94,3577,37.28,10
2005-10-03 00:00:00+00,5.3,5.3,5.2,5.25,0,4896,51.24,11
2005-10-04 00:00:00+00,5.25,5.25,5.25,5.25,0,3981,41.8,8
2005-10-05 00:00:00+00,5.3,5.35,5.2,5.3,0.95,5380,56.93,19
2005-10-06 00:00:00+00,5.3,5.3,5.25,5.25,-0.94,1830,19.26,5
2005-10-07 00:00:00+00,5.2,5.3,5.2,5.3,0.95,2064,21.49,9
2005-10-10 00:00:00+00,5.25,5.3,5.2,5.3,0,2505,26.24,5
2005-10-11 00:00:00+00,5.3,5.3,5.15,5.25,-0.94,6815,71.19,17
2005-10-12 00:00:00+00,5.3,5.3,5.2,5.2,-0.95,1110,11.7,5
2005-10-13 00:00:00+00,5.2,5.25,5.2,5.25,0.96,1850,19.38,6
2005-10-14 00:00:00+00,5.1,5.15,5.1,5.1,-2.86,2643,27.15,11
2005-10-17 00:00:00+00,5.2,5.2,5.2,5.2,1.96,2049,21.31,5
2005-10-18 00:00:00+00,5.1,5.2,5.1,5.2,0,2560,26.11,6
2005-10-19 00:00:00+00,5.1,5.3,5.1,5.15,-0.96,6325,65.75,18
2005-10-20 00:00:00+00,5.15,5.15,5.1,5.1,-0.97,6264,64.02,12
2005-10-21 00:00:00+00,5.15,5.15,5,5.1,0,7397,74.46,22
2005-10-24 00:00:00+00,5.15,5.15,4.92,5.1,0,12045,120.6,30
2005-10-25 00:00:00+00,5,5.1,5,5.1,0,2450,24.82,7
2005-10-26 00:00:00+00,5.1,5.2,5,5.15,0.98,8198,83.72,23
2005-10-27 00:00:00+00,5.1,5.15,5,5.1,-0.97,2430,24.49,13
2005-10-28 00:00:00+00,5.05,5.05,5.05,5.05,-0.98,2620,26.46,7
2005-10-31 00:00:00+00,5.1,5.2,5,5.2,2.97,7666,78.9,26
2005-11-02 00:00:00+00,5.15,5.3,5.15,5.2,0,28164,296.55,49
2005-11-03 00:00:00+00,5.3,5.3,5.2,5.3,1.92,23704,250.01,41
2005-11-04 00:00:00+00,5.3,5.7,5.3,5.65,6.6,165971,1827.21,264
2005-11-07 00:00:00+00,5.55,5.6,5.3,5.4,-4.42,26325,286,98
2005-11-08 00:00:00+00,5.45,5.45,5.15,5.2,-3.7,16912,177.42,64
2005-11-09 00:00:00+00,5.2,5.2,5.05,5.1,-1.92,7440,75.9,25
2005-11-10 00:00:00+00,5.15,5.4,5.15,5.35,4.9,10488,111.48,50
2005-11-14 00:00:00+00,5.3,5.3,5.1,5.2,-2.8,20037,208.16,49
2005-11-15 00:00:00+00,5.2,5.2,5,5.15,-0.96,13926,141.55,52
2005-11-16 00:00:00+00,5.15,5.15,5.05,5.1,-0.97,8693,88.81,14
2005-11-17 00:00:00+00,5.1,5.25,5.1,5.15,0.98,5639,58.11,16
2005-11-18 00:00:00+00,5.15,5.15,5.1,5.15,0,2255,23.2,6
2005-11-21 00:00:00+00,5.2,5.25,5.1,5.15,0,10767,111.62,36
2005-11-22 00:00:00+00,5.25,5.25,5.05,5.1,-0.97,7518,76.66,19
2005-11-23 00:00:00+00,5.15,5.15,5.05,5.15,0.98,5939,60.81,18
2005-11-24 00:00:00+00,5.1,5.1,5.05,5.1,-0.97,8074,82.01,21
2005-11-25 00:00:00+00,5.05,5.1,5.05,5.1,0,3527,35.72,16
2005-11-28 00:00:00+00,5.05,5.15,5.05,5.05,-0.98,4212,42.81,17
2005-11-29 00:00:00+00,5.1,5.1,5.05,5.05,0,4349,44.24,16
2005-11-30 00:00:00+00,5.05,5.1,5.05,5.05,0,4898,49.62,18
2005-12-01 00:00:00+00,5.15,5.25,5.15,5.25,3.96,14846,154.42,48
2005-12-02 00:00:00+00,5.25,5.3,5.15,5.2,-0.95,10575,110.31,32
2005-12-05 00:00:00+00,5.2,5.25,5.15,5.25,0.96,2373,24.59,10
2005-12-06 00:00:00+00,5.25,5.25,5.15,5.25,0,11689,121.63,18
2005-12-07 00:00:00+00,5.3,5.6,5.2,5.3,0.95,66579,722.65,134
2005-12-08 00:00:00+00,5.3,5.35,5.15,5.2,-1.89,12028,125.87,28
2005-12-09 00:00:00+00,5.2,5.2,5.1,5.15,-0.96,13527,139.93,28
2005-12-12 00:00:00+00,5.1,5.9,5.1,5.8,12.62,124332,1386.14,192
2005-12-13 00:00:00+00,5.8,5.8,5.4,5.5,-5.17,30730,342.6,91
2005-12-14 00:00:00+00,5.4,5.6,5.3,5.6,1.82,12301,134.08,52
