date,open,high,low,close,difference,volume,turnover,transactions
2017-12-21 00:00:00+00,5,5.3,4.27,4.5,-5.26,52940,255.52,122
2017-12-22 00:00:00+00,4.75,4.75,3.86,4.1,-8.89,18499,78.42,86
2017-12-27 00:00:00+00,4.1,4.1,3,3,-26.83,27208,88.24,103
2017-12-28 00:00:00+00,3.13,3.13,2.75,3.1,3.33,17359,51.59,44
2017-12-29 00:00:00+00,3.1,3.29,2.95,3.2,3.23,9284,29.8,27
2018-01-03 00:00:00+00,3.2,3.48,3.2,3.4,6.25,6878,23.5,15
2018-01-04 00:00:00+00,3.64,4,3.64,4,17.65,13991,54.66,33
2018-01-05 00:00:00+00,4.28,5.17,4.28,4.94,23.5,56103,265.72,106
2018-01-08 00:00:00+00,4.94,5.2,4.61,4.85,-1.82,47615,238.11,83
2018-01-09 00:00:00+00,4.88,4.9,4.65,4.7,-3.09,5308,25.17,12
2018-01-10 00:00:00+00,4.67,4.67,4.59,4.67,-0.64,1180,5.49,9
2018-01-11 00:00:00+00,4.7,4.85,4.67,4.85,3.85,770,3.61,6
2018-01-12 00:00:00+00,4.85,4.85,4.61,4.8,-1.03,1115,5.25,8
2018-01-15 00:00:00+00,4.8,4.8,4.62,4.8,0,2370,11.02,12
2018-01-16 00:00:00+00,4.75,4.8,4.75,4.8,0,1630,7.77,15
2018-01-17 00:00:00+00,4.75,4.75,4.62,4.62,-3.75,1742,8.09,5
2018-01-18 00:00:00+00,4.55,4.55,4.1,4.1,-11.26,6811,29.84,22
2018-01-19 00:00:00+00,4.1,4.1,4.07,4.1,0,1403,5.75,7
2018-01-22 00:00:00+00,4.1,4.1,4.1,4.1,0,495,2.03,4
2018-01-23 00:00:00+00,4.1,4.47,4.1,4.47,9.02,2170,9.05,7
2018-01-24 00:00:00+00,4.45,4.49,4.45,4.48,0.22,1400,6.27,11
2018-01-25 00:00:00+00,4.5,4.5,4.4,4.4,-1.79,2850,12.62,5
2018-01-26 00:00:00+00,4.54,4.55,4.5,4.5,2.27,3890,17.56,14
2018-01-29 00:00:00+00,4.52,4.52,4.52,4.52,0.44,10,0.05,1
2018-01-30 00:00:00+00,4.49,4.49,4.4,4.49,-0.66,211,0.94,3
2018-01-31 00:00:00+00,0,0,0,4.49,0,0,0,0
2018-02-01 00:00:00+00,4.4,4.45,4.4,4.4,-2,2651,11.67,9
2018-02-02 00:00:00+00,0,0,0,4.4,0,0,0,0
2018-02-05 00:00:00+00,4.38,4.38,4.05,4.35,-1.14,1545,6.52,7
2018-02-06 00:00:00+00,4.3,4.5,4.2,4.5,3.45,6661,28.62,11
2018-02-07 00:00:00+00,4.11,4.34,4.05,4.3,-4.44,6350,26.48,18
2018-02-08 00:00:00+00,0,0,0,4.3,0,0,0,0
2018-02-09 00:00:00+00,4.29,4.3,4.29,4.3,0,320,1.38,2
2018-02-12 00:00:00+00,4.4,4.4,4.4,4.4,2.33,120,0.53,1
2018-02-13 00:00:00+00,4.4,4.4,4,4.34,-1.36,1654,6.86,11
2018-02-14 00:00:00+00,4.34,4.34,4.34,4.34,0,30,0.13,1
2018-02-15 00:00:00+00,4.3,4.3,4,4.28,-1.38,649,2.77,5
2018-02-16 00:00:00+00,4.28,4.28,4.28,4.28,0,2475,10.59,5
2018-02-19 00:00:00+00,4.27,4.27,4.27,4.27,-0.23,75,0.32,1
2018-02-20 00:00:00+00,4.28,4.28,4,4.28,0.23,2842,12.05,4
2018-02-21 00:00:00+00,4.28,4.28,4.28,4.28,0,155,0.66,1
2018-02-22 00:00:00+00,0,0,0,4.28,0,0,0,0
2018-02-23 00:00:00+00,0,0,0,4.28,0,0,0,0
2018-02-26 00:00:00+00,4.25,4.25,4.25,4.25,-0.7,500,2.13,1
2018-02-27 00:00:00+00,4,4.24,4,4.24,-0.24,230,0.93,2
2018-02-28 00:00:00+00,4.23,4.23,4.2,4.2,-0.94,71,0.3,2
2018-03-01 00:00:00+00,0,0,0,4.2,0,0,0,0
2018-03-02 00:00:00+00,4.01,4.01,4.01,4.01,-4.52,200,0.8,1
2018-03-05 00:00:00+00,4,4,3.94,3.99,-0.5,2133,8.53,7
2018-03-06 00:00:00+00,3.94,3.94,3.74,3.87,-3.01,1480,5.63,5
2018-03-07 00:00:00+00,3.8,3.8,3.74,3.74,-3.36,600,2.27,3
2018-03-08 00:00:00+00,3.56,4.18,3.56,4.03,7.75,7697,29.73,11
2018-03-09 00:00:00+00,4.03,4.25,4.03,4.25,5.46,13472,55.85,17
2018-03-12 00:00:00+00,4.4,4.4,4.25,4.25,0,1732,7.45,5
2018-03-13 00:00:00+00,4.25,4.25,4.25,4.25,0,100,0.43,1
2018-03-14 00:00:00+00,4.1,4.25,3.9,4.25,0,250,1,4
2018-03-15 00:00:00+00,4.25,4.25,4.25,4.25,0,200,0.85,1
2018-03-16 00:00:00+00,4.25,4.25,4.25,4.25,0,300,1.28,2
2018-03-19 00:00:00+00,0,0,0,4.25,0,0,0,0
2018-03-20 00:00:00+00,4,4.19,4,4.19,-1.41,486,1.96,3
2018-03-21 00:00:00+00,0,0,0,4.19,0,0,0,0
2018-03-22 00:00:00+00,0,0,0,4.19,0,0,0,0
2018-03-23 00:00:00+00,0,0,0,4.19,0,0,0,0
2018-03-26 00:00:00+00,4.19,4.25,4.19,4.25,1.43,628,2.65,7
2018-03-27 00:00:00+00,0,0,0,4.25,0,0,0,0
2018-03-28 00:00:00+00,4.2,4.2,4.2,4.2,-1.18,100,0.42,1
2018-03-29 00:00:00+00,4.25,4.25,4.25,4.25,1.19,33,0.14,2
2018-04-03 00:00:00+00,3.95,4.2,3.95,4.2,-1.18,31,0.12,2
2018-04-04 00:00:00+00,3.81,3.81,3.81,3.81,-9.29,260,0.99,4
2018-04-05 00:00:00+00,3.81,4.19,3.81,4.19,9.97,110,0.42,2
2018-04-06 00:00:00+00,0,0,0,4.19,0,0,0,0
2018-04-09 00:00:00+00,4.15,4.15,3.66,3.66,-12.65,1366,5.02,5
2018-04-10 00:00:00+00,4,4,4,4,9.29,105,0.42,2
2018-04-11 00:00:00+00,4,4,4,4,0,210,0.84,2
2018-04-12 00:00:00+00,3.7,4,3.7,4,0,459,1.8,6
2018-04-13 00:00:00+00,4,4,3.8,3.8,-5,381,1.45,4
2018-04-16 00:00:00+00,3.8,3.8,3.65,3.65,-3.95,1341,4.92,4
2018-04-17 00:00:00+00,3.99,3.99,3.99,3.99,9.32,84,0.34,1
2018-04-18 00:00:00+00,3.98,3.98,3.98,3.98,-0.25,100,0.4,1
2018-04-19 00:00:00+00,3.98,3.98,3.65,3.65,-8.29,1966,7.19,5
2018-04-20 00:00:00+00,3.6,3.6,3.6,3.6,-1.37,500,1.8,1
2018-04-23 00:00:00+00,0,0,0,3.6,0,0,0,0
2018-04-24 00:00:00+00,2.92,2.92,2.92,2.92,-18.89,1000,2.92,3
2018-04-25 00:00:00+00,3.02,3.15,3.02,3.15,7.88,515,1.56,3
2018-04-26 00:00:00+00,3.25,3.35,3.25,3.35,6.35,4204,13.68,7
2018-04-27 00:00:00+00,3.28,3.3,3.28,3.3,-1.49,1700,5.61,6
2018-04-30 00:00:00+00,3.65,3.65,3.65,3.65,10.61,10,0.04,1
2018-05-02 00:00:00+00,3.8,3.9,3.8,3.9,6.85,390,1.49,3
2018-05-04 00:00:00+00,0,0,0,3.9,0,0,0,0
2018-05-07 00:00:00+00,3.16,3.16,3.16,3.16,-18.97,913,2.89,4
2018-05-08 00:00:00+00,0,0,0,3.16,0,0,0,0
2018-05-09 00:00:00+00,3.2,3.2,3.2,3.2,1.27,500,1.6,2
2018-05-10 00:00:00+00,0,0,0,3.2,0,0,0,0
2018-05-11 00:00:00+00,3.22,3.22,3.16,3.16,-1.25,1200,3.83,7
2018-05-14 00:00:00+00,3.35,3.35,3.2,3.2,1.27,545,1.75,3
2018-05-15 00:00:00+00,3.35,3.35,3.35,3.35,4.69,15,0.05,1
2018-05-16 00:00:00+00,3.2,3.2,3.2,3.2,-4.48,747,2.39,2
2018-05-17 00:00:00+00,3.2,3.2,3.15,3.15,-1.56,2250,7.12,6
2018-05-18 00:00:00+00,3.14,3.15,3.14,3.15,0,1400,4.4,2
2018-05-21 00:00:00+00,3,3,2.8,2.8,-11.11,1894,5.32,4
2018-05-22 00:00:00+00,2.75,3.25,2.75,3.25,16.07,2128,6.35,5
2018-05-23 00:00:00+00,3.35,3.35,3.35,3.35,3.08,195,0.65,2
2018-05-24 00:00:00+00,3.35,3.35,3.35,3.35,0,1000,3.35,2
2018-05-25 00:00:00+00,0,0,0,3.35,0,0,0,0
2018-05-28 00:00:00+00,3.6,3.6,3.6,3.6,7.46,2600,9.36,6
2018-05-29 00:00:00+00,3.58,3.58,3.58,3.58,-0.56,1400,5.01,3
2018-05-30 00:00:00+00,0,0,0,3.58,0,0,0,0
2018-06-01 00:00:00+00,0,0,0,3.58,0,0,0,0
2018-06-04 00:00:00+00,0,0,0,3.58,0,0,0,0
2018-06-05 00:00:00+00,3.9,3.9,3.9,3.9,8.94,615,2.4,3
2018-06-06 00:00:00+00,3.85,3.85,3.85,3.85,-1.28,1250,4.81,4
2018-06-07 00:00:00+00,0,0,0,3.85,0,0,0,0
2018-06-08 00:00:00+00,3.8,3.8,3.8,3.8,-1.3,100,0.38,1
2018-06-11 00:00:00+00,0,0,0,3.8,0,0,0,0
2018-06-12 00:00:00+00,3.86,3.86,3.86,3.86,1.58,2645,10.21,9
2018-06-13 00:00:00+00,3.86,3.86,3.86,3.86,0,250,0.97,1
2018-06-14 00:00:00+00,0,0,0,3.86,0,0,0,0
2018-06-15 00:00:00+00,0,0,0,3.86,0,0,0,0
2018-06-18 00:00:00+00,0,0,0,3.86,0,0,0,0
2018-06-19 00:00:00+00,3.8,3.8,3.8,3.8,-1.55,100,0.38,1
2018-06-20 00:00:00+00,0,0,0,3.8,0,0,0,0
2018-06-21 00:00:00+00,3.5,3.5,3.5,3.5,-7.89,500,1.75,2
2018-06-22 00:00:00+00,0,0,0,3.5,0,0,0,0
2018-06-25 00:00:00+00,0,0,0,3.5,0,0,0,0
2018-06-26 00:00:00+00,0,0,0,3.5,0,0,0,0
2018-06-27 00:00:00+00,3.59,3.59,3.59,3.59,2.57,109,0.39,1
2018-06-28 00:00:00+00,3.6,3.6,3.6,3.6,0.28,403,1.45,4
2018-06-29 00:00:00+00,3.57,3.9,3.57,3.9,8.33,1440,5.55,5
2018-07-02 00:00:00+00,0,0,0,3.9,0,0,0,0
2018-07-03 00:00:00+00,3.85,3.85,3.85,3.85,-1.28,50,0.19,1
2018-07-04 00:00:00+00,0,0,0,3.85,0,0,0,0
2018-07-05 00:00:00+00,0,0,0,3.85,0,0,0,0
