date,open,high,low,close,difference,volume,turnover,transactions
2008-02-01 00:00:00+00,20.01,20.6,20,20.6,4.04,10689,433.57,15
2008-02-04 00:00:00+00,20.87,20.89,20.15,20.89,1.41,254749,10551.3,17
2008-02-05 00:00:00+00,20.25,20.3,20.25,20.3,-2.82,76060,3087.99,8
2008-02-06 00:00:00+00,20.1,20.97,20.1,20.75,2.22,11232,460.03,31
2008-02-07 00:00:00+00,20.73,20.75,20.73,20.75,0,1388,57.56,6
2008-02-08 00:00:00+00,20.68,21.5,20.68,21.5,3.61,33152,1387.15,36
2008-02-11 00:00:00+00,21.05,22,21.05,21.4,-0.47,2388,102.63,12
2008-02-12 00:00:00+00,21.5,23,21.05,23,7.48,4834,216.56,30
2008-02-13 00:00:00+00,22.5,22.5,22.4,22.5,-2.17,8814,396.62,53
2008-02-14 00:00:00+00,22.6,24,22.6,24,6.67,97271,4473.16,71
2008-02-15 00:00:00+00,23.8,23.8,22.82,23.58,-1.75,2271,105.55,16
2008-02-18 00:00:00+00,23.8,23.9,22.92,23.77,0.81,2730,128.16,12
2008-02-19 00:00:00+00,23.2,23.68,23.2,23.68,-0.38,1287,60.93,6
2008-02-20 00:00:00+00,22.9,23.67,22.9,23.64,-0.17,1482,69.72,11
2008-02-21 00:00:00+00,23.6,23.6,23.1,23.59,-0.21,288,13.58,6
2008-02-22 00:00:00+00,22.9,23.49,22.9,23.4,-0.81,802,37.19,17
2008-02-25 00:00:00+00,22.9,23.4,22.9,23.4,0,538,25.06,8
2008-02-26 00:00:00+00,22.8,23.4,22.8,23.37,-0.13,1327,61.43,12
2008-02-27 00:00:00+00,23,23.38,23,23.38,0.04,555,25.56,3
2008-02-28 00:00:00+00,22.8,23.38,22.8,23.38,0,2080,97.17,7
2008-02-29 00:00:00+00,23.38,23.6,22.95,23.6,0.94,7005,328.3,18
2008-03-03 00:00:00+00,22.9,22.9,22.2,22.8,-3.39,822,37.04,9
2008-03-04 00:00:00+00,22.3,23.69,22.1,23.58,3.42,1452,68.41,9
2008-03-05 00:00:00+00,22.8,23.51,22.8,23.4,-0.76,113,5.22,3
2008-03-06 00:00:00+00,23.49,23.49,22.5,23.05,-1.5,776,35.45,4
2008-03-07 00:00:00+00,23.05,23.1,22.35,23.1,0.22,1291,59.44,6
2008-03-10 00:00:00+00,23,23.05,22.12,23.05,-0.22,108,4.96,3
2008-03-11 00:00:00+00,22.04,23,22.04,23,-0.22,494,21.98,6
2008-03-12 00:00:00+00,23,24,22.35,23.9,3.91,2663,125.09,22
2008-03-13 00:00:00+00,23.06,25,23.06,25,4.6,4799,235.56,20
2008-03-14 00:00:00+00,25,26.5,24.9,26.5,6,3000,156.58,15
2008-03-17 00:00:00+00,25.98,25.98,24.7,25.2,-4.91,13214,667.83,41
2008-03-18 00:00:00+00,24.3,25.3,24.3,24.94,-1.03,1705,85.46,7
2008-03-19 00:00:00+00,25.23,25.4,25,25.4,1.84,65885,3345.09,19
2008-03-20 00:00:00+00,24.94,25.38,24.94,25.38,-0.08,205,10.36,4
2008-03-25 00:00:00+00,25.5,25.5,24.95,25.5,0.47,345,17.56,7
2008-03-26 00:00:00+00,24.95,25.35,24.7,25.33,-0.67,744,37.28,9
2008-03-27 00:00:00+00,25,26.7,25,26,2.65,16127,827.53,33
2008-03-28 00:00:00+00,26.1,26.1,26,26,0,464,24.21,11
2008-03-31 00:00:00+00,26,26,24.75,25.4,-2.31,5198,263.17,10
2008-04-01 00:00:00+00,24.8,25.49,24.72,25.49,0.35,2311,117.51,5
2008-04-02 00:00:00+00,26.5,26.5,25.81,26,2,7932,413.7,23
2008-04-03 00:00:00+00,27.6,27.6,25.76,25.76,-0.92,3261,171.21,41
2008-04-04 00:00:00+00,25.75,26.3,25.6,25.6,-0.62,1976,101.9,22
2008-04-07 00:00:00+00,26,26.28,25.7,25.7,0.39,590,30.53,16
2008-04-08 00:00:00+00,25.8,26,25.21,26,1.17,1565,80.84,23
2008-04-09 00:00:00+00,25.22,26,25.22,25.9,-0.38,7389,383.22,15
2008-04-10 00:00:00+00,25.5,25.8,25.06,25.8,-0.39,782,39.74,19
2008-04-11 00:00:00+00,25.6,26.2,25.4,25.9,0.39,484,24.85,6
2008-04-14 00:00:00+00,25.98,25.98,25.35,25.35,-2.12,819,41.92,18
2008-04-15 00:00:00+00,25.35,25.7,25.3,25.7,1.38,808,41.12,17
2008-04-16 00:00:00+00,25.9,25.9,25,25,-2.72,959,48.43,19
2008-04-17 00:00:00+00,25.1,25.5,24.7,25,0,1155,58.09,9
2008-04-18 00:00:00+00,24.2,24.89,24.2,24.2,-3.2,1569,76.36,11
2008-04-21 00:00:00+00,24,24.5,23.8,23.8,-1.65,610,29.24,12
2008-04-22 00:00:00+00,24.09,24.09,23,23,-3.36,783,36.6,17
2008-04-23 00:00:00+00,23.46,24,22.67,22.91,-0.39,3059,141.47,23
2008-04-24 00:00:00+00,23.5,23.99,23,23.79,3.84,448,20.88,16
