date,open,high,low,close,difference,volume,turnover,transactions
2013-12-05 00:00:00+00,22.95,23.45,22.5,23.2,22.11,3695748,85098.89,9265
2013-12-06 00:00:00+00,23.2,23.2,22.25,22.85,-1.51,495491,11242.47,1587
2013-12-09 00:00:00+00,23,23,22.72,22.8,-0.22,253871,5795.43,675
2013-12-10 00:00:00+00,22.74,22.74,22.25,22.31,-2.15,141481,3164.99,603
2013-12-11 00:00:00+00,22.22,22.31,21.56,22,-1.39,112115,2455.91,901
2013-12-12 00:00:00+00,21.8,21.9,21.4,21.56,-2,138364,2976.36,439
2013-12-13 00:00:00+00,21.5,21.98,21.5,21.62,0.28,35713,777.87,224
2013-12-16 00:00:00+00,21.98,21.98,21.72,21.9,1.3,32237,705.43,163
2013-12-17 00:00:00+00,21.9,21.9,21.21,21.5,-1.83,63111,1358.57,207
2013-12-18 00:00:00+00,21.3,21.9,21.3,21.6,0.47,16728,361.6,147
2013-12-19 00:00:00+00,21.9,21.98,21.11,21.16,-2.04,54597,1176.54,176
2013-12-20 00:00:00+00,21.21,21.3,21.03,21.21,0.24,48964,1037.89,202
2013-12-23 00:00:00+00,21.34,21.9,21.34,21.7,2.31,15877,345.45,128
2013-12-27 00:00:00+00,21.7,21.88,21.5,21.88,0.83,19420,420.9,115
2013-12-30 00:00:00+00,21.81,21.94,21.63,21.77,-0.5,17796,388.51,95
2014-01-02 00:00:00+00,21.9,21.99,21.8,21.8,0.14,68401,1495.62,136
2014-01-03 00:00:00+00,21.8,21.9,21.62,21.83,0.14,10466,227.47,84
2014-01-07 00:00:00+00,21.9,21.9,21.55,21.7,-0.6,63547,1379.28,95
2014-01-08 00:00:00+00,21.78,21.78,21.25,21.4,-1.38,20908,447.53,143
2014-01-09 00:00:00+00,21.28,21.3,20.4,20.55,-3.97,42033,884.16,219
2014-01-10 00:00:00+00,20.55,21.3,20.45,21.3,3.65,95401,1970.28,180
2014-01-13 00:00:00+00,21.5,21.6,21.2,21.6,1.41,107029,2290.53,85
2014-01-14 00:00:00+00,21.58,21.58,21.3,21.37,-1.06,56255,1202.37,62
2014-01-15 00:00:00+00,21.5,21.5,21.34,21.34,-0.14,72279,1543.15,57
2014-01-16 00:00:00+00,21.34,21.5,21.2,21.31,-0.14,4825,102.9,59
2014-01-17 00:00:00+00,21.35,21.5,21.21,21.41,0.47,71047,1516.41,87
2014-01-20 00:00:00+00,21.7,21.95,21.46,21.77,1.68,12898,279.95,139
2014-01-21 00:00:00+00,21.9,22,21.62,21.7,-0.32,40379,878.22,152
2014-01-22 00:00:00+00,21.7,21.79,21.62,21.66,-0.18,135324,2935.66,95
2014-01-23 00:00:00+00,21.6,21.7,21.53,21.68,0.09,15598,337.22,93
2014-01-24 00:00:00+00,21.65,21.65,21.4,21.42,-1.2,5966,128.02,59
2014-01-27 00:00:00+00,21.35,21.48,21.35,21.4,-0.09,20631,441.36,88
2014-01-28 00:00:00+00,21.4,21.57,21.35,21.5,0.47,14752,316.94,78
2014-01-29 00:00:00+00,21.57,21.97,21.51,21.52,0.09,88650,1915.15,115
2014-01-30 00:00:00+00,21.5,21.6,21.37,21.6,0.37,7629,163.74,60
2014-01-31 00:00:00+00,21.6,21.69,21.2,21.6,0,51291,1104.91,116
2014-02-03 00:00:00+00,21.6,21.6,21.11,21.42,-0.83,12706,271.3,87
