date,open,high,low,close,difference,volume,turnover,transactions
2007-05-30 00:00:00+00,16.8,19.99,15.72,16.1,53.33,3223065,111692.49,2368
2007-05-31 00:00:00+00,16.51,16.8,15.65,15.9,-1.24,880083,28459.29,1051
2007-06-01 00:00:00+00,16.17,16.17,15,15,-5.66,840776,25593.01,752
2007-06-04 00:00:00+00,15.1,15.1,14.2,14.38,-4.13,427489,12422.68,537
2007-06-05 00:00:00+00,14.69,15.4,14.5,15.3,6.4,913720,27390.12,980
2007-06-06 00:00:00+00,15.35,16.2,15.31,16.17,5.69,389624,12459.83,733
2007-06-08 00:00:00+00,16,16.2,15.29,15.89,-1.73,260798,8215.87,432
2007-06-11 00:00:00+00,16.1,16.2,15.6,15.75,-0.88,327114,10325.44,322
2007-06-12 00:00:00+00,16,16.15,15.62,16,1.59,554645,17785.6,271
2007-06-13 00:00:00+00,16,16.09,15.7,16.04,0.25,66223,2108.99,184
2007-06-14 00:00:00+00,16.05,16.47,15.87,16.4,2.24,256990,8365.76,339
2007-06-15 00:00:00+00,16.47,16.65,16.45,16.63,1.4,154097,5103.13,276
2007-06-18 00:00:00+00,16.8,16.99,16.56,16.8,1.02,306038,10246.74,313
2007-06-19 00:00:00+00,16.96,17.5,16.58,17.49,4.11,364252,12269.96,301
2007-06-20 00:00:00+00,17.05,17.49,17.05,17.3,-1.09,271557,9399.3,339
2007-06-21 00:00:00+00,17.3,17.35,17.1,17.3,0,118270,4085.22,140
2007-06-22 00:00:00+00,17.22,17.49,17.2,17.48,1.04,125125,4317.1,167
2007-06-25 00:00:00+00,17.2,17.45,15.9,17.3,-1.03,105238,3590.91,206
2007-06-26 00:00:00+00,17,17.44,16.82,17.4,0.58,111099,3847.42,183
2007-06-27 00:00:00+00,17.01,17.49,17,17.1,-1.72,55071,1902.99,113
2007-06-28 00:00:00+00,17.1,17.2,17.02,17.15,0.29,101608,3483.92,107
2007-06-29 00:00:00+00,17.39,17.39,16.79,16.9,-1.46,128879,4373.02,181
2007-07-02 00:00:00+00,16.9,16.9,16,16.79,-0.65,157309,5241.92,92
2007-07-03 00:00:00+00,16.8,17,16.33,17,1.25,90416,3018.57,123
2007-07-04 00:00:00+00,16.81,17.2,16.81,17.2,1.18,19674,669.83,88
2007-07-05 00:00:00+00,17.45,17.45,17,17.3,0.58,81324,2793.67,101
2007-07-06 00:00:00+00,17.41,17.41,17.21,17.3,0,48626,1677.66,60
2007-07-09 00:00:00+00,17.3,17.4,16.7,17.3,0,38439,1329.56,64
2007-07-10 00:00:00+00,17.2,17.3,16.7,16.76,-3.12,90253,3027.47,105
2007-07-11 00:00:00+00,16.75,17,15.5,15.9,-5.13,145515,4636.64,335
2007-07-12 00:00:00+00,15.87,16.07,15,15.5,-2.52,220366,6734.56,441
2007-07-13 00:00:00+00,15.8,15.9,15,15.29,-1.35,331699,10228.61,249
2007-07-16 00:00:00+00,14.76,15.49,14.51,14.7,-3.86,519391,15413.47,371
2007-07-17 00:00:00+00,14.81,14.9,14.39,14.9,1.36,757274,21963.45,259
2007-07-18 00:00:00+00,15,15.4,15,15.1,1.34,535686,16142.63,250
2007-07-19 00:00:00+00,16,16,15.61,15.76,4.37,50444,1596.44,205
2007-07-20 00:00:00+00,15.96,16,14.9,15.4,-2.28,555850,17459.76,225
2007-07-23 00:00:00+00,15.39,15.4,14.9,15.4,0,599536,18201.32,228
2007-07-24 00:00:00+00,15.4,16,15.2,15.4,0,57482,1806.71,148
2007-07-25 00:00:00+00,15,16,14.8,15.6,1.3,226384,6861.12,229
2007-07-26 00:00:00+00,15.6,15.7,15,15,-3.85,101308,3102.03,158
2007-07-27 00:00:00+00,14.9,14.91,13.9,14.4,-4,323992,9421.83,604
2007-07-30 00:00:00+00,14.25,15.09,14.15,14.99,4.1,71759,2136.39,178
2007-07-31 00:00:00+00,15.16,15.3,14.9,14.97,-0.13,161902,4875.57,229
2007-08-01 00:00:00+00,14.5,14.6,13.9,14.06,-6.08,199582,5619.81,529
2007-08-02 00:00:00+00,14.31,14.8,14.3,14.6,3.84,61412,1778.98,189
2007-08-03 00:00:00+00,14.78,14.78,14.3,14.3,-2.05,51593,1489.8,89
2007-08-06 00:00:00+00,14.19,14.19,13.55,13.92,-2.66,112818,3132.4,229
2007-08-07 00:00:00+00,14.5,14.5,14.1,14.44,3.74,150743,4336.65,321
2007-08-08 00:00:00+00,14.7,15.1,13.98,13.98,-3.19,180089,5228.66,497
2007-08-09 00:00:00+00,14.05,14.15,12,12.25,-12.37,236957,6133.45,545
2007-08-10 00:00:00+00,11.52,12.45,11.05,11.77,-3.92,643042,15073.2,664
2007-08-13 00:00:00+00,12.2,12.85,12.2,12.3,4.5,351273,8751.61,471
2007-08-14 00:00:00+00,12.5,12.5,11.8,11.95,-2.85,237385,5695.2,355
2007-08-16 00:00:00+00,11.05,11.3,10.2,10.9,-8.79,707768,15134.83,617
2007-08-17 00:00:00+00,10.6,11.85,10.4,11.5,5.5,228730,5008.03,475
2007-08-20 00:00:00+00,12.3,12.3,11.95,12.07,4.96,103187,2506.43,319
