date,open,high,low,close,difference,volume,turnover,transactions
2012-03-14 00:00:00+00,12.78,12.78,12,12.64,5.33,36087,441.06,110
2012-03-15 00:00:00+00,12.67,12.7,12.2,12.42,-1.74,5734,71.24,24
2012-03-16 00:00:00+00,12.42,12.46,12.11,12.45,0.24,8995,110.37,33
2012-03-19 00:00:00+00,12.47,12.47,12.39,12.39,-0.48,861,10.67,8
2012-03-20 00:00:00+00,12.47,12.47,12.02,12.25,-1.13,1517,18.66,8
2012-03-21 00:00:00+00,12.3,12.3,11.91,12.14,-0.9,5163,62.47,8
2012-03-22 00:00:00+00,12.15,12.15,11.3,12.12,-0.16,2503,29.19,11
2012-03-23 00:00:00+00,12.15,12.15,11.4,12,-0.99,5834,69.88,11
2012-03-26 00:00:00+00,12.15,12.15,12.15,12.15,1.25,1,0.01,1
2012-03-27 00:00:00+00,11.4,12.15,11.4,12,-1.23,4378,51.72,15
2012-03-28 00:00:00+00,12.1,12.1,11.98,11.98,-0.17,2052,24.58,6
2012-03-29 00:00:00+00,11.98,12.14,11.9,12.14,1.34,3851,46.16,11
2012-03-30 00:00:00+00,12.15,12.15,12.15,12.15,0.08,1,0.01,1
2012-04-02 00:00:00+00,12.1,12.1,12.1,12.1,-0.41,2,0.02,2
2012-04-03 00:00:00+00,12.1,12.1,11.65,12.1,0,2279,26.77,8
2012-04-04 00:00:00+00,12.1,12.1,11.54,12,-0.83,3577,41.84,13
2012-04-05 00:00:00+00,12.1,12.1,12,12,0,3,0.04,3
2012-04-10 00:00:00+00,12,12.1,11.6,12.06,0.5,31246,362.52,10
2012-04-11 00:00:00+00,11.9,11.91,11.5,11.91,-1.24,2391,28.37,11
2012-04-12 00:00:00+00,11.41,11.56,11.1,11.1,-6.8,36112,404.92,47
2012-04-13 00:00:00+00,11.34,11.34,10.86,10.88,-1.98,9648,105.86,27
2012-04-16 00:00:00+00,10.86,10.86,10.21,10.47,-3.77,658,6.86,11
2012-04-17 00:00:00+00,10.5,10.5,10.1,10.5,0.29,518,5.39,8
2012-04-18 00:00:00+00,10.38,10.47,10.05,10.47,-0.29,646,6.55,10
2012-04-19 00:00:00+00,10.47,10.47,10.05,10.47,0,33,0.33,4
2012-04-20 00:00:00+00,10.47,10.47,9.11,9.11,-12.99,31025,298.01,56
2012-04-23 00:00:00+00,9.11,9.35,8.93,8.93,-1.98,1700,15.37,13
2012-04-24 00:00:00+00,8.4,8.8,8.4,8.8,-1.46,1992,16.97,8
2012-04-25 00:00:00+00,8.8,8.83,8.43,8.8,0,1443,12.32,10
2012-04-26 00:00:00+00,9,9,8.55,8.6,-2.27,35,0.3,5
2012-04-27 00:00:00+00,8.6,8.78,8.6,8.78,2.09,802,6.9,7
2012-04-30 00:00:00+00,8.6,8.78,8.48,8.78,0,2478,21.27,17
2012-05-02 00:00:00+00,8.78,8.78,8.69,8.69,-1.03,122,1.06,3
2012-05-04 00:00:00+00,8.7,8.7,8.06,8.7,0.12,6145,52.57,8
2012-05-07 00:00:00+00,8.78,8.78,8.2,8.73,0.34,2374,19.98,9
2012-05-08 00:00:00+00,8.72,8.72,8.7,8.71,-0.23,52,0.45,3
2012-05-09 00:00:00+00,8.4,8.4,8.02,8.39,-3.67,1509,12.49,9
2012-05-10 00:00:00+00,8.5,8.5,8.02,8.5,1.31,280,2.25,4
2012-05-11 00:00:00+00,8.5,8.69,8.28,8.69,2.24,1920,16.21,8
