date,open,high,low,close,difference,volume,turnover,transactions
2018-03-21 00:00:00+00,44.13,46.49,42,45.95,4.12,15426,692.35,119
2018-03-22 00:00:00+00,45.95,47.24,45.11,45.11,-1.83,6032,277.62,34
2018-03-23 00:00:00+00,45.15,45.15,41.15,43.6,-3.35,1263,55.63,28
2018-03-26 00:00:00+00,43.5,45.5,43.5,44.41,1.86,1696,76.09,13
2018-03-27 00:00:00+00,45.19,45.19,44.6,44.99,1.31,8,0.36,3
2018-03-28 00:00:00+00,44.99,44.99,43.7,44.6,-0.87,275,12.11,9
2018-03-29 00:00:00+00,43.95,43.95,43.94,43.95,-1.46,251,11.03,4
2018-04-03 00:00:00+00,43.9,44.01,43.9,44.01,0.14,2074,91.24,8
2018-04-04 00:00:00+00,44.06,44.74,44.06,44.74,1.66,5244,231.28,6
2018-04-05 00:00:00+00,44.16,44.89,44.16,44.33,-0.92,202,8.95,8
2018-04-06 00:00:00+00,44.32,44.8,43.9,43.9,-0.97,2475,110.77,9
2018-04-09 00:00:00+00,43.5,44.3,43.2,43.2,-1.59,266,11.71,6
2018-04-10 00:00:00+00,43.3,44.58,43.3,44.58,3.19,295,13.07,6
2018-04-11 00:00:00+00,44.59,44.65,44.59,44.65,0.16,132,5.89,3
2018-04-12 00:00:00+00,44.73,44.74,44.5,44.5,-0.34,688,30.68,3
2018-04-13 00:00:00+00,44.3,44.31,44.3,44.3,-0.45,2403,106.45,8
2018-04-16 00:00:00+00,44.99,45.05,44.8,44.8,1.13,4974,223.48,20
2018-04-17 00:00:00+00,0,0,0,44.8,0,0,0,0
2018-04-18 00:00:00+00,44.58,45.39,44.57,45.39,1.32,168,7.5,10
2018-04-19 00:00:00+00,0,0,0,45.39,0,0,0,0
2018-04-20 00:00:00+00,45,45.06,45,45.06,-0.73,954,42.93,4
2018-04-23 00:00:00+00,0,0,0,45.06,0,0,0,0
2018-04-24 00:00:00+00,45.02,45.12,45,45,-0.13,1524,68.59,9
2018-04-25 00:00:00+00,0,0,0,45,0,0,0,0
2018-04-26 00:00:00+00,44.32,44.38,43.9,44.38,-1.38,9820,433.11,7
2018-04-27 00:00:00+00,44,44,44,44,-0.86,1,0.04,1
2018-04-30 00:00:00+00,43.52,44.67,43.52,44.67,1.52,61,2.66,4
2018-05-02 00:00:00+00,0,0,0,44.67,0,0,0,0
2018-05-04 00:00:00+00,44.43,44.43,44.43,44.43,-0.54,700,31.1,2
2018-05-07 00:00:00+00,44.43,44.43,44.43,44.43,0,1145,50.87,1
2018-05-08 00:00:00+00,44.43,44.43,43.7,43.7,-1.64,11516,507.19,12
2018-05-09 00:00:00+00,44.9,45.5,44.5,45,2.97,3626,164.04,23
2018-05-10 00:00:00+00,44.5,44.5,44,44,-2.22,3322,146.28,4
2018-05-11 00:00:00+00,45,45,44,44.21,0.48,27016,1196.45,15
2018-05-14 00:00:00+00,44.21,44.37,44,44,-0.48,8198,363.35,12
2018-05-15 00:00:00+00,42.6,45,42.6,45,2.27,22440,996.37,16
2018-05-16 00:00:00+00,44.41,47.13,44.41,46.85,4.11,18735,848.53,24
2018-05-17 00:00:00+00,45.1,45.1,45.06,45.06,-3.82,1005,45.29,3
2018-05-18 00:00:00+00,45.08,46.48,45.08,46.48,3.15,7,0.32,2
2018-05-21 00:00:00+00,45.11,46.19,45.11,46.19,-0.62,239,10.79,5
2018-05-22 00:00:00+00,45.2,45.97,45,45.06,-2.45,3005,135.63,66
2018-05-23 00:00:00+00,45.06,45.07,45.06,45.07,0.02,16,0.72,2
2018-05-24 00:00:00+00,45.5,46.2,45.5,46,2.06,1079,49.67,10
2018-05-25 00:00:00+00,46,46.85,46,46.85,1.85,302,14,6
2018-05-28 00:00:00+00,46.85,47.2,46.55,46.55,-0.64,1821,85.04,12
2018-05-29 00:00:00+00,46.55,46.55,46.05,46.05,-1.07,32,1.48,3
2018-05-30 00:00:00+00,46.06,46.06,46.06,46.06,0.02,18,0.83,1
2018-06-01 00:00:00+00,46.05,46.05,45.7,45.7,-0.78,740,33.98,9
2018-06-04 00:00:00+00,45.71,47,45.5,47,2.84,2089,95.12,6
2018-06-05 00:00:00+00,46.5,46.5,45.25,45.5,-3.19,5416,246.98,11
2018-06-06 00:00:00+00,45.64,45.64,45.64,45.64,0.31,40,1.83,1
2018-06-07 00:00:00+00,46,46.55,46,46.55,1.99,280,12.98,3
2018-06-08 00:00:00+00,0,0,0,46.55,0,0,0,0
2018-06-11 00:00:00+00,46,46.54,46,46.54,-0.02,336,15.51,3
2018-06-12 00:00:00+00,0,0,0,46.54,0,0,0,0
2018-06-13 00:00:00+00,46.1,46.1,46.1,46.1,-0.95,41,1.89,3
2018-06-14 00:00:00+00,46.1,46.1,46.1,46.1,0,170,7.84,2
2018-06-15 00:00:00+00,46.1,46.54,45.6,46.54,0.95,543,24.99,7
2018-06-18 00:00:00+00,0,0,0,46.54,0,0,0,0
2018-06-19 00:00:00+00,46,46,45.71,45.71,-1.78,340,15.61,5
2018-06-20 00:00:00+00,0,0,0,45.71,0,0,0,0
2018-06-21 00:00:00+00,0,0,0,45.71,0,0,0,0
2018-06-22 00:00:00+00,0,0,0,45.71,0,0,0,0
2018-06-25 00:00:00+00,0,0,0,45.71,0,0,0,0
2018-06-26 00:00:00+00,46.49,47.4,46.49,46.6,1.95,3412,160.25,31
2018-06-27 00:00:00+00,46.6,47.8,46.6,47.8,2.58,876,40.92,10
2018-06-28 00:00:00+00,47,47.8,47,47.8,0,365,17.44,3
2018-06-29 00:00:00+00,47.95,48,47.95,48,0.42,311,14.93,3
2018-07-02 00:00:00+00,48,48.9,48,48.8,1.67,1030,50.12,18
2018-07-03 00:00:00+00,48.9,51,48.9,51,4.51,2107,105.51,26
2018-07-04 00:00:00+00,51.9,51.9,51.9,51.9,1.76,188,9.76,4
2018-07-05 00:00:00+00,51.9,51.9,50,50.5,-2.7,687,34.87,19
2018-07-06 00:00:00+00,50.3,50.3,50.3,50.3,-0.4,21,1.06,1
2018-07-09 00:00:00+00,50,50,50,50,-0.6,52,2.6,3
2018-07-10 00:00:00+00,50,50,48.39,49.5,-1,125,6.18,6
2018-07-11 00:00:00+00,49.5,49.5,49.5,49.5,0,23,1.14,1
2018-07-12 00:00:00+00,49.9,51.8,49.9,51.8,4.65,586,29.57,7
2018-07-13 00:00:00+00,51.9,54,51.9,53.7,3.67,2636,138.88,31
2018-07-16 00:00:00+00,53,55,53,54.9,2.23,1606,85.97,25
2018-07-17 00:00:00+00,55,56,53.5,54,-1.64,707,38.81,14
2018-07-18 00:00:00+00,56,56,53.2,53.5,-0.93,473,25.22,9
2018-07-19 00:00:00+00,55,55,54.01,54.01,0.95,55,3.02,2
2018-07-20 00:00:00+00,56,56,55.6,55.6,2.94,73,4.08,3
2018-07-23 00:00:00+00,55.65,55.95,55.65,55.95,0.63,105,5.85,2
2018-07-24 00:00:00+00,54,56,54,55,-1.7,321,17.57,6
2018-07-25 00:00:00+00,53.5,53.5,52,52,-5.45,680,35.97,7
2018-07-26 00:00:00+00,53.8,53.8,51.43,51.43,-1.1,974,51.04,19
2018-07-27 00:00:00+00,52,52,51.1,51.5,0.14,325,16.81,8
2018-07-30 00:00:00+00,50,52.5,49.54,52.5,1.94,741,37.44,20
2018-07-31 00:00:00+00,52.5,52.5,52.5,52.5,0,19,1,2
2018-08-01 00:00:00+00,52.5,52.5,52.5,52.5,0,2,0.11,1
2018-08-02 00:00:00+00,52.5,52.5,48,49.9,-4.95,1573,76.37,29
