date,open,high,low,close,difference,volume,turnover,transactions
2020-10-01 00:00:00+00,2.08,2.08,1.9,1.94,-3,5107,10.17,22
2020-10-02 00:00:00+00,2,2,1.9,1.91,-1.55,7267,13.89,14
2020-10-05 00:00:00+00,1.95,1.95,1.9,1.9,-0.52,1005,1.91,4
2020-10-06 00:00:00+00,1.9,1.99,1.9,1.99,4.74,24869,48.73,36
2020-10-07 00:00:00+00,2.18,2.18,2.02,2.12,6.53,28046,59.71,38
2020-10-08 00:00:00+00,2.14,2.18,1.95,2,-5.66,22876,45.89,37
2020-10-09 00:00:00+00,2.08,2.08,1.93,2.06,3,8450,16.98,20
2020-10-12 00:00:00+00,1.95,2.06,1.95,2.04,-0.97,8224,16.3,23
2020-10-13 00:00:00+00,2.04,2.04,1.95,1.97,-3.43,2622,5.2,13
2020-10-14 00:00:00+00,2,2,1.85,1.86,-5.58,15457,29.4,17
2020-10-15 00:00:00+00,1.86,1.86,1.71,1.76,-5.38,23708,42.55,19
2020-10-16 00:00:00+00,1.72,1.9,1.72,1.9,7.95,21973,40.01,24
2020-10-19 00:00:00+00,1.83,1.88,1.75,1.8,-5.26,12597,22.75,14
2020-10-20 00:00:00+00,1.88,1.89,1.8,1.8,0,16101,29.37,18
2020-10-21 00:00:00+00,2.02,2.04,1.8,1.85,2.78,48243,93.14,48
2020-10-22 00:00:00+00,1.85,1.9,1.8,1.85,0,17529,31.69,9
2020-10-23 00:00:00+00,1.85,1.85,1.78,1.8,-2.7,4312,7.7,9
2020-10-26 00:00:00+00,1.84,1.84,1.7,1.7,-5.56,9221,16.05,11
2020-10-27 00:00:00+00,1.84,1.84,1.69,1.75,2.94,14556,25.19,10
2020-10-28 00:00:00+00,1.8,1.8,1.52,1.6,-8.57,13076,21.43,19
2020-10-29 00:00:00+00,1.46,1.6,1.46,1.55,-3.13,11641,17.85,25
2020-10-30 00:00:00+00,1.65,1.7,1.56,1.7,9.68,7677,12.35,16
2020-11-02 00:00:00+00,1.81,1.81,1.65,1.7,0,11323,19.08,16
2020-11-03 00:00:00+00,1.69,1.7,1.67,1.67,-1.76,2751,4.64,6
2020-11-04 00:00:00+00,1.7,1.7,1.69,1.69,1.2,1277,2.17,5
2020-11-05 00:00:00+00,1.69,1.78,1.6,1.66,-1.78,14751,24.82,22
2020-11-06 00:00:00+00,1.66,1.67,1.66,1.67,0.6,4459,7.44,4
2020-11-09 00:00:00+00,1.59,1.8,1.59,1.79,7.19,22770,39.23,23
2020-11-10 00:00:00+00,1.79,1.79,1.68,1.74,-2.79,13687,23.67,18
2020-11-12 00:00:00+00,1.74,1.74,1.64,1.74,0,6672,11.58,11
2020-11-13 00:00:00+00,1.74,1.74,1.69,1.74,0,6006,10.21,8
2020-11-16 00:00:00+00,1.66,1.74,1.66,1.67,-4.02,5958,10.14,13
2020-11-17 00:00:00+00,1.72,1.72,1.55,1.63,-2.4,20086,32.79,20
2020-11-18 00:00:00+00,1.72,1.72,1.68,1.7,4.29,9970,16.83,13
2020-11-19 00:00:00+00,1.6,1.68,1.6,1.68,-1.18,940,1.51,4
2020-11-20 00:00:00+00,1.71,1.71,1.56,1.71,1.79,10934,17.47,13
2020-11-23 00:00:00+00,1.7,1.7,1.58,1.62,-5.26,4284,7.08,7
2020-11-24 00:00:00+00,1.7,1.7,1.64,1.7,4.94,2665,4.41,5
2020-11-25 00:00:00+00,1.7,1.71,1.61,1.62,-4.71,7158,11.7,19
2020-11-26 00:00:00+00,1.7,1.7,1.58,1.62,0,6889,11.05,10
2020-11-27 00:00:00+00,1.66,1.71,1.66,1.71,5.56,19302,32.67,16
2020-11-30 00:00:00+00,1.75,1.75,1.65,1.7,-0.58,1164,1.93,6
2020-12-01 00:00:00+00,1.7,1.72,1.66,1.66,-2.35,1371,2.33,10
2020-12-02 00:00:00+00,1.62,1.7,1.62,1.66,0,231,0.39,11
2020-12-03 00:00:00+00,1.72,1.72,1.63,1.63,-1.81,12372,20.9,17
2020-12-04 00:00:00+00,1.7,1.7,1.63,1.69,3.68,120,0.2,5
2020-12-07 00:00:00+00,1.64,1.64,1.62,1.62,-4.14,3014,4.92,9
2020-12-08 00:00:00+00,1.62,1.67,1.58,1.66,2.47,6804,10.94,21
2020-12-09 00:00:00+00,1.62,1.66,1.6,1.6,-3.61,4019,6.48,13
2020-12-10 00:00:00+00,1.6,1.65,1.6,1.61,0.63,17602,28.32,18
2020-12-11 00:00:00+00,1.6,1.67,1.6,1.65,2.48,3002,4.94,13
2020-12-14 00:00:00+00,1.65,1.69,1.61,1.61,-2.42,8769,14.62,20
2020-12-15 00:00:00+00,1.67,1.67,1.62,1.65,2.48,20124,33.34,20
2020-12-16 00:00:00+00,1.61,1.65,1.61,1.64,-0.61,2375,3.9,38
2020-12-17 00:00:00+00,1.65,1.71,1.62,1.7,3.66,9546,15.93,64
2020-12-18 00:00:00+00,1.66,1.8,1.66,1.79,5.29,57196,100.84,42
2020-12-21 00:00:00+00,1.8,1.8,1.7,1.72,-3.91,22243,39.34,23
2020-12-22 00:00:00+00,1.8,1.8,1.68,1.77,2.91,5917,10.04,12
2020-12-23 00:00:00+00,1.79,1.9,1.71,1.73,-2.26,19149,34.28,27
2020-12-28 00:00:00+00,1.73,1.9,1.73,1.83,5.78,49337,89.5,54
2020-12-29 00:00:00+00,1.85,1.85,1.75,1.75,-4.37,11844,20.97,23
2020-12-30 00:00:00+00,1.84,1.84,1.78,1.84,5.14,3363,6.18,12
2021-01-04 00:00:00+00,1.84,1.85,1.79,1.85,0.54,19955,36.71,24
2021-01-05 00:00:00+00,1.85,1.98,1.8,1.85,0,101763,189.46,49
2021-01-07 00:00:00+00,1.85,1.9,1.81,1.9,2.7,22183,41.1,24
2021-01-08 00:00:00+00,1.94,1.94,1.76,1.86,-2.11,33662,61.94,24
2021-01-11 00:00:00+00,1.87,1.87,1.71,1.73,-6.99,8719,15.56,13
2021-01-12 00:00:00+00,1.84,1.84,1.74,1.79,3.47,43,0.08,4
2021-01-13 00:00:00+00,1.84,1.84,1.69,1.7,-5.03,5998,10.31,21
2021-01-14 00:00:00+00,1.84,1.84,1.7,1.79,5.29,8337,14.55,11
2021-01-15 00:00:00+00,1.82,1.82,1.74,1.81,1.12,5290,9.47,7
2021-01-18 00:00:00+00,1.7,1.81,1.7,1.81,0,10433,18.56,9
2021-01-19 00:00:00+00,1.82,1.84,1.8,1.84,1.66,11317,20.6,17
2021-01-20 00:00:00+00,1.86,1.86,1.8,1.8,-2.17,5499,9.97,13
2021-01-21 00:00:00+00,1.85,1.85,1.79,1.84,2.22,3306,6,11
2021-01-22 00:00:00+00,1.84,1.84,1.8,1.8,-2.17,1002,1.8,2
2021-01-25 00:00:00+00,1.83,1.83,1.77,1.82,1.11,4759,8.58,6
2021-01-26 00:00:00+00,1.84,1.84,1.76,1.8,-1.1,893,1.61,7
2021-01-27 00:00:00+00,1.83,1.83,1.74,1.82,1.11,565,1.02,11
2021-01-28 00:00:00+00,1.82,1.82,1.76,1.82,0,2627,4.66,8
2021-01-29 00:00:00+00,1.83,1.83,1.74,1.82,0,3100,5.49,17
2021-02-01 00:00:00+00,1.82,1.83,1.77,1.77,-2.75,3743,6.78,7
2021-02-02 00:00:00+00,1.82,1.82,1.73,1.73,-2.26,4424,7.76,9
2021-02-03 00:00:00+00,1.81,1.81,1.72,1.72,-0.58,5926,10.32,8
2021-02-04 00:00:00+00,1.72,1.75,1.67,1.75,1.74,1814,3.12,10
2021-02-05 00:00:00+00,1.75,1.75,1.7,1.75,0,7486,13.1,7
2021-02-08 00:00:00+00,1.75,1.75,1.74,1.75,0,1038,1.81,4
