date,open,high,low,close,difference,volume,turnover,transactions
2018-04-19 00:00:00+00,30.9,32,27.2,29,0,18751,540.14,117
2018-04-20 00:00:00+00,29,29,28.5,28.99,-0.03,2489,71.88,13
2018-04-23 00:00:00+00,28.99,28.99,28.85,28.85,-0.48,1092,31.65,5
2018-04-24 00:00:00+00,28.85,28.85,27.11,27.9,-3.29,1863,51.42,13
2018-04-25 00:00:00+00,27.7,28.85,26.95,27.13,-2.76,1576,42.79,11
2018-04-26 00:00:00+00,28.85,28.85,27,27,-0.48,331,8.95,5
2018-04-27 00:00:00+00,28.85,28.85,26.9,27,0,982,26.57,5
2018-04-30 00:00:00+00,27,28.6,25,25,-7.41,1955,53.16,16
2018-05-02 00:00:00+00,25.01,27.1,25.01,26.3,5.2,1520,40.6,7
2018-05-04 00:00:00+00,27.1,27.1,25.85,27,2.66,244,6.54,6
2018-05-07 00:00:00+00,26.97,27,26.96,27,0,627,16.92,6
2018-05-08 00:00:00+00,26.91,26.91,26.5,26.5,-1.85,448,11.92,5
2018-05-09 00:00:00+00,26.79,26.79,26.77,26.77,1.02,82,2.2,5
2018-05-10 00:00:00+00,26.77,27,26.2,27,0.86,645,17.15,7
2018-05-11 00:00:00+00,26.97,26.97,26.69,26.69,-1.15,863,23.07,6
2018-05-14 00:00:00+00,26.68,28.5,26.61,27.2,1.91,114489,3092.63,45
2018-05-15 00:00:00+00,28.49,29.89,26.94,29.89,9.89,15122,436.85,59
2018-05-16 00:00:00+00,29.99,32.8,29.56,30.8,3.04,10195,314,90
2018-05-17 00:00:00+00,30.8,30.8,29.5,29.86,-3.05,1205,36.03,13
2018-05-18 00:00:00+00,29.86,29.86,28.5,29.25,-2.04,180,5.24,4
2018-05-21 00:00:00+00,29.25,29.89,29,29.57,1.09,2051,60.24,16
2018-05-22 00:00:00+00,29.79,29.79,28.4,28.68,-3.01,5587,159.91,22
2018-05-23 00:00:00+00,28.68,28.68,27.75,28.55,-0.45,273,7.69,8
2018-05-24 00:00:00+00,29.5,29.5,28,29.5,3.33,14038,393.1,7
2018-05-25 00:00:00+00,29.5,29.5,28.5,28.5,-3.39,106,3.02,4
2018-05-28 00:00:00+00,29.49,29.49,27.02,28,-1.75,1526,42.53,10
2018-05-29 00:00:00+00,29,29,27.5,28,0,62,1.71,6
2018-05-30 00:00:00+00,28,29,27,28.5,1.79,3049,85.61,18
2018-06-01 00:00:00+00,29.2,30.95,28,30.95,8.6,1912,54.75,45
2018-06-04 00:00:00+00,30.9,30.9,29.25,29.9,-3.39,681,19.97,5
2018-06-05 00:00:00+00,30.5,30.5,29.3,29.9,0,42,1.23,4
2018-06-06 00:00:00+00,30.49,30.49,29.3,29.8,-0.33,62,1.85,4
2018-06-07 00:00:00+00,28.9,28.9,28,28,-6.04,1126,32.13,8
2018-06-08 00:00:00+00,28.85,29,28,28.2,0.71,1697,48.52,9
2018-06-11 00:00:00+00,29.4,29.4,28.5,28.5,1.06,842,24.04,6
2018-06-12 00:00:00+00,28.79,28.79,28.22,28.79,1.02,662,19.03,8
2018-06-13 00:00:00+00,28.79,29.4,28.79,29.4,2.12,3,0.09,3
2018-06-14 00:00:00+00,29.4,29.4,29.4,29.4,0,2,0.06,2
2018-06-15 00:00:00+00,29.4,29.4,27.6,27.98,-4.83,4734,131.55,18
2018-06-18 00:00:00+00,29,29,27,27.99,0.04,1664,45.63,12
2018-06-19 00:00:00+00,26.07,27.29,26.07,27.29,-2.5,1912,51.62,16
2018-06-20 00:00:00+00,26.5,27.63,26.5,27.48,0.7,1181,32.28,9
2018-06-21 00:00:00+00,27.3,27.3,27.29,27.3,-0.66,971,26.51,6
2018-06-22 00:00:00+00,28.98,28.98,27.63,27.63,1.21,2,0.06,2
2018-06-25 00:00:00+00,27.5,27.5,26.5,27.5,-0.47,1036,28,6
2018-06-26 00:00:00+00,27.5,27.5,27.5,27.5,0,247,6.79,4
2018-06-27 00:00:00+00,28.5,28.5,24.7,25.7,-6.55,2813,71.46,18
2018-06-28 00:00:00+00,26.5,26.5,24.5,25.2,-1.95,1977,49.08,23
2018-06-29 00:00:00+00,25,26.39,25,25.5,1.19,3052,77.88,13
2018-07-02 00:00:00+00,25.8,26.5,25.8,26,1.96,1791,46.8,11
2018-07-03 00:00:00+00,26,28.6,25.75,26.5,1.92,2975,77.21,17
2018-07-04 00:00:00+00,26,26,25.9,26,-1.89,14,0.36,4
2018-07-05 00:00:00+00,25.5,25.5,25.5,25.5,-1.92,30,0.77,2
2018-07-06 00:00:00+00,26,26,24.5,26,1.96,1292,31.97,14
