date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,1.91,1.94,1.91,1.94,0,2809,10.82,4
2005-01-04 00:00:00+00,1.9,1.9,1.9,1.9,-2.06,7788,29.59,9
2005-01-05 00:00:00+00,1.85,1.9,1.85,1.9,0,4399,16.58,7
2005-01-06 00:00:00+00,0,0,0,1.9,0,0,0,0
2005-01-07 00:00:00+00,1.85,1.85,1.85,1.85,-2.63,497,1.84,4
2005-01-10 00:00:00+00,2,2,2,2,8.11,14389,57.56,12
2005-01-11 00:00:00+00,1.94,1.94,1.94,1.94,-3,1300,5.04,3
2005-01-12 00:00:00+00,1.88,1.88,1.88,1.88,-3.09,885,3.33,1
2005-01-13 00:00:00+00,1.88,1.88,1.88,1.88,0,950,3.57,1
2005-01-14 00:00:00+00,1.81,1.81,1.81,1.81,-3.72,2210,8,4
2005-01-17 00:00:00+00,1.75,1.75,1.7,1.7,-6.08,2745,9.53,4
2005-01-18 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-01-19 00:00:00+00,1.7,1.7,1.7,1.7,0,100,0.34,1
2005-01-20 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-01-21 00:00:00+00,1.55,1.61,1.55,1.61,-5.29,7981,24.86,17
2005-01-24 00:00:00+00,1.48,1.54,1.48,1.54,-4.35,8813,26.92,12
2005-01-25 00:00:00+00,1.42,1.57,1.42,1.57,1.95,13950,40.5,13
2005-01-26 00:00:00+00,1.53,1.53,1.5,1.5,-4.46,6126,18.44,9
2005-01-27 00:00:00+00,1.49,1.49,1.49,1.49,-0.67,6000,17.88,6
2005-01-28 00:00:00+00,1.48,1.48,1.48,1.48,-0.67,6000,17.76,3
2005-01-31 00:00:00+00,0,0,0,1.48,0,0,0,0
2005-02-01 00:00:00+00,1.52,1.52,1.52,1.52,2.7,5286,16.07,8
2005-02-02 00:00:00+00,1.63,1.63,1.63,1.63,7.24,2950,9.62,4
2005-02-03 00:00:00+00,1.7,1.81,1.7,1.81,11.04,6657,22.63,7
2005-02-04 00:00:00+00,1.7,1.7,1.7,1.7,-6.08,2000,6.8,2
2005-02-07 00:00:00+00,1.7,1.7,1.7,1.7,0,1370,4.66,4
2005-02-08 00:00:00+00,1.64,1.64,1.64,1.64,-3.53,1500,4.92,1
2005-02-09 00:00:00+00,1.6,1.6,1.6,1.6,-2.44,2500,8,3
2005-02-10 00:00:00+00,0,0,0,1.6,0,0,0,0
2005-02-11 00:00:00+00,1.6,1.6,1.6,1.6,0,800,2.56,1
2005-02-14 00:00:00+00,1.6,1.7,1.6,1.7,6.25,3633,11.65,5
2005-02-15 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-16 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-17 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-18 00:00:00+00,1.6,1.6,1.6,1.6,-5.88,1800,5.76,3
2005-02-21 00:00:00+00,1.7,1.7,1.7,1.7,6.25,1,0,1
2005-02-22 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-23 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-24 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-25 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-02-28 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-03-01 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-03-02 00:00:00+00,0,0,0,1.7,0,0,0,0
2005-03-03 00:00:00+00,1.29,1.29,1.29,1.29,-24.12,191,0.49,2
2005-03-04 00:00:00+00,0,1.55,1.41,1.55,20.16,0,0,0
2005-03-07 00:00:00+00,1.41,1.66,1.41,1.66,7.1,138,0.42,3
2005-03-08 00:00:00+00,1.5,1.5,1.5,1.5,-9.64,3062,9.19,4
2005-03-09 00:00:00+00,1.5,1.5,1.5,1.5,0,419,1.26,3
2005-03-10 00:00:00+00,1.5,1.63,1.5,1.63,8.67,22,0.07,2
2005-03-11 00:00:00+00,1.5,1.5,1.5,1.5,-7.98,4149,12.45,4
2005-03-14 00:00:00+00,0,0,0,1.5,0,0,0,0
2005-03-15 00:00:00+00,1.61,1.61,1.61,1.61,7.33,1,0,1
2005-03-16 00:00:00+00,1.41,1.61,1.41,1.61,0,81,0.23,2
2005-03-17 00:00:00+00,0,0,0,1.61,0,0,0,0
2005-03-18 00:00:00+00,0,0,0,1.61,0,0,0,0
2005-03-21 00:00:00+00,1.48,1.48,1.48,1.48,-8.07,287,0.85,3
2005-03-22 00:00:00+00,1.6,1.6,1.6,1.6,8.11,1,0,1
2005-03-23 00:00:00+00,1.23,1.23,1.23,1.23,-23.13,250,0.62,2
2005-03-24 00:00:00+00,1.37,1.4,1.37,1.4,13.82,1100,3.02,3
2005-03-29 00:00:00+00,0,0,0,1.4,0,0,0,0
2005-03-30 00:00:00+00,0,0,0,1.4,0,0,0,0
2005-03-31 00:00:00+00,0,0,0,1.4,0,0,0,0
2005-04-01 00:00:00+00,1.4,1.4,1.4,1.4,0,30,0.08,1
2005-04-04 00:00:00+00,1.3,1.3,1.3,1.3,-7.14,30,0.08,1
2005-04-05 00:00:00+00,1.21,1.21,1.21,1.21,-6.92,200,0.48,2
2005-04-06 00:00:00+00,1.26,1.45,1.26,1.45,19.83,232,0.65,3
2005-04-07 00:00:00+00,1.44,1.44,1.44,1.44,-0.69,2300,6.62,4
2005-04-11 00:00:00+00,1.4,1.4,1.4,1.4,-2.78,8630,24.16,4
2005-04-12 00:00:00+00,1.33,1.33,1.33,1.33,-5,13860,36.87,7
2005-04-13 00:00:00+00,0,0,0,1.33,0,0,0,0
2005-04-14 00:00:00+00,1,1,1,1,-24.81,14486,28.97,18
2005-04-15 00:00:00+00,1.07,1.07,1.01,1.01,1,4333,9.25,5
2005-04-18 00:00:00+00,1.11,1.11,1.11,1.11,9.9,10,0.02,1
2005-04-19 00:00:00+00,1.07,1.07,1,1.07,-3.6,100,0.21,2
2005-04-20 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-04-21 00:00:00+00,1.2,1.2,1.2,1.2,12.15,5,0.01,1
2005-04-22 00:00:00+00,1.08,1.08,1.08,1.08,-10,3342,7.22,5
2005-04-25 00:00:00+00,1.08,1.08,1.08,1.08,0,890,1.92,3
2005-04-26 00:00:00+00,0,0,0,1.08,0,0,0,0
2005-04-27 00:00:00+00,0,0,0,1.08,0,0,0,0
2005-04-28 00:00:00+00,1.02,1.02,0.9,0.9,-16.67,1600,3.14,44
2005-04-29 00:00:00+00,0.9,1.02,0.9,1.02,13.33,1855,3.54,61
2005-05-02 00:00:00+00,0,0,0,1.02,0,0,0,0
2005-05-04 00:00:00+00,0,0,0,1.02,0,0,0,0
2005-05-05 00:00:00+00,0,0,0,1.02,0,0,0,0
2005-05-06 00:00:00+00,0,0,0,1.02,0,0,0,0
2005-05-09 00:00:00+00,0,0,0,1.02,0,0,0,0
2005-05-10 00:00:00+00,0,0,0,1.02,0,0,0,0
2005-05-11 00:00:00+00,0.98,0.98,0.98,0.98,-3.92,199,0.39,1
2005-05-12 00:00:00+00,0,0,0,0.98,0,0,0,0
2005-05-13 00:00:00+00,0.99,1.12,0.99,1.12,14.29,6211,13.63,12
2005-05-16 00:00:00+00,1.14,1.14,1.14,1.14,1.79,1000,2.28,2
2005-05-17 00:00:00+00,1.13,1.13,1.1,1.1,-3.51,700,1.55,3
2005-05-18 00:00:00+00,1.17,1.17,1.17,1.17,6.36,116,0.27,1
2005-05-19 00:00:00+00,1.04,1.04,1.03,1.03,-11.97,1764,3.65,9
2005-05-20 00:00:00+00,1.06,1.18,1.06,1.18,14.56,21,0.04,2
2005-05-23 00:00:00+00,1.23,1.23,1.22,1.22,3.39,5539,13.56,7
2005-05-24 00:00:00+00,0,0,0,1.22,0,0,0,0
2005-05-25 00:00:00+00,1.38,1.38,1.35,1.35,10.66,5150,14.21,7
2005-05-27 00:00:00+00,1.32,1.32,1.3,1.3,-3.7,5140,13.45,7
2005-05-30 00:00:00+00,0,0,0,1.3,0,0,0,0
2005-05-31 00:00:00+00,1.11,1.11,1.11,1.11,-14.62,158,0.35,1
2005-06-01 00:00:00+00,0,0,0,1.11,0,0,0,0
2005-06-02 00:00:00+00,0,0,0,1.11,0,0,0,0
2005-06-03 00:00:00+00,1.12,1.12,1.12,1.12,0.9,126,0.28,1
2005-06-06 00:00:00+00,1.21,1.21,1.21,1.21,8.04,2314,5.6,5
2005-06-07 00:00:00+00,1.2,1.2,1.2,1.2,-0.83,5,0.01,1
2005-06-08 00:00:00+00,1.2,1.2,1.2,1.2,0,552,1.32,2
2005-06-09 00:00:00+00,0,0,0,1.2,0,0,0,0
2005-06-10 00:00:00+00,0,0,0,1.2,0,0,0,0
2005-06-13 00:00:00+00,0,0,0,1.2,0,0,0,0
2005-06-14 00:00:00+00,1.21,1.21,1.21,1.21,0.83,999,2.42,3
2005-06-15 00:00:00+00,0,0,0,1.21,0,0,0,0
2005-06-16 00:00:00+00,0,0,0,1.21,0,0,0,0
2005-06-17 00:00:00+00,1.2,1.22,1.2,1.22,0.83,1556,3.77,3
2005-06-20 00:00:00+00,1.2,1.2,1.2,1.2,-1.64,650,1.56,1
2005-06-21 00:00:00+00,0,0,0,1.2,0,0,0,0
2005-06-22 00:00:00+00,0,0,0,1.2,0,0,0,0
2005-06-23 00:00:00+00,1.2,1.2,1.2,1.2,0,1705,4.09,3
2005-06-24 00:00:00+00,1.27,1.34,1.27,1.34,11.67,4002,10.29,6
2005-06-27 00:00:00+00,1.1,1.21,1.1,1.1,-17.91,5000,11,7
2005-06-28 00:00:00+00,1.17,1.17,1.17,1.17,6.36,92,0.22,2
2005-06-29 00:00:00+00,1.07,1.07,1.07,1.07,-8.55,3045,6.52,5
2005-06-30 00:00:00+00,1.07,1.07,1.07,1.07,0,1682,3.6,2
2005-07-01 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-07-04 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-07-05 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-07-06 00:00:00+00,1.1,1.1,1.1,1.1,2.8,720,1.58,1
2005-07-07 00:00:00+00,1.1,1.1,1.1,1.1,0,150,0.33,2
2005-07-08 00:00:00+00,1.16,1.16,1.16,1.16,5.45,1192,2.77,2
2005-07-11 00:00:00+00,1.16,1.16,1.16,1.16,0,4503,10.45,5
2005-07-12 00:00:00+00,0,0,0,1.16,0,0,0,0
2005-07-13 00:00:00+00,1.15,1.15,1.15,1.15,-0.86,1421,3.27,2
2005-07-14 00:00:00+00,1.06,1.16,1.06,1.16,0.87,4776,10.13,4
2005-07-15 00:00:00+00,1.33,1.33,1.33,1.33,14.66,10,0.03,1
2005-07-18 00:00:00+00,0,0,0,1.33,0,0,0,0
2005-07-19 00:00:00+00,1.25,1.25,1.2,1.2,-9.77,1790,4.36,2
2005-07-20 00:00:00+00,0,0,0,1.2,0,0,0,0
2005-07-21 00:00:00+00,1.15,1.15,1.08,1.08,-10,14870,32.89,7
2005-07-22 00:00:00+00,1.08,1.08,1.06,1.06,-1.85,18140,38.92,12
2005-07-25 00:00:00+00,1.06,1.06,1.06,1.06,0,4,0.01,1
2005-07-26 00:00:00+00,1.16,1.16,1.16,1.16,9.43,4006,9.29,5
2005-07-27 00:00:00+00,1.08,1.08,1.08,1.08,-6.9,3232,6.98,4
2005-07-28 00:00:00+00,0,0,0,1.08,0,0,0,0
2005-07-29 00:00:00+00,0,0,0,1.08,0,0,0,0
2005-08-01 00:00:00+00,0,0,0,1.08,0,0,0,0
2005-08-02 00:00:00+00,1.09,1.09,1.09,1.09,0.93,300,0.65,1
2005-08-03 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-04 00:00:00+00,1.12,1.12,1.12,1.12,2.75,3960,8.87,2
2005-08-05 00:00:00+00,1.11,1.11,1.11,1.11,-0.89,162,0.36,1
2005-08-08 00:00:00+00,0,0,0,1.11,0,0,0,0
2005-08-09 00:00:00+00,1.09,1.15,1.09,1.15,3.6,1198,2.61,3
2005-08-10 00:00:00+00,1.15,1.15,1.15,1.15,0,880,2.02,1
2005-08-11 00:00:00+00,1.09,1.09,1.09,1.09,-5.22,1151,2.51,2
2005-08-12 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-16 00:00:00+00,1.09,1.09,1.09,1.09,0,962,2.1,2
2005-08-17 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-18 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-19 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-22 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-23 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-24 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-08-25 00:00:00+00,1.05,1.05,1.05,1.05,-3.67,700,1.47,1
2005-08-26 00:00:00+00,1.05,1.05,1.05,1.05,0,1500,3.15,3
2005-08-29 00:00:00+00,0,0,0,1.05,0,0,0,0
2005-08-30 00:00:00+00,1,1,1,1,-4.76,6510,13.02,8
2005-08-31 00:00:00+00,0,0,0,1,0,0,0,0
2005-09-01 00:00:00+00,1.01,1.01,1.01,1.01,1,1238,2.5,2
2005-09-02 00:00:00+00,1,1,1,1,-0.99,552,1.1,2
2005-09-05 00:00:00+00,1.04,1.04,1.04,1.04,4,1000,2.08,2
2005-09-06 00:00:00+00,0,0,0,1.04,0,0,0,0
2005-09-07 00:00:00+00,1,1,1,1,-3.85,1204,2.41,2
2005-09-08 00:00:00+00,0,0,0,1,0,0,0,0
2005-09-09 00:00:00+00,1.04,1.15,1.04,1.15,15,1351,2.81,3
2005-09-12 00:00:00+00,0,0,0,1.15,0,0,0,0
2005-09-13 00:00:00+00,0,0,0,1.15,0,0,0,0
2005-09-14 00:00:00+00,0,0,0,1.15,0,0,0,0
2005-09-15 00:00:00+00,1.09,1.09,1.09,1.09,-5.22,117,0.26,1
2005-09-16 00:00:00+00,0,0,0,1.09,0,0,0,0
2005-09-19 00:00:00+00,0.77,0.99,0.77,0.99,-9.17,2304,3.77,7
2005-09-20 00:00:00+00,0,0,0,0.99,0,0,0,0
2005-09-21 00:00:00+00,0,0,0,0.99,0,0,0,0
2005-09-22 00:00:00+00,0,0,0,0.99,0,0,0,0
2005-09-23 00:00:00+00,0,0,0,0.99,0,0,0,0
2005-09-26 00:00:00+00,0,0,0,0.99,0,0,0,0
2005-09-27 00:00:00+00,0,0,0,0.99,0,0,0,0
2005-09-28 00:00:00+00,0.84,0.84,0.84,0.84,-15.15,1000,1.68,2
2005-09-29 00:00:00+00,0.87,0.98,0.87,0.98,16.67,2122,3.94,4
2005-09-30 00:00:00+00,1.1,1.1,1.07,1.07,9.18,5600,12.27,10
2005-10-03 00:00:00+00,1,1,1,1,-6.54,5840,11.68,7
2005-10-04 00:00:00+00,1.02,1.07,1.02,1.07,7,2601,5.48,3
2005-10-05 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-10-06 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-10-07 00:00:00+00,0,0,0,1.07,0,0,0,0
2005-10-10 00:00:00+00,1,1,1,1,-6.54,250,0.5,1
2005-10-11 00:00:00+00,0.95,0.95,0.95,0.95,-5,1800,3.42,3
2005-10-12 00:00:00+00,0,0,0,0.95,0,0,0,0
2005-10-13 00:00:00+00,0.95,0.95,0.95,0.95,0,1629,3.1,2
2005-10-14 00:00:00+00,0.87,0.87,0.87,0.87,-8.42,5971,10.39,9
2005-10-17 00:00:00+00,0.94,0.94,0.94,0.94,8.05,1572,2.96,2
2005-10-18 00:00:00+00,0.9,0.9,0.9,0.9,-4.26,1242,2.24,3
2005-10-19 00:00:00+00,0.86,0.86,0.85,0.85,-5.56,13027,22.19,7
2005-10-20 00:00:00+00,0.77,0.77,0.77,0.77,-9.41,92913,143.09,27
2005-10-21 00:00:00+00,0.67,0.67,0.57,0.57,-25.97,42759,53.11,34
2005-10-24 00:00:00+00,0.36,0.52,0.36,0.36,-36.84,9966,7.18,12
2005-10-25 00:00:00+00,0.32,0.36,0.32,0.36,0,23174,15.44,21
2005-10-26 00:00:00+00,0.37,0.37,0.36,0.36,0,25668,18.62,13
2005-10-27 00:00:00+00,0.31,0.31,0.31,0.31,-13.89,13208,8.19,10
2005-10-28 00:00:00+00,0.36,0.36,0.35,0.35,12.9,5806,4.12,9
2005-10-31 00:00:00+00,0.34,0.34,0.33,0.33,-5.71,12000,8.02,75
2005-11-02 00:00:00+00,0.26,0.26,0.26,0.26,-21.21,45294,23.55,22
2005-11-03 00:00:00+00,0.3,0.3,0.3,0.3,15.38,42800,25.68,75
2005-11-04 00:00:00+00,0.3,0.34,0.3,0.34,13.33,22000,13.64,11
2005-11-07 00:00:00+00,0.27,0.27,0.27,0.27,-20.59,37345,20.17,17
2005-11-08 00:00:00+00,0.27,0.27,0.27,0.27,0,27000,14.58,10
2005-11-09 00:00:00+00,0.28,0.28,0.28,0.28,3.7,17458,9.78,12
2005-11-10 00:00:00+00,0.28,0.28,0.24,0.24,-14.29,41250,21.11,15
2005-11-14 00:00:00+00,0.2,0.23,0.2,0.23,-4.17,83732,34.15,25
2005-11-15 00:00:00+00,0.2,0.2,0.18,0.18,-21.74,105085,39.56,31
2005-11-16 00:00:00+00,0.19,0.19,0.19,0.19,5.56,64404,24.47,21
2005-11-17 00:00:00+00,0.19,0.19,0.19,0.19,0,132487,50.35,31
2005-11-18 00:00:00+00,0.2,0.2,0.2,0.2,5.26,54688,21.88,17
2005-11-21 00:00:00+00,0.22,0.22,0.21,0.21,5,40748,17.43,17
2005-11-22 00:00:00+00,0.21,0.21,0.21,0.21,0,72432,30.42,24
2005-11-23 00:00:00+00,0.21,0.21,0.21,0.21,0,71117,29.87,22
2005-11-24 00:00:00+00,0.23,0.23,0.23,0.23,9.52,8400,3.86,5
2005-11-25 00:00:00+00,0.22,0.22,0.21,0.21,-8.7,86500,37.09,22
2005-11-28 00:00:00+00,0.21,0.21,0.2,0.2,-4.76,64045,26.68,24
2005-11-29 00:00:00+00,0.21,0.21,0.18,0.18,-10,6530,2.58,6
2005-11-30 00:00:00+00,0.19,0.19,0.19,0.19,5.56,26519,10.08,13
2005-12-01 00:00:00+00,0.19,0.19,0.17,0.17,-10.53,48854,16.7,16
2005-12-02 00:00:00+00,0.17,0.17,0.17,0.17,0,13338,4.53,10
2005-12-05 00:00:00+00,0.16,0.16,0.16,0.16,-5.88,62037,19.85,22
2005-12-06 00:00:00+00,0.18,0.18,0.17,0.17,6.25,19394,6.66,7
2005-12-07 00:00:00+00,0.18,0.18,0.18,0.18,5.88,152974,55.07,27
2005-12-08 00:00:00+00,0.2,0.23,0.2,0.23,27.78,164807,68.94,24
2005-12-09 00:00:00+00,0.25,0.25,0.24,0.24,4.35,77556,38.23,25
2005-12-12 00:00:00+00,0.22,0.22,0.22,0.22,-8.33,63578,27.97,20
