date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,3.88,3.97,3.8,3.95,0,20041,156.99,25
2005-01-04 00:00:00+00,3.93,3.93,3.87,3.87,-2.03,2410,18.69,5
2005-01-05 00:00:00+00,3.85,3.9,3.85,3.86,-0.26,950,7.33,7
2005-01-06 00:00:00+00,3.82,3.85,3.74,3.83,-0.78,8228,62.26,22
2005-01-07 00:00:00+00,3.82,3.82,3.73,3.74,-2.35,3136,23.63,10
2005-01-10 00:00:00+00,3.72,3.73,3.72,3.72,-0.53,2515,18.72,10
2005-01-11 00:00:00+00,3.71,3.71,3.67,3.7,-0.54,2195,16.24,9
2005-01-12 00:00:00+00,3.65,3.65,3.5,3.5,-5.41,4300,30.72,19
2005-01-13 00:00:00+00,3.59,3.59,3.5,3.55,1.43,8826,62.24,19
2005-01-14 00:00:00+00,3.54,3.54,3.54,3.54,-0.28,30,0.21,1
2005-01-17 00:00:00+00,3.55,3.59,3.4,3.48,-1.69,6509,44.98,23
2005-01-18 00:00:00+00,3.32,3.49,3.3,3.39,-2.59,9329,62.96,18
2005-01-19 00:00:00+00,3.35,3.35,3.35,3.35,-1.18,35,0.23,1
2005-01-20 00:00:00+00,3.4,3.48,3.4,3.43,2.39,2734,18.63,7
2005-01-21 00:00:00+00,3.42,3.42,3.3,3.36,-2.04,1072,7.12,8
2005-01-24 00:00:00+00,3.27,3.86,3.27,3.66,8.93,17824,128.06,59
2005-01-25 00:00:00+00,3.66,3.7,3.45,3.65,-0.27,6648,48.5,28
2005-01-26 00:00:00+00,3.6,3.63,3.45,3.52,-3.56,27875,198.95,52
2005-01-27 00:00:00+00,3.51,3.51,3.42,3.42,-2.84,14918,103.61,21
2005-01-28 00:00:00+00,3.57,3.57,3.43,3.45,0.88,6662,46.18,17
2005-01-31 00:00:00+00,3.4,3.44,3.3,3.38,-2.03,38403,259.18,68
2005-02-01 00:00:00+00,3.4,3.48,3.4,3.48,2.96,23417,161.35,50
2005-02-02 00:00:00+00,3.5,3.6,3.48,3.53,1.44,25571,179.74,49
2005-02-03 00:00:00+00,3.53,3.6,3.53,3.59,1.7,35693,255.41,58
2005-02-04 00:00:00+00,3.58,3.58,3.5,3.55,-1.11,15305,107.78,19
2005-02-07 00:00:00+00,3.56,3.58,3.5,3.52,-0.85,21595,153.65,38
2005-02-08 00:00:00+00,3.51,3.56,3.48,3.52,0,8779,61.71,24
2005-02-09 00:00:00+00,3.43,3.53,3.43,3.53,0.28,2891,20.1,12
2005-02-10 00:00:00+00,3.5,3.54,3.46,3.48,-1.42,14251,100.05,19
2005-02-11 00:00:00+00,3.53,3.57,3.5,3.56,2.3,22320,158.22,48
2005-02-14 00:00:00+00,3.55,3.55,3.48,3.48,-2.25,16236,114.07,29
2005-02-15 00:00:00+00,3.41,3.43,3.37,3.43,-1.44,24614,167.33,36
2005-02-16 00:00:00+00,3.4,3.4,3.3,3.4,-0.87,20341,135.76,49
2005-02-17 00:00:00+00,3.35,3.36,3.29,3.33,-2.06,16186,107.01,36
2005-02-18 00:00:00+00,3.33,3.42,3.33,3.36,0.9,31855,216.24,40
2005-02-21 00:00:00+00,3.39,3.39,3.33,3.33,-0.89,1997,13.41,6
2005-02-22 00:00:00+00,3.32,3.48,3.32,3.47,4.2,23112,158.39,45
2005-02-23 00:00:00+00,3.49,3.49,3.45,3.45,-0.58,9913,68.71,27
2005-02-24 00:00:00+00,3.5,3.82,3.5,3.8,10.14,186486,1371.51,310
2005-02-25 00:00:00+00,3.8,3.8,3.7,3.74,-1.58,60823,455.12,111
2005-02-28 00:00:00+00,3.75,3.78,3.61,3.67,-1.87,34971,256.19,55
2005-03-01 00:00:00+00,3.66,3.66,3.55,3.6,-1.91,18486,133.01,34
2005-03-02 00:00:00+00,3.63,3.76,3.59,3.7,2.78,53733,398.73,80
2005-03-03 00:00:00+00,3.7,3.76,3.65,3.75,1.35,37709,282.28,64
2005-03-04 00:00:00+00,3.75,3.75,3.66,3.7,-1.33,12911,95.41,24
2005-03-07 00:00:00+00,3.65,3.69,3.6,3.68,-0.54,11084,80,16
2005-03-08 00:00:00+00,3.68,3.69,3.68,3.68,0,8738,64.37,16
2005-03-09 00:00:00+00,3.68,3.68,3.6,3.62,-1.63,2515,18.31,12
2005-03-10 00:00:00+00,3.58,3.58,3.56,3.56,-1.66,2800,19.99,6
2005-03-11 00:00:00+00,3.5,3.5,3.4,3.45,-3.09,11981,82.74,23
2005-03-14 00:00:00+00,3.38,3.46,3.38,3.46,0.29,1617,11.03,3
2005-03-15 00:00:00+00,3.47,3.47,3.39,3.44,-0.58,1759,11.97,8
2005-03-16 00:00:00+00,3.4,3.4,3.15,3.3,-4.07,46960,308.97,72
2005-03-17 00:00:00+00,3.23,3.26,3.18,3.22,-2.42,13341,86.14,28
2005-03-18 00:00:00+00,3.17,3.37,3.15,3.26,1.24,35158,227.24,48
2005-03-21 00:00:00+00,3.27,3.33,3.26,3.28,0.61,5900,38.87,9
2005-03-22 00:00:00+00,3.29,3.3,3.24,3.24,-1.22,3700,24.06,5
2005-03-23 00:00:00+00,3.25,3.33,3.21,3.31,2.16,10295,67.19,25
2005-03-24 00:00:00+00,3.23,3.34,3.23,3.3,-0.3,2450,15.98,8
2005-03-29 00:00:00+00,3.36,3.36,3.34,3.36,1.82,5308,35.62,12
2005-03-30 00:00:00+00,3.36,3.38,3.31,3.38,0.6,2300,15.42,6
2005-03-31 00:00:00+00,3.41,3.44,3.3,3.42,1.18,12874,87.62,25
2005-04-01 00:00:00+00,3.38,3.38,3.3,3.34,-2.34,12067,80.62,27
2005-04-04 00:00:00+00,3.33,3.39,3.3,3.39,1.5,3052,20.21,9
2005-04-05 00:00:00+00,3.39,3.39,3.34,3.38,-0.29,5856,39.66,10
2005-04-06 00:00:00+00,3.38,3.38,3.33,3.33,-1.48,900,6.02,3
2005-04-07 00:00:00+00,3.34,3.36,3.34,3.36,0.9,703,4.7,2
2005-04-11 00:00:00+00,3.35,3.36,3.29,3.31,-1.49,12940,86.56,12
