date,open,high,low,close,difference,volume,turnover,transactions
2011-04-05 00:00:00+00,19.1,19.1,18.2,18.41,2.28,2965154,54937.72,1637
2011-04-06 00:00:00+00,18.49,18.54,18.39,18.42,0.05,876600,16151.85,454
2011-04-07 00:00:00+00,18.48,18.48,18.4,18.4,-0.11,150586,2773.18,229
2011-04-08 00:00:00+00,18.4,18.9,18.4,18.9,2.72,442869,8260.24,405
2011-04-11 00:00:00+00,18.96,19.08,18.71,18.89,-0.05,178889,3387.19,219
2011-04-12 00:00:00+00,18.87,18.87,18.53,18.82,-0.37,73336,1373.15,123
2011-04-13 00:00:00+00,18.81,18.95,18.66,18.77,-0.27,105082,1984.56,163
2011-04-14 00:00:00+00,18.7,18.75,18.6,18.7,-0.37,35302,658.48,75
2011-04-15 00:00:00+00,18.7,18.84,18.65,18.76,0.32,32501,609.63,75
2011-04-18 00:00:00+00,18.67,18.68,17.76,17.76,-5.33,379736,6980.61,180
2011-04-19 00:00:00+00,17.83,18.4,17.73,18.37,3.43,76336,1370.59,127
2011-04-20 00:00:00+00,18.32,18.5,18.2,18.48,0.6,170736,3142.74,41
2011-04-21 00:00:00+00,18.4,18.5,18.35,18.5,0.11,125990,2317.88,65
2011-04-26 00:00:00+00,18.47,18.47,18.1,18.23,-1.46,16154,293.28,35
2011-04-27 00:00:00+00,18.17,18.29,18,18.29,0.33,36955,670.88,66
2011-04-28 00:00:00+00,18.2,18.29,18.08,18.2,-0.49,16020,291.15,35
2011-04-29 00:00:00+00,18.02,18.1,18.01,18.03,-0.93,19735,355.84,36
2011-05-02 00:00:00+00,18.18,18.19,18.01,18.02,-0.06,3036,54.79,19
2011-05-04 00:00:00+00,18.02,18.14,18.01,18.13,0.61,9817,177.16,51
2011-05-05 00:00:00+00,18.06,18.2,18.06,18.2,0.39,44429,805.02,70
2011-05-06 00:00:00+00,18.13,18.4,18.1,18.27,0.38,165770,3016.22,86
2011-05-09 00:00:00+00,18.15,18.3,18.15,18.3,0.16,41242,753.03,49
2011-05-10 00:00:00+00,18,18.45,18,18.34,0.22,274502,5033.28,92
2011-05-11 00:00:00+00,18.33,18.4,18.2,18.4,0.33,36435,669.62,52
2011-05-12 00:00:00+00,18.29,18.29,18,18.2,-1.09,15574,281.4,49
2011-05-13 00:00:00+00,18,18.25,17.91,18.1,-0.55,120543,2178.32,35
2011-05-16 00:00:00+00,18.1,18.36,18.1,18.3,1.1,93027,1702.29,77
2011-05-17 00:00:00+00,18.3,18.44,18.06,18.44,0.77,282415,5192.84,105
2011-05-18 00:00:00+00,18.42,18.55,18.4,18.45,0.05,61600,1138.35,84
2011-05-19 00:00:00+00,18.31,18.5,18.2,18.5,0.27,24788,457.89,49
2011-05-20 00:00:00+00,18.52,18.63,18.5,18.6,0.54,20095,373.11,68
2011-05-23 00:00:00+00,18.62,18.62,18.13,18.6,0,130485,2426.49,73
2011-05-24 00:00:00+00,18.5,18.72,18.5,18.65,0.27,58175,1084.83,60
2011-05-25 00:00:00+00,18.6,18.65,18.45,18.6,-0.27,4745,88.29,22
2011-05-26 00:00:00+00,18.48,18.6,18.48,18.55,-0.27,3162,58.54,19
2011-05-27 00:00:00+00,18.25,18.35,18.2,18.2,-1.89,2706,49.4,27
2011-05-30 00:00:00+00,18.5,18.5,18.21,18.35,0.82,8899,163.27,16
2011-05-31 00:00:00+00,18.3,18.31,18.15,18.25,-0.54,25494,465.75,39
2011-06-01 00:00:00+00,18.2,18.21,18.03,18.1,-0.82,13317,240.6,44
2011-06-02 00:00:00+00,18,18.15,17.92,18,-0.55,16756,301.26,26
2011-06-03 00:00:00+00,18,18.1,17.8,17.84,-0.89,9295,166.6,36
2011-06-06 00:00:00+00,17.84,17.84,16.65,17.46,-2.13,37189,630.27,89
2011-06-07 00:00:00+00,17.47,17.66,17.05,17.37,-0.52,30158,526.36,52
2011-06-08 00:00:00+00,17.38,17.5,17.17,17.29,-0.46,20800,361.45,20
2011-06-09 00:00:00+00,17.05,17.49,17.05,17.4,0.64,11630,201.06,27
2011-06-10 00:00:00+00,17.35,17.47,17.23,17.4,0,2295,39.7,15
2011-06-13 00:00:00+00,17.35,17.4,17.35,17.35,-0.29,3977,69.07,22
2011-06-14 00:00:00+00,17.2,17.33,17.2,17.33,-0.12,48854,845.42,19
2011-06-15 00:00:00+00,17.33,17.37,17.33,17.36,0.17,48493,841.35,29
2011-06-16 00:00:00+00,17.3,17.34,17.05,17.3,-0.35,6513,111.4,24
2011-06-17 00:00:00+00,17.3,18.1,17.3,18.1,4.62,30535,539.47,105
2011-06-20 00:00:00+00,18.1,18.1,17.55,18.02,-0.44,51220,922.25,49
2011-06-21 00:00:00+00,18,18.12,17.66,18.12,0.55,45305,815.59,78
