date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,9.99,10,9.81,10,0,5633,112.39,14
2007-12-10 00:00:00+00,10,10.28,9.7,9.95,-0.5,13557,270.06,28
2007-12-11 00:00:00+00,9.94,9.94,9.93,9.93,-0.2,2758,54.82,5
2007-12-12 00:00:00+00,9.73,9.73,9.21,9.54,-3.93,15051,285.71,29
2007-12-13 00:00:00+00,9.58,9.58,9,9.24,-3.14,7090,130.94,18
2007-12-14 00:00:00+00,9,9,8.61,8.82,-4.55,21050,370.82,56
2007-12-17 00:00:00+00,8.82,8.82,8.07,8.57,-2.83,26167,443.13,72
2007-12-18 00:00:00+00,8.39,8.39,8,8.13,-5.13,36769,600.56,85
2007-12-19 00:00:00+00,8.13,8.2,7.55,8.2,0.86,68731,1080.43,104
2007-12-20 00:00:00+00,8.34,8.57,8.21,8.57,4.51,10573,180.88,14
2007-12-21 00:00:00+00,8.54,8.78,8.3,8.5,-0.82,24834,421.64,33
2007-12-27 00:00:00+00,8.5,8.5,8.5,8.5,0,1662,28.25,3
2007-12-28 00:00:00+00,8.38,8.5,8.38,8.5,0,52265,885.49,21
2008-01-02 00:00:00+00,8.5,8.79,8.5,8.7,2.35,3587,62.25,12
2008-01-03 00:00:00+00,8.52,8.7,8.3,8.7,0,9365,160.33,22
2008-01-04 00:00:00+00,8.7,8.7,8.3,8.4,-3.45,4759,80.53,24
2008-01-07 00:00:00+00,8.4,8.54,7.81,8.39,-0.12,3807,63.87,18
2008-01-08 00:00:00+00,8.37,8.55,8.03,8.55,1.91,7650,129.48,21
2008-01-09 00:00:00+00,8.21,8.5,8.2,8.48,-0.82,8548,143.23,27
2008-01-10 00:00:00+00,8.4,8.4,8.11,8.38,-1.18,6339,105.01,16
2008-01-11 00:00:00+00,8.35,8.7,8.35,8.7,3.82,5320,91.05,11
2008-01-14 00:00:00+00,8.69,8.7,8.1,8.24,-5.29,9650,159.79,17
2008-01-15 00:00:00+00,8.02,8.22,8,8.22,-0.24,4750,77.03,7
2008-01-16 00:00:00+00,8.2,8.2,7.5,7.65,-6.93,13334,205.17,32
2008-01-17 00:00:00+00,7.99,7.99,7.67,7.89,3.14,800,12.52,5
2008-01-18 00:00:00+00,7.85,7.85,7.5,7.7,-2.41,32227,495.34,32
2008-01-21 00:00:00+00,7.54,7.85,7.5,7.55,-1.95,9458,146,16
