date,open,high,low,close,difference,volume,turnover,transactions
2010-10-11 00:00:00+00,5.87,6.29,5.65,5.65,3.86,38604,449.23,146
2010-10-12 00:00:00+00,5.55,5.6,5.45,5.5,-2.65,10003,110.19,27
2010-10-13 00:00:00+00,5.55,5.55,5.3,5.47,-0.55,6324,68.13,24
2010-10-14 00:00:00+00,5.45,5.45,5.27,5.35,-2.19,1414,15.06,10
2010-10-15 00:00:00+00,5.2,5.45,5.15,5.45,1.87,7760,83.71,13
2010-10-18 00:00:00+00,5.7,5.7,5.5,5.5,0.92,3738,41.77,12
2010-10-19 00:00:00+00,5.6,5.6,5.45,5.6,1.82,835,9.23,5
2010-10-20 00:00:00+00,5.59,5.59,5.4,5.59,-0.18,1675,18.6,10
2010-10-21 00:00:00+00,5.59,5.59,5.31,5.31,-5.01,3538,37.97,9
2010-10-22 00:00:00+00,5.3,5.5,4.9,5.5,3.58,11081,111.82,39
2010-10-25 00:00:00+00,5.3,5.37,5.3,5.37,-2.36,750,8.05,4
2010-10-26 00:00:00+00,5.45,5.45,5.45,5.45,1.49,2,0.02,1
2010-10-27 00:00:00+00,5.06,5.39,5.06,5.39,-1.1,4355,44.47,12
2010-10-28 00:00:00+00,5.43,5.43,5.3,5.4,0.19,301,3.24,4
2010-10-29 00:00:00+00,5.39,5.48,5.39,5.48,1.48,1994,21.57,8
2010-11-02 00:00:00+00,5.48,5.49,5.48,5.49,0.18,1558,17.08,8
2010-11-03 00:00:00+00,5.48,5.5,5.48,5.5,0.18,128,1.41,2
2010-11-04 00:00:00+00,5.5,5.5,5.4,5.4,-1.82,690,7.47,2
2010-11-05 00:00:00+00,5.47,5.47,5.4,5.4,0,618,6.68,5
2010-11-08 00:00:00+00,5.47,5.47,5.34,5.4,0,26,0.28,3
2010-11-09 00:00:00+00,5.4,5.4,5.33,5.33,-1.3,596,6.35,3
2010-11-10 00:00:00+00,5.39,5.39,5.39,5.39,1.13,2,0.02,1
2010-11-12 00:00:00+00,5.34,5.34,5.34,5.34,-0.93,2,0.02,1
2010-11-15 00:00:00+00,5.16,5.34,5.16,5.34,0,201,2.08,2
2010-11-16 00:00:00+00,5.34,5.34,5.16,5.16,-3.37,100,1.05,2
2010-11-17 00:00:00+00,5.34,5.34,5.34,5.34,3.49,2,0.02,1
2010-11-18 00:00:00+00,5.34,5.39,5.15,5.39,0.94,1297,13.67,7
2010-11-19 00:00:00+00,5.39,5.39,5.26,5.26,-2.41,172,1.83,5
2010-11-22 00:00:00+00,5.39,5.39,5.06,5.26,0,492,5.06,5
2010-11-23 00:00:00+00,5.39,5.39,5.26,5.26,0,99,1.04,2
2010-11-24 00:00:00+00,5.39,5.39,5.2,5.2,-1.14,1549,16.12,3
2010-11-25 00:00:00+00,5.19,5.19,5.19,5.19,-0.19,152,1.58,2
2010-11-26 00:00:00+00,5.19,5.19,4.94,5.1,-1.73,1151,11.54,8
2010-11-29 00:00:00+00,5.1,5.1,4.95,4.95,-2.94,212,2.11,3
2010-11-30 00:00:00+00,5.1,5.1,4.9,4.9,-1.01,1002,9.87,5
2010-12-01 00:00:00+00,5.1,5.1,4.9,4.9,0,2375,23.35,7
2010-12-02 00:00:00+00,5.1,5.13,5,5.13,4.69,753,7.59,5
2010-12-03 00:00:00+00,5.33,5.39,5.17,5.17,0.78,1934,20.33,11
2010-12-06 00:00:00+00,5.4,5.4,5.39,5.39,4.26,312,3.36,2
2010-12-07 00:00:00+00,5.39,5.39,5.21,5.21,-3.34,250,2.61,2
2010-12-08 00:00:00+00,5.2,5.2,5.2,5.2,-0.19,1001,10.41,4
2010-12-09 00:00:00+00,5.39,5.39,5.25,5.25,0.96,97,1.02,2
2010-12-10 00:00:00+00,5.1,5.1,5.1,5.1,-2.86,310,3.16,2
2010-12-13 00:00:00+00,5.38,5.38,5.25,5.25,2.94,97,1.02,2
