date,open,high,low,close,difference,volume,turnover,transactions
2007-02-15 00:00:00+00,36,36.9,23.3,24.3,-13.83,181622,10648.91,1285
2007-02-16 00:00:00+00,23,23.8,20.75,20.83,-14.28,111052,4807.6,721
2007-02-19 00:00:00+00,20.02,21.2,19,19,-8.79,70196,2740.06,461
2007-02-20 00:00:00+00,19.1,21.42,17.5,20.9,10,207099,8178.17,1085
2007-02-21 00:00:00+00,20.99,21.4,19.3,20.29,-2.92,43946,1780.88,323
2007-02-22 00:00:00+00,20.5,20.5,19.62,19.8,-2.41,26186,1049.2,164
2007-02-23 00:00:00+00,20,20.26,19.22,19.22,-2.93,12825,500.88,106
2007-02-26 00:00:00+00,19,19.7,18.5,18.65,-2.97,18391,689.11,105
2007-02-27 00:00:00+00,18.78,18.78,16.9,17,-8.85,26506,948.09,169
2007-02-28 00:00:00+00,16.02,17,15.7,16.9,-0.59,16789,556.67,121
2007-03-01 00:00:00+00,17,17.7,16.2,16.61,-1.72,17778,605.9,105
2007-03-02 00:00:00+00,16.5,17.4,16.5,17,2.35,5987,201.86,42
2007-03-05 00:00:00+00,16.45,16.45,15.5,16.2,-4.71,11146,355.65,72
2007-03-06 00:00:00+00,16,16.5,16,16.2,0,5159,167.86,57
2007-03-07 00:00:00+00,16.89,16.89,15.6,16,-1.23,16804,538.96,109
2007-03-08 00:00:00+00,15.62,16.25,15.62,16,0,12879,412.14,69
2007-03-09 00:00:00+00,16.5,16.89,16,16.79,4.94,9924,327.54,69
2007-03-12 00:00:00+00,17,17.19,16.74,16.99,1.19,6913,234.27,57
2007-03-13 00:00:00+00,16.75,16.8,16.2,16.5,-2.88,6198,205.56,28
2007-03-14 00:00:00+00,16.1,16.4,16,16.4,-0.61,3762,121.27,22
2007-03-15 00:00:00+00,16.6,16.99,16,16.5,0.61,9588,318.25,71
2007-03-16 00:00:00+00,16.88,16.88,16.11,16.6,0.61,4646,154.02,30
2007-03-19 00:00:00+00,17.05,20.1,17.05,19.9,19.88,74805,2829.12,463
2007-03-20 00:00:00+00,20.5,21.7,19.25,19.5,-2.01,57085,2307.23,328
2007-03-21 00:00:00+00,19.5,19.5,18.56,18.8,-3.59,22820,865.76,159
2007-03-22 00:00:00+00,18.8,19.5,18,18,-4.26,26912,1006.29,146
2007-03-23 00:00:00+00,18.3,18.5,17.66,17.81,-1.06,20043,724.56,128
2007-03-26 00:00:00+00,17.9,18,17.15,17.5,-1.74,19205,675.05,95
2007-03-27 00:00:00+00,18,18.5,17.56,18.19,3.94,33757,1220.32,112
2007-03-28 00:00:00+00,18.35,18.5,17.8,17.8,-2.14,28239,1019.01,89
2007-03-29 00:00:00+00,18,18.1,17.7,18.1,1.69,17029,610.43,53
2007-03-30 00:00:00+00,17.7,18,17.65,17.67,-2.38,6606,234.1,46
2007-04-02 00:00:00+00,17.7,18.2,17.4,18.2,3,13003,463.88,64
2007-04-03 00:00:00+00,18.19,19.8,18,19,4.4,30821,1180.75,140
2007-04-04 00:00:00+00,20.42,22.34,20.42,21.28,12,68643,2944.13,449
2007-04-05 00:00:00+00,22.4,24.65,20.51,23.59,10.86,82499,3780.79,391
2007-04-10 00:00:00+00,24,24.7,22.8,22.9,-2.92,19138,913.09,144
2007-04-11 00:00:00+00,21.63,23.5,21.63,22.19,-3.1,16775,753.32,109
2007-04-12 00:00:00+00,21.45,22.12,20.22,21.25,-4.24,19248,820.47,105
2007-04-13 00:00:00+00,22,22,21.26,21.31,0.28,7510,324.61,42
2007-04-16 00:00:00+00,21.61,22.01,21.11,21.2,-0.52,10173,433.86,67
2007-04-17 00:00:00+00,21.57,23.72,21.4,23,8.49,39476,1777.27,252
2007-04-18 00:00:00+00,23.95,24.98,23,23.5,2.17,38499,1851.43,279
2007-04-19 00:00:00+00,23.5,24.2,22.02,23.74,1.02,12298,577.02,103
2007-04-20 00:00:00+00,23.98,24.9,23.72,24.01,1.14,17050,828.54,154
2007-04-23 00:00:00+00,24.8,24.89,21.8,21.8,-9.2,56656,2554.42,296
2007-04-24 00:00:00+00,21.8,22.57,20,20.09,-7.84,37221,1543.85,211
2007-04-25 00:00:00+00,20.2,21.96,20.2,21.9,9.01,32777,1402.56,170
2007-04-26 00:00:00+00,22,22,21.2,21.7,-0.91,17071,743.34,68
2007-04-27 00:00:00+00,22,22,20.11,21,-3.23,28696,1190.77,136
2007-04-30 00:00:00+00,20.06,21.19,20.06,20.9,-0.48,8271,337.83,47
2007-05-02 00:00:00+00,20.9,20.9,19.55,20,-4.31,26081,1048.65,116
2007-05-04 00:00:00+00,20,20.87,19.8,20.23,1.15,28026,1132.59,107
2007-05-07 00:00:00+00,20.22,20.23,19.01,19.3,-4.6,51600,2018.13,188
2007-05-08 00:00:00+00,19.31,19.5,19.3,19.5,1.04,8969,347.77,60
2007-05-09 00:00:00+00,19.95,19.99,18.99,19.1,-2.05,14747,564.52,68
2007-05-10 00:00:00+00,19,19.49,17.61,17.98,-5.86,30507,1103.05,140
2007-05-11 00:00:00+00,18.14,18.5,16.55,18.5,2.89,22324,803.68,87
2007-05-14 00:00:00+00,19,19.65,18.3,18.65,0.81,9996,377.63,39
2007-05-15 00:00:00+00,18.65,18.65,17.59,17.59,-5.68,12439,442.26,57
2007-05-16 00:00:00+00,17.42,18.48,17.42,17.98,2.22,21544,764.85,64
2007-05-17 00:00:00+00,18,18,17,17.19,-4.39,15661,544.62,77
2007-05-18 00:00:00+00,17.2,17.62,16.52,16.6,-3.43,14757,495.29,113
2007-05-21 00:00:00+00,16.65,17.4,16.62,17.05,2.71,12697,432.41,68
2007-05-22 00:00:00+00,17,17.49,17,17.08,0.18,13836,477.3,59
2007-05-23 00:00:00+00,17.29,17.29,16.52,16.9,-1.05,9171,310.74,47
