date,open,high,low,close,difference,volume,turnover,transactions
2010-09-29 00:00:00+00,17.9,17.9,14.41,14.49,7.33,25312,745.22,126
2010-09-30 00:00:00+00,14.49,14.98,14.3,14.4,-0.62,45997,1324.13,96
2010-10-01 00:00:00+00,14.38,14.5,14.35,14.39,-0.07,4386,126.17,23
2010-10-04 00:00:00+00,14.35,14.35,14.31,14.35,-0.28,1600,45.81,6
2010-10-05 00:00:00+00,14.39,14.39,14.3,14.37,0.14,1139,32.64,9
2010-10-06 00:00:00+00,14.38,14.5,14.3,14.4,0.21,1722,49.48,14
2010-10-07 00:00:00+00,14.45,14.45,14.38,14.4,0,780,22.48,4
2010-10-08 00:00:00+00,14.6,14.6,14.58,14.58,1.25,391,11.41,5
2010-10-11 00:00:00+00,14.57,14.57,14.45,14.5,-0.55,5999,174.01,10
2010-10-12 00:00:00+00,0,0,0,14.5,0,0,0,0
2010-10-13 00:00:00+00,0,0,0,14.5,0,0,0,0
2010-10-14 00:00:00+00,14.47,14.47,14.31,14.31,-1.31,413,11.84,4
2010-10-15 00:00:00+00,14.31,14.31,14.31,14.31,0,4172,119.4,9
2010-10-18 00:00:00+00,14.3,14.3,14.12,14.3,-0.07,1327,37.94,5
2010-10-19 00:00:00+00,14.3,14.35,14.3,14.35,0.35,21429,612.93,7
2010-10-20 00:00:00+00,14.35,14.35,14.3,14.3,-0.35,1144,32.81,6
2010-10-21 00:00:00+00,14.3,14.35,14.3,14.35,0.35,7490,214.95,5
2010-10-22 00:00:00+00,14.4,14.4,14.4,14.4,0.35,30,0.86,1
2010-10-25 00:00:00+00,14.35,14.35,14.3,14.3,-0.69,260,7.45,4
2010-10-26 00:00:00+00,14.35,14.39,14.35,14.35,0.35,435,12.49,5
2010-10-27 00:00:00+00,14.4,14.95,14.39,14.95,4.18,47914,1416.5,202
2010-10-28 00:00:00+00,15.15,16.1,15.15,15.65,4.68,46409,1461.33,310
2010-10-29 00:00:00+00,15.62,15.84,15.53,15.84,1.21,22324,699.69,109
2010-11-02 00:00:00+00,15.95,16.65,15.95,16.47,3.98,46399,1520.49,242
2010-11-03 00:00:00+00,16.88,16.88,16.26,16.48,0.06,40603,1345.62,249
2010-11-04 00:00:00+00,16.5,16.65,16.1,16.45,-0.18,21264,696.44,142
2010-11-05 00:00:00+00,16.5,16.5,15.66,15.95,-3.04,15490,497.79,142
2010-11-08 00:00:00+00,16.4,16.4,15.45,15.47,-3.01,25674,800.55,177
2010-11-09 00:00:00+00,15.45,15.95,15,15.66,1.23,25976,794.69,162
2010-11-10 00:00:00+00,15.71,15.75,15.5,15.57,-0.57,15309,479.38,80
2010-11-12 00:00:00+00,15.5,15.57,15.4,15.57,0,11554,357.81,90
2010-11-15 00:00:00+00,15.8,15.8,15.66,15.66,0.58,5776,181.88,46
2010-11-16 00:00:00+00,15.83,15.83,15.62,15.66,0,22567,706.19,52
2010-11-17 00:00:00+00,15.68,15.68,15.6,15.63,-0.19,5577,174.26,27
2010-11-18 00:00:00+00,15.7,16,15.64,16,2.37,9858,311.74,80
2010-11-19 00:00:00+00,16,16,15.75,15.76,-1.5,7034,223.51,47
2010-11-22 00:00:00+00,15.76,16,15.7,15.89,0.82,2147,67.84,22
2010-11-23 00:00:00+00,15.7,15.75,15.65,15.65,-1.51,4201,131.7,34
2010-11-24 00:00:00+00,15.61,15.84,15.61,15.84,1.21,7187,224.86,28
2010-11-25 00:00:00+00,15.76,15.84,15.65,15.68,-1.01,3696,116.6,21
2010-11-26 00:00:00+00,15.7,15.8,15.63,15.63,-0.32,4376,137.38,30
2010-11-29 00:00:00+00,15.6,15.76,15.6,15.6,-0.19,2710,84.62,19
2010-11-30 00:00:00+00,15.77,15.77,15.67,15.76,1.03,2890,91,15
2010-12-01 00:00:00+00,15.7,15.76,15.6,15.74,-0.13,17018,531.56,20
2010-12-02 00:00:00+00,15.74,16,15.74,15.91,1.08,9786,311.07,58
2010-12-03 00:00:00+00,16,16.33,16,16.28,2.33,21883,710.27,128
2010-12-06 00:00:00+00,16.36,16.64,15.89,16.3,0.12,31077,1019.61,157
2010-12-07 00:00:00+00,16.25,16.44,16.11,16.43,0.8,3340,108.42,19
2010-12-08 00:00:00+00,16.4,16.4,16.16,16.38,-0.3,233,7.54,5
2010-12-09 00:00:00+00,16.38,16.38,16.15,16.38,0,3229,104.74,23
