date,open,high,low,close,difference,volume,turnover,transactions
2011-07-06 00:00:00+00,7.1,7.7,6.81,7,0,1129,7.99,8
2011-07-07 00:00:00+00,6.9,7.1,6.9,7,0,724,5.07,6
2011-07-08 00:00:00+00,6.92,7.22,6.92,7.2,2.86,1936,13.51,13
2011-07-11 00:00:00+00,6.93,7.19,6.87,7.17,-0.42,3026,21.37,13
2011-07-12 00:00:00+00,6.99,6.99,6.99,6.99,-2.51,300,2.1,2
2011-07-13 00:00:00+00,6.62,7.11,6.62,7.11,1.72,414,2.83,5
2011-07-14 00:00:00+00,7.11,7.11,6.86,6.86,-3.52,507,3.52,4
2011-07-15 00:00:00+00,7,7,6.75,7,2.04,936,6.41,9
2011-07-18 00:00:00+00,6.86,6.86,6.5,6.75,-3.57,2930,19.7,17
2011-07-19 00:00:00+00,6.51,6.72,6.51,6.72,-0.44,980,6.41,6
2011-07-20 00:00:00+00,6.66,6.67,6.62,6.65,-1.04,1145,7.6,9
2011-07-21 00:00:00+00,6.52,6.73,6.51,6.73,1.2,3450,23.14,6
2011-07-22 00:00:00+00,6.75,6.76,6.75,6.76,0.45,682,4.61,4
2011-07-25 00:00:00+00,6.76,6.76,6.56,6.56,-2.96,1302,8.74,4
2011-07-26 00:00:00+00,6.57,6.6,6.57,6.6,0.61,783,5.15,5
2011-07-27 00:00:00+00,6.54,6.72,6.51,6.51,-1.36,3015,19.87,14
2011-07-28 00:00:00+00,6.52,6.55,6.5,6.55,0.61,637,4.15,7
2011-07-29 00:00:00+00,6.55,6.55,6.5,6.5,-0.76,2552,16.64,10
2011-08-01 00:00:00+00,6.5,6.51,6.38,6.51,0.15,1402,9.05,11
2011-08-02 00:00:00+00,6.43,6.43,6.4,6.4,-1.69,547,3.51,5
2011-08-03 00:00:00+00,5.95,6.39,5.95,6.3,-1.56,5966,35.84,27
2011-08-04 00:00:00+00,5.81,6.18,5.49,5.49,-12.86,2725,15.64,20
2011-08-05 00:00:00+00,4.91,5.78,4.91,5.6,2,5075,26.26,21
2011-08-08 00:00:00+00,5.49,5.5,5.05,5.06,-9.64,12569,68.09,22
2011-08-09 00:00:00+00,5.06,5.21,4.31,4.88,-3.56,15789,76.32,47
2011-08-10 00:00:00+00,5.21,5.21,4.13,4.13,-15.37,5654,25.55,25
2011-08-11 00:00:00+00,4.91,4.91,4.5,4.7,13.8,1752,8.19,18
2011-08-12 00:00:00+00,4.9,5.49,4.71,5.49,16.81,5682,28.12,26
2011-08-16 00:00:00+00,5.1,5.34,5,5.34,-2.73,1551,7.87,8
2011-08-17 00:00:00+00,5.2,5.3,5.01,5.15,-3.56,2687,13.57,8
2011-08-18 00:00:00+00,5.03,5.14,4.84,5.14,-0.19,4191,20.77,18
2011-08-19 00:00:00+00,4.65,5.14,4.65,4.99,-2.92,639,3.18,5
2011-08-22 00:00:00+00,4.75,5,4.75,4.95,-0.8,2091,10.09,7
2011-08-23 00:00:00+00,0,0,0,4.95,0,0,0,0
