date,open,high,low,close,difference,volume,turnover,transactions
2011-01-17 00:00:00+00,1.43,1.43,1.38,1.38,-3.5,157081,220.27,78
2011-01-18 00:00:00+00,1.38,1.38,1.26,1.33,-3.62,605054,789.53,293
2011-01-19 00:00:00+00,1.31,1.34,1.29,1.31,-1.5,153610,199.19,81
2011-01-20 00:00:00+00,1.28,1.32,1.28,1.3,-0.76,100162,129.27,43
2011-01-21 00:00:00+00,1.28,1.34,1.28,1.3,0,54278,71.28,43
2011-01-24 00:00:00+00,1.32,1.32,1.27,1.32,1.54,157680,203.3,55
2011-01-25 00:00:00+00,1.32,1.33,1.29,1.33,0.76,75800,99.48,47
2011-01-26 00:00:00+00,1.35,1.37,1.31,1.35,1.5,73741,98.45,60
2011-01-27 00:00:00+00,1.35,1.5,1.35,1.5,11.11,187526,271.7,116
2011-01-28 00:00:00+00,1.51,1.53,1.46,1.52,1.33,242008,362.24,139
2011-01-31 00:00:00+00,1.48,1.48,1.4,1.44,-5.26,71284,102.5,57
2011-02-01 00:00:00+00,1.47,1.47,1.39,1.41,-2.08,123457,174.13,75
2011-02-02 00:00:00+00,1.39,1.4,1.34,1.4,-0.71,158054,216.76,71
2011-02-03 00:00:00+00,1.38,1.46,1.38,1.41,0.71,120767,170.01,89
2011-02-04 00:00:00+00,1.39,1.44,1.39,1.41,0,39515,55.78,23
2011-02-07 00:00:00+00,1.4,1.46,1.39,1.46,3.55,177605,253.95,106
2011-02-08 00:00:00+00,1.46,1.46,1.43,1.46,0,20171,29.12,20
2011-02-09 00:00:00+00,1.46,1.5,1.42,1.49,2.05,109795,161.69,71
2011-02-10 00:00:00+00,1.47,1.49,1.44,1.44,-3.36,33947,49.31,34
2011-02-11 00:00:00+00,1.5,1.5,1.43,1.49,3.47,47258,69.29,46
2011-02-14 00:00:00+00,1.49,1.5,1.43,1.48,-0.67,55436,81.25,52
2011-02-15 00:00:00+00,1.48,1.48,1.41,1.42,-4.05,31065,44.46,31
2011-02-16 00:00:00+00,1.43,1.49,1.41,1.45,2.11,76887,109.75,60
2011-02-17 00:00:00+00,1.44,1.45,1.39,1.4,-3.45,71999,101.08,47
2011-02-18 00:00:00+00,1.4,1.43,1.38,1.39,-0.71,70453,97.29,45
2011-02-21 00:00:00+00,1.37,1.43,1.37,1.38,-0.72,56256,77.53,39
2011-02-22 00:00:00+00,1.42,1.42,1.38,1.41,2.17,39423,54.57,31
