date,open,high,low,close,difference,volume,turnover,transactions
2014-06-25 00:00:00+00,36,36,33.16,33.16,0.48,84521,2821.4,242
2014-06-26 00:00:00+00,33.26,35.3,33.26,34.38,3.68,14169,479.36,99
2014-06-27 00:00:00+00,34.46,35,34.45,34.54,0.47,2061,71.22,38
2014-06-30 00:00:00+00,34.56,34.99,34.56,34.8,0.75,1800,62.78,38
2014-07-01 00:00:00+00,34.91,34.91,34.49,34.5,-0.86,328,11.37,8
2014-07-02 00:00:00+00,34.65,34.65,33.86,34,-1.45,33412,1137.52,21
2014-07-03 00:00:00+00,34,34,33.71,34,0,4920,166.54,20
2014-07-04 00:00:00+00,34,35,34,35,2.94,187,6.39,15
2014-07-07 00:00:00+00,34.99,34.99,34,34,-2.86,28271,961.42,55
2014-07-08 00:00:00+00,34,34,33.99,34,0,1178,40.05,13
2014-07-09 00:00:00+00,33.93,33.93,33.86,33.86,-0.41,100,3.39,2
2014-07-10 00:00:00+00,33.86,33.86,33.61,33.61,-0.74,76,2.56,6
2014-07-11 00:00:00+00,33.6,33.6,33.5,33.6,-0.03,94,3.15,5
2014-07-14 00:00:00+00,33.79,33.8,33.79,33.8,0.6,5891,199.12,14
2014-07-15 00:00:00+00,33.61,34,33.61,34,0.59,110,3.7,2
2014-07-16 00:00:00+00,34,34,33.7,33.7,-0.88,15,0.51,2
2014-07-17 00:00:00+00,33.62,33.8,33.4,33.8,0.3,456,15.28,13
2014-07-18 00:00:00+00,33.31,33.31,33.3,33.3,-1.48,5322,177.22,14
2014-07-21 00:00:00+00,33.57,33.69,33.35,33.35,0.15,3994,133.37,17
2014-07-22 00:00:00+00,33.35,33.69,33.35,33.69,1.02,11,0.37,3
2014-07-23 00:00:00+00,33.7,33.7,33.3,33.3,-1.16,2666,88.81,12
2014-07-24 00:00:00+00,0,0,0,33.3,0,0,0,0
2014-07-25 00:00:00+00,33.59,33.59,32.9,33,-0.9,4098,135.24,20
2014-07-28 00:00:00+00,33.2,33.59,33.2,33.59,1.79,505,16.85,10
2014-07-29 00:00:00+00,33.69,33.7,33.55,33.69,0.3,1343,45.21,41
2014-07-30 00:00:00+00,33.59,33.6,33.59,33.6,-0.27,740,24.86,27
2014-07-31 00:00:00+00,33.6,33.6,33.59,33.6,0,302,10.15,3
2014-08-01 00:00:00+00,33.58,33.58,33.3,33.54,-0.18,1604,53.71,15
2014-08-04 00:00:00+00,33.6,33.6,33.45,33.57,0.09,3760,126.25,61
2014-08-05 00:00:00+00,33.55,33.55,33.35,33.4,-0.51,3859,128.84,23
2014-08-06 00:00:00+00,33.4,33.4,33,33.12,-0.84,8071,266.58,36
2014-08-07 00:00:00+00,32.99,33.08,32.7,33,-0.36,5934,194.93,24
2014-08-08 00:00:00+00,32.99,33.06,32.5,33.06,0.18,3427,112.37,25
2014-08-11 00:00:00+00,32.75,33.3,32.6,33.27,0.64,1620,53.53,17
2014-08-12 00:00:00+00,33.29,33.29,33.07,33.29,0.06,6539,217.42,26
2014-08-13 00:00:00+00,33.29,33.29,33.08,33.19,-0.3,8118,269.95,26
2014-08-14 00:00:00+00,33.4,33.4,33.07,33.28,0.27,2063,68.59,21
