date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,138,143,138,141.5,2.54,155107,43971.19,413
2005-01-04 00:00:00+00,139.5,141,139,140.5,-0.71,65577,18403.34,235
2005-01-05 00:00:00+00,139,140,135.5,135.5,-3.56,176927,48663.09,314
2005-01-06 00:00:00+00,135,138,134,134,-1.11,155281,42367.51,370
2005-01-07 00:00:00+00,134,136.5,133.5,134,0,112468,30272.2,270
2005-01-10 00:00:00+00,133,135.5,133,134.5,0.37,163359,43804.15,291
2005-01-11 00:00:00+00,134.5,136.5,132.5,133,-1.12,134831,36030.33,238
2005-01-12 00:00:00+00,133,136,132.5,134,0.75,32243,8633.8,153
2005-01-13 00:00:00+00,136,136.5,133.5,134,0,133772,36007.65,201
2005-01-14 00:00:00+00,134,136,134,136,1.49,44421,12003.34,117
2005-01-17 00:00:00+00,137,137,135,136,0,63362,17242.77,150
2005-01-18 00:00:00+00,135,135,130.5,132,-2.94,102077,26970.85,237
2005-01-19 00:00:00+00,130.5,132,127.5,129,-2.27,241802,62826.94,564
2005-01-20 00:00:00+00,127,132.5,127,130.5,1.16,102561,26551.13,298
2005-01-21 00:00:00+00,130,130,128,129.5,-0.77,17497,4520.41,90
2005-01-24 00:00:00+00,127.5,128.5,127,128.5,-0.77,237343,60562.24,225
2005-01-25 00:00:00+00,128.5,131,128,130,1.17,269226,69919.38,316
2005-01-26 00:00:00+00,130,131,128,128.5,-1.15,89038,23029.87,218
2005-01-27 00:00:00+00,129,131,127.5,128,-0.39,259694,66721.79,364
2005-01-28 00:00:00+00,128.5,131.5,128,131.5,2.73,132677,34402.75,239
2005-01-31 00:00:00+00,132,134,130,133.5,1.52,151053,40064.67,319
2005-02-01 00:00:00+00,133.5,136,133,136,1.87,184513,49703.06,391
2005-02-02 00:00:00+00,135,135.5,134,134,-1.47,99813,26948.29,210
2005-02-03 00:00:00+00,134,137,134,135,0.75,128989,34988.27,219
2005-02-04 00:00:00+00,135.5,137,134,136.5,1.11,169908,46188.79,230
2005-02-07 00:00:00+00,137.5,140,135,140,2.56,158679,43493.21,340
2005-02-08 00:00:00+00,140,140,138.5,139.5,-0.36,94681,26414.88,249
2005-02-09 00:00:00+00,137,139,136.5,137,-1.79,35965,9924.33,128
2005-02-10 00:00:00+00,135,140,135,140,2.19,192605,53400.7,269
2005-02-11 00:00:00+00,139.5,139.5,137.5,137.5,-1.79,158715,44118.48,159
2005-02-14 00:00:00+00,137,140,136,136.5,-0.73,75217,20827.47,253
2005-02-15 00:00:00+00,135.5,139,135,139,1.83,125428,34272.09,313
2005-02-16 00:00:00+00,138.5,147,138,142.5,2.52,589470,167344.58,918
2005-02-17 00:00:00+00,143.5,147.5,143,146,2.46,504620,146784.72,671
2005-02-18 00:00:00+00,144,151,144,144,-1.37,275155,81344.29,621
2005-02-21 00:00:00+00,142.5,149.5,142.5,148,2.78,190067,56122.45,380
2005-02-22 00:00:00+00,148,148,144,144.5,-2.36,293394,85590.67,338
2005-02-23 00:00:00+00,141,142.5,140.5,142.5,-1.38,158209,44790.27,386
2005-02-24 00:00:00+00,144.5,145,143,144.5,1.4,307195,88593.94,410
2005-02-25 00:00:00+00,148,149.5,144,149.5,3.46,361234,106588.66,634
2005-02-28 00:00:00+00,150,150,145,147,-1.67,109489,32232.44,295
2005-03-01 00:00:00+00,146,146.5,142.5,146,-0.68,193218,56168.81,369
2005-03-02 00:00:00+00,143,145,142,142,-2.74,105007,30024.13,316
2005-03-03 00:00:00+00,139.5,144.5,139.5,143.5,1.06,82963,23753.09,237
2005-03-04 00:00:00+00,145,146,144,145,1.05,148604,43147.64,335
2005-03-07 00:00:00+00,146,146.5,143.5,146,0.69,308409,89498.02,353
2005-03-08 00:00:00+00,146,147,143.5,145,-0.68,91910,26709.57,172
2005-03-09 00:00:00+00,144,146.5,143,144,-0.69,305768,88490.73,415
2005-03-10 00:00:00+00,143.5,143.5,141.5,143,-0.69,185884,52901.41,275
2005-03-11 00:00:00+00,142,142,137.5,137.5,-3.85,114501,31881.56,415
2005-03-14 00:00:00+00,139.5,140.5,136.5,138,0.36,274973,76129.56,283
2005-03-15 00:00:00+00,138,139.5,136.5,137.5,-0.36,107353,29602.53,220
2005-03-16 00:00:00+00,136,137,132,135,-1.82,293596,78702.05,477
2005-03-17 00:00:00+00,134.5,137,133.5,135,0,541920,147102.08,379
2005-03-18 00:00:00+00,137,139,137,137,1.48,222137,61227.8,252
2005-03-21 00:00:00+00,137.5,139,131,131,-4.38,288521,76832.82,595
2005-03-22 00:00:00+00,132,135.5,132,135,3.05,232847,62359.94,371
2005-03-23 00:00:00+00,132,136.5,131,136.5,1.11,174515,46439.14,464
2005-03-24 00:00:00+00,136.5,137,133.5,133.5,-2.2,137066,37042.57,310
2005-03-29 00:00:00+00,134,134,131.5,133,-0.37,191403,50763.92,287
2005-03-30 00:00:00+00,132.5,135.5,132,133.5,0.38,158900,42444.2,233
2005-03-31 00:00:00+00,135,141.5,135,139.5,4.49,584930,162347.41,724
2005-04-01 00:00:00+00,140,142.5,136.5,137,-1.79,130606,36498.17,415
2005-04-04 00:00:00+00,137.5,138,135.5,137,0,133761,36615.03,222
2005-04-05 00:00:00+00,137,139.5,136,139.5,1.82,197784,54776.47,269
2005-04-06 00:00:00+00,138.5,139.5,137.5,139,-0.36,107159,29723.8,210
2005-04-07 00:00:00+00,139,139,135.5,136,-2.16,93586,25609.04,213
2005-04-11 00:00:00+00,136,138,135.5,138,1.47,228005,62166.84,295
2005-04-12 00:00:00+00,138.5,139,137,137,-0.72,67778,18762.27,148
2005-04-13 00:00:00+00,138.5,138.5,136.5,137.5,0.36,105807,29122.53,195
2005-04-14 00:00:00+00,137,139,136,137,-0.36,100951,27694.22,188
2005-04-15 00:00:00+00,136,136,135,136,-0.73,97953,26591.84,211
2005-04-18 00:00:00+00,134,134.5,133,133.5,-1.84,71736,19156.81,244
2005-04-19 00:00:00+00,133.5,136,133,135,1.12,183482,49542.47,235
2005-04-20 00:00:00+00,136,136,132,133.5,-1.11,153214,40998.09,283
2005-04-21 00:00:00+00,133.5,136,133.5,136,1.87,117179,31697.47,180
2005-04-22 00:00:00+00,136.5,137.5,136,136.5,0.37,136768,37426.4,244
2005-04-25 00:00:00+00,135,138.5,135,137.5,0.73,103683,28519.86,157
2005-04-26 00:00:00+00,135,136.5,133,134,-2.55,165000,44569.15,257
2005-04-27 00:00:00+00,134,134,131,131.5,-1.87,83595,22053.5,265
2005-04-28 00:00:00+00,132.5,133.5,128.5,130,-1.14,109285,28567.29,406
2005-04-29 00:00:00+00,131,133,130,130,0,209135,54910.44,383
2005-05-02 00:00:00+00,130,132,129.5,130,0,84700,22068.39,179
2005-05-04 00:00:00+00,132,134,131.5,133,2.31,326159,86762.53,368
2005-05-05 00:00:00+00,134,136,131.5,132.5,-0.38,88031,23503.8,353
2005-05-06 00:00:00+00,133,133.5,130.5,132,-0.38,124058,32752.29,366
2005-05-09 00:00:00+00,133.5,135,133,133.5,1.14,138758,37131.26,348
2005-05-10 00:00:00+00,134,134.5,129.5,131,-1.87,373749,98091.33,701
2005-05-11 00:00:00+00,124.5,126.5,124,124,-0.4,117778,29425.74,329
2005-05-12 00:00:00+00,125,126.5,125,126,1.61,89242,22409.07,255
2005-05-13 00:00:00+00,126,126.5,124,124,-1.59,181693,45498.82,284
2005-05-16 00:00:00+00,124.5,125.5,123.5,124,0,33843,8404.3,150
2005-05-17 00:00:00+00,125,127.5,124,127.5,2.82,133827,33621.15,336
2005-05-18 00:00:00+00,127.5,132,127,131.5,3.14,254400,66181.7,414
2005-05-19 00:00:00+00,132,132.5,130.5,132,0.38,41075,10820.16,218
2005-05-20 00:00:00+00,132,134.5,131.5,132,0,169044,45006.3,313
2005-05-23 00:00:00+00,131.5,131.5,128.5,130.5,-1.14,242375,62960.11,335
2005-05-24 00:00:00+00,131,131,127.5,130,-0.38,207980,53706.44,326
2005-05-25 00:00:00+00,130,131,129.5,130,0,108698,28271.09,123
2005-05-27 00:00:00+00,131,137,131,137,5.38,579059,157063.85,679
2005-05-30 00:00:00+00,137.5,137.5,135.5,136,-0.73,123470,33684.19,291
2005-05-31 00:00:00+00,136,137,136,137,0.74,304740,83279.8,332
2005-06-01 00:00:00+00,136,136.5,134.5,135.5,-1.09,283702,76857.07,331
2005-06-02 00:00:00+00,136,139,135.5,135.5,0,227556,62424.65,425
2005-06-03 00:00:00+00,135.5,141,135.5,139,2.58,242100,67263.76,465
2005-06-06 00:00:00+00,139.5,146,139,146,5.04,322663,92605.6,719
