date,open,high,low,close,difference,volume,turnover,transactions
2015-04-09 00:00:00+00,124.7,132.9,123,132.1,19.01,74104,9535.91,657
2015-04-10 00:00:00+00,132.9,137.2,131,136.9,3.63,8636,1163.99,250
2015-04-13 00:00:00+00,136.8,136.8,134,134.05,-2.08,1925,261.43,104
2015-04-14 00:00:00+00,134.5,137.4,134.05,137.4,2.5,5422,738.86,64
2015-04-15 00:00:00+00,137,137.5,135.5,137,-0.29,595,81.45,41
2015-04-16 00:00:00+00,136.5,136.5,134.05,134.45,-1.86,396,53.36,34
2015-04-17 00:00:00+00,134.15,134.35,133,133.8,-0.48,1347,180.29,45
2015-04-20 00:00:00+00,133,135.7,130.1,135.7,1.42,241,31.99,34
2015-04-21 00:00:00+00,131.75,136,131.75,133,-1.99,182,24.24,14
2015-04-22 00:00:00+00,132.1,133,132,133,0,32,4.23,5
2015-04-23 00:00:00+00,133.1,136,133.1,133.2,0.15,1561,208.72,32
2015-04-24 00:00:00+00,133.5,133.5,130.75,133,-0.15,1935,257.27,17
2015-04-27 00:00:00+00,130.65,135,130.65,135,1.5,209,27.85,15
2015-04-28 00:00:00+00,135,137.15,132.4,133.1,-1.41,1496,200.52,33
2015-04-29 00:00:00+00,133.2,136,133.2,135.7,1.95,21,2.85,5
2015-04-30 00:00:00+00,135.9,137.8,135.9,137.8,1.55,3626,499.16,58
2015-05-04 00:00:00+00,138,141.9,138,140.95,2.29,1583,222.4,67
2015-05-05 00:00:00+00,140.3,144,137,138.95,-1.42,1524,214.17,61
2015-05-06 00:00:00+00,139,139.9,137.1,139.9,0.68,74,10.28,9
2015-05-07 00:00:00+00,137,137.45,136.1,137,-2.07,306,41.94,17
2015-05-08 00:00:00+00,137,139.8,137,139.8,2.04,296,41.17,15
2015-05-11 00:00:00+00,139.05,139.2,139.05,139.2,-0.43,467,64.97,7
2015-05-12 00:00:00+00,139.9,141,139.9,140.1,0.65,1123,157.42,20
2015-05-13 00:00:00+00,140.5,141.5,140.25,141,0.64,589,82.99,13
2015-05-14 00:00:00+00,142,142,141.6,142,0.71,175,24.84,9
2015-05-15 00:00:00+00,145,150,142,142,0,894,129.89,42
2015-05-18 00:00:00+00,140,142,140,141.95,-0.04,459,65.15,7
2015-05-19 00:00:00+00,141.95,144.75,140.35,143,0.74,206,29.35,18
2015-05-20 00:00:00+00,141,143,141,141.5,-1.05,61,8.7,4
2015-05-21 00:00:00+00,141.5,141.5,140.4,141,-0.35,512,72.2,10
2015-05-22 00:00:00+00,141,142.95,139.9,142.95,1.38,470,66.08,19
2015-05-25 00:00:00+00,142.5,147.8,141,147.8,3.39,474,68.18,27
2015-05-26 00:00:00+00,149,153,148.9,153,3.52,834,126.61,49
2015-05-27 00:00:00+00,153,153,152,152.85,-0.1,220,33.64,10
2015-05-28 00:00:00+00,150,152,149.05,151,-1.21,527,79.57,13
2015-05-29 00:00:00+00,149.6,151.95,149.6,151,0,644,97.21,13
2015-06-01 00:00:00+00,151,151.5,151,151.5,0.33,262,39.66,8
2015-06-02 00:00:00+00,151.6,152.5,151,151,-0.33,193,29.33,10
2015-06-03 00:00:00+00,151.1,151.1,151,151,0,316,47.73,5
2015-06-05 00:00:00+00,150.9,150.9,143.3,146,-3.31,1289,188.12,42
2015-06-08 00:00:00+00,146,148.95,146,148.95,2.02,58,8.64,5
2015-06-09 00:00:00+00,148.85,148.85,148.85,148.85,-0.07,1,0.15,1
2015-06-10 00:00:00+00,144.1,148,144.1,147.05,-1.21,93,13.71,9
2015-06-11 00:00:00+00,148,148,142.6,148,0.65,180,26.23,12
2015-06-12 00:00:00+00,0,0,0,148,0,0,0,0
2015-06-15 00:00:00+00,146,149.9,146,149.9,1.28,206,30.5,11
2015-06-16 00:00:00+00,149,150,147,150,0.07,195,29.09,9
2015-06-17 00:00:00+00,146.5,149.9,146.2,149,-0.67,33,4.89,5
2015-06-18 00:00:00+00,149,149,149,149,0,1,0.15,1
2015-06-19 00:00:00+00,148.9,148.9,146.1,146.5,-1.68,245,35.91,6
2015-06-22 00:00:00+00,147.45,147.45,147.45,147.45,0.65,120,17.69,2
2015-06-23 00:00:00+00,147.45,147.45,143.4,147,-0.31,68,9.95,9
2015-06-24 00:00:00+00,147,147.45,143.2,147.3,0.2,336,49.17,10
2015-06-25 00:00:00+00,146.95,146.95,146.95,146.95,-0.24,26,3.82,1
2015-06-26 00:00:00+00,143.3,146,143.3,146,-0.65,92,13.35,12
2015-06-29 00:00:00+00,142.9,146,141,146,0,323,46.12,22
2015-06-30 00:00:00+00,138.35,145.8,138.35,145,-0.68,198,28.61,13
2015-07-01 00:00:00+00,145.95,146,145.95,146,0.69,481,70.23,9
2015-07-02 00:00:00+00,146,146,142,146,0,1515,221.15,13
2015-07-03 00:00:00+00,146,146,144.95,144.95,-0.72,475,69,12
2015-07-06 00:00:00+00,144.9,145.95,144.5,144.5,-0.31,81,11.76,7
2015-07-07 00:00:00+00,146,146,145.2,145.85,0.93,3172,462.85,67
2015-07-08 00:00:00+00,145.9,146,145,145,-0.58,2635,384.04,75
2015-07-09 00:00:00+00,136,136,132.2,134,0.79,591,78.5,24
2015-07-10 00:00:00+00,134,134,132.65,134,0,1361,182.27,16
2015-07-13 00:00:00+00,131.95,131.95,130.35,131.8,-1.64,218,28.56,11
2015-07-14 00:00:00+00,130.35,131,125.1,130.5,-0.99,505,65.42,19
2015-07-15 00:00:00+00,127.2,130.4,125.1,127.2,-2.53,312,39.89,12
2015-07-16 00:00:00+00,126.5,130.5,126.5,130.5,2.59,731,95.21,12
2015-07-17 00:00:00+00,128.2,132.5,128.15,132.5,1.53,495,64.84,12
2015-07-20 00:00:00+00,132.5,134,132.5,134,1.13,1145,153.33,15
2015-07-21 00:00:00+00,132,133,132,133,-0.75,16,2.13,2
2015-07-22 00:00:00+00,133,133,133,133,0,10,1.33,2
2015-07-23 00:00:00+00,133,133.7,132,133.7,0.53,200,26.63,10
2015-07-24 00:00:00+00,134,134,131.2,133.5,-0.15,22,2.89,3
2015-07-27 00:00:00+00,130,130,127.4,129,-3.37,330,42.56,15
2015-07-28 00:00:00+00,127.1,130,127.1,129,0,172,22.08,15
2015-07-29 00:00:00+00,129,129,127.6,127.6,-1.09,281,35.95,12
2015-07-30 00:00:00+00,129.4,129.4,128.1,128.1,0.39,541,69.56,18
2015-07-31 00:00:00+00,128.75,129.5,127,129,0.7,2805,362.76,21
2015-08-03 00:00:00+00,129,129,127,127,-1.55,15,1.93,3
2015-08-04 00:00:00+00,127,129,126.1,129,1.57,72,9.12,5
2015-08-05 00:00:00+00,127.1,128.8,127.1,128.8,-0.16,508,65.3,8
2015-08-06 00:00:00+00,127.2,129,127.2,129,0.16,137,17.66,5
2015-08-07 00:00:00+00,0,0,0,129,0,0,0,0
2015-08-10 00:00:00+00,128,131,128,131,1.55,331,42.53,6
2015-08-11 00:00:00+00,131,131.9,128,131.9,0.69,232,30.4,11
2015-08-12 00:00:00+00,131.5,132,131.5,132,0.08,2358,311.15,8
2015-08-13 00:00:00+00,0,0,0,132,0,0,0,0
2015-08-14 00:00:00+00,131.9,132,131.9,132,0,1071,141.37,3
2015-08-17 00:00:00+00,132,132,132,132,0,11,1.45,1
2015-08-18 00:00:00+00,133,135.4,133,133.65,1.25,185,24.86,12
2015-08-19 00:00:00+00,133.65,135.4,133.65,135.4,1.31,179,24.14,6
2015-08-20 00:00:00+00,132,135.5,132,135.5,0.07,2073,273.71,24
2015-08-21 00:00:00+00,133,135.95,133,135.95,0.33,137,18.49,5
2015-08-24 00:00:00+00,135.75,135.75,118,125.5,-7.69,459,57.55,26
2015-08-25 00:00:00+00,117.5,125.4,113,125.4,-0.08,239,28.55,16
2015-08-26 00:00:00+00,124.5,125.4,121,125.4,0,102,12.75,6
2015-08-27 00:00:00+00,125,125,123.9,123.9,-1.2,354,44.16,7
2015-08-28 00:00:00+00,121.2,126.4,121.2,126.4,2.02,90,11.05,3
2015-08-31 00:00:00+00,126,126,126,126,-0.32,1690,212.94,4
2015-09-01 00:00:00+00,124,125.95,124,125.95,-0.04,39,4.89,3
2015-09-02 00:00:00+00,126,126,123,125,-0.75,23,2.86,4
2015-09-03 00:00:00+00,126,126,122,122.2,-2.24,24,2.94,4
2015-09-04 00:00:00+00,122.05,123,122,123,0.65,73,8.92,7
2015-09-07 00:00:00+00,122,122,117,121.25,-1.42,972,116.36,18
2015-09-08 00:00:00+00,117.2,121,116.95,121,-0.21,339,39.75,22
2015-09-09 00:00:00+00,117.1,119,117.1,119,-1.65,32,3.79,6
2015-09-10 00:00:00+00,119,119,119,119,0,6,0.71,2
2015-09-11 00:00:00+00,119,121.3,117,118.8,-0.17,284,34.12,10
2015-09-14 00:00:00+00,125.8,125.8,125.8,125.8,5.89,1,0.13,1
2015-09-15 00:00:00+00,125,125,122.05,125,-0.64,12,1.49,4
2015-09-16 00:00:00+00,125,125,122.05,125,0,24,2.99,4
2015-09-17 00:00:00+00,125,125,125,125,0,8,1,2
2015-09-18 00:00:00+00,123,125.75,121.55,125.75,0.6,80,9.94,6
2015-09-21 00:00:00+00,127.5,127.5,125,125,-0.6,10,1.27,3
2015-09-22 00:00:00+00,125,125,125,125,0,38,4.75,3
2015-09-23 00:00:00+00,127,127,127,127,1.6,1,0.13,1
2015-09-24 00:00:00+00,127.5,127.5,127.5,127.5,0.39,3,0.38,1
2015-09-25 00:00:00+00,124.8,124.8,124.8,124.8,-2.12,10,1.25,1
2015-09-28 00:00:00+00,125,125,125,125,0.16,48,6,2
2015-09-29 00:00:00+00,127.4,127.4,120.4,123.5,-1.2,387,47.48,33
2015-09-30 00:00:00+00,123.5,123.5,123.5,123.5,0,29,3.58,2
2015-10-01 00:00:00+00,123.5,127,123.5,127,2.83,5978,741.32,10
2015-10-02 00:00:00+00,126,127,126,127,0,250,31.72,11
2015-10-05 00:00:00+00,125,127.2,125,125,-1.57,62,7.75,4
2015-10-06 00:00:00+00,0,0,0,125,0,0,0,0
2015-10-07 00:00:00+00,127.4,127.4,127.4,127.4,1.92,1,0.13,1
2015-10-08 00:00:00+00,127.4,127.4,127.4,127.4,0,15,1.91,3
2015-10-09 00:00:00+00,127.4,127.4,127.4,127.4,0,1,0.13,1
2015-10-12 00:00:00+00,125.2,128,125.2,128,0.47,156,19.89,8
2015-10-13 00:00:00+00,125.5,125.5,125.3,125.3,-2.11,60,7.52,2
2015-10-14 00:00:00+00,125.1,128,125.1,128,2.15,26,3.26,2
2015-10-15 00:00:00+00,126,129.5,124,129.5,1.17,462,58.43,10
2015-10-16 00:00:00+00,129.5,133.7,128,133.7,3.24,251,32.54,13
2015-10-19 00:00:00+00,0,0,0,133.7,0,0,0,0
2015-10-20 00:00:00+00,0,0,0,133.7,0,0,0,0
2015-10-21 00:00:00+00,128.15,133,128.15,133,-0.52,3,0.39,2
2015-10-22 00:00:00+00,133,133,128.15,128.15,-3.65,33,4.38,5
2015-10-23 00:00:00+00,130,134.9,130,134.9,5.27,162,21.75,13
2015-10-26 00:00:00+00,134.7,134.8,130,134.7,-0.15,42,5.61,9
2015-10-27 00:00:00+00,134,134,134,134,-0.52,5,0.67,1
2015-10-28 00:00:00+00,134,134,134,134,0,2,0.27,1
2015-10-29 00:00:00+00,130,132,130,132,-1.49,60,7.8,4
2015-10-30 00:00:00+00,127,132,127,132,0,30,3.91,2
2015-11-02 00:00:00+00,134,134,134,134,1.52,1,0.13,1
2015-11-03 00:00:00+00,134,134,134,134,0,21,2.81,3
2015-11-04 00:00:00+00,133.8,134.8,133.8,134.8,0.6,1252,168.65,91
2015-11-05 00:00:00+00,132,133,132,133,-1.34,110,14.52,5
2015-11-06 00:00:00+00,131,131,127.8,127.8,-3.91,83,10.71,6
2015-11-09 00:00:00+00,127,127,127,127,-0.63,21,2.67,2
2015-11-10 00:00:00+00,130,130,130,130,2.36,1,0.13,1
2015-11-12 00:00:00+00,130,131.85,130,131.85,1.42,201,26.39,6
2015-11-13 00:00:00+00,131.85,131.85,129,131,-0.64,52098,6720.86,6
2015-11-16 00:00:00+00,131,134.4,131,134.4,2.6,38,5,7
2015-11-17 00:00:00+00,130.1,134.2,130.1,134.2,-0.15,16,2.09,2
2015-11-18 00:00:00+00,134.15,134.15,134.15,134.15,-0.04,8,1.07,1
2015-11-19 00:00:00+00,134,134,134,134,-0.11,30,4.02,1
2015-11-20 00:00:00+00,0,0,0,134,0,0,0,0
2015-11-23 00:00:00+00,133.6,133.6,133.6,133.6,-0.3,1,0.13,1
2015-11-24 00:00:00+00,133.6,133.6,129,129,-3.44,102,13.25,10
2015-11-25 00:00:00+00,133,133,130,133,3.1,52,6.77,3
2015-11-26 00:00:00+00,130.5,132.9,129.05,132.9,-0.08,76,9.96,4
2015-11-27 00:00:00+00,131.95,131.95,131.95,131.95,-0.71,49,6.47,4
2015-11-30 00:00:00+00,131.95,131.95,131,131,-0.72,27,3.54,3
2015-12-01 00:00:00+00,131.95,131.95,131.85,131.85,0.65,35,4.62,2
2015-12-02 00:00:00+00,131.05,131.05,129,129,-2.16,315,40.88,12
2015-12-03 00:00:00+00,129,129,129,129,0,1,0.13,1
2015-12-04 00:00:00+00,129,129,127,129,0,56,7.16,5
2015-12-07 00:00:00+00,127.2,127.2,127.2,127.2,-1.4,15,1.91,1
2015-12-08 00:00:00+00,129,129,127,127,-0.16,283,36.03,8
2015-12-09 00:00:00+00,129,129,123,123,-3.15,291,37.22,7
2015-12-10 00:00:00+00,123.05,123.05,123.05,123.05,0.04,119,14.64,9
2015-12-11 00:00:00+00,0,0,0,123.05,0,0,0,0
2015-12-14 00:00:00+00,123,123,114,119.2,-3.13,134,15.9,9
2015-12-15 00:00:00+00,119.2,119.2,115,115.9,-2.77,363,42.08,11
2015-12-16 00:00:00+00,118,118,114.9,116,0.09,115,13.38,5
2015-12-17 00:00:00+00,117,117,113,114.95,-0.91,658,74.74,28
2015-12-18 00:00:00+00,114.95,114.95,112.45,113.45,-1.3,8191,929.24,28
2015-12-21 00:00:00+00,117.55,117.55,113.5,114.2,0.66,73,8.34,9
2015-12-22 00:00:00+00,114.2,114.2,111,113.5,-0.61,5465,608.14,36
2015-12-23 00:00:00+00,113.5,115,113.5,115,1.32,78,8.87,5
2015-12-28 00:00:00+00,115,119,115,118,2.61,3449,406.84,30
2015-12-29 00:00:00+00,119,119,118,118,0,66,7.84,5
2015-12-30 00:00:00+00,118,119.5,116,119,0.85,5660,670.72,95
2016-01-04 00:00:00+00,120,120,120,120,0.84,4,0.48,1
2016-01-05 00:00:00+00,116,117.9,114,117.9,-1.75,110,12.72,12
2016-01-07 00:00:00+00,116,116,116,116,-1.61,16,1.86,1
2016-01-08 00:00:00+00,117.9,118.9,113.8,118,1.72,147,16.89,8
