date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,0,0,0,5.2,0,0,0,0
2005-01-04 00:00:00+00,0,0,0,5.2,0,0,0,0
2005-01-05 00:00:00+00,0,0,0,5.2,0,0,0,0
2005-01-06 00:00:00+00,0,0,0,5.2,0,0,0,0
2005-01-07 00:00:00+00,5.2,5.2,5.2,5.2,0,14111,146.75,12
2005-01-10 00:00:00+00,0,0,0,5.2,0,0,0,0
2005-01-11 00:00:00+00,0,0,0,5.2,0,0,0,0
2005-01-12 00:00:00+00,5.5,5.5,5.5,5.5,5.77,1,0.01,1
2005-01-13 00:00:00+00,0,0,0,5.5,0,0,0,0
2005-01-14 00:00:00+00,5,5,5,5,-9.09,1500,15,3
2005-01-17 00:00:00+00,5.1,5.1,5.1,5.1,2,2019,20.59,5
2005-01-18 00:00:00+00,0,0,0,5.1,0,0,0,0
2005-01-19 00:00:00+00,5,5,5,5,-1.96,969,9.69,2
2005-01-20 00:00:00+00,5,5,5,5,0,1631,16.31,2
2005-01-21 00:00:00+00,5.15,5.15,5.15,5.15,3,13329,137.29,14
2005-01-24 00:00:00+00,5,5.1,5,5.1,-0.97,3300,33.16,5
2005-01-25 00:00:00+00,5,5,5,5,-1.96,180,1.8,1
2005-01-26 00:00:00+00,5.1,5.1,5.1,5.1,2,2000,20.4,3
2005-01-27 00:00:00+00,5.15,5.15,5.15,5.15,0.98,3341,34.41,5
2005-01-28 00:00:00+00,5.5,5.6,5.5,5.6,8.74,6049,66.72,10
2005-01-31 00:00:00+00,5.6,5.6,5.6,5.6,0,4773,53.46,7
2005-02-01 00:00:00+00,5.8,5.8,5.8,5.8,3.57,10895,126.38,15
2005-02-02 00:00:00+00,0,0,0,5.8,0,0,0,0
2005-02-03 00:00:00+00,6.05,6.15,6.05,6.15,6.03,2170,26.39,6
2005-02-04 00:00:00+00,0,0,0,6.15,0,0,0,0
2005-02-07 00:00:00+00,6.15,6.15,6.15,6.15,0,3350,41.21,8
2005-02-08 00:00:00+00,6.45,6.45,6.45,6.45,4.88,6350,81.92,21
2005-02-09 00:00:00+00,6.45,6.45,6.45,6.45,0,1998,25.77,6
2005-02-10 00:00:00+00,6.3,6.3,6.3,6.3,-2.33,1300,16.38,5
2005-02-11 00:00:00+00,6,6.1,6,6.1,-3.17,4106,49.49,9
2005-02-14 00:00:00+00,6.55,6.55,6.55,6.55,7.38,7934,103.94,14
2005-02-15 00:00:00+00,6.5,6.5,6.5,6.5,-0.76,7600,98.8,9
2005-02-16 00:00:00+00,6.9,6.9,6.6,6.6,1.54,1180,15.68,6
2005-02-17 00:00:00+00,6.6,6.6,6.5,6.5,-1.52,15301,200.57,25
2005-02-18 00:00:00+00,6.6,6.6,6.6,6.6,1.54,50,0.66,1
2005-02-21 00:00:00+00,0,0,0,6.6,0,0,0,0
2005-02-22 00:00:00+00,6.45,6.45,6.45,6.45,-2.27,1400,18.06,4
2005-02-23 00:00:00+00,6.4,6.4,6.4,6.4,-0.78,3200,40.96,7
2005-02-24 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-02-25 00:00:00+00,6.15,6.15,6.15,6.15,-3.91,1660,20.42,4
2005-02-28 00:00:00+00,6.4,6.4,6.1,6.1,-0.81,2538,31.02,7
