date,open,high,low,close,difference,volume,turnover,transactions
2005-05-13 00:00:00+00,7,7.4,7,7.2,-7.69,46082,654.92,84
2005-05-16 00:00:00+00,7.1,7.3,7.1,7.2,0,14600,209.51,30
2005-05-17 00:00:00+00,7.2,7.3,7.15,7.3,1.39,19016,277,41
2005-05-18 00:00:00+00,7.4,7.4,7.15,7.25,-0.68,14861,214.62,37
2005-05-19 00:00:00+00,7.15,7.25,7.15,7.25,0,8044,115.48,9
2005-05-20 00:00:00+00,7.2,7.25,7.15,7.2,-0.69,2934,42.15,10
2005-05-23 00:00:00+00,7.25,7.25,7.1,7.1,-1.39,16261,231.2,28
2005-05-24 00:00:00+00,7.1,7.2,7.1,7.2,1.41,18101,257.43,15
2005-05-25 00:00:00+00,7.1,7.15,7.05,7.15,-0.69,11500,163.5,11
2005-05-27 00:00:00+00,7.15,7.15,7.1,7.15,0,510,7.24,3
2005-05-30 00:00:00+00,7.05,7.2,7.05,7.15,0,20907,298.69,14
2005-05-31 00:00:00+00,7.2,7.2,7.2,7.2,0.7,5,0.07,1
2005-06-01 00:00:00+00,7.15,7.15,7.1,7.1,-1.39,4610,65.53,4
2005-06-02 00:00:00+00,7.2,7.2,7.1,7.15,0.7,6901,98,10
2005-06-03 00:00:00+00,7.15,7.2,7.15,7.2,0.7,12777,182.81,16
2005-06-06 00:00:00+00,7.15,7.25,7.1,7.25,0.69,16802,241.81,22
2005-06-07 00:00:00+00,7.25,7.3,7.2,7.3,0.69,23379,339.03,10
2005-06-08 00:00:00+00,7.25,7.5,7.25,7.5,2.74,5645,83.29,23
2005-06-09 00:00:00+00,7.4,7.5,7.3,7.5,0,1321,19.52,8
2005-06-10 00:00:00+00,7.5,7.65,7.5,7.65,2,16935,255.23,24
2005-06-13 00:00:00+00,7.7,7.7,7.4,7.65,0,8614,131.28,30
2005-06-14 00:00:00+00,7.7,7.7,7.6,7.7,0.65,18620,285.79,22
2005-06-15 00:00:00+00,7.6,7.7,7.4,7.7,0,5945,89.95,15
2005-06-16 00:00:00+00,7.7,7.75,7.7,7.7,0,12529,193.03,20
2005-06-17 00:00:00+00,7.75,7.85,7.75,7.8,1.3,21797,339.46,25
2005-06-20 00:00:00+00,7.8,7.8,7.8,7.8,0,10692,166.8,5
2005-06-21 00:00:00+00,7.7,7.8,7.7,7.8,0,8500,132.5,5
2005-06-22 00:00:00+00,7.55,7.75,7.55,7.75,-0.64,2506,38.42,6
2005-06-23 00:00:00+00,7.35,7.7,7.35,7.5,-3.23,3267,48.49,10
2005-06-24 00:00:00+00,7.4,7.55,7.4,7.55,0.67,400,5.98,3
2005-06-27 00:00:00+00,7.6,7.6,7.4,7.55,0,844,12.73,6
2005-06-28 00:00:00+00,7.5,7.55,7.5,7.5,-0.66,21765,326.54,12
2005-06-29 00:00:00+00,7.5,7.55,7.5,7.55,0.67,130,1.96,3
2005-06-30 00:00:00+00,7.45,7.55,7.45,7.55,0,900,13.45,3
2005-07-01 00:00:00+00,7.45,7.55,7.45,7.55,0,700,10.45,2
2005-07-04 00:00:00+00,7.5,7.5,7.45,7.5,-0.66,1130,16.94,4
2005-07-05 00:00:00+00,7.5,7.5,7.5,7.5,0,5032,75.48,10
2005-07-06 00:00:00+00,0,0,0,7.5,0,0,0,0
2005-07-07 00:00:00+00,7.45,7.45,7.1,7.3,-2.67,3815,56.04,11
2005-07-08 00:00:00+00,7.3,7.3,7.1,7.2,-1.37,1790,25.84,11
2005-07-11 00:00:00+00,7.2,7.4,7.1,7.3,1.39,4130,59.34,16
2005-07-12 00:00:00+00,7.3,7.3,7.2,7.3,0,1800,26.18,4
2005-07-13 00:00:00+00,7.3,7.4,7.3,7.4,1.37,515,7.59,4
2005-07-14 00:00:00+00,7.4,7.4,7.2,7.35,-0.68,8204,118.4,15
2005-07-15 00:00:00+00,7.1,7.45,7.1,7.45,1.36,1699,24.64,7
2005-07-18 00:00:00+00,7.4,7.45,7.1,7.45,0,2094,30.16,12
2005-07-19 00:00:00+00,7.25,7.45,7.1,7.35,-1.34,6087,86.72,18
2005-07-20 00:00:00+00,7.2,7.2,7.15,7.15,-2.72,1673,24.03,4
2005-07-21 00:00:00+00,6.95,7.1,6.9,7.1,-0.7,585,8.14,8
2005-07-22 00:00:00+00,7,7.1,6.8,7.1,0,5792,79.78,18
2005-07-25 00:00:00+00,6.95,7.15,6.9,6.9,-2.82,1013,14.08,4
2005-07-26 00:00:00+00,7,7.1,7,7.1,2.9,2867,40.33,11
2005-07-27 00:00:00+00,7.15,7.2,7,7.05,-0.7,3410,48.6,12
2005-07-28 00:00:00+00,7.1,7.1,7.1,7.1,0.71,5,0.07,1
2005-07-29 00:00:00+00,7.15,7.2,7,7.2,1.41,13539,193.86,51
2005-08-01 00:00:00+00,7.05,7.15,7,7.15,-0.69,1701,23.92,6
2005-08-02 00:00:00+00,7.2,7.2,7,7.15,0,2323,32.97,16
2005-08-03 00:00:00+00,7.15,7.2,7,7.15,0,440,6.23,8
2005-08-04 00:00:00+00,7,7.2,6.85,7.2,0.7,4451,63.8,16
2005-08-05 00:00:00+00,7,7.2,7,7.2,0,1871,26.79,10
2005-08-08 00:00:00+00,7,7.2,7,7.2,0,301,4.21,3
2005-08-09 00:00:00+00,7,7.15,7,7.15,-0.69,829,11.61,6
2005-08-10 00:00:00+00,7,7.2,7,7.2,0.7,1645,23.43,10
2005-08-11 00:00:00+00,7,7.2,7,7.2,0,11481,164.97,22
2005-08-12 00:00:00+00,7.1,7.1,7,7,-2.78,3779,53.58,5
2005-08-16 00:00:00+00,7.1,7.1,7.1,7.1,1.43,805,11.43,4
2005-08-17 00:00:00+00,7.05,7.05,6.9,7.05,-0.7,2530,35.62,10
2005-08-18 00:00:00+00,7,7,6.9,7,-0.71,3749,52.45,11
2005-08-19 00:00:00+00,7,7.05,7,7.05,0.71,14050,196.77,11
2005-08-22 00:00:00+00,6.85,7.05,6.85,7.05,0,16123,227.17,15
2005-08-23 00:00:00+00,6.95,7.05,6.85,7.05,0,1711,23.55,5
2005-08-24 00:00:00+00,7.05,7.05,6.45,7,-0.71,5956,80.82,17
2005-08-25 00:00:00+00,6.8,7,6.7,7,0,4336,59.66,24
2005-08-26 00:00:00+00,6.8,7,6.8,7,0,11394,159.08,18
2005-08-29 00:00:00+00,6.8,7,6.7,7,0,11706,160.62,24
2005-08-30 00:00:00+00,6.85,6.9,6.8,6.9,-1.43,10654,145.24,18
2005-08-31 00:00:00+00,6.8,6.9,6.55,6.85,-0.72,22735,310.69,35
2005-09-01 00:00:00+00,6.8,6.8,6.65,6.7,-2.19,2575,34.39,9
2005-09-02 00:00:00+00,6.6,6.65,6.55,6.65,-0.75,7445,97.82,15
2005-09-05 00:00:00+00,6.6,6.6,6.5,6.55,-1.5,1093,14.32,8
2005-09-06 00:00:00+00,6.55,6.65,6.55,6.65,1.53,10966,143.75,14
2005-09-07 00:00:00+00,6.5,6.9,6.5,6.75,1.5,10518,137.03,18
2005-09-08 00:00:00+00,6.7,6.8,6.7,6.8,0.74,944,12.74,6
2005-09-09 00:00:00+00,6.8,6.8,6.8,6.8,0,500,6.8,2
2005-09-12 00:00:00+00,6.7,6.8,6.7,6.8,0,500,6.78,5
2005-09-13 00:00:00+00,6.7,6.9,6.6,6.9,1.47,1044,14.09,7
2005-09-14 00:00:00+00,6.85,6.85,6.8,6.85,-0.72,1085,14.84,5
2005-09-15 00:00:00+00,6.65,6.85,6.5,6.65,-2.92,3604,47.53,23
2005-09-16 00:00:00+00,6.65,6.7,6.6,6.7,0.75,548,7.31,7
2005-09-19 00:00:00+00,6.6,6.6,6.5,6.55,-2.24,895,11.76,5
2005-09-20 00:00:00+00,6.55,6.65,6.5,6.65,1.53,1504,19.71,11
2005-09-21 00:00:00+00,6.65,6.65,6.45,6.55,-1.5,3156,40.88,14
2005-09-22 00:00:00+00,6.35,6.4,6.35,6.4,-2.29,3025,38.56,13
2005-09-23 00:00:00+00,6.3,6.4,6.15,6.35,-0.78,7477,93.68,20
2005-09-26 00:00:00+00,6.4,6.4,6.25,6.35,0,3266,41.26,10
2005-09-27 00:00:00+00,6.15,6.35,6.1,6.35,0,3075,38.89,12
2005-09-28 00:00:00+00,6.25,6.4,6.15,6.4,0.79,12082,151.4,41
2005-09-29 00:00:00+00,6.3,6.3,6,6.05,-5.47,8298,101.25,31
2005-09-30 00:00:00+00,6.15,6.6,6.1,6.5,7.44,49341,630.82,85
2005-10-03 00:00:00+00,6.6,7.7,6.6,7.5,15.38,64761,919.83,141
2005-10-04 00:00:00+00,7.45,7.5,7.3,7.4,-1.33,4971,73.96,22
2005-10-05 00:00:00+00,7.3,7.3,7.1,7.1,-4.05,19524,279.8,29
2005-10-06 00:00:00+00,7.05,7.05,6.85,6.95,-2.11,13875,192.17,23
2005-10-07 00:00:00+00,6.9,7.15,6.9,7.15,2.88,6802,94.96,15
2005-10-10 00:00:00+00,7.1,7.1,7,7,-2.1,1670,23.47,4
2005-10-11 00:00:00+00,6.8,6.95,6.7,6.95,-0.71,6596,89.32,19
2005-10-12 00:00:00+00,6.95,6.95,6.9,6.95,0,1354,18.81,9
2005-10-13 00:00:00+00,7.1,7.1,6.7,6.7,-3.6,3356,45.42,15
