date,open,high,low,close,difference,volume,turnover,transactions
2009-12-15 00:00:00+00,24.72,25.07,24.56,24.94,1.38,2058254,102320.43,1861
2009-12-16 00:00:00+00,24.98,25.74,24.98,25.7,3.05,5586824,284072.6,3853
2009-12-17 00:00:00+00,25.7,25.8,25.07,25.3,-1.56,8737021,444452.29,3987
2009-12-18 00:00:00+00,25,25.3,24.93,25.25,-0.2,3539284,177549.08,2407
2009-12-21 00:00:00+00,25.25,25.26,24.98,25.03,-0.87,1124044,56445.01,1324
2009-12-22 00:00:00+00,25.07,25.15,24.8,24.95,-0.32,1044980,52138.85,986
2009-12-23 00:00:00+00,24.9,24.95,24.51,24.51,-1.76,964745,47603.53,1003
2009-12-28 00:00:00+00,24.51,24.6,24.16,24.26,-1.02,1358682,66050.95,1615
2009-12-29 00:00:00+00,24.3,24.59,24.25,24.49,0.95,763296,37259.67,803
2009-12-30 00:00:00+00,24.5,24.5,24.15,24.25,-0.98,832055,40383.39,902
2009-12-31 00:00:00+00,24.31,24.5,24.21,24.5,1.03,456061,22277.02,383
2010-01-04 00:00:00+00,24.45,24.7,24.25,24.34,-0.65,819072,39940,1062
2010-01-05 00:00:00+00,24.48,24.48,24.19,24.34,0,2204328,106931.83,1715
2010-01-06 00:00:00+00,24.38,24.38,24.2,24.27,-0.29,1401672,68013.61,634
2010-01-07 00:00:00+00,24.25,24.25,23.87,23.87,-1.65,1534117,73618.43,1969
2010-01-08 00:00:00+00,24,24.2,23.85,23.89,0.08,937783,44853.98,1009
2010-01-11 00:00:00+00,24.24,24.24,23.9,23.9,0.04,1962840,94343.55,1199
2010-01-12 00:00:00+00,24,24.01,23.25,23.4,-2.09,2004581,94371.16,2897
2010-01-13 00:00:00+00,23.39,23.67,23.15,23.5,0.43,1955115,91567.66,1560
2010-01-14 00:00:00+00,23.53,23.65,23.19,23.25,-1.06,881113,41076.75,1516
2010-01-15 00:00:00+00,23.28,23.38,23.15,23.15,-0.43,1150013,53408.86,1066
2010-01-18 00:00:00+00,23.33,23.33,23.05,23.3,0.65,1189060,55153.38,1027
2010-01-19 00:00:00+00,23.32,23.6,23.26,23.6,1.29,993543,46583.05,1006
2010-01-20 00:00:00+00,23.66,24.1,23.6,24.04,1.86,1862906,89325.84,1591
2010-01-21 00:00:00+00,24.04,24.1,23.81,24,-0.17,717026,34365.33,807
2010-01-22 00:00:00+00,23.86,23.87,23.45,23.59,-1.71,648898,30557.83,883
2010-01-25 00:00:00+00,23.35,23.65,23.3,23.43,-0.68,447518,21025.47,628
2010-01-26 00:00:00+00,23.3,23.3,23.11,23.22,-0.9,479127,22211.09,1022
2010-01-27 00:00:00+00,23.25,23.71,23.14,23.64,1.81,2508231,118170.4,875
2010-01-28 00:00:00+00,23.75,23.9,23.5,23.68,0.17,1408098,66879.79,640
2010-01-29 00:00:00+00,23.44,23.6,23.3,23.6,-0.34,897833,42176.44,593
2010-02-01 00:00:00+00,23.48,23.48,23.33,23.35,-1.06,239335,11196.35,374
2010-02-02 00:00:00+00,23.5,23.5,23.2,23.25,-0.43,626521,29187.86,637
2010-02-03 00:00:00+00,23.25,23.3,22.9,23.05,-0.86,1460180,67304.72,1813
2010-02-04 00:00:00+00,23,23.16,22.85,22.95,-0.43,2715030,124802.82,1394
2010-02-05 00:00:00+00,22.7,22.7,22.19,22.35,-2.61,3953893,177423.35,2392
2010-02-08 00:00:00+00,22.31,22.45,21.35,21.7,-2.91,2766173,120747.27,2979
2010-02-09 00:00:00+00,21.6,21.94,21.6,21.9,0.92,1597371,69920.5,1105
2010-02-10 00:00:00+00,22,22.4,21.72,21.77,-0.59,807474,35464.81,846
2010-02-11 00:00:00+00,21.56,21.68,20.93,21,-3.54,2252826,95341.87,2350
2010-02-12 00:00:00+00,21.8,22.04,21.4,21.8,3.81,1313940,57225.1,1804
2010-02-15 00:00:00+00,21.99,22.12,21.8,22.04,1.1,565139,24887.86,708
2010-02-16 00:00:00+00,22.17,22.17,21.54,21.7,-1.54,587430,25565.15,935
2010-02-17 00:00:00+00,22.25,22.25,21.45,21.55,-0.69,444199,19289.17,1112
2010-02-18 00:00:00+00,21.73,21.95,21.6,21.8,1.16,476416,20757.6,1006
2010-02-19 00:00:00+00,21.75,22.1,21.57,22.07,1.24,427961,18791.82,562
2010-02-22 00:00:00+00,22.3,22.47,22.16,22.33,1.18,634178,28347.06,897
2010-02-23 00:00:00+00,22.25,22.27,22.01,22.06,-1.21,376126,16628.15,618
2010-02-24 00:00:00+00,22.01,22.18,21.91,22.18,0.54,366908,16186.94,424
2010-02-25 00:00:00+00,22.15,22.18,21.92,21.95,-1.04,264051,11634.71,421
2010-02-26 00:00:00+00,22.05,22.14,21.84,21.9,-0.23,269094,11802.22,577
2010-03-01 00:00:00+00,22,22,21.65,21.79,-0.5,268702,11703.23,694
2010-03-02 00:00:00+00,21.79,21.98,21.7,21.8,0.05,1034822,45126.3,854
2010-03-03 00:00:00+00,21.72,22.25,21.72,22.2,1.83,578930,25534.1,612
2010-03-04 00:00:00+00,22.19,22.7,22.15,22.35,0.68,1167753,52273.91,973
2010-03-05 00:00:00+00,22.65,22.9,22.55,22.8,2.01,1205486,54704.63,1147
2010-03-08 00:00:00+00,23,23,22.71,22.9,0.44,936352,42796.19,799
2010-03-09 00:00:00+00,22.89,22.91,22.52,22.91,0.04,899632,40937.57,797
2010-03-10 00:00:00+00,22.81,23.45,22.8,23.4,2.14,1205080,56106.82,1301
2010-03-11 00:00:00+00,23.4,23.93,23.3,23.7,1.28,1351498,64268.25,1487
2010-03-12 00:00:00+00,23.8,23.92,23.52,23.73,0.13,1186134,56365.84,1015
2010-03-15 00:00:00+00,23.57,23.95,23.56,23.9,0.72,682489,32455.56,968
2010-03-16 00:00:00+00,23.76,24.02,23.76,23.9,0,1912147,91525.5,1396
2010-03-17 00:00:00+00,23.84,23.98,23.06,23.33,-2.38,1694117,79047.65,2654
2010-03-18 00:00:00+00,23.49,23.5,23.25,23.4,0.3,1149475,53786.21,934
2010-03-19 00:00:00+00,23.6,23.75,23.27,23.6,0.85,11028143,519230.57,2875
2010-03-22 00:00:00+00,23.3,23.3,22.89,23.1,-2.12,1647045,75999.68,1600
2010-03-23 00:00:00+00,23,23.39,22.95,23.18,0.35,980198,45521.54,1038
2010-03-24 00:00:00+00,23.35,23.35,22.7,22.85,-1.42,863710,39676.33,953
2010-03-25 00:00:00+00,22.95,23.3,22.85,23.2,1.53,2459161,113355.71,1075
2010-03-26 00:00:00+00,23.21,23.39,22.79,22.8,-1.72,1264865,58083.92,1581
2010-03-29 00:00:00+00,22.86,23.05,22.76,23,0.88,1053164,48197.65,715
2010-03-30 00:00:00+00,23.19,23.35,22.88,23.23,1,1130315,52350.23,1305
2010-03-31 00:00:00+00,23.18,23.36,22.93,23.1,-0.56,1065148,49349.57,863
2010-04-01 00:00:00+00,23.2,23.3,23.05,23.3,0.87,563297,26167.33,861
2010-04-06 00:00:00+00,23.28,23.35,23.1,23.3,0,874349,40674.34,1120
2010-04-07 00:00:00+00,23.25,23.33,23.06,23.06,-1.03,2502425,116396.15,739
2010-04-08 00:00:00+00,23.05,23.2,22.85,22.85,-0.91,692839,31822,850
2010-04-09 00:00:00+00,23,23.14,22.81,22.81,-0.18,907740,41616.12,761
2010-04-12 00:00:00+00,22.6,23,22.58,22.95,0.61,1188939,54269.43,986
2010-04-13 00:00:00+00,22.85,22.9,22.41,22.64,-1.35,3708860,167524.21,1543
2010-04-14 00:00:00+00,22.64,22.64,22.12,22.16,-2.12,1916323,85212.17,2113
2010-04-15 00:00:00+00,22.2,22.21,21.84,21.9,-1.17,1295076,56767.57,1770
2010-04-16 00:00:00+00,21.9,22.1,21.86,21.99,0.41,721479,31707.75,781
2010-04-19 00:00:00+00,21.9,21.94,21.68,21.82,-0.77,1202652,52323.12,1095
2010-04-20 00:00:00+00,21.9,21.98,21.66,21.81,-0.05,770471,33616.8,1154
2010-04-21 00:00:00+00,21.97,22,21.74,22,0.87,592842,25896.11,872
2010-04-22 00:00:00+00,22,22.05,21.85,21.85,-0.68,647880,28414.18,871
2010-04-23 00:00:00+00,21.9,22.33,21.86,22.3,2.06,753486,33450.56,1138
2010-04-26 00:00:00+00,22.3,22.71,22.3,22.65,1.57,648253,29262.12,1072
2010-04-27 00:00:00+00,22.65,22.7,22.3,22.3,-1.55,420451,18877.2,646
2010-04-28 00:00:00+00,22,22,21.65,21.85,-2.02,3155496,137362.01,1650
2010-04-29 00:00:00+00,22.05,22.05,21.67,21.85,0,853401,37338.81,719
2010-04-30 00:00:00+00,21.95,22.15,21.75,22.08,1.05,431828,19005.01,614
2010-05-04 00:00:00+00,22.32,22.32,21.51,21.51,-2.58,1822100,79183.53,1531
