date,open,high,low,close,difference,volume,turnover,transactions
2005-10-20 00:00:00+00,3.6,3.61,3.46,3.48,-1.14,6559083,45970.54,1426
2005-10-21 00:00:00+00,3.46,3.47,3.42,3.43,-1.44,12071105,83051.21,1540
2005-10-24 00:00:00+00,3.39,3.42,3.32,3.41,-0.58,16255382,110210.78,1776
2005-10-25 00:00:00+00,3.44,3.62,3.43,3.62,6.16,9486897,66864.88,1765
2005-10-26 00:00:00+00,3.64,3.71,3.54,3.65,0.83,12835645,92935.33,2550
2005-10-27 00:00:00+00,3.53,3.59,3.51,3.55,-2.74,4610878,32726.08,996
2005-10-28 00:00:00+00,3.51,3.62,3.49,3.61,1.69,7258284,51476.87,1139
2005-10-31 00:00:00+00,3.64,3.64,3.6,3.61,0,1341734,9721.93,571
2005-11-02 00:00:00+00,3.61,3.68,3.61,3.68,1.94,5362388,39240.44,998
2005-11-03 00:00:00+00,3.69,3.7,3.53,3.54,-3.8,9069741,65293.22,1543
2005-11-04 00:00:00+00,3.57,3.58,3.5,3.51,-0.85,4870064,34345.79,1076
2005-11-07 00:00:00+00,3.51,3.51,3.38,3.4,-3.13,6939146,47560.96,1977
2005-11-08 00:00:00+00,3.44,3.47,3.42,3.42,0.59,5018730,34508.67,936
2005-11-09 00:00:00+00,3.44,3.45,3.41,3.42,0,4054825,27774.86,767
2005-11-10 00:00:00+00,3.44,3.45,3.35,3.4,-0.58,4896205,33190.49,1362
2005-11-14 00:00:00+00,3.43,3.43,3.33,3.35,-1.47,4257565,28662.85,1210
2005-11-15 00:00:00+00,3.36,3.4,3.33,3.39,1.19,3652558,24594.88,942
2005-11-16 00:00:00+00,3.37,3.37,3.21,3.24,-4.42,19723780,128651.39,2753
2005-11-17 00:00:00+00,3.23,3.34,3.13,3.33,2.78,14426033,93520.98,2658
2005-11-18 00:00:00+00,3.37,3.39,3.32,3.37,1.2,7730862,51931.88,1267
2005-11-21 00:00:00+00,3.39,3.39,3.35,3.37,0,3721000,25060.3,657
2005-11-22 00:00:00+00,3.38,3.47,3.38,3.4,0.89,9076965,62248.37,1142
2005-11-23 00:00:00+00,3.45,3.47,3.36,3.4,0,8723829,59562,1180
2005-11-24 00:00:00+00,3.38,3.44,3.3,3.34,-1.76,10654891,71862.78,1309
2005-11-25 00:00:00+00,3.31,3.38,3.29,3.3,-1.2,9290001,61841.66,1188
2005-11-28 00:00:00+00,3.21,3.28,3.21,3.25,-1.52,8506783,55175.45,1838
2005-11-29 00:00:00+00,3.23,3.41,3.22,3.4,4.62,15688983,105793.16,2426
2005-11-30 00:00:00+00,3.44,3.5,3.42,3.48,2.35,9459498,65284.49,1647
2005-12-01 00:00:00+00,3.5,3.5,3.46,3.48,0,6329845,43989.11,952
2005-12-02 00:00:00+00,3.45,3.45,3.35,3.36,-3.45,10130962,68492.95,1752
2005-12-05 00:00:00+00,3.36,3.39,3.33,3.36,0,7199780,48384.62,896
2005-12-06 00:00:00+00,3.36,3.36,3.3,3.3,-1.79,3947598,26169.91,850
2005-12-07 00:00:00+00,3.33,3.4,3.31,3.35,1.52,5652460,38164.31,818
2005-12-08 00:00:00+00,3.35,3.39,3.34,3.36,0.3,6399262,43137.67,608
2005-12-09 00:00:00+00,3.38,3.39,3.36,3.36,0,2438800,16447.24,321
2005-12-12 00:00:00+00,3.38,3.38,3.36,3.37,0.3,2400429,16174.88,372
2005-12-13 00:00:00+00,3.37,3.39,3.36,3.39,0.59,2844213,19215.33,471
2005-12-14 00:00:00+00,3.39,3.48,3.39,3.48,2.65,9796851,67604.96,1245
2005-12-15 00:00:00+00,3.49,3.55,3.47,3.52,1.15,10891290,76537.28,1355
2005-12-16 00:00:00+00,3.55,3.55,3.43,3.54,0.57,8687202,60802.91,1170
2005-12-19 00:00:00+00,3.54,3.56,3.51,3.54,0,4323344,30537.46,687
2005-12-20 00:00:00+00,3.51,3.61,3.51,3.56,0.56,11913809,85298.08,1362
2005-12-21 00:00:00+00,3.58,3.59,3.56,3.58,0.56,6133781,43884.3,603
2005-12-22 00:00:00+00,3.58,3.59,3.54,3.55,-0.84,3025413,21491.61,467
2005-12-23 00:00:00+00,3.54,3.58,3.54,3.56,0.28,3922681,27944.66,441
2005-12-27 00:00:00+00,3.56,3.57,3.52,3.54,-0.56,3181825,22529.96,631
2005-12-28 00:00:00+00,3.53,3.54,3.47,3.49,-1.41,3209313,22554.82,751
2005-12-29 00:00:00+00,3.48,3.5,3.46,3.49,0,2747871,19123.32,599
2005-12-30 00:00:00+00,3.49,3.5,3.46,3.47,-0.57,2336182,16248.97,449
2006-01-02 00:00:00+00,3.43,3.49,3.4,3.47,0,7358238,50922.71,710
2006-01-03 00:00:00+00,3.5,3.55,3.49,3.53,1.73,9345579,65999.24,1093
2006-01-04 00:00:00+00,3.56,3.58,3.54,3.56,0.85,4710849,33506.88,931
2006-01-05 00:00:00+00,3.58,3.58,3.54,3.54,-0.56,7701817,54842.09,797
2006-01-06 00:00:00+00,3.5,3.52,3.48,3.49,-1.41,8147897,57073.69,1109
2006-01-09 00:00:00+00,3.52,3.54,3.48,3.48,-0.29,6612531,46525.34,1330
2006-01-10 00:00:00+00,3.46,3.46,3.42,3.43,-1.44,4796375,32985.78,1233
2006-01-11 00:00:00+00,3.42,3.46,3.42,3.44,0.29,5490737,37816.59,868
2006-01-12 00:00:00+00,3.45,3.46,3.43,3.44,0,3745300,25813.84,689
2006-01-13 00:00:00+00,3.43,3.45,3.43,3.44,0,3600515,24759.18,729
2006-01-16 00:00:00+00,3.44,3.45,3.42,3.44,0,6204405,42659.77,842
2006-01-17 00:00:00+00,3.43,3.44,3.42,3.44,0,5135230,35241.07,866
2006-01-18 00:00:00+00,3.41,3.42,3.41,3.41,-0.87,2619886,17874.16,661
2006-01-19 00:00:00+00,3.41,3.45,3.4,3.44,0.88,4634490,31850.52,847
2006-01-20 00:00:00+00,3.45,3.55,3.44,3.51,2.03,5674032,39749.04,1515
2006-01-23 00:00:00+00,3.49,3.49,3.46,3.48,-0.85,3914111,27242.79,732
2006-01-24 00:00:00+00,3.49,3.53,3.46,3.49,0.29,4322019,30230.43,855
2006-01-25 00:00:00+00,3.51,3.6,3.5,3.6,3.15,17419997,124208.53,2382
2006-01-26 00:00:00+00,3.62,3.68,3.56,3.58,-0.56,7813101,56791.59,1805
2006-01-27 00:00:00+00,3.59,3.6,3.53,3.56,-0.56,2646460,18823.42,923
2006-01-30 00:00:00+00,3.53,3.53,3.47,3.5,-1.69,2456224,17175.77,1003
2006-01-31 00:00:00+00,3.48,3.5,3.36,3.4,-2.86,4078993,27993.67,1282
2006-02-01 00:00:00+00,3.39,3.47,3.36,3.47,2.06,3208042,22024.53,782
2006-02-02 00:00:00+00,3.47,3.52,3.46,3.5,0.86,5035726,35243.29,813
2006-02-03 00:00:00+00,3.5,3.51,3.43,3.47,-0.86,2940859,20324.18,724
2006-02-06 00:00:00+00,3.42,3.46,3.41,3.44,-0.86,2136607,14707.36,648
2006-02-07 00:00:00+00,3.46,3.47,3.41,3.47,0.87,2652706,18302.72,524
2006-02-08 00:00:00+00,3.47,3.47,3.43,3.46,-0.29,1550667,10720.25,354
2006-02-09 00:00:00+00,3.46,3.47,3.43,3.46,0,1597302,11034.18,408
2006-02-10 00:00:00+00,3.44,3.47,3.44,3.46,0,3851139,26626.13,475
2006-02-13 00:00:00+00,3.45,3.49,3.44,3.45,-0.29,1139963,7898.56,418
2006-02-14 00:00:00+00,3.46,3.47,3.43,3.44,-0.29,2170355,14981.87,447
2006-02-15 00:00:00+00,3.44,3.46,3.42,3.43,-0.29,1385051,9506.73,399
2006-02-16 00:00:00+00,3.44,3.45,3.25,3.34,-2.62,4696761,31580.06,957
2006-02-17 00:00:00+00,3.37,3.42,3.37,3.42,2.4,5339281,36327.89,811
2006-02-20 00:00:00+00,3.44,3.44,3.39,3.41,-0.29,4334749,29612,807
2006-02-21 00:00:00+00,3.42,3.43,3.38,3.39,-0.59,3184917,21657.69,519
2006-02-22 00:00:00+00,3.4,3.4,3.37,3.4,0.29,2464596,16696.48,484
2006-02-23 00:00:00+00,3.38,3.4,3.38,3.39,-0.29,2018696,13684.6,364
2006-02-24 00:00:00+00,3.39,3.4,3.37,3.39,0,1527937,10344.82,392
2006-02-27 00:00:00+00,3.4,3.42,3.38,3.4,0.29,2501327,16973.85,527
2006-02-28 00:00:00+00,3.39,3.39,3.26,3.28,-3.53,5831086,38742.83,1354
2006-03-01 00:00:00+00,3.28,3.33,3.22,3.26,-0.61,5179718,33715.09,1151
2006-03-02 00:00:00+00,3.27,3.37,3.27,3.35,2.76,10199635,67794.31,1045
2006-03-03 00:00:00+00,3.38,3.4,3.35,3.39,1.19,8633278,58390.94,889
2006-03-06 00:00:00+00,3.4,3.45,3.39,3.44,1.47,7350287,50286.15,781
2006-03-07 00:00:00+00,3.44,3.45,3.36,3.4,-1.16,8568937,58219.53,667
2006-03-08 00:00:00+00,3.41,3.42,3.34,3.39,-0.29,6286227,42508.04,668
2006-03-09 00:00:00+00,3.39,3.43,3.39,3.43,1.18,7699760,52532.44,546
2006-03-10 00:00:00+00,3.44,3.45,3.35,3.43,0,3445397,23490.31,589
2006-03-13 00:00:00+00,3.4,3.43,3.38,3.39,-1.17,1395841,9506.81,313
2006-03-14 00:00:00+00,3.37,3.55,3.36,3.55,4.72,10321161,72385.06,899
2006-03-15 00:00:00+00,3.48,3.52,3.43,3.5,-1.41,8799132,61270.43,868
2006-03-16 00:00:00+00,3.5,3.52,3.47,3.5,0,5768777,40331.7,578
2006-03-17 00:00:00+00,3.52,3.55,3.48,3.53,0.86,10175039,71541.04,939
2006-03-20 00:00:00+00,3.5,3.59,3.5,3.55,0.57,4268820,30360.16,924
2006-03-21 00:00:00+00,3.55,3.59,3.52,3.53,-0.56,3824909,27280.8,753
2006-03-22 00:00:00+00,3.52,3.53,3.49,3.51,-0.57,2366338,16625.04,458
2006-03-23 00:00:00+00,3.51,3.55,3.51,3.55,1.14,1277915,9016.08,299
2006-03-24 00:00:00+00,3.55,3.55,3.52,3.54,-0.28,2611345,18471.68,456
2006-03-27 00:00:00+00,3.54,3.56,3.49,3.53,-0.28,2820296,19881.42,550
2006-03-28 00:00:00+00,3.51,3.52,3.46,3.5,-0.85,3467352,24217.76,530
2006-03-29 00:00:00+00,3.47,3.48,3.4,3.43,-2,3472069,23858.1,653
2006-03-30 00:00:00+00,3.45,3.5,3.44,3.47,1.17,998004,6933.4,365
2006-03-31 00:00:00+00,3.48,3.48,3.45,3.48,0.29,1545269,10710,441
2006-04-03 00:00:00+00,3.48,3.5,3.42,3.5,0.57,2162418,15026.56,674
2006-04-04 00:00:00+00,3.46,3.5,3.44,3.5,0,1487426,10313.67,364
2006-04-05 00:00:00+00,3.49,3.51,3.46,3.49,-0.29,2352230,16413.93,513
2006-04-06 00:00:00+00,3.49,3.52,3.45,3.45,-1.15,3777061,26355.78,634
2006-04-07 00:00:00+00,3.48,3.61,3.48,3.59,4.06,11047212,78966.52,1934
2006-04-10 00:00:00+00,3.59,3.61,3.55,3.61,0.56,4403980,31607.24,949
2006-04-11 00:00:00+00,3.59,3.62,3.56,3.58,-0.83,2022000,14501.32,463
2006-04-12 00:00:00+00,3.58,3.75,3.57,3.75,4.75,11953173,87568.95,1786
2006-04-13 00:00:00+00,3.8,3.88,3.8,3.88,3.47,14243921,109878.13,1816
2006-04-18 00:00:00+00,3.9,3.97,3.88,3.96,2.06,7376538,58122.12,1526
2006-04-19 00:00:00+00,3.98,3.99,3.85,3.89,-1.77,5444117,42514.62,1068
2006-04-20 00:00:00+00,3.87,3.95,3.81,3.95,1.54,4241582,32997.68,1045
2006-04-21 00:00:00+00,3.84,3.89,3.78,3.81,-3.54,10167457,77872.22,1245
2006-04-24 00:00:00+00,3.8,3.86,3.8,3.81,0,2747484,21000.89,707
2006-04-25 00:00:00+00,3.81,3.83,3.76,3.8,-0.26,2130642,16219.02,488
2006-04-26 00:00:00+00,3.83,3.9,3.82,3.86,1.58,3338049,25787.45,772
2006-04-27 00:00:00+00,3.85,3.87,3.78,3.8,-1.55,6027365,45911.9,711
2006-04-28 00:00:00+00,3.79,3.95,3.77,3.95,3.95,5685663,43853.81,896
2006-05-02 00:00:00+00,3.91,3.93,3.88,3.9,-1.27,1537624,12011.73,461
2006-05-04 00:00:00+00,3.9,3.95,3.87,3.93,0.77,1893299,14818.27,559
2006-05-05 00:00:00+00,3.91,3.93,3.86,3.9,-0.76,2733270,21301.87,742
2006-05-08 00:00:00+00,3.9,3.92,3.84,3.92,0.51,1787660,13842.73,608
2006-05-09 00:00:00+00,3.89,3.92,3.85,3.9,-0.51,2354405,18304.26,660
2006-05-10 00:00:00+00,3.9,3.91,3.86,3.87,-0.77,2672721,20752.68,474
2006-05-11 00:00:00+00,3.9,4.11,3.9,4.08,5.43,17496572,140800.3,3104
2006-05-12 00:00:00+00,4.03,4.08,3.97,4.05,-0.74,5614561,45338.52,1409
2006-05-15 00:00:00+00,4,4.03,3.96,3.96,-2.22,3887446,30992.94,1022
2006-05-16 00:00:00+00,3.92,4.06,3.92,4.05,2.27,6797559,54434.16,1241
2006-05-17 00:00:00+00,4.06,4.13,3.98,3.98,-1.73,14453409,117540.15,1712
