date,open,high,low,close,difference,volume,turnover,transactions
2011-10-10 00:00:00+00,1,1,0.69,0.76,-24,115460,90.79,118
2011-10-11 00:00:00+00,0.8,0.84,0.73,0.75,-1.32,58699,44.93,57
2011-10-12 00:00:00+00,0.76,0.78,0.7,0.78,4,176677,129.62,36
2011-10-13 00:00:00+00,0.73,0.8,0.73,0.8,2.56,27212,21.3,20
2011-10-14 00:00:00+00,0.78,0.82,0.78,0.81,1.25,5258,4.21,12
2011-10-17 00:00:00+00,0.82,0.88,0.82,0.86,6.17,33814,28.09,46
2011-10-18 00:00:00+00,0.83,0.87,0.83,0.86,0,35117,29.73,41
2011-10-19 00:00:00+00,0.86,0.89,0.86,0.88,2.33,6688,5.86,14
2011-10-20 00:00:00+00,0.88,0.88,0.85,0.85,-3.41,759,0.66,5
2011-10-21 00:00:00+00,0.85,0.88,0.81,0.83,-2.35,9287,7.68,17
2011-10-24 00:00:00+00,0.83,0.85,0.83,0.83,0,7789,6.55,12
2011-10-25 00:00:00+00,0.83,0.86,0.83,0.84,1.2,11073,9.21,7
2011-10-26 00:00:00+00,0.87,0.89,0.83,0.87,3.57,93064,81.22,20
2011-10-27 00:00:00+00,0.87,0.89,0.84,0.85,-2.3,116381,101.76,39
2011-10-28 00:00:00+00,0.82,0.86,0.77,0.86,1.18,17336,13.9,15
2011-10-31 00:00:00+00,0.8,0.87,0.8,0.87,1.16,3298,2.79,11
2011-11-02 00:00:00+00,0.81,0.87,0.81,0.86,-1.15,31023,26.48,21
2011-11-03 00:00:00+00,0.86,0.88,0.83,0.85,-1.16,6501,5.54,9
2011-11-04 00:00:00+00,0.85,0.86,0.84,0.86,1.18,41042,35.25,30
2011-11-07 00:00:00+00,0.86,0.9,0.86,0.89,3.49,36797,32.64,24
2011-11-08 00:00:00+00,0.88,0.99,0.88,0.97,8.99,148684,141.78,36
2011-11-09 00:00:00+00,1.03,1.12,0.97,1.04,7.22,124489,131.7,86
2011-11-10 00:00:00+00,1.07,1.07,0.93,1.01,-2.88,20826,21.18,37
2011-11-14 00:00:00+00,0.96,1.02,0.93,0.93,-7.92,135542,130.18,36
2011-11-15 00:00:00+00,0.9,1.03,0.9,1.03,10.75,458455,438.58,56
2011-11-16 00:00:00+00,1.05,1.1,1.05,1.1,6.8,25642,27.52,52
2011-11-17 00:00:00+00,1.11,1.15,1.07,1.12,1.82,67029,75.75,91
2011-11-18 00:00:00+00,1.08,1.13,1.08,1.13,0.89,1380,1.54,3
2011-11-21 00:00:00+00,1.05,1.1,1.04,1.06,-6.19,18107,19.55,25
2011-11-22 00:00:00+00,1.02,1.12,1.02,1.07,0.94,8192,8.77,10
2011-11-23 00:00:00+00,1.07,1.07,1.07,1.07,0,2821,3.02,6
2011-11-24 00:00:00+00,1.07,1.07,1.07,1.07,0,77947,83.4,10
2011-11-25 00:00:00+00,1.07,1.07,1.03,1.06,-0.93,6168,6.53,10
2011-11-28 00:00:00+00,1,1.07,0.99,1.07,0.94,38136,38.94,19
2011-11-29 00:00:00+00,1.06,1.08,1.04,1.08,0.93,9549,10.18,11
2011-11-30 00:00:00+00,1.07,1.14,1.05,1.14,5.56,50639,55.02,27
2011-12-01 00:00:00+00,1.1,1.15,1.07,1.1,-3.51,74528,81.55,34
2011-12-02 00:00:00+00,1.11,1.12,1.09,1.1,0,27691,30.72,17
2011-12-05 00:00:00+00,1.1,1.15,1.1,1.15,4.55,26553,30.21,17
2011-12-06 00:00:00+00,1.13,1.22,1.13,1.2,4.35,8893,10.63,15
2011-12-07 00:00:00+00,1.26,1.37,1.18,1.35,12.5,27122,33.38,28
2011-12-08 00:00:00+00,1.3,1.35,1.25,1.3,-3.7,38745,49.39,30
2011-12-09 00:00:00+00,1.29,1.31,1.26,1.3,0,1703,2.16,9
2011-12-12 00:00:00+00,1.29,1.32,1.27,1.3,0,10672,13.79,10
2011-12-13 00:00:00+00,1.27,1.31,1.27,1.3,0,5913,7.7,17
2011-12-14 00:00:00+00,1.32,1.32,1.23,1.28,-1.54,1664,2.12,10
2011-12-15 00:00:00+00,1.29,1.29,1.25,1.29,0.78,395,0.49,3
2011-12-16 00:00:00+00,1.23,1.29,1.23,1.28,-0.78,815,1,13
2011-12-19 00:00:00+00,1.29,1.3,1.2,1.27,-0.78,8016,9.96,30
2011-12-20 00:00:00+00,1.25,1.27,1.22,1.27,0,12169,15.16,17
2011-12-21 00:00:00+00,1.24,1.39,1.24,1.34,5.51,21167,28.16,38
2011-12-22 00:00:00+00,1.37,1.45,1.35,1.45,8.21,43023,60.25,39
2011-12-23 00:00:00+00,1.47,1.56,1.46,1.54,6.21,21094,31.79,34
2011-12-27 00:00:00+00,1.55,1.69,1.52,1.55,0.65,104374,163.68,54
2011-12-28 00:00:00+00,1.63,1.68,1.58,1.62,4.52,702171,1124.24,69
2011-12-29 00:00:00+00,1.64,1.64,1.56,1.6,-1.23,6848,11.07,14
2011-12-30 00:00:00+00,1.61,1.61,1.56,1.58,-1.25,6318,10.07,17
2012-01-02 00:00:00+00,1.72,1.72,1.58,1.69,6.96,2971,4.86,12
2012-01-03 00:00:00+00,1.73,1.73,1.65,1.66,-1.78,10370,17.49,16
2012-01-04 00:00:00+00,1.62,1.64,1.58,1.58,-4.82,11128,18.04,12
2012-01-05 00:00:00+00,1.59,1.63,1.46,1.59,0.63,26959,41.35,46
2012-01-09 00:00:00+00,1.55,1.58,1.46,1.49,-6.29,9957,15.13,18
2012-01-10 00:00:00+00,1.49,1.51,1.46,1.47,-1.34,15739,23.43,15
2012-01-11 00:00:00+00,1.47,1.47,1.4,1.42,-3.4,8680,12.53,11
2012-01-12 00:00:00+00,1.49,1.5,1.49,1.5,5.63,9003,13.46,10
2012-01-13 00:00:00+00,1.5,1.5,1.43,1.5,0,6371,9.5,16
2012-01-16 00:00:00+00,1.41,1.49,1.4,1.45,-3.33,1848,2.61,6
2012-01-17 00:00:00+00,1.49,1.51,1.39,1.5,3.45,9726,14.57,15
2012-01-18 00:00:00+00,1.5,1.5,1.5,1.5,0,201,0.3,2
2012-01-19 00:00:00+00,1.52,1.52,1.42,1.46,-2.67,2403,3.51,6
2012-01-20 00:00:00+00,1.46,1.46,1.46,1.46,0,51,0.07,1
2012-01-23 00:00:00+00,1.42,1.5,1.41,1.5,2.74,14639,21.47,26
2012-01-24 00:00:00+00,1.41,1.5,1.41,1.5,0,5030,7.53,7
2012-01-25 00:00:00+00,1.51,1.52,1.47,1.51,0.67,10813,16.34,15
2012-01-26 00:00:00+00,1.51,1.51,1.43,1.46,-3.31,4992,7.5,8
2012-01-27 00:00:00+00,1.47,1.49,1.42,1.49,2.05,13701,20.06,9
2012-01-30 00:00:00+00,1.52,1.52,1.44,1.44,-3.36,5100,7.38,7
2012-01-31 00:00:00+00,1.45,1.45,1.4,1.41,-2.08,12062,17.12,21
2012-02-01 00:00:00+00,1.43,1.45,1.41,1.45,2.84,55013,78.21,14
2012-02-02 00:00:00+00,1.44,1.52,1.44,1.52,4.83,13807,20.57,18
2012-02-03 00:00:00+00,1.46,1.6,1.45,1.6,5.26,30034,46.3,33
2012-02-06 00:00:00+00,1.61,1.65,1.6,1.6,0,44010,71.07,20
2012-02-07 00:00:00+00,1.6,1.63,1.54,1.6,0,38259,61.2,20
2012-02-08 00:00:00+00,1.54,1.6,1.54,1.59,-0.63,34065,53.54,16
2012-02-09 00:00:00+00,1.55,1.57,1.55,1.55,-2.52,4915,7.7,7
2012-02-10 00:00:00+00,1.59,1.59,1.59,1.59,2.58,2000,3.18,1
2012-02-13 00:00:00+00,1.57,1.57,1.5,1.5,-5.66,8006,12.27,11
2012-02-14 00:00:00+00,1.5,1.51,1.5,1.5,0,1910,2.88,8
2012-02-15 00:00:00+00,1.46,1.5,1.45,1.46,-2.67,27484,40.23,12
2012-02-16 00:00:00+00,1.48,1.55,1.47,1.55,6.16,65295,97.75,26
2012-02-17 00:00:00+00,1.58,1.58,1.58,1.58,1.94,260,0.41,1
2012-02-20 00:00:00+00,1.57,1.59,1.57,1.58,0,10569,16.62,10
2012-02-21 00:00:00+00,1.57,1.66,1.52,1.66,5.06,12591,20.27,27
2012-02-22 00:00:00+00,1.65,1.65,1.55,1.65,-0.6,14965,24.43,12
2012-02-23 00:00:00+00,1.59,1.65,1.55,1.65,0,4509,7.27,8
2012-02-24 00:00:00+00,1.67,1.67,1.56,1.64,-0.61,10000,16.4,5
