date,open,high,low,close,difference,volume,turnover,transactions
2016-08-25 00:00:00+00,13.82,13.82,13.02,13.39,-1.47,3385,45.57,33
2016-08-26 00:00:00+00,13.01,13.4,12.6,12.99,-2.99,3577,46.1,21
2016-08-29 00:00:00+00,12.95,12.95,12.05,12.07,-7.08,4488,55.25,21
2016-08-30 00:00:00+00,12.5,12.5,12.2,12.49,3.48,1467,17.99,9
2016-08-31 00:00:00+00,12.2,12.49,12.01,12.49,0,2068,25.28,14
2016-09-01 00:00:00+00,12.47,12.75,12.35,12.75,2.08,1647,20.54,11
2016-09-02 00:00:00+00,12.36,12.49,12.21,12.49,-2.04,1197,14.69,12
2016-09-05 00:00:00+00,12.75,12.75,12.21,12.45,-0.32,3192,39.37,19
2016-09-06 00:00:00+00,12.55,12.55,12.22,12.49,0.32,499,6.17,8
2016-09-07 00:00:00+00,12.7,12.7,11.85,12.09,-3.2,9060,109.47,38
2016-09-08 00:00:00+00,12.09,12.09,11.34,11.35,-6.12,20011,231.81,60
2016-09-09 00:00:00+00,11.95,11.95,11.34,11.34,-0.09,7369,84.41,29
2016-09-12 00:00:00+00,11.9,11.9,11.2,11.39,0.44,5661,65.62,30
2016-09-13 00:00:00+00,11.47,11.47,11.21,11.42,0.26,4598,52.6,16
2016-09-14 00:00:00+00,11.47,11.47,11.39,11.39,-0.26,5108,58.53,22
2016-09-15 00:00:00+00,11.39,11.39,11.1,11.25,-1.23,4673,52.4,23
2016-09-16 00:00:00+00,11.24,11.24,11,11.24,-0.09,3030,33.9,18
2016-09-19 00:00:00+00,11.3,12.4,11.3,11.91,5.96,45296,519.32,86
2016-09-20 00:00:00+00,12.01,12.48,11.5,11.99,0.67,7941,93.85,46
2016-09-21 00:00:00+00,12,12,11.49,11.8,-1.58,53518,631.16,24
2016-09-22 00:00:00+00,12,12,11.7,11.85,0.42,638,7.5,6
2016-09-23 00:00:00+00,11.77,11.85,11.25,11.85,0,2115,24.37,19
2016-09-26 00:00:00+00,11.4,12.12,11.4,11.88,0.25,1873,22.01,12
2016-09-27 00:00:00+00,11.88,11.89,11.25,11.88,0,5859,67.44,22
2016-09-28 00:00:00+00,11.97,11.97,11.39,11.7,-1.52,743,8.52,10
2016-09-29 00:00:00+00,11.97,13,11.9,12.9,10.26,54393,682.38,57
2016-09-30 00:00:00+00,12.9,12.9,12.5,12.6,-2.33,59823,766.78,101
2016-10-03 00:00:00+00,13,13,12.4,12.72,0.95,1851,23.14,15
2016-10-04 00:00:00+00,12.65,12.72,12.5,12.7,-0.16,17324,219.37,19
2016-10-05 00:00:00+00,12.75,12.75,12.45,12.7,0,2480,31.45,9
2016-10-06 00:00:00+00,13,13,12.7,12.7,0,1889,23.99,9
2016-10-07 00:00:00+00,12.72,12.72,12.7,12.7,0,2074,26.34,9
2016-10-10 00:00:00+00,12.7,12.7,12.6,12.6,-0.79,434,5.49,8
2016-10-11 00:00:00+00,12.78,12.99,12.51,12.51,-0.71,18773,239.86,67
2016-10-12 00:00:00+00,12.69,12.7,12.46,12.7,1.52,934,11.79,10
2016-10-13 00:00:00+00,12.7,12.7,12.48,12.7,0,217,2.71,4
2016-10-14 00:00:00+00,12.7,12.7,12.51,12.7,0,3988,50.4,12
2016-10-17 00:00:00+00,12.52,12.69,12.52,12.69,-0.08,629,7.93,9
2016-10-18 00:00:00+00,12.53,12.68,12.48,12.68,-0.08,2477,31.05,14
2016-10-19 00:00:00+00,12.7,12.7,12.5,12.66,-0.16,1613,20.19,10
2016-10-20 00:00:00+00,12.7,12.7,12.45,12.69,0.24,948,11.99,7
2016-10-21 00:00:00+00,12.69,12.69,12.68,12.68,-0.08,555,7.04,6
2016-10-24 00:00:00+00,12.6,12.6,12.28,12.58,-0.79,12059,151.48,23
2016-10-25 00:00:00+00,12.68,12.68,12.28,12.28,-2.38,607,7.66,6
2016-10-26 00:00:00+00,12.4,12.4,12.28,12.39,0.9,833,10.23,5
2016-10-27 00:00:00+00,12.4,12.4,12.25,12.27,-0.97,4132,50.72,14
2016-10-28 00:00:00+00,12.4,12.4,12,12.19,-0.65,6628,80.04,13
2016-10-31 00:00:00+00,11.9,12.39,11.9,12.39,1.64,1401,16.87,8
2016-11-02 00:00:00+00,12.39,12.4,12.16,12.4,0.08,2525,30.81,12
2016-11-03 00:00:00+00,11.75,12.92,11.75,12.2,-0.65,5077,62.82,14
2016-11-04 00:00:00+00,12.2,12.4,12.2,12.4,1.64,4629,57.31,9
2016-11-07 00:00:00+00,12.4,12.4,12.4,12.4,0,310,3.84,6
2016-11-08 00:00:00+00,12.23,12.4,12.22,12.4,0,2142,26.41,10
2016-11-09 00:00:00+00,12.3,12.39,12,12.39,-0.08,4984,60.52,15
2016-11-10 00:00:00+00,12,12.55,12,12.55,1.29,3190,39.65,20
2016-11-14 00:00:00+00,12.4,12.4,12.15,12.29,-2.07,5111,62.75,17
2016-11-15 00:00:00+00,12.13,12.29,11,11.7,-4.8,27245,309.39,74
2016-11-16 00:00:00+00,11.7,11.7,11.5,11.5,-1.71,690,7.94,8
2016-11-17 00:00:00+00,11.18,11.65,11.18,11.65,1.3,1319,15.13,8
2016-11-18 00:00:00+00,11.65,11.88,11.16,11.88,1.97,616,7.26,5
2016-11-21 00:00:00+00,12,12.1,11.2,11.7,-1.52,5375,62.35,27
2016-11-22 00:00:00+00,11.98,11.98,11.2,11.46,-2.05,2116,23.94,19
2016-11-23 00:00:00+00,11.47,11.47,11.11,11.45,-0.09,2415,27.11,17
2016-11-24 00:00:00+00,11.46,11.46,11.25,11.39,-0.52,2802,31.74,12
2016-11-25 00:00:00+00,11.4,11.46,11.15,11.4,0.09,3217,36.37,17
2016-11-28 00:00:00+00,11.46,11.7,11.3,11.6,1.75,3055,35.12,15
2016-11-29 00:00:00+00,11.6,11.6,11.2,11.55,-0.43,2270,25.61,11
2016-11-30 00:00:00+00,11.6,11.6,11.2,11.59,0.35,565,6.4,7
2016-12-01 00:00:00+00,11.6,11.6,11.39,11.59,0,1002,11.43,4
2016-12-02 00:00:00+00,11.6,11.6,11.59,11.6,0.09,145,1.68,4
2016-12-05 00:00:00+00,11.6,11.6,11.2,11.4,-1.72,12730,146.85,10
2016-12-06 00:00:00+00,11.4,11.55,11.23,11.55,1.32,1038,11.8,13
2016-12-07 00:00:00+00,11.55,11.55,11.28,11.5,-0.43,1563,17.82,10
2016-12-08 00:00:00+00,11.5,11.5,11.3,11.5,0,1174,13.29,10
2016-12-09 00:00:00+00,11.5,11.5,11.13,11.44,-0.52,4677,52.66,20
2016-12-12 00:00:00+00,11.44,11.5,11.16,11.5,0.52,12302,141.23,18
2016-12-13 00:00:00+00,11.59,11.59,11.3,11.49,-0.09,692,7.84,10
2016-12-14 00:00:00+00,11.49,11.49,11.3,11.45,-0.35,468,5.29,6
2016-12-15 00:00:00+00,11.41,11.52,11.4,11.52,0.61,859,9.82,9
2016-12-16 00:00:00+00,11.52,12.37,11.52,12,4.17,30538,360.5,42
2016-12-19 00:00:00+00,12.35,12.55,11.5,11.94,-0.5,16894,203.92,29
2016-12-20 00:00:00+00,11.94,12.91,11.76,12.5,4.69,28669,353.95,31
2016-12-21 00:00:00+00,12.65,13,12.41,12.8,2.4,26874,342.87,34
2016-12-22 00:00:00+00,12.8,12.9,12.4,12.88,0.63,37772,480.85,24
2016-12-23 00:00:00+00,12.9,12.97,12.42,12.97,0.7,28244,364.37,36
2016-12-27 00:00:00+00,12.96,12.99,12.75,12.9,-0.54,11881,154.1,12
2016-12-28 00:00:00+00,12.95,13.2,12.9,13.12,1.71,17462,227.52,29
2016-12-29 00:00:00+00,13.12,13.5,13.12,13.45,2.52,41428,555.44,95
2016-12-30 00:00:00+00,13.64,13.64,13.25,13.4,-0.37,44808,603.37,44
2017-01-02 00:00:00+00,13.4,13.8,13.3,13.7,2.24,21838,296.47,43
2017-01-03 00:00:00+00,13.82,13.82,13.6,13.76,0.44,6343,87.32,32
2017-01-04 00:00:00+00,13.77,13.77,13.62,13.69,-0.51,7824,107.19,20
2017-01-05 00:00:00+00,13.65,13.8,13.6,13.75,0.44,41077,564.38,51
2017-01-09 00:00:00+00,13.79,14.2,13.79,14.16,2.98,22743,319.85,58
2017-01-10 00:00:00+00,14.17,14.17,13.26,14.14,-0.14,9940,139.19,48
2017-01-11 00:00:00+00,14.2,14.2,13.9,14.05,-0.64,6216,87.51,33
2017-01-12 00:00:00+00,14.05,14.09,13.55,13.99,-0.43,3572,49.36,20
2017-01-13 00:00:00+00,14.04,14.04,13.4,13.65,-2.43,19417,263.28,63
2017-01-16 00:00:00+00,13.89,13.89,13,13.68,0.22,14817,198.59,51
2017-01-17 00:00:00+00,13.14,13.75,13.14,13.75,0.51,4529,61.58,26
2017-01-18 00:00:00+00,13.85,13.85,13.64,13.66,-0.65,350,4.78,4
2017-01-19 00:00:00+00,13.5,13.69,13.2,13.65,-0.07,7304,98.64,26
2017-01-20 00:00:00+00,13.65,13.77,13.2,13.75,0.73,4008,54.23,24
2017-01-23 00:00:00+00,13.4,13.76,13.4,13.76,0.07,3407,46.58,19
2017-01-24 00:00:00+00,13.75,13.75,13.73,13.75,-0.07,497,6.83,7
2017-01-25 00:00:00+00,13.7,13.7,13.5,13.67,-0.58,6756,91.97,19
2017-01-26 00:00:00+00,13.67,13.67,13.5,13.67,0,4041,54.63,14
2017-01-27 00:00:00+00,13.67,13.67,13.5,13.67,0,5505,74.32,8
2017-01-30 00:00:00+00,13.67,13.74,13.59,13.72,0.37,18537,252.26,36
2017-01-31 00:00:00+00,13.72,13.72,13.6,13.7,-0.15,6258,85.38,21
2017-02-01 00:00:00+00,13.7,13.76,13.6,13.76,0.44,3490,47.72,14
2017-02-02 00:00:00+00,13.76,13.76,13.75,13.75,-0.07,10,0.14,3
2017-02-03 00:00:00+00,13.75,13.75,13.5,13.71,-0.29,4517,61.44,19
2017-02-06 00:00:00+00,13.71,13.76,13.6,13.76,0.36,13311,181.48,27
2017-02-07 00:00:00+00,13.76,13.76,13.4,13.5,-1.89,16039,218.08,25
2017-02-08 00:00:00+00,13.5,13.75,13.49,13.75,1.85,5756,78.59,16
2017-02-09 00:00:00+00,13.76,13.76,13.6,13.75,0,911,12.46,14
2017-02-10 00:00:00+00,13.74,13.74,13.6,13.74,-0.07,772,10.55,11
2017-02-13 00:00:00+00,13.74,14,13.65,13.75,0.07,8022,110.32,25
2017-02-14 00:00:00+00,13.7,14,13.65,14,1.82,19149,267.5,39
2017-02-15 00:00:00+00,14,15.37,13.85,15.37,9.79,16761,247.85,79
2017-02-16 00:00:00+00,15.29,15.41,14.6,15.17,-1.3,23674,358.15,72
2017-02-17 00:00:00+00,14.9,15.17,14.9,15,-1.12,2451,36.78,18
2017-02-20 00:00:00+00,15,15,14.85,14.9,-0.67,3445,51.48,19
2017-02-21 00:00:00+00,14.9,15.3,14.9,15.3,2.68,5316,80.26,24
2017-02-22 00:00:00+00,15.29,15.29,15,15.15,-0.98,8548,129.51,26
2017-02-23 00:00:00+00,15.25,15.25,14.9,15.15,0,348,5.2,7
2017-02-24 00:00:00+00,15.15,15.15,14.56,15.12,-0.2,2059,30.5,14
2017-02-27 00:00:00+00,15,15,14.8,15,-0.79,10302,154.53,11
2017-02-28 00:00:00+00,14.95,15,14.9,14.95,-0.33,3508,52.5,14
2017-03-01 00:00:00+00,14.97,14.97,14.66,14.9,-0.33,1292,19.03,13
2017-03-02 00:00:00+00,14.67,14.7,14.2,14.7,-1.34,1417,20.38,9
2017-03-03 00:00:00+00,14.7,14.7,14.3,14.7,0,3731,53.57,19
